date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.399001,7259.4890,7266.4680,7136.9490,7149.2660,7239.7890,14682647808,128669986816.0000
2019-01-03,sz.399001,7134.1460,7217.8320,7081.8280,7089.4400,7149.2660,17315116288,145238859776.0000
2019-01-04,sz.399001,7022.1220,7284.8400,7011.3270,7284.8400,7089.4400,23161690368,182962323456.0000
2019-01-07,sz.399001,7333.3170,7409.3820,7303.4640,7400.2040,7284.8400,24868884224,201785667584.0000
2019-01-08,sz.399001,7381.6100,7412.1850,7361.4130,7391.6480,7400.2040,22939399424,176356511744.0000
2019-01-09,sz.399001,7425.6350,7552.1970,7404.4860,7447.9340,7391.6480,26676795392,218445045760.0000
2019-01-10,sz.399001,7442.6960,7491.6920,7415.2840,7428.6130,7447.9340,22741362944,180671909888.0000
2019-01-11,sz.399001,7441.1750,7490.1690,7404.3090,7474.0080,7428.6130,21710579456,173750046720.0000
2019-01-14,sz.399001,7473.8840,7488.3640,7394.9570,7409.1990,7474.0080,21593477376,166914293760.0000
2019-01-15,sz.399001,7403.7890,7549.6620,7386.1540,7547.3480,7409.1990,22311039744,182224551936.0000
2019-01-16,sz.399001,7545.3490,7586.6600,7518.7060,7540.4500,7547.3480,21607643392,177785020416.0000
2019-01-17,sz.399001,7534.0430,7545.8120,7463.9920,7470.3550,7540.4500,21023804160,166613848064.0000
2019-01-18,sz.399001,7486.9480,7584.7620,7479.6550,7581.3880,7470.3550,22063081728,175381200896.0000
2019-01-21,sz.399001,7591.1910,7661.6180,7578.4870,7626.2350,7581.3880,20489669376,173201985536.0000
2019-01-22,sz.399001,7615.8010,7615.8010,7493.7770,7516.7860,7626.2350,18846436608,155636682752.0000
2019-01-23,sz.399001,7493.0660,7542.6450,7489.3170,7523.7730,7516.7860,16848837376,138876653568.0000
2019-01-24,sz.399001,7537.4970,7604.9920,7485.2410,7573.5240,7523.7730,20196841216,169008152576.0000
2019-01-25,sz.399001,7581.2860,7657.0330,7554.5530,7595.4520,7573.5240,21191940608,177486397440.0000
2019-01-28,sz.399001,7641.2890,7704.8460,7569.7730,7589.5800,7595.4520,20242333184,172300865536.0000
2019-01-29,sz.399001,7575.4340,7578.1310,7428.4010,7551.3000,7589.5800,20890970368,167051825152.0000
2019-01-30,sz.399001,7518.0270,7580.2240,7470.3550,7470.4710,7551.3000,16334215424,136185741312.0000
2019-01-31,sz.399001,7485.7860,7552.5590,7428.8620,7479.2150,7470.4710,20636525056,159830118400.0000
2019-02-01,sz.399001,7524.6650,7684.1110,7517.8340,7683.9970,7479.2150,18099026432,150222905344.0000
2019-02-11,sz.399001,7695.1740,7922.5360,7695.1740,7919.0460,7683.9970,21162926336,182559019008.0000
2019-02-12,sz.399001,7915.0630,8027.6300,7903.9000,8010.0740,7919.0460,25879923200,208455163904.0000
