date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.399006,1250.6230,1251.2250,1226.8720,1228.7660,1250.5250,3789953136,40715423232.0000
2019-01-03,sz.399006,1226.7440,1240.2860,1213.8720,1214.4960,1228.7660,4687428096,45978385408.0000
2019-01-04,sz.399006,1203.6730,1246.3930,1201.8040,1245.1560,1214.4960,5777114112,55816723456.0000
2019-01-07,sz.399006,1250.4030,1270.3570,1244.8200,1268.0580,1245.1560,6386403840,61925681408.0000
2019-01-08,sz.399006,1262.1970,1270.4290,1258.5650,1263.5100,1268.0580,5950258176,54821193216.0000
2019-01-09,sz.399006,1263.7320,1285.3110,1258.6230,1262.5160,1263.5100,6737945856,64890106368.0000
2019-01-10,sz.399006,1262.1040,1270.6620,1255.7440,1258.9880,1262.5160,6007913984,54960793344.0000
2019-01-11,sz.399006,1260.0030,1266.6730,1252.2980,1261.5600,1258.9880,5768706048,53791610368.0000
2019-01-14,sz.399006,1263.0230,1264.0430,1243.5270,1245.9990,1261.5600,5669915904,51815207680.0000
2019-01-15,sz.399006,1243.9340,1267.6460,1238.5910,1266.2740,1245.9990,5812689408,53805117184.0000
2019-01-16,sz.399006,1267.1360,1277.2730,1262.2700,1267.3040,1266.2740,5511123712,53057095168.0000
2019-01-17,sz.399006,1267.8210,1267.8210,1251.1530,1251.4130,1267.3040,5181806336,49201441024.0000
2019-01-18,sz.399006,1255.5950,1270.0020,1248.8540,1269.5040,1251.4130,5064052992,47848419328.0000
2019-01-21,sz.399006,1271.3920,1283.1420,1266.8020,1274.7880,1269.5040,5108875264,49277799936.0000
2019-01-22,sz.399006,1273.4710,1273.4710,1247.4480,1252.2390,1274.7880,4744049152,47338458112.0000
2019-01-23,sz.399006,1250.8320,1255.4140,1244.9390,1251.1260,1252.2390,4170400496,42102042880.0000
2019-01-24,sz.399006,1252.3840,1272.4880,1248.0600,1265.1600,1251.1260,5075554048,53393223168.0000
2019-01-25,sz.399006,1266.6300,1276.9850,1261.4060,1265.4940,1265.1600,5134719488,53316453632.0000
2019-01-28,sz.399006,1272.3670,1279.8220,1257.5320,1259.7430,1265.4940,5130517504,50093459456.0000
2019-01-29,sz.399006,1259.8020,1259.8020,1229.4830,1243.5910,1259.7430,5154334464,48519440640.0000
2019-01-30,sz.399006,1238.2810,1248.9580,1230.8190,1230.8190,1243.5910,4171193456,40668960256.0000
2019-01-31,sz.399006,1230.9980,1243.5860,1220.9490,1227.9870,1230.8190,5236620800,46090205184.0000
2019-02-01,sz.399006,1233.3840,1272.1930,1233.3840,1271.2740,1227.9870,4635420928,45332103424.0000
2019-02-11,sz.399006,1275.2190,1319.1770,1274.7320,1316.0980,1271.2740,5222441728,53336159488.0000
2019-02-12,sz.399006,1316.9060,1336.1380,1314.9140,1332.2700,1316.0980,5869746688,58466105856.0000
2019-02-13,sz.399006,1335.1640,1362.6380,1333.1050,1357.6650,1332.2700,7237268224,75301908480.0000
2019-02-14,sz.399006,1357.7750,1369.7840,1349.4730,1361.9380,1357.6650,6754772736,68833599488.0000
2019-02-15,sz.399006,1360.7560,1371.9640,1355.7780,1357.8360,1361.9380,6801963776,67865177344.0000
2019-02-18,sz.399006,1364.9390,1413.7740,1364.9390,1413.6000,1357.8360,9147214336,91224547328.0000
2019-02-19,sz.399006,1419.0350,1427.1350,1391.5660,1406.0370,1413.6000,10282450432,101612220416.0000
2019-02-20,sz.399006,1406.9910,1417.8880,1387.9020,1408.3810,1406.0370,8592876288,80986095616.0000
2019-02-21,sz.399006,1405.5170,1452.3850,1401.7710,1412.5350,1408.3810,10641962496,107939061760.0000
2019-02-22,sz.399006,1409.8610,1456.3040,1407.2870,1456.2980,1412.5350,9839032064,103361433600.0000
2019-02-25,sz.399006,1487.3040,1538.1570,1481.1710,1536.3710,1456.2980,14633660672,157072375808.0000
2019-02-26,sz.399006,1549.2390,1581.8330,1532.4390,1546.9860,1536.3710,15454872832,174758395904.0000
2019-02-27,sz.399006,1544.1630,1555.5860,1503.6770,1520.4190,1546.9860,12257320192,136155021312.0000
2019-02-28,sz.399006,1522.6300,1549.3260,1519.7560,1535.6800,1520.4190,9804352000,107413479424.0000
2019-03-01,sz.399006,1558.8980,1568.3190,1532.4540,1567.8730,1535.6800,9385027840,107552063488.0000
2019-03-04,sz.399006,1596.5540,1651.0130,1593.2560,1619.7090,1567.8730,13995693312,164612644864.0000
2019-03-05,sz.399006,1615.5920,1676.5650,1613.4970,1676.5650,1619.7090,14156227584,158009073664.0000
2019-03-06,sz.399006,1684.9710,1704.1000,1661.0110,1700.4960,1676.5650,16240873472,185035341824.0000
2019-03-07,sz.399006,1699.5990,1719.1450,1666.3720,1692.4160,1700.4960,16451568640,193323446272.0000
2019-03-08,sz.399006,1647.8480,1718.3840,1635.4490,1654.4850,1692.4160,17086233088,202893934592.0000
2019-03-11,sz.399006,1673.4040,1728.3300,1656.1390,1727.8010,1654.4850,14876438528,175443132416.0000
2019-03-12,sz.399006,1733.4270,1789.1550,1733.4270,1773.4320,1727.8010,17556548352,212596310016.0000
2019-03-13,sz.399006,1769.5470,1769.5470,1682.3590,1693.8600,1773.4320,15288968448,184041951232.0000
2019-03-14,sz.399006,1676.6140,1700.5150,1628.6350,1650.1860,1693.8600,11846669312,139360321536.0000
2019-03-15,sz.399006,1667.7770,1685.0780,1642.6980,1662.6220,1650.1860,9873444096,115892412416.0000
2019-03-18,sz.399006,1671.2790,1707.0560,1652.8810,1707.0560,1662.6220,9533293568,115075440640.0000
2019-03-19,sz.399006,1706.1930,1730.3510,1693.5420,1708.8740,1707.0560,9855341312,116802531328.0000
2019-03-20,sz.399006,1701.7300,1705.5890,1654.3020,1687.9000,1708.8740,10029938432,119746437120.0000
2019-03-21,sz.399006,1683.5490,1716.4450,1677.6540,1703.8540,1687.9000,11779289600,136120958976.0000
2019-03-22,sz.399006,1703.9650,1703.9650,1660.3310,1693.8650,1703.8540,10037013504,117780582400.0000
2019-03-25,sz.399006,1662.7570,1695.0930,1658.4460,1668.8410,1693.8650,10437572608,121494376448.0000
2019-03-26,sz.399006,1680.7760,1684.3590,1627.2270,1630.1900,1668.8410,10460071168,121483640832.0000
2019-03-27,sz.399006,1640.2050,1645.5640,1616.5990,1637.7720,1630.1900,8792809728,101684301824.0000
2019-03-28,sz.399006,1632.0380,1659.9450,1624.0060,1626.8180,1637.7720,8619370496,102676172800.0000
2019-03-29,sz.399006,1633.3800,1693.5470,1628.7430,1693.5470,1626.8180,10011456512,122199355392.0000
2019-04-01,sz.399006,1710.1580,1766.3670,1710.1580,1760.8920,1693.5470,12165099776,151230066688.0000
2019-04-02,sz.399006,1771.6870,1774.9790,1747.4420,1754.1560,1760.8920,13152982272,164935684096.0000
2019-04-03,sz.399006,1743.9930,1769.7560,1739.1410,1768.1780,1754.1560,11133459712,137815691264.0000
2019-04-04,sz.399006,1780.2760,1784.4720,1761.0460,1777.2620,1768.1780,11591709184,146242854912.0000
