date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600584,8.2900,8.3700,8.2000,8.2300,8.2400,8363155,69157776.0000
2019-01-03,sh.600584,8.2100,8.3800,8.1800,8.1900,8.2300,9927576,81892930.0000
2019-01-04,sh.600584,8.1500,8.4400,8.0400,8.3900,8.1900,16152791,133730917.0000
2019-01-07,sh.600584,8.4400,8.7500,8.3700,8.6900,8.3900,16958710,145885429.0000
2019-01-08,sh.600584,8.6700,8.6800,8.5600,8.6000,8.6900,9237549,79556385.0000
2019-01-09,sh.600584,8.6400,9.1400,8.5800,8.8600,8.6000,29450713,261958526.0000
2019-01-10,sh.600584,8.8000,8.9500,8.6800,8.7300,8.8600,13307491,117112152.0000
2019-01-11,sh.600584,8.7200,8.8300,8.6300,8.7700,8.7300,9721429,84995652.0000
2019-01-14,sh.600584,8.6900,8.7800,8.5600,8.5700,8.7700,9385699,81117594.0000
2019-01-15,sh.600584,8.5600,8.7400,8.5300,8.7200,8.5700,12556046,108558972.0000
2019-01-16,sh.600584,8.7300,8.8600,8.7000,8.7000,8.7200,10948557,95816904.0000
2019-01-17,sh.600584,8.6700,8.6900,8.2500,8.2800,8.7000,21049998,176624010.0000
2019-01-18,sh.600584,8.2800,9.1100,8.2600,9.1100,8.2800,33864064,294583286.0000
2019-01-21,sh.600584,9.2900,9.9800,9.1800,9.4800,9.1100,61889497,584568377.0000
2019-01-22,sh.600584,9.3900,10.2500,9.2700,10.0000,9.4800,64859277,629064850.0000
2019-01-23,sh.600584,9.8800,9.9400,9.7000,9.8400,10.0000,36156780,354929916.0000
2019-01-24,sh.600584,9.7300,10.6100,9.7200,10.1900,9.8400,62189310,635273607.0000
2019-01-25,sh.600584,10.1300,10.5300,10.0200,10.1800,10.1900,46775443,478099143.0000
2019-01-28,sh.600584,10.2800,10.2800,9.7800,9.9700,10.1800,31866610,318282852.0000
2019-01-29,sh.600584,9.8500,9.9500,9.5700,9.7600,9.9700,24952980,243349787.0000
2019-01-30,sh.600584,9.6600,9.8400,9.3100,9.3900,9.7600,27625950,264000569.0000
2019-01-31,sh.600584,8.5500,9.3200,8.5500,8.8900,9.3900,44469133,397367598.0000
2019-02-01,sh.600584,9.0800,9.7800,9.0000,9.7800,8.8900,36766169,351216895.0000
2019-02-11,sh.600584,10.2100,10.3000,9.9100,10.1500,9.7800,44652167,453394093.0000
2019-02-12,sh.600584,10.1500,10.5700,10.0800,10.2100,10.1500,46215103,475640952.0000
2019-02-13,sh.600584,10.2800,10.9700,10.2800,10.6500,10.2100,66134243,704001650.0000
2019-02-14,sh.600584,10.5700,10.8100,10.3300,10.6900,10.6500,42536762,451121359.0000
2019-02-15,sh.600584,10.6900,11.2100,10.5900,10.9600,10.6900,53164577,579779409.0000
2019-02-18,sh.600584,11.3400,12.0600,11.0300,12.0600,10.9600,41780243,481884855.0000
2019-02-19,sh.600584,13.2700,13.2700,13.0300,13.2700,12.0600,50529698,670283463.0000
2019-02-20,sh.600584,13.7000,13.8000,12.7000,13.1000,13.2700,116137467,1536570061.0000
2019-02-21,sh.600584,12.9600,14.4100,12.8600,13.9000,13.1000,132908386,1830504507.0000
2019-02-22,sh.600584,13.7500,14.5500,13.5600,14.2200,13.9000,111884829,1579343833.0000
2019-02-25,sh.600584,14.3800,15.5000,14.3800,14.7400,14.2200,119540253,1778765253.0000
2019-02-26,sh.600584,14.7400,14.9500,14.0500,14.3000,14.7400,89891080,1297708032.0000
2019-02-27,sh.600584,14.1300,14.2500,13.3800,13.6800,14.3000,79286715,1089421172.0000
2019-02-28,sh.600584,13.5400,13.9200,13.5100,13.6400,13.6800,37017461,507185550.0000
2019-03-01,sh.600584,13.8800,13.8800,13.0500,13.4200,13.6400,51722039,688050288.0000
2019-03-04,sh.600584,13.6500,14.3200,13.3200,13.7500,13.4200,77564345,1068596312.0000
2019-03-05,sh.600584,13.4500,15.1300,13.3500,15.1300,13.7500,83126802,1198628360.0000
2019-03-06,sh.600584,15.6400,15.9500,14.6300,15.0000,15.1300,117934488,1786132139.0000
2019-03-07,sh.600584,14.7000,15.0200,14.3800,14.7000,15.0000,80940511,1188880394.0000
2019-03-08,sh.600584,14.3000,16.1700,14.0200,15.9000,14.7000,165795445,2632525261.0000
2019-03-11,sh.600584,16.4900,16.9900,15.2700,15.6100,15.9000,148367286,2364493353.0000
2019-03-12,sh.600584,15.6600,16.4400,15.3600,16.1200,15.6100,109517539,1726589446.0000
2019-03-13,sh.600584,15.8500,15.9000,14.8800,15.0700,16.1200,81099722,1252166825.0000
2019-03-14,sh.600584,14.8200,14.8300,13.9200,14.0400,15.0700,56636979,808113719.0000
2019-03-15,sh.600584,14.1700,14.3500,13.6100,13.8100,14.0400,45963227,643547448.0000
2019-03-18,sh.600584,13.8400,14.2900,13.6600,14.2800,13.8100,36262318,511166391.0000
2019-03-19,sh.600584,14.1800,14.8400,14.1000,14.3000,14.2800,41177347,592818036.0000
2019-03-20,sh.600584,14.3200,14.5600,13.7700,14.1300,14.3000,31203675,441663942.0000
2019-03-21,sh.600584,14.1900,14.7800,14.1800,14.4500,14.1300,52574026,762097150.0000
2019-03-22,sh.600584,14.5000,15.1800,14.4700,14.7900,14.4500,60965631,903446339.0000
2019-03-25,sh.600584,14.4000,15.2600,14.2200,14.9700,14.7900,56026018,832064360.0000
2019-03-26,sh.600584,15.0100,15.1800,13.8300,14.0000,14.9700,53680507,776230870.0000
2019-03-27,sh.600584,14.0200,14.2300,13.0000,13.7000,14.0000,53551549,732667172.0000
2019-03-28,sh.600584,13.5400,14.4300,13.5400,13.6800,13.7000,46069764,645595521.0000
2019-03-29,sh.600584,13.5800,14.2200,13.2100,14.1100,13.6800,46676832,644892514.0000
2019-04-01,sh.600584,14.3100,14.8400,14.3100,14.6700,14.1100,45471516,664978336.0000
2019-04-02,sh.600584,14.8800,15.2000,14.6400,14.7200,14.6700,55894363,833538768.0000
2019-04-03,sh.600584,14.7300,15.0700,14.5900,14.7400,14.7200,33253332,492305214.0000
2019-04-04,sh.600584,15.0000,15.2000,14.7000,14.8200,14.7400,44100062,657606031.0000
2019-04-08,sh.600584,14.8700,14.9000,13.9800,14.1100,14.8200,54068037,775772693.0000
2019-04-09,sh.600584,14.0100,14.4400,13.8900,14.1200,14.1100,26918285,380608912.0000
2019-04-10,sh.600584,14.0000,14.1700,13.8100,14.0000,14.1200,23716077,331943117.0000
2019-04-11,sh.600584,14.0000,14.0800,13.5200,13.5600,14.0000,26211362,359216853.0000
2019-04-12,sh.600584,13.5800,13.7100,13.4200,13.5300,13.5600,15039389,203858660.0000
2019-04-15,sh.600584,13.8100,14.1800,13.5300,13.5700,13.5300,26772081,372250125.0000
2019-04-16,sh.600584,13.2500,13.9700,13.0700,13.9400,13.5700,33685142,454922855.0000
2019-04-17,sh.600584,14.3600,14.9900,14.3000,14.3200,13.9400,64570265,943626219.0000
2019-04-18,sh.600584,14.3200,14.8900,14.0300,14.5800,14.3200,50340948,728693860.0000
2019-04-19,sh.600584,14.4400,14.5900,14.2200,14.3700,14.5800,26056814,374816181.0000
2019-04-22,sh.600584,14.2800,14.8600,14.2500,14.6400,14.3700,44594350,651832674.0000
2019-04-23,sh.600584,14.4900,14.5900,13.7000,13.8400,14.6400,39343929,552093499.0000
2019-04-24,sh.600584,13.7300,15.2200,13.3900,14.6800,13.8400,66936495,967018699.0000
2019-04-25,sh.600584,14.3900,14.5600,13.8000,13.8800,14.6800,39085049,554741680.0000
2019-04-26,sh.600584,13.6300,14.3600,13.5100,13.7000,13.8800,34576164,486027676.0000
2019-04-29,sh.600584,13.0100,13.4000,12.7500,13.0000,13.7000,35655737,465495308.0000
2019-04-30,sh.600584,12.5000,12.8800,12.1000,12.2400,13.0000,33514507,418019771.0000
2019-05-06,sh.600584,11.8000,11.8000,11.0200,11.0200,12.2400,37273067,418294075.0000
2019-05-07,sh.600584,11.0500,11.2100,10.5800,11.0900,11.0200,30033443,328667870.0000
2019-05-08,sh.600584,10.6900,11.5400,10.5900,11.0800,11.0900,33982179,379483688.0000
2019-05-09,sh.600584,11.2000,11.7800,11.0500,11.0900,11.0800,38667232,438670904.0000
2019-05-10,sh.600584,11.1500,11.8800,10.5200,11.8500,11.0900,48562852,557747409.0000
2019-05-13,sh.600584,11.6000,11.7800,11.2600,11.3600,11.8500,37085990,426337530.0000
2019-05-14,sh.600584,11.2700,11.4400,11.0800,11.1300,11.3600,33117873,371793939.0000
2019-05-15,sh.600584,11.2800,11.3300,11.0500,11.2000,11.1300,33560288,374914909.0000
2019-05-16,sh.600584,11.1600,11.3000,10.9400,11.2100,11.2000,24893438,277276106.0000
2019-05-17,sh.600584,11.4500,11.7500,11.1900,11.4600,11.2100,69304515,797821487.0000
2019-05-20,sh.600584,12.5000,12.6100,12.5000,12.6100,11.4600,23755956,299083901.0000
2019-05-21,sh.600584,12.9100,13.4900,12.1100,13.1500,12.6100,104215122,1340054104.0000
2019-05-22,sh.600584,12.8000,13.2900,12.6600,13.2200,13.1500,72319145,939895586.0000
2019-05-23,sh.600584,13.2000,14.5400,12.8400,14.5400,13.2200,121662181,1673037326.0000
2019-05-24,sh.600584,14.0000,14.5000,13.0900,13.1200,14.5400,103921012,1433653945.0000
2019-05-27,sh.600584,13.5400,14.4300,13.3000,14.4300,13.1200,50744337,714908905.0000
2019-05-28,sh.600584,15.0100,15.6500,14.7500,15.1500,14.4300,194975361,2961490284.0000
2019-05-29,sh.600584,15.4000,16.1500,15.0200,15.5300,15.1500,179421283,2791313409.0000
2019-05-30,sh.600584,15.1500,15.2800,14.3800,14.8700,15.5300,116429139,1730478014.0000
2019-05-31,sh.600584,14.7000,15.2700,14.5200,14.8300,14.8700,97539741,1455507936.0000
2019-06-03,sh.600584,14.8500,14.9500,14.0200,14.3500,14.8300,89049987,1278179829.0000
2019-06-04,sh.600584,14.1000,14.6400,13.7800,14.0500,14.3500,76872881,1092738884.0000
2019-06-05,sh.600584,14.1900,14.2500,13.5900,13.6300,14.0500,64054563,892618607.0000
2019-06-06,sh.600584,13.6500,14.0300,13.3800,13.6200,13.6300,66196003,911001981.0000
2019-06-10,sh.600584,13.6000,13.9800,13.4500,13.8400,13.6200,46955546,645753068.0000
2019-06-11,sh.600584,13.7200,14.3800,13.5300,14.1900,13.8400,77550368,1093028429.0000
2019-06-12,sh.600584,13.6100,13.9800,13.4000,13.8800,14.1900,96862657,1321598405.0000
2019-06-13,sh.600584,13.6100,13.8600,13.4000,13.5600,13.8800,48704119,661453295.0000
