date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600596,10.7000,10.8600,10.6500,10.7200,10.6900,8264183,88846477.0000
2019-01-03,sh.600596,10.7800,10.8600,10.6400,10.6600,10.7200,7935980,85222913.0000
2019-01-04,sh.600596,10.5000,10.9400,10.3300,10.9000,10.6600,15641223,167339839.0000
2019-01-07,sh.600596,10.9900,11.1100,10.8700,11.0500,10.9000,16273098,178416285.0000
2019-01-08,sh.600596,11.0200,11.0700,10.8800,10.9600,11.0500,9065996,99637738.0000
2019-01-09,sh.600596,10.9700,11.3700,10.9500,11.0600,10.9600,18395157,205810717.0000
2019-01-10,sh.600596,11.0800,11.1600,10.9300,11.0300,11.0600,9816396,108457800.0000
2019-01-11,sh.600596,11.0200,11.1600,10.9700,11.0900,11.0300,8705708,96315098.0000
2019-01-14,sh.600596,11.1400,11.2500,11.0600,11.0800,11.0900,8588788,95765459.0000
2019-01-15,sh.600596,11.0400,11.3300,11.0300,11.3000,11.0800,12657479,141677571.0000
2019-01-16,sh.600596,11.0600,11.1600,10.5300,10.7700,11.3000,42452215,461920738.0000
2019-01-17,sh.600596,10.6900,10.6900,10.2800,10.3000,10.7700,34237873,357481961.0000
2019-01-18,sh.600596,10.2900,10.5800,10.2300,10.5200,10.3000,32227331,335415948.0000
2019-01-21,sh.600596,10.4700,10.6700,10.3400,10.6700,10.5200,29404756,309604787.0000
2019-01-22,sh.600596,10.6300,10.6900,10.3600,10.4500,10.6700,20624166,217001211.0000
2019-01-23,sh.600596,10.3900,10.9400,10.3800,10.8400,10.4500,31155940,332180258.0000
2019-01-24,sh.600596,10.7600,10.8000,10.5000,10.6800,10.8400,23537791,251272781.0000
2019-01-25,sh.600596,10.6800,10.9300,10.5700,10.7400,10.6800,28358229,305292251.0000
2019-01-28,sh.600596,10.8000,10.8700,10.5100,10.5800,10.7400,19703011,209795950.0000
2019-01-29,sh.600596,10.5300,10.5900,10.2400,10.3700,10.5800,16267954,168701282.0000
2019-01-30,sh.600596,10.3600,10.6500,10.2500,10.4800,10.3700,19496243,203459526.0000
2019-01-31,sh.600596,10.4200,10.6400,10.4100,10.5600,10.4800,20729341,218772652.0000
2019-02-01,sh.600596,10.6100,10.7200,10.5100,10.7100,10.5600,20018376,212937653.0000
2019-02-11,sh.600596,10.7300,11.0000,10.6800,11.0000,10.7100,29786939,323605408.0000
2019-02-12,sh.600596,11.0100,11.1600,10.9600,11.1000,11.0000,29965967,330961107.0000
2019-02-13,sh.600596,11.0500,11.3400,10.9600,11.2600,11.1000,38837061,433824986.0000
