date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600606,6.1300,6.1400,6.0200,6.0600,6.1100,12926213,78434115.0000
2019-01-03,sh.600606,6.0500,6.1500,6.0100,6.0400,6.0600,16690875,101073643.0000
2019-01-04,sh.600606,6.0100,6.1700,5.9800,6.1600,6.0400,24655372,149925259.0000
2019-01-07,sh.600606,6.2200,6.2800,6.1900,6.2300,6.1600,20089919,125057684.0000
2019-01-08,sh.600606,6.1900,6.2300,6.1600,6.2000,6.2300,13111631,81175136.0000
2019-01-09,sh.600606,6.2200,6.3200,6.2100,6.2300,6.2000,18968551,118944665.0000
2019-01-10,sh.600606,6.2200,6.2600,6.1600,6.1700,6.2300,12283324,76352993.0000
2019-01-11,sh.600606,6.1900,6.2700,6.1700,6.2500,6.1700,14438860,90065354.0000
2019-01-14,sh.600606,6.2800,6.2800,6.1900,6.2300,6.2500,14940462,93065748.0000
2019-01-15,sh.600606,6.2000,6.2500,6.1500,6.2300,6.2300,21190481,131516422.0000
2019-01-16,sh.600606,6.2200,6.2900,6.2200,6.2400,6.2300,23592396,147535626.0000
2019-01-17,sh.600606,6.2800,6.2800,6.2100,6.2500,6.2400,17996393,112573072.0000
2019-01-18,sh.600606,6.2800,6.3200,6.2300,6.3100,6.2500,27326518,172084741.0000
2019-01-21,sh.600606,6.3100,6.4100,6.2700,6.3200,6.3100,24680000,156549739.0000
2019-01-22,sh.600606,6.3200,6.3900,6.2600,6.2900,6.3200,22981540,145545480.0000
2019-01-23,sh.600606,6.2800,6.3700,6.2800,6.3300,6.2900,16711484,105911618.0000
2019-01-24,sh.600606,6.3700,6.4500,6.3000,6.4400,6.3300,28093613,179119249.0000
2019-01-25,sh.600606,6.4400,6.5000,6.3800,6.4000,6.4400,30805179,198263995.0000
2019-01-28,sh.600606,6.4300,6.5000,6.3300,6.3600,6.4000,22583763,144496870.0000
2019-01-29,sh.600606,6.3800,6.4100,6.2600,6.3800,6.3600,27050436,171540348.0000
2019-01-30,sh.600606,6.3500,6.5800,6.3300,6.4400,6.3800,39201726,252738379.0000
2019-01-31,sh.600606,6.4300,6.5200,6.3800,6.4100,6.4400,34959358,225689146.0000
2019-02-01,sh.600606,6.4400,6.4800,6.3900,6.4500,6.4100,23593462,151742894.0000
2019-02-11,sh.600606,6.4500,6.5200,6.3900,6.5200,6.4500,31012170,200450553.0000
2019-02-12,sh.600606,6.5000,6.5400,6.4700,6.5100,6.5200,25904488,168370887.0000
2019-02-13,sh.600606,6.5200,6.6500,6.4800,6.6300,6.5100,43971663,288377200.0000
2019-02-14,sh.600606,6.6300,6.7300,6.5900,6.6700,6.6300,36360526,242569765.0000
2019-02-15,sh.600606,6.7000,6.7500,6.5600,6.5900,6.6700,33490683,222344936.0000
2019-02-18,sh.600606,6.6300,6.7000,6.6000,6.7000,6.5900,37336294,248115938.0000
