date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600660,22.7800,22.8500,21.9000,22.4400,22.7800,7512665,167957743.0000
2019-01-03,sh.600660,22.3700,22.3700,21.4700,21.6400,22.4400,10621386,230994517.0000
2019-01-04,sh.600660,21.5000,21.8100,21.2100,21.7300,21.6400,7286159,156882396.0000
2019-01-07,sh.600660,21.8200,22.0800,21.6100,21.9800,21.7300,7793750,170478909.0000
2019-01-08,sh.600660,21.8100,21.8800,21.6800,21.7400,21.9800,4034628,87689045.0000
2019-01-09,sh.600660,21.8000,23.0700,21.8000,22.4700,21.7400,14706940,331865436.0000
2019-01-10,sh.600660,22.4100,22.6200,22.2200,22.4200,22.4700,5973737,133978159.0000
2019-01-11,sh.600660,22.4100,22.5700,22.3200,22.5500,22.4200,4521849,101634060.0000
2019-01-14,sh.600660,22.5500,22.6300,22.2400,22.3300,22.5500,4819669,108185527.0000
2019-01-15,sh.600660,22.3500,22.5300,22.2000,22.5300,22.3300,6020588,134672416.0000
2019-01-16,sh.600660,22.6300,22.6500,22.3500,22.6100,22.5300,5108938,115163165.0000
2019-01-17,sh.600660,22.5200,22.9600,22.5100,22.8400,22.6100,7825788,178421677.0000
2019-01-18,sh.600660,22.8300,23.0000,22.7200,22.9600,22.8400,6041088,138464664.0000
2019-01-21,sh.600660,23.0000,23.2200,22.6700,22.7600,22.9600,10334619,236780100.0000
2019-01-22,sh.600660,22.7800,22.8700,22.5000,22.5400,22.7600,5882046,133135563.0000
2019-01-23,sh.600660,22.4800,22.9500,22.4500,22.9500,22.5400,7991048,182055346.0000
2019-01-24,sh.600660,22.7600,23.1500,22.6200,22.9700,22.9500,7650737,175776087.0000
2019-01-25,sh.600660,22.9100,23.3200,22.9100,23.0000,22.9700,8668444,200402274.0000
2019-01-28,sh.600660,23.1300,23.5700,23.0000,23.0500,23.0000,7511725,174756767.0000
2019-01-29,sh.600660,23.0100,23.3800,22.9600,23.3500,23.0500,6025024,139895442.0000
2019-01-30,sh.600660,23.3000,23.3000,22.9200,23.0600,23.3500,5470992,126093501.0000
2019-01-31,sh.600660,23.0000,23.3300,22.9000,23.2600,23.0600,7396126,171070065.0000
2019-02-01,sh.600660,23.2300,23.4900,23.0000,23.4700,23.2600,8090763,188153533.0000
2019-02-11,sh.600660,23.6000,24.1500,23.4600,24.0500,23.4700,11361642,271114508.0000
2019-02-12,sh.600660,24.0700,24.8000,24.0700,24.6200,24.0500,10626079,260075739.0000
2019-02-13,sh.600660,24.6300,24.9800,24.4900,24.9000,24.6200,10641807,264097985.0000
2019-02-14,sh.600660,24.9000,25.0800,24.6200,24.9100,24.9000,8567436,213019769.0000
2019-02-15,sh.600660,24.8700,24.9900,24.3000,24.3000,24.9100,10577789,259183105.0000
2019-02-18,sh.600660,24.5500,24.9600,24.5100,24.7900,24.3000,11430366,282969961.0000
2019-02-19,sh.600660,24.7900,25.0000,24.3800,24.6300,24.7900,11974171,295591430.0000
2019-02-20,sh.600660,24.5500,24.6600,24.2000,24.4200,24.6300,10257397,250036344.0000
2019-02-21,sh.600660,24.4600,24.8400,24.3700,24.5100,24.4200,9878078,242663518.0000
2019-02-22,sh.600660,24.2700,24.5400,23.8900,24.3600,24.5100,10272532,247972004.0000
2019-02-25,sh.600660,24.4300,25.0800,24.4300,24.9900,24.3600,22339419,552774966.0000
2019-02-26,sh.600660,25.0600,25.1000,24.6600,24.7600,24.9900,18232457,454454630.0000
2019-02-27,sh.600660,24.7100,24.9500,24.1700,24.3100,24.7600,15768834,387072438.0000
2019-02-28,sh.600660,24.4000,24.5000,24.0800,24.2500,24.3100,10343954,251694943.0000
