date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600720,6.4900,6.5100,6.3600,6.3900,6.4500,4116598,26500298.0000
2019-01-03,sh.600720,6.4100,6.4600,6.3200,6.3300,6.3900,6202275,39469377.0000
2019-01-04,sh.600720,6.3100,6.4800,6.2400,6.4600,6.3300,7871025,50181052.0000
2019-01-07,sh.600720,6.5000,6.5400,6.4600,6.5300,6.4600,9148684,59445724.0000
2019-01-08,sh.600720,6.5100,6.7900,6.4400,6.6400,6.5300,15910843,105620130.0000
2019-01-09,sh.600720,6.6000,6.7300,6.5600,6.6200,6.6400,9318430,62100238.0000
2019-01-10,sh.600720,6.6000,6.6500,6.5700,6.5800,6.6200,4683990,30934984.0000
2019-01-11,sh.600720,6.6000,6.6700,6.5300,6.6500,6.5800,7152221,47261369.0000
2019-01-14,sh.600720,6.6700,6.7300,6.6300,6.6500,6.6500,5883623,39289830.0000
2019-01-15,sh.600720,6.6500,6.7100,6.6200,6.6900,6.6500,6849241,45699513.0000
2019-01-16,sh.600720,6.6700,6.7200,6.6600,6.6800,6.6900,5862838,39195000.0000
2019-01-17,sh.600720,6.7000,6.7100,6.6300,6.6500,6.6800,5492734,36626741.0000
2019-01-18,sh.600720,6.6700,6.8400,6.6500,6.8100,6.6500,14399854,97337154.0000
2019-01-21,sh.600720,6.8900,6.8900,6.7500,6.8000,6.8100,8039541,54793153.0000
2019-01-22,sh.600720,6.8000,6.8100,6.6300,6.6500,6.8000,6779918,45449730.0000
2019-01-23,sh.600720,6.6400,6.7000,6.6100,6.6800,6.6500,3636629,24237132.0000
2019-01-24,sh.600720,6.7000,6.7100,6.6200,6.6800,6.6800,5094224,33940400.0000
2019-01-25,sh.600720,6.6600,6.7600,6.6600,6.6900,6.6800,6123776,41070148.0000
2019-01-28,sh.600720,6.7000,6.7800,6.6500,6.6500,6.6900,7816885,52497211.0000
2019-01-29,sh.600720,6.6700,6.7900,6.5600,6.7800,6.6500,11391763,76714845.0000
2019-01-30,sh.600720,6.7000,6.8000,6.6200,6.6700,6.7800,7149853,47885590.0000
2019-01-31,sh.600720,6.7000,6.8100,6.6700,6.7400,6.6700,8467565,57057942.0000
2019-02-01,sh.600720,6.7400,6.8800,6.7100,6.8800,6.7400,10223053,69634289.0000
2019-02-11,sh.600720,6.8900,7.0200,6.8900,7.0200,6.8800,11606551,80728062.0000
2019-02-12,sh.600720,7.0000,7.0500,6.9200,6.9900,7.0200,12648665,88290412.0000
2019-02-13,sh.600720,6.9900,7.0800,6.9400,7.0600,6.9900,17321840,121580971.0000
2019-02-14,sh.600720,7.0300,7.1200,7.0000,7.0400,7.0600,14013979,98785838.0000
2019-02-15,sh.600720,7.0200,7.0600,6.9200,6.9300,7.0400,10696610,74563244.0000
2019-02-18,sh.600720,6.9300,7.1400,6.9300,7.1200,6.9300,20140983,142228687.0000
2019-02-19,sh.600720,7.1500,7.3200,7.0800,7.3000,7.1200,25355594,181779176.0000
2019-02-20,sh.600720,7.3000,7.3000,7.1800,7.2200,7.3000,15158775,109489043.0000
2019-02-21,sh.600720,7.2200,7.3300,7.1600,7.1700,7.2200,15746694,113839345.0000
2019-02-22,sh.600720,7.1600,7.2400,7.1200,7.2100,7.1700,12477859,89475120.0000
2019-02-25,sh.600720,7.2500,7.5300,7.1700,7.5100,7.2100,26651951,196721138.0000
2019-02-26,sh.600720,7.4800,7.8300,7.4100,7.6200,7.5100,31274187,238175991.0000
2019-02-27,sh.600720,7.5800,7.6600,7.4700,7.5400,7.6200,18176924,137730878.0000
2019-02-28,sh.600720,7.5200,7.6900,7.5000,7.6100,7.5400,15668353,119049089.0000
2019-03-01,sh.600720,7.6200,8.3600,7.6200,8.1500,7.6100,49890989,402436387.0000
2019-03-04,sh.600720,8.2300,8.3700,8.0900,8.1800,8.1500,42955448,353588585.0000
2019-03-05,sh.600720,8.2000,8.2200,8.0500,8.2000,8.1800,22062953,179400121.0000
2019-03-06,sh.600720,8.2000,8.3100,8.0800,8.2400,8.2000,27512099,224949671.0000
2019-03-07,sh.600720,8.1700,8.2200,8.0500,8.1500,8.2400,31601458,256619382.0000
2019-03-08,sh.600720,8.0400,8.0400,7.5900,7.5900,8.1500,28894439,227156190.0000
2019-03-11,sh.600720,7.5500,7.8100,7.5500,7.7900,7.5900,24714389,189514247.0000
2019-03-12,sh.600720,7.8100,7.9300,7.6900,7.8400,7.7900,25042380,196248303.0000
2019-03-13,sh.600720,7.8300,7.8600,7.6600,7.7900,7.8400,21078824,163585914.0000
2019-03-14,sh.600720,7.8000,8.5700,7.8000,8.5700,7.7900,112091375,949861741.0000
2019-03-15,sh.600720,8.8600,8.8600,8.3700,8.4400,8.5700,98043665,839811237.0000
2019-03-18,sh.600720,8.3700,8.8800,8.3100,8.7400,8.4400,84407940,730055453.0000
2019-03-19,sh.600720,8.6600,9.1700,8.5100,9.0700,8.7400,74449987,655940679.0000
2019-03-20,sh.600720,8.9200,9.5300,8.7600,9.1600,9.0700,96533733,880651070.0000
2019-03-21,sh.600720,9.3000,9.4600,9.0200,9.0200,9.1600,67721605,620455810.0000
2019-03-22,sh.600720,8.9600,8.9800,8.6600,8.7800,9.0200,45100170,395190016.0000
2019-03-25,sh.600720,8.6300,8.8400,8.6000,8.6300,8.7800,34927160,304519918.0000
2019-03-26,sh.600720,8.6800,8.7500,8.4600,8.5000,8.6300,27691363,237674898.0000
2019-03-27,sh.600720,8.5600,8.8900,8.4100,8.8800,8.5000,37821539,327938987.0000
2019-03-28,sh.600720,8.7200,8.8700,8.4900,8.5200,8.8800,27481979,238961256.0000
2019-03-29,sh.600720,8.5400,8.7500,8.3600,8.7200,8.5200,29821160,256321326.0000
2019-04-01,sh.600720,8.7800,9.1000,8.7800,8.9800,8.7200,53885988,483178878.0000
2019-04-02,sh.600720,9.0000,9.1800,8.9200,9.0700,8.9800,47463310,430624240.0000
2019-04-03,sh.600720,9.0200,9.3000,8.9500,9.2500,9.0700,43256843,394321402.0000
2019-04-04,sh.600720,9.3000,9.5800,9.1000,9.1600,9.2500,60655738,565319831.0000
2019-04-08,sh.600720,9.2600,9.6700,9.1400,9.6700,9.1600,65532138,614771007.0000
2019-04-09,sh.600720,9.7000,9.7700,9.3300,9.4700,9.6700,53787848,512396058.0000
2019-04-10,sh.600720,9.5300,9.7000,9.2900,9.3100,9.4700,42832980,405627258.0000
2019-04-11,sh.600720,9.3100,9.3500,8.9900,9.0400,9.3100,30916162,281310357.0000
2019-04-12,sh.600720,9.0500,9.0800,8.8300,9.0500,9.0400,24407533,218935675.0000
2019-04-15,sh.600720,9.1500,9.3500,9.0000,9.0000,9.0500,25922577,237622205.0000
2019-04-16,sh.600720,8.8900,9.2200,8.8300,9.1900,9.0000,20496173,186097093.0000
2019-04-17,sh.600720,9.2000,9.2500,9.0800,9.1700,9.1900,20769323,190605168.0000
2019-04-18,sh.600720,9.2200,9.4400,9.1100,9.3200,9.1700,40034712,372489794.0000
2019-04-19,sh.600720,9.2900,9.3200,9.0200,9.2300,9.3200,25507104,233493608.0000
2019-04-22,sh.600720,9.0700,9.1800,8.8000,8.8300,9.2300,37369376,334056312.0000
2019-04-23,sh.600720,8.8200,8.8200,8.4600,8.5000,8.8300,24219316,208338998.0000
2019-04-24,sh.600720,8.5500,8.6000,8.4500,8.5700,8.5000,14243182,121247607.0000
2019-04-25,sh.600720,8.5200,8.5600,8.1000,8.1300,8.5700,23911922,198669484.0000
2019-04-26,sh.600720,8.1200,8.1600,7.9900,7.9900,8.1300,14146151,114018049.0000
2019-04-29,sh.600720,7.9900,8.0600,7.7600,7.8400,7.9900,15839157,124978606.0000
2019-04-30,sh.600720,7.8400,7.9700,7.8000,7.8800,7.8400,10716180,84477687.0000
2019-05-06,sh.600720,7.6800,7.7000,7.1600,7.2800,7.8800,21541332,161121295.0000
2019-05-07,sh.600720,7.3300,7.5100,7.3200,7.4700,7.2800,15674651,116238478.0000
2019-05-08,sh.600720,7.3000,7.6200,7.2600,7.4900,7.4700,12483767,93467260.0000
2019-05-09,sh.600720,7.4200,7.7900,7.4100,7.6800,7.4900,17106602,131628159.0000
2019-05-10,sh.600720,7.7200,7.9700,7.6800,7.9500,7.6800,15242067,119305793.0000
2019-05-13,sh.600720,7.8900,8.0900,7.8400,7.9800,7.9500,10857382,86808350.0000
2019-05-14,sh.600720,7.8700,8.0000,7.8100,7.8700,7.9800,7082446,56101110.0000
2019-05-15,sh.600720,8.0000,8.0700,7.9200,8.0200,7.8700,7939120,63526031.0000
2019-05-16,sh.600720,8.1000,8.4400,8.0600,8.2800,8.0200,19408293,160724009.0000
2019-05-17,sh.600720,8.2400,8.3400,8.1100,8.1200,8.2800,14427541,118718570.0000
2019-05-20,sh.600720,8.2200,8.2600,8.0300,8.2300,8.1200,9025460,73713033.0000
2019-05-21,sh.600720,8.2200,8.6800,8.1700,8.5700,8.2300,19656832,167357462.0000
2019-05-22,sh.600720,8.5500,8.6000,8.4300,8.5400,8.5700,8192023,69665213.0000
2019-05-23,sh.600720,8.5100,8.5800,8.4000,8.4100,8.5400,7439456,63075971.0000
2019-05-24,sh.600720,8.4000,8.5100,8.2700,8.3500,8.4100,8286732,69681223.0000
2019-05-27,sh.600720,8.4600,8.5800,8.3700,8.5700,8.3500,11007937,93694271.0000
2019-05-28,sh.600720,8.6700,8.6700,8.4400,8.4600,8.5700,9702081,83140226.0000
2019-05-29,sh.600720,8.4300,8.7400,8.4000,8.6500,8.4600,10581894,91543677.0000
2019-05-30,sh.600720,8.6500,8.6500,8.4400,8.5000,8.6500,9053678,77151892.0000
2019-05-31,sh.600720,8.1500,8.3000,7.9600,8.0800,8.2000,11744781,95131805.0000
2019-06-03,sh.600720,8.0100,8.2500,8.0100,8.1500,8.0800,9236625,75425016.0000
2019-06-04,sh.600720,8.1600,8.1900,7.9200,7.9300,8.1500,7630960,61150064.0000
2019-06-05,sh.600720,8.0000,8.1800,8.0000,8.0900,7.9300,7189310,58303553.0000
2019-06-06,sh.600720,8.1500,8.1500,7.8300,7.8900,8.0900,8025000,63907408.0000
2019-06-10,sh.600720,7.9000,8.1000,7.8600,8.0300,7.8900,5732445,45970850.0000
2019-06-11,sh.600720,8.2900,8.8300,8.2900,8.8300,8.0300,29317853,255988246.0000
2019-06-12,sh.600720,9.1600,9.1700,8.8200,8.9000,8.8300,64203457,578859198.0000
2019-06-13,sh.600720,8.7800,8.8800,8.5600,8.7000,8.9000,35564701,308668318.0000
2019-06-14,sh.600720,8.6900,8.8800,8.5000,8.5000,8.7000,27449531,238113783.0000
2019-06-17,sh.600720,8.5400,8.6800,8.4700,8.6300,8.5000,13685336,117463646.0000
2019-06-18,sh.600720,8.7000,8.7200,8.4100,8.4800,8.6300,15269789,130178884.0000
2019-06-19,sh.600720,8.6500,8.7000,8.5300,8.5700,8.4800,13945970,120027511.0000
2019-06-20,sh.600720,8.5800,8.7800,8.5200,8.7700,8.5700,20934282,182342074.0000
2019-06-21,sh.600720,8.7200,8.8000,8.6000,8.7200,8.7700,19156960,166567237.0000
2019-06-24,sh.600720,8.6100,8.6900,8.5500,8.5900,8.7200,11001858,94731328.0000
2019-06-25,sh.600720,8.6000,8.6200,8.4200,8.5000,8.5900,9784250,83187929.0000
2019-06-26,sh.600720,8.4800,8.6000,8.4500,8.5000,8.5000,6877463,58742687.0000
2019-06-27,sh.600720,8.4900,8.6200,8.4600,8.6200,8.5000,7982241,68412846.0000
2019-06-28,sh.600720,8.6500,8.9300,8.5500,8.7900,8.6200,26359241,231451571.0000
2019-07-01,sh.600720,8.9300,8.9700,8.7000,8.8600,8.7900,21556788,191109087.0000
2019-07-02,sh.600720,8.8100,9.0300,8.8000,8.9100,8.8600,15005103,133941222.0000
2019-07-03,sh.600720,8.8600,8.9300,8.6200,8.7000,8.9100,14222400,124498422.0000
2019-07-04,sh.600720,8.7000,9.1400,8.7000,8.9300,8.7000,28414277,255473131.0000
2019-07-05,sh.600720,8.9400,9.0500,8.8900,9.0000,8.9300,15046264,135379304.0000
2019-07-08,sh.600720,9.1300,9.1400,8.6900,8.8300,9.0000,16671509,148243288.0000
2019-07-09,sh.600720,8.7800,8.9700,8.7400,8.9000,8.8300,10125168,89579147.0000
2019-07-10,sh.600720,9.1800,9.2000,8.5800,8.6700,8.9000,33989390,301810020.0000
2019-07-11,sh.600720,8.6200,9.0700,8.6200,8.8900,8.6700,35813605,319648692.0000
2019-07-12,sh.600720,9.0500,9.0500,8.8700,8.9000,8.8900,17375699,155237747.0000
2019-07-15,sh.600720,8.9700,9.3000,8.8800,9.2800,8.9000,34645794,316719492.0000
2019-07-16,sh.600720,9.2400,9.4300,9.1600,9.2800,9.2800,26140183,242871702.0000
2019-07-17,sh.600720,9.3100,9.3600,9.2000,9.2900,9.2800,18232761,169066277.0000
2019-07-18,sh.600720,9.2300,9.2600,9.0600,9.0900,9.2900,17639510,161222087.0000
2019-07-19,sh.600720,9.1200,9.2100,8.9700,9.0100,9.0900,17316888,157419302.0000
2019-07-22,sh.600720,9.0500,9.0600,8.7700,8.8000,9.0100,16128985,143662790.0000
