date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600741,18.4500,18.6000,18.0800,18.2500,18.4000,6817541,124434316.0000
2019-01-03,sh.600741,17.8000,18.2000,17.2200,17.3000,18.2500,11666819,204329167.0000
2019-01-04,sh.600741,17.1800,17.6500,17.0100,17.4700,17.3000,9196389,159223241.0000
2019-01-07,sh.600741,17.8100,17.9200,17.5200,17.7600,17.4700,11878132,210230877.0000
2019-01-08,sh.600741,17.7600,17.8900,17.6500,17.8800,17.7600,5426541,96511055.0000
2019-01-09,sh.600741,18.2800,19.1700,18.2800,18.8300,17.8800,22633446,426364880.0000
2019-01-10,sh.600741,18.6900,18.9400,18.4400,18.7600,18.8300,12904033,241331278.0000
2019-01-11,sh.600741,18.8900,18.9300,18.4800,18.7600,18.7600,6715744,125974186.0000
2019-01-14,sh.600741,18.7600,18.8600,18.5000,18.5300,18.7600,5077619,94585905.0000
2019-01-15,sh.600741,18.6800,19.0600,18.5300,19.0000,18.5300,7369417,138631818.0000
2019-01-16,sh.600741,18.9000,19.3100,18.9000,19.2600,19.0000,8282159,159008659.0000
2019-01-17,sh.600741,19.2100,19.5800,19.1200,19.3100,19.2600,7986483,154746494.0000
2019-01-18,sh.600741,19.3900,19.8000,19.3800,19.7700,19.3100,9148740,179407559.0000
2019-01-21,sh.600741,19.5700,20.1000,19.5700,19.7800,19.7700,7734584,153544494.0000
2019-01-22,sh.600741,19.8400,19.8400,19.3600,19.5200,19.7800,8347197,163484916.0000
2019-01-23,sh.600741,19.6900,20.2500,19.6000,19.9000,19.5200,9116290,182392653.0000
2019-01-24,sh.600741,20.0300,20.4600,19.8500,20.2400,19.9000,7086560,143085532.0000
2019-01-25,sh.600741,20.4500,20.6200,20.2500,20.4500,20.2400,7318611,149489381.0000
2019-01-28,sh.600741,20.5800,21.0500,20.5100,20.7200,20.4500,9195781,191553270.0000
2019-01-29,sh.600741,20.9900,21.0600,20.0100,20.2900,20.7200,9519286,193150213.0000
