date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600745,21.4500,21.4800,20.6500,20.9300,21.1300,4212363,88421409.0000
2019-01-03,sh.600745,21.1300,21.1300,19.0000,19.2100,20.9300,9753983,191681933.0000
2019-01-04,sh.600745,19.4700,20.6200,19.4700,20.5800,19.2100,8264902,165301953.0000
2019-01-07,sh.600745,21.0000,21.2800,20.3000,21.0000,20.5800,5717555,119357032.0000
2019-01-08,sh.600745,20.8700,21.1900,20.5000,20.5400,21.0000,4058300,84160232.0000
2019-01-09,sh.600745,20.9200,22.0400,20.4600,21.2000,20.5400,6774509,143897417.0000
2019-01-10,sh.600745,20.9600,21.1200,20.3100,20.5900,21.2000,4427937,91926416.0000
2019-01-11,sh.600745,20.6300,21.1900,20.3500,20.4700,20.5900,3281643,67909392.0000
2019-01-14,sh.600745,20.4400,20.4400,19.7000,19.8800,20.4700,2932582,58674631.0000
2019-01-15,sh.600745,20.0100,20.0100,19.3500,19.7600,19.8800,4178030,82244207.0000
2019-01-16,sh.600745,19.8600,20.0500,19.3900,19.8100,19.7600,5298345,104754233.0000
2019-01-17,sh.600745,19.8100,19.8300,19.2300,19.2800,19.8100,3530261,68910957.0000
2019-01-18,sh.600745,19.4400,19.7600,19.2200,19.3000,19.2800,4453077,86645488.0000
2019-01-21,sh.600745,19.1600,20.1600,19.1600,19.7900,19.3000,5808546,115297727.0000
2019-01-22,sh.600745,20.0800,20.0800,18.9800,19.1600,19.7900,4929646,95763585.0000
2019-01-23,sh.600745,19.1500,19.1500,17.7100,18.4300,19.1600,8040902,147507694.0000
2019-01-24,sh.600745,18.5800,20.2700,17.9300,20.2700,18.4300,12559245,245724624.0000
2019-01-25,sh.600745,20.3900,22.2200,20.3800,20.6400,20.2700,14719871,313525158.0000
2019-01-28,sh.600745,20.4300,22.1800,20.4300,21.5000,20.6400,9951027,213973427.0000
2019-01-29,sh.600745,21.6500,21.7000,20.5500,20.8800,21.5000,6328324,133412279.0000
2019-01-30,sh.600745,20.9500,21.5000,20.3800,20.8000,20.8800,3692742,77097479.0000
2019-01-31,sh.600745,20.9500,21.7000,20.4000,20.5400,20.8000,6034902,126853578.0000
2019-02-01,sh.600745,21.1000,22.5900,21.0400,22.5900,20.5400,7500186,164418119.0000
