date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600756,15.2500,15.2500,14.8500,15.1100,15.2900,9240764,138795249.0000
2019-01-03,sh.600756,15.0100,15.2700,14.9800,15.0100,15.1100,5662841,85535485.0000
2019-01-04,sh.600756,14.8200,15.6700,14.7500,15.4600,15.0100,9924215,151765942.0000
2019-01-07,sh.600756,15.5100,15.8500,15.3500,15.7400,15.4600,10207608,159484669.0000
2019-01-08,sh.600756,15.6700,15.7600,15.4500,15.5800,15.7400,5908073,92229636.0000
2019-01-09,sh.600756,15.5700,15.9500,15.5300,15.5800,15.5800,8088984,127177059.0000
2019-01-10,sh.600756,15.5200,15.6800,15.3700,15.3700,15.5800,5574588,86520501.0000
2019-01-11,sh.600756,15.4400,15.6500,15.3300,15.4700,15.3700,5100169,79062979.0000
2019-01-14,sh.600756,15.5700,15.5700,15.3000,15.3300,15.4700,4024255,62011551.0000
2019-01-15,sh.600756,15.3500,15.6900,15.2200,15.6300,15.3300,8275573,128761490.0000
2019-01-16,sh.600756,15.6400,16.7700,15.5600,16.0400,15.6300,21397577,347121258.0000
2019-01-17,sh.600756,16.0000,16.0600,15.7000,15.8600,16.0400,10279207,163165568.0000
2019-01-18,sh.600756,15.7800,15.9700,15.6500,15.8800,15.8600,7413264,117373263.0000
2019-01-21,sh.600756,15.8300,16.1200,15.8000,15.9300,15.8800,6810287,108634720.0000
2019-01-22,sh.600756,15.9000,15.9400,15.5100,15.5900,15.9300,6239425,97895188.0000
2019-01-23,sh.600756,15.5000,15.6500,15.4400,15.5300,15.5900,3631599,56355177.0000
2019-01-24,sh.600756,15.5900,16.0300,15.5000,15.8600,15.5300,10607845,168210355.0000
2019-01-25,sh.600756,15.8200,16.0200,15.6900,15.7100,15.8600,6784426,107508245.0000
2019-01-28,sh.600756,15.8800,15.9700,15.6000,15.6400,15.7100,6194390,97800666.0000
2019-01-29,sh.600756,15.6000,15.6000,15.0100,15.3900,15.6400,6871704,105219350.0000
2019-01-30,sh.600756,15.3700,15.5600,15.1700,15.2400,15.3900,5112136,78472437.0000
2019-01-31,sh.600756,16.5500,16.7600,15.9500,16.2500,15.2400,33623892,549420490.0000
2019-02-01,sh.600756,16.3500,16.6600,16.0800,16.6500,16.2500,23139571,378949408.0000
2019-02-11,sh.600756,16.6500,17.1500,16.4800,17.0000,16.6500,24688385,415435620.0000
2019-02-12,sh.600756,16.8800,17.0400,16.7400,16.9200,17.0000,16056105,271164936.0000
2019-02-13,sh.600756,16.9000,17.8300,16.8500,17.5200,16.9200,28128375,490706129.0000
2019-02-14,sh.600756,17.3900,17.6700,17.2600,17.4300,17.5200,16855945,294131054.0000
2019-02-15,sh.600756,17.4200,17.8600,17.2800,17.2900,17.4300,16029147,281179190.0000
2019-02-18,sh.600756,17.3800,18.1800,17.3800,18.1000,17.2900,22548327,402697024.0000
2019-02-19,sh.600756,18.0500,19.4400,17.9100,18.7100,18.1000,35274526,657992610.0000
2019-02-20,sh.600756,18.4500,18.6000,18.1000,18.4000,18.7100,15748070,289273212.0000
2019-02-21,sh.600756,18.4500,18.7400,17.9100,18.1000,18.4000,22658214,416963308.0000
2019-02-22,sh.600756,18.0500,18.7000,17.9500,18.6500,18.1000,19749167,363152023.0000
2019-02-25,sh.600756,19.0900,20.0200,18.7000,19.7900,18.6500,36584350,708690607.0000
2019-02-26,sh.600756,19.6800,19.8500,19.1000,19.2000,19.7900,29879619,582092484.0000
2019-02-27,sh.600756,19.2000,20.1000,19.0600,19.3900,19.2000,23888581,467721643.0000
2019-02-28,sh.600756,19.3100,19.4900,18.9000,19.1600,19.3900,13392856,256562040.0000
2019-03-01,sh.600756,19.3000,19.3400,18.8800,19.1800,19.1600,10328378,197070351.0000
2019-03-04,sh.600756,21.1000,21.1000,20.1700,21.1000,19.1800,41146773,857275470.0000
