date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600809,35.4400,36.3000,33.9200,34.2000,35.0500,8216189,287075478.0000
2019-01-03,sh.600809,34.0500,34.3600,32.6800,33.0800,34.2000,8063946,268472109.0000
2019-01-04,sh.600809,32.6400,34.4800,32.6400,34.1100,33.0800,8216423,277376005.0000
2019-01-07,sh.600809,34.1100,34.5300,33.6200,33.8600,34.1100,8212526,278509921.0000
2019-01-08,sh.600809,33.6000,34.2000,33.2100,33.8300,33.8600,7455509,251892562.0000
2019-01-09,sh.600809,34.0000,35.7700,33.6300,35.0100,33.8300,12150553,424805982.0000
2019-01-10,sh.600809,34.8000,34.8100,34.2000,34.6800,35.0100,7169042,247384387.0000
2019-01-11,sh.600809,34.6800,35.3700,34.0100,35.3700,34.6800,7285215,253681873.0000
2019-01-14,sh.600809,35.1800,35.3800,34.2000,34.3700,35.3700,6401234,221357525.0000
2019-01-15,sh.600809,34.3100,37.8100,34.1400,37.8100,34.3700,16648987,596150163.0000
2019-01-16,sh.600809,37.5000,37.6000,36.6100,36.8900,37.8100,13138450,486804989.0000
2019-01-17,sh.600809,36.7100,37.5500,36.1800,36.8800,36.8900,9741348,360256740.0000
2019-01-18,sh.600809,36.8300,38.2600,36.8300,37.6000,36.8800,12479870,471132106.0000
2019-01-21,sh.600809,37.7400,38.9900,37.7400,38.2200,37.6000,10316646,396452671.0000
2019-01-22,sh.600809,38.1000,38.1000,36.8700,37.0900,38.2200,8397786,312138091.0000
2019-01-23,sh.600809,36.8100,37.4100,36.7100,37.0000,37.0900,4538090,168346369.0000
2019-01-24,sh.600809,37.0500,38.0000,36.9500,38.0000,37.0000,7464781,280451674.0000
2019-01-25,sh.600809,38.0900,38.6000,37.7000,38.1400,38.0000,8118627,310363074.0000
2019-01-28,sh.600809,38.4000,39.8900,38.1000,38.4400,38.1400,9180977,357974125.0000
2019-01-29,sh.600809,38.5800,40.0100,37.4000,39.9800,38.4400,12560170,494052201.0000
2019-01-30,sh.600809,39.5000,40.6000,39.1100,39.4300,39.9800,8639311,343911080.0000
2019-01-31,sh.600809,39.4600,40.3000,38.8200,39.9400,39.4300,8527524,337959883.0000
