date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000970,7.4000,7.5600,7.3200,7.4800,7.3300,7243560,53983483.3600
2019-01-03,sz.000970,7.4300,7.6400,7.4200,7.4700,7.4800,5681295,42763120.0200
2019-01-04,sz.000970,7.3700,7.7800,7.3300,7.7600,7.4700,9936705,75561525.5100
2019-01-07,sz.000970,7.8100,8.0600,7.7500,8.0000,7.7600,13723171,108584068.9600
2019-01-08,sz.000970,8.0300,8.2400,7.9200,7.9400,8.0000,17460311,140576453.6800
2019-01-09,sz.000970,7.9800,8.0900,7.9200,7.9300,7.9400,11158112,89506812.8100
2019-01-10,sz.000970,7.9500,8.0400,7.8800,7.9100,7.9300,6453156,51360434.4800
2019-01-11,sz.000970,7.9100,8.0700,7.9000,8.0400,7.9100,7926336,63462964.5300
2019-01-14,sz.000970,8.0600,8.1700,8.0000,8.0900,8.0400,8668989,70065223.3100
2019-01-15,sz.000970,8.0500,8.1300,7.9700,8.1000,8.0900,7405925,59675710.1400
2019-01-16,sz.000970,8.0800,8.1300,7.9500,7.9800,8.1000,5295099,42479278.5000
2019-01-17,sz.000970,7.9800,8.0800,7.9000,7.9300,7.9800,9560253,76474325.6700
2019-01-18,sz.000970,7.9400,8.1300,7.9400,8.1100,7.9300,11177424,90238253.6800
2019-01-21,sz.000970,8.1400,8.1400,8.0200,8.0500,8.1100,8220390,66505754.6300
2019-01-22,sz.000970,8.0500,8.1100,7.9000,7.9300,8.0500,8502027,67950906.3500
2019-01-23,sz.000970,7.9000,8.0500,7.8500,7.9800,7.9300,7042458,56004291.8200
2019-01-24,sz.000970,8.0000,8.0600,7.8900,8.0300,7.9800,7389302,59023546.0000
2019-01-25,sz.000970,8.0200,8.0300,7.8000,7.8000,8.0300,7450500,59163680.0900
2019-01-28,sz.000970,7.8800,8.0100,7.8700,7.9100,7.8000,9194965,73023980.4400
2019-01-29,sz.000970,7.8500,7.9200,7.5300,7.6200,7.9100,11045170,84789198.7200
2019-01-30,sz.000970,7.6500,7.7200,7.5500,7.5600,7.6200,4526160,34578158.3000
2019-01-31,sz.000970,7.5500,7.6400,7.3400,7.4400,7.5600,7585239,56861643.3800
2019-02-01,sz.000970,7.4100,7.7400,7.4100,7.6900,7.4400,7728906,58811265.5700
2019-02-11,sz.000970,7.6900,8.0500,7.6900,8.0000,7.6900,9991622,78987774.1700
2019-02-12,sz.000970,8.0000,8.1300,7.9700,8.0500,8.0000,10930277,87993038.6700
2019-02-13,sz.000970,8.0500,8.3600,8.0200,8.2700,8.0500,23069340,190028134.7600
