date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600821,3.9900,4.0700,3.9900,4.0100,3.9900,1750101,7055758.0000
2019-01-03,sh.600821,4.0100,4.0700,3.9800,4.0100,4.0100,1658902,6668683.0000
2019-01-04,sh.600821,3.9900,4.1000,3.9700,4.1000,4.0100,2481562,10083189.0000
2019-01-07,sh.600821,4.1700,4.2000,4.1000,4.2000,4.1000,2760548,11489857.0000
2019-01-08,sh.600821,4.2000,4.2600,4.1500,4.1700,4.2000,2231400,9340630.0000
2019-01-09,sh.600821,4.1500,4.3500,4.1500,4.2400,4.1700,6321500,26783697.0000
2019-01-10,sh.600821,4.2100,4.2500,4.1500,4.1600,4.2400,4053510,17004826.0000
2019-01-11,sh.600821,4.1600,4.2000,4.1400,4.2000,4.1600,2120112,8836569.0000
2019-01-14,sh.600821,4.1700,4.2100,4.1000,4.1100,4.2000,3954100,16390746.0000
2019-01-15,sh.600821,4.1200,4.1700,4.1000,4.1700,4.1100,2304100,9534499.0000
2019-01-16,sh.600821,4.1800,4.5900,4.1500,4.5900,4.1700,14309489,63214755.0000
2019-01-17,sh.600821,4.6000,4.6400,4.4000,4.4200,4.5900,16543723,74592467.0000
2019-01-18,sh.600821,4.4400,4.5500,4.2700,4.4000,4.4200,12302569,53981280.0000
2019-01-21,sh.600821,4.3700,4.3700,4.2800,4.3300,4.4000,8111296,34997570.0000
2019-01-22,sh.600821,4.3000,4.3300,4.2400,4.3000,4.3300,4905558,20965340.0000
2019-01-23,sh.600821,4.3000,4.3300,4.2600,4.3300,4.3000,4428702,19061325.0000
2019-01-24,sh.600821,4.3100,4.4800,4.3000,4.3800,4.3300,7722831,34093904.0000
2019-01-25,sh.600821,4.3300,4.5900,4.3300,4.4000,4.3800,8488500,37848555.0000
2019-01-28,sh.600821,4.4000,4.4900,4.2400,4.2900,4.4000,7037032,30454099.0000
2019-01-29,sh.600821,4.2300,4.3800,4.0800,4.2400,4.2900,6145701,25922074.0000
2019-01-30,sh.600821,4.1200,4.3300,4.0800,4.0900,4.2400,4590001,19156321.0000
2019-01-31,sh.600821,3.8000,3.9500,3.6800,3.7500,4.0900,7718498,29471540.0000
2019-02-01,sh.600821,3.7800,3.9400,3.7600,3.9000,3.7500,2832700,10955375.0000
2019-02-11,sh.600821,3.9200,3.9700,3.9000,3.9500,3.9000,2609710,10275829.0000
2019-02-12,sh.600821,3.9600,4.0500,3.9400,4.0300,3.9500,3019210,12098916.0000
2019-02-13,sh.600821,4.0300,4.0900,3.9700,4.0700,4.0300,3089000,12512901.0000
2019-02-14,sh.600821,4.0700,4.1600,4.0600,4.0800,4.0700,2911154,11911768.0000
2019-02-15,sh.600821,4.0600,4.2000,4.0300,4.1400,4.0800,5460165,22515218.0000
2019-02-18,sh.600821,4.1300,4.2500,4.1200,4.2300,4.1400,5576816,23337920.0000
2019-02-19,sh.600821,4.2400,4.2600,4.1600,4.2200,4.2300,4427806,18661168.0000
2019-02-20,sh.600821,4.2200,4.2300,4.1700,4.2200,4.2200,3808900,16024411.0000
2019-02-21,sh.600821,4.2000,4.2700,4.1800,4.2000,4.2200,5486501,23196106.0000
2019-02-22,sh.600821,4.1900,4.2700,4.1700,4.2700,4.2000,4848549,20487926.0000
2019-02-25,sh.600821,4.3000,4.4300,4.2500,4.4200,4.2700,9280517,40556171.0000
2019-02-26,sh.600821,4.4600,4.5100,4.3500,4.4200,4.4200,10756289,47576696.0000
2019-02-27,sh.600821,4.4000,4.5400,4.3800,4.4700,4.4200,9598817,42931799.0000
2019-02-28,sh.600821,4.4600,4.5100,4.4100,4.4700,4.4700,5906697,26322955.0000
2019-03-01,sh.600821,4.4600,4.5200,4.4100,4.5100,4.4700,6490873,28915487.0000
2019-03-04,sh.600821,4.5000,4.6300,4.4800,4.5400,4.5100,9067966,41430204.0000
2019-03-05,sh.600821,4.5300,4.8800,4.5000,4.7500,4.5400,13414580,63049916.0000
2019-03-06,sh.600821,4.7300,5.1100,4.7000,4.8900,4.7500,13106246,64064647.0000
2019-03-07,sh.600821,4.8300,5.1800,4.8200,5.0700,4.8900,13562926,67991953.0000
2019-03-08,sh.600821,4.9800,5.3200,4.8600,4.9200,5.0700,15001696,76696072.0000
2019-03-11,sh.600821,4.9700,5.0700,4.8300,5.0500,4.9200,7937633,39545424.0000
2019-03-12,sh.600821,5.0700,5.1800,4.9900,5.1300,5.0500,9813488,49976323.0000
2019-03-13,sh.600821,5.0900,5.3000,5.0000,5.0700,5.1300,10403744,53867451.0000
2019-03-14,sh.600821,4.9900,5.1400,4.9000,4.9400,5.0700,8716060,43535672.0000
2019-03-15,sh.600821,5.0900,5.4000,5.0100,5.1700,4.9400,23255635,120888966.0000
2019-03-18,sh.600821,5.0800,5.1200,4.8100,5.0500,5.1700,11192764,55848224.0000
2019-03-19,sh.600821,4.9800,5.0800,4.9700,5.0100,5.0500,6301953,31623204.0000
2019-03-20,sh.600821,5.0000,5.0000,4.8500,4.9700,5.0100,5669856,28055149.0000
2019-03-21,sh.600821,4.9700,5.3800,4.9400,5.1400,4.9700,26499029,137823885.0000
2019-03-22,sh.600821,5.3700,5.5400,5.0700,5.1000,5.1400,31302824,163295274.0000
2019-03-25,sh.600821,4.9800,5.0000,4.7800,4.8000,5.1000,23204387,113746164.0000
2019-03-26,sh.600821,4.8700,4.8700,4.6800,4.7000,4.8000,7914737,37699045.0000
2019-03-27,sh.600821,4.7100,4.7500,4.6300,4.7200,4.7000,5889001,27595669.0000
2019-03-28,sh.600821,4.7100,4.7400,4.6300,4.6400,4.7200,5124320,23988706.0000
2019-03-29,sh.600821,4.6500,4.7600,4.5800,4.7500,4.6400,6946918,32645307.0000
2019-04-01,sh.600821,4.7600,5.0900,4.7600,4.8800,4.7500,25700290,126760643.0000
2019-04-02,sh.600821,4.8900,4.9700,4.8000,4.8500,4.8800,18232358,89035409.0000
2019-04-03,sh.600821,4.8100,4.9600,4.8100,4.9300,4.8500,10712181,52363020.0000
2019-04-04,sh.600821,4.9300,4.9700,4.8600,4.9200,4.9300,7147546,35083708.0000
