date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600857,8.3100,8.3600,8.2400,8.3500,8.3100,297351,2471416.0000
2019-01-03,sh.600857,8.2600,8.3500,8.1100,8.1500,8.3500,282260,2320537.0000
2019-01-04,sh.600857,8.1800,8.4000,8.0700,8.3600,8.1500,418200,3465704.0000
2019-01-07,sh.600857,8.3600,8.4900,8.3500,8.4200,8.3600,983919,8276233.0000
2019-01-08,sh.600857,8.4200,8.5700,8.2900,8.3800,8.4200,1151498,9701041.0000
2019-01-09,sh.600857,8.3800,8.6700,8.3800,8.5800,8.3800,1858024,15907849.0000
2019-01-10,sh.600857,8.6300,8.6500,8.5200,8.5300,8.5800,696000,5973410.0000
2019-01-11,sh.600857,8.5000,8.6900,8.5000,8.5900,8.5300,335181,2866426.0000
2019-01-14,sh.600857,8.6300,8.8000,8.5700,8.6800,8.5900,831110,7233887.0000
2019-01-15,sh.600857,8.7000,8.7600,8.5700,8.6900,8.6800,417618,3611968.0000
2019-01-16,sh.600857,8.9600,8.9600,8.7000,8.7300,8.6900,767976,6774325.0000
2019-01-17,sh.600857,8.6300,8.7100,8.5300,8.6000,8.7300,646557,5579423.0000
2019-01-18,sh.600857,8.5300,8.6900,8.5300,8.6400,8.6000,316492,2730750.0000
2019-01-21,sh.600857,8.5600,8.8000,8.5600,8.6800,8.6400,342185,2983082.0000
2019-01-22,sh.600857,8.6200,8.9000,8.6100,8.7700,8.6800,560712,4929845.0000
2019-01-23,sh.600857,8.8800,8.8800,8.6600,8.7700,8.7700,618660,5410421.0000
2019-01-24,sh.600857,8.7900,8.8100,8.6900,8.7700,8.7700,391720,3423966.0000
2019-01-25,sh.600857,8.6900,8.7900,8.6700,8.6700,8.7700,308900,2693452.0000
2019-01-28,sh.600857,8.6600,8.9800,8.6600,8.9600,8.6700,1184599,10512553.0000
2019-01-29,sh.600857,8.9600,8.9700,8.6100,8.8200,8.9600,1402407,12392534.0000
2019-01-30,sh.600857,8.7000,8.8800,8.6000,8.6000,8.8200,733017,6385472.0000
