date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600864,4.4300,4.5500,4.4100,4.5000,4.4500,37455168,168192163.0000
2019-01-03,sh.600864,4.5000,4.8200,4.4800,4.6300,4.5000,55948426,260741519.0000
2019-01-04,sh.600864,4.5600,5.0900,4.5600,5.0900,4.6300,98140539,482565868.0000
2019-01-07,sh.600864,5.0900,5.1100,4.9100,4.9800,5.0900,79316165,397982727.0000
2019-01-08,sh.600864,4.9600,5.0900,4.8600,4.9500,4.9800,51070648,254022244.0000
2019-01-09,sh.600864,4.9300,5.0500,4.8900,4.9100,4.9500,47088476,233126415.0000
2019-01-10,sh.600864,4.8900,4.9100,4.7300,4.7700,4.9100,33865826,162807263.0000
2019-01-11,sh.600864,4.7800,4.8500,4.7500,4.7800,4.7700,23174694,110936998.0000
2019-01-14,sh.600864,4.8300,4.8400,4.7200,4.7600,4.7800,17695866,84293462.0000
2019-01-15,sh.600864,4.7300,4.9300,4.7300,4.8700,4.7600,32005549,154848337.0000
2019-01-16,sh.600864,4.8600,4.8600,4.7300,4.7400,4.8700,21353800,102065644.0000
2019-01-17,sh.600864,4.7400,4.8000,4.6700,4.6900,4.7400,17020800,80427200.0000
2019-01-18,sh.600864,4.7000,4.7700,4.6600,4.7200,4.6900,16389009,77245206.0000
2019-01-21,sh.600864,4.7200,4.7500,4.5600,4.6100,4.7200,21657800,100946984.0000
2019-01-22,sh.600864,4.6100,4.6100,4.5200,4.5400,4.6100,15050171,68635915.0000
2019-01-23,sh.600864,4.5300,4.5600,4.4300,4.4800,4.5400,15368400,68945548.0000
2019-01-24,sh.600864,4.5100,4.6300,4.4700,4.5500,4.4800,22395618,101970307.0000
2019-01-25,sh.600864,4.5200,4.5600,4.3800,4.3900,4.5500,17716300,79105792.0000
2019-01-28,sh.600864,4.4400,4.4800,4.2500,4.3000,4.3900,15497217,67786369.0000
2019-01-29,sh.600864,4.3000,4.3000,4.1400,4.2200,4.3000,13191358,55576681.0000
2019-01-30,sh.600864,4.1800,4.2400,4.1400,4.1600,4.2200,8383500,35170542.0000
2019-01-31,sh.600864,4.1600,4.2400,4.0800,4.0900,4.1600,15744300,65671786.0000
2019-02-01,sh.600864,4.1700,4.2400,4.1300,4.2400,4.0900,13590871,56949273.0000
2019-02-11,sh.600864,4.2600,4.3500,4.2500,4.3200,4.2400,13306500,57241853.0000
2019-02-12,sh.600864,4.3200,4.5300,4.3100,4.4700,4.3200,24908914,110495744.0000
