date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600877,4.8900,4.8900,4.6700,4.6900,4.7600,5987744,28657123.0000
2019-01-03,sh.600877,4.5800,4.7200,4.4600,4.4600,4.6900,7595823,34569253.0000
2019-01-04,sh.600877,4.4600,4.5300,4.3400,4.4900,4.4600,3277610,14617431.0000
2019-01-07,sh.600877,4.5500,4.7100,4.4900,4.7100,4.4900,5870560,27149113.0000
2019-01-08,sh.600877,4.6900,4.7600,4.6600,4.6600,4.7100,2824802,13289426.0000
2019-01-09,sh.600877,4.7000,4.7300,4.6600,4.6600,4.6600,2198101,10310118.0000
2019-01-10,sh.600877,4.6600,4.6900,4.6000,4.6100,4.6600,1961700,9110860.0000
2019-01-11,sh.600877,4.5900,4.6400,4.5600,4.6300,4.6100,1828490,8409702.0000
2019-01-14,sh.600877,4.6300,4.6600,4.6000,4.6300,4.6300,1862600,8620647.0000
2019-01-15,sh.600877,4.6300,4.6500,4.5800,4.6500,4.6300,1953270,9012157.0000
2019-01-16,sh.600877,4.6500,4.6700,4.6100,4.6200,4.6500,1485501,6882301.0000
2019-01-17,sh.600877,4.6100,4.6500,4.5700,4.5700,4.6200,1391500,6407439.0000
2019-01-18,sh.600877,4.5700,4.6400,4.5100,4.6300,4.5700,2392470,10978582.0000
2019-01-21,sh.600877,4.6500,4.7200,4.5900,4.6000,4.6300,2988001,13897048.0000
2019-01-22,sh.600877,4.6000,4.8300,4.5700,4.8100,4.6000,9534714,45650766.0000
2019-01-23,sh.600877,4.7000,4.7500,4.6400,4.7100,4.8100,5048706,23687920.0000
2019-01-24,sh.600877,4.6600,4.7700,4.6600,4.7000,4.7100,2267611,10736614.0000
2019-01-25,sh.600877,4.6900,4.7800,4.6900,4.7000,4.7000,2684166,12724232.0000
2019-01-28,sh.600877,4.6700,4.7200,4.6700,4.6700,4.7000,1817472,8513570.0000
2019-01-29,sh.600877,4.6700,4.7500,4.6300,4.6700,4.6700,2505901,11709636.0000
2019-01-30,sh.600877,4.6600,4.6600,4.4400,4.4800,4.6700,4129023,18637475.0000
2019-01-31,sh.600877,4.2800,4.4400,4.2700,4.2800,4.4800,5883182,25477576.0000
2019-02-01,sh.600877,4.2800,4.4000,4.2800,4.4000,4.2800,1443811,6280610.0000
2019-02-11,sh.600877,4.5000,4.5900,4.4600,4.5200,4.4000,1874401,8462983.0000
2019-02-12,sh.600877,4.5000,4.5600,4.5000,4.5500,4.5200,1859201,8431571.0000
2019-02-13,sh.600877,4.5400,4.6600,4.5200,4.6000,4.5500,2460374,11317639.0000
2019-02-14,sh.600877,4.6000,4.6400,4.5700,4.6000,4.6000,2076371,9550440.0000
2019-02-15,sh.600877,4.6100,4.6300,4.5800,4.6000,4.6000,1687100,7759517.0000
2019-02-18,sh.600877,4.6000,4.6700,4.6000,4.6700,4.6000,3990000,18500197.0000
2019-02-19,sh.600877,4.6600,4.7100,4.5900,4.6300,4.6700,3593700,16640052.0000
2019-02-20,sh.600877,4.6200,4.6600,4.6100,4.6400,4.6300,2423989,11233076.0000
2019-02-21,sh.600877,4.6400,4.6800,4.6000,4.6400,4.6400,3526289,16343535.0000
2019-02-22,sh.600877,4.6300,4.7600,4.6100,4.7300,4.6400,5442194,25568095.0000
2019-02-25,sh.600877,4.7500,4.8500,4.7200,4.8100,4.7300,9544726,45756749.0000
2019-02-26,sh.600877,4.8300,4.8400,4.6900,4.7200,4.8100,10083764,48075502.0000
2019-02-27,sh.600877,4.7000,4.7000,4.6400,4.6400,4.7200,8503602,39732345.0000
2019-02-28,sh.600877,4.6400,4.8700,4.6300,4.8300,4.6400,12651044,60185019.0000
2019-03-01,sh.600877,4.8100,4.8300,4.7600,4.8000,4.8300,5405741,25901669.0000
2019-03-04,sh.600877,4.8000,4.8600,4.7100,4.8400,4.8000,11386188,54584824.0000
2019-03-05,sh.600877,4.8100,5.0800,4.8000,4.9900,4.8400,13699700,68565830.0000
2019-03-06,sh.600877,5.0000,5.0400,4.9600,5.0100,4.9900,8530086,42660826.0000
2019-03-07,sh.600877,5.0600,5.2500,5.0300,5.1600,5.0100,9257066,47867504.0000
2019-03-08,sh.600877,5.0800,5.0900,4.9000,4.9000,5.1600,14535548,72051208.0000
2019-03-11,sh.600877,4.8600,4.9500,4.8400,4.9300,4.9000,8803690,43172872.0000
2019-03-12,sh.600877,4.9600,5.0700,4.9300,5.0500,4.9300,10457513,52187525.0000
2019-03-13,sh.600877,5.2000,5.3000,5.0800,5.1000,5.0500,15706590,81874350.0000
2019-03-14,sh.600877,5.1000,5.2300,5.0000,5.0600,5.1000,11591153,59134100.0000
2019-03-15,sh.600877,5.0800,5.1800,5.0600,5.1200,5.0600,6810005,34780168.0000
2019-03-18,sh.600877,5.1200,5.2800,5.0700,5.2200,5.1200,8415189,43843918.0000
2019-03-19,sh.600877,5.2100,5.2900,5.1600,5.2000,5.2200,5874010,30601331.0000
2019-03-20,sh.600877,5.2100,5.4500,5.1500,5.4200,5.2000,11954710,63391690.0000
2019-03-21,sh.600877,5.4900,5.6600,5.3700,5.5700,5.4200,10490691,57577421.0000
2019-03-22,sh.600877,5.5800,5.8000,5.5200,5.7500,5.5700,12087416,69180191.0000
2019-03-25,sh.600877,5.7500,5.7500,5.7500,5.7500,5.7500,0,0.0000
2019-03-26,sh.600877,5.6000,6.0300,5.4600,5.4600,5.7500,21148260,120174916.0000
2019-03-27,sh.600877,5.4500,5.6300,5.3700,5.4500,5.4600,9654866,53011694.0000
2019-03-28,sh.600877,5.4600,5.5400,5.4000,5.4300,5.4500,6245908,34193001.0000
2019-03-29,sh.600877,5.4400,5.6100,5.4300,5.5800,5.4300,7609534,42237650.0000
2019-04-01,sh.600877,5.5800,5.7900,5.5800,5.7600,5.5800,9544282,54568172.0000
2019-04-02,sh.600877,5.7500,5.8800,5.7100,5.7500,5.7600,8959935,51973519.0000
2019-04-03,sh.600877,5.7300,5.9700,5.7100,5.9600,5.7500,8875025,51891171.0000
2019-04-04,sh.600877,5.9500,6.0400,5.9100,5.9800,5.9600,8654771,51665473.0000
2019-04-08,sh.600877,6.0300,6.1200,5.9100,6.0400,5.9800,10399046,62693986.0000
2019-04-09,sh.600877,6.0700,6.3400,6.0700,6.3200,6.0400,15585280,98192838.0000
2019-04-10,sh.600877,6.3300,6.5200,6.2800,6.3600,6.3200,12592792,80579337.0000
2019-04-11,sh.600877,6.3700,6.5700,6.3100,6.5700,6.3600,13297152,86218972.0000
2019-04-12,sh.600877,6.5700,6.9000,6.5600,6.9000,6.5700,17573333,120249795.0000
2019-04-15,sh.600877,7.1500,7.1500,6.9200,7.0100,6.9000,16676378,117870869.0000
2019-04-16,sh.600877,6.9800,7.3600,6.9000,7.3600,7.0100,14928262,107789688.0000
2019-04-17,sh.600877,7.4700,7.7300,7.4100,7.7300,7.3600,13920726,106882200.0000
2019-04-18,sh.600877,8.0000,8.1200,7.3400,7.3400,7.7300,40843924,310756768.0000
2019-04-19,sh.600877,7.1000,7.5300,7.1000,7.4000,7.3400,18211172,133717127.0000
2019-04-22,sh.600877,7.4000,7.4000,7.0300,7.0500,7.4000,20877914,148926231.0000
2019-04-23,sh.600877,7.1900,7.4000,7.0300,7.4000,7.0500,19533265,142133301.0000
2019-04-24,sh.600877,7.6000,7.7200,7.0300,7.0600,7.4000,22914580,169400701.0000
2019-04-25,sh.600877,6.8400,7.0500,6.7100,6.7100,7.0600,18023987,122903249.0000
2019-04-26,sh.600877,6.8000,6.8200,6.6200,6.6900,6.7100,9183142,61640974.0000
2019-04-29,sh.600877,6.6900,6.9000,6.3700,6.4300,6.6900,14664547,96359391.0000
2019-04-30,sh.600877,6.4100,6.7500,6.3900,6.7200,6.4300,9562644,63412967.0000
2019-05-06,sh.600877,6.4900,6.5200,6.3800,6.3800,6.7200,9735124,62370613.0000
2019-05-07,sh.600877,6.3800,6.3800,6.0600,6.0800,6.3800,12476224,76304374.0000
2019-05-08,sh.600877,5.8900,6.1000,5.7900,5.8800,6.0800,8738789,51772466.0000
2019-05-09,sh.600877,5.7800,5.9500,5.7300,5.9100,5.8800,5787034,33936681.0000
2019-05-10,sh.600877,5.9700,6.1500,5.8200,6.0900,5.9100,10745989,64907868.0000
2019-05-13,sh.600877,6.0500,6.1800,5.9600,6.1300,6.0900,6390400,38936759.0000
2019-05-14,sh.600877,6.1100,6.1900,6.0400,6.0500,6.1300,5019800,30695339.0000
2019-05-15,sh.600877,6.1100,6.1300,5.8600,6.0200,6.0500,6839500,41092157.0000
2019-05-16,sh.600877,6.0200,6.1300,6.0000,6.0500,6.0200,4318611,26194450.0000
2019-05-17,sh.600877,6.0600,6.1300,5.8500,5.9200,6.0500,5503468,32787855.0000
2019-05-20,sh.600877,5.9200,5.9200,5.7200,5.7800,5.9200,5771297,33402435.0000
2019-05-21,sh.600877,5.7600,6.0500,5.7300,6.0000,5.7800,5084102,30066689.0000
2019-05-22,sh.600877,6.0100,6.2100,5.9600,6.0000,6.0000,5270471,32035279.0000
2019-05-23,sh.600877,6.0000,6.0400,5.8700,5.9000,6.0000,5369300,31936237.0000
2019-05-24,sh.600877,5.8100,5.9000,5.7500,5.7800,5.9000,3715500,21616653.0000
2019-05-27,sh.600877,5.7800,6.0100,5.7300,6.0000,5.7800,4683500,27512253.0000
2019-05-28,sh.600877,5.9900,6.1000,5.9600,6.0600,6.0000,4949812,29880692.0000
2019-05-29,sh.600877,6.0600,6.0700,5.9900,6.0200,6.0600,2702800,16297265.0000
2019-05-30,sh.600877,6.0300,6.0300,5.7900,5.8800,6.0200,4881071,28787794.0000
2019-05-31,sh.600877,5.8700,5.9500,5.8300,5.8800,5.8800,2724368,16042284.0000
2019-06-03,sh.600877,5.8700,5.9500,5.8000,5.8400,5.8800,2882990,16869165.0000
2019-06-04,sh.600877,5.8100,5.8700,5.7700,5.8000,5.8400,2912571,16937249.0000
