date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600879,5.4400,5.5700,5.4000,5.5300,5.4100,15161953,83474024.0000
2019-01-03,sh.600879,5.5100,5.9800,5.5000,5.7300,5.5300,43125848,249326489.0000
2019-01-04,sh.600879,5.6600,5.9400,5.6200,5.9200,5.7300,41760923,243371635.0000
2019-01-07,sh.600879,5.9900,6.1900,5.9100,6.1600,5.9200,69217642,420834544.0000
2019-01-08,sh.600879,6.1000,6.1100,5.9800,6.0500,6.1600,41100862,248163157.0000
2019-01-09,sh.600879,6.0300,6.1000,5.9700,5.9800,6.0500,33435969,201782571.0000
2019-01-10,sh.600879,5.9800,6.0100,5.9100,5.9500,5.9800,26377657,156989141.0000
2019-01-11,sh.600879,5.9600,6.0700,5.9400,6.0200,5.9500,24747679,148854405.0000
2019-01-14,sh.600879,6.0200,6.0500,5.9400,5.9700,6.0200,14129414,84405888.0000
2019-01-15,sh.600879,5.9600,6.0200,5.9200,6.0100,5.9700,17710675,105874222.0000
2019-01-16,sh.600879,6.0000,6.0100,5.8700,5.8900,6.0100,17628237,104413924.0000
2019-01-17,sh.600879,5.9000,5.9100,5.8100,5.8200,5.8900,15724574,92046929.0000
2019-01-18,sh.600879,5.8200,5.8900,5.8200,5.8500,5.8200,11809319,69016077.0000
2019-01-21,sh.600879,5.8600,5.9200,5.8300,5.8700,5.8500,13372157,78606412.0000
2019-01-22,sh.600879,5.8600,5.8900,5.7400,5.8000,5.8700,15129298,87935747.0000
2019-01-23,sh.600879,5.7700,5.8000,5.7200,5.7400,5.8000,8162521,46953895.0000
2019-01-24,sh.600879,5.7700,5.8400,5.7200,5.8000,5.7400,13109824,75931674.0000
2019-01-25,sh.600879,5.8000,5.8200,5.7300,5.7400,5.8000,9897520,57257412.0000
2019-01-28,sh.600879,5.7900,5.8200,5.7200,5.7300,5.7400,11357116,65538521.0000
2019-01-29,sh.600879,5.7100,5.7400,5.5600,5.5900,5.7300,16183569,91004691.0000
2019-01-30,sh.600879,5.6000,5.7100,5.5800,5.6200,5.5900,12441132,70443199.0000
2019-01-31,sh.600879,5.6400,5.7100,5.6200,5.6600,5.6200,11279867,63955635.0000
2019-02-01,sh.600879,5.6600,5.8000,5.6600,5.7900,5.6600,13304020,76405730.0000
2019-02-11,sh.600879,5.8300,5.9000,5.8200,5.8900,5.7900,16673094,97773804.0000
2019-02-12,sh.600879,5.8900,5.9500,5.8600,5.9100,5.8900,17853039,105589989.0000
2019-02-13,sh.600879,5.9200,6.0500,5.8900,6.0200,5.9100,36147743,217033338.0000
2019-02-14,sh.600879,6.0300,6.0600,5.9700,6.0100,6.0200,21265610,127775263.0000
2019-02-15,sh.600879,6.0100,6.0500,5.9500,5.9600,6.0100,20832601,124968855.0000
2019-02-18,sh.600879,6.0000,6.1700,6.0000,6.1700,5.9600,45538715,278539507.0000
2019-02-19,sh.600879,6.1600,6.3200,6.0700,6.3200,6.1700,55528357,343786268.0000
2019-02-20,sh.600879,6.2900,6.3500,6.1700,6.2300,6.3200,51786933,323182598.0000
2019-02-21,sh.600879,6.3300,6.3700,6.2000,6.2100,6.2300,66437569,417196250.0000
2019-02-22,sh.600879,6.1800,6.3000,6.1300,6.2900,6.2100,50232235,312789669.0000
2019-02-25,sh.600879,6.3500,6.7000,6.3400,6.6400,6.2900,89249276,581880855.0000
2019-02-26,sh.600879,6.6000,6.6600,6.5000,6.5400,6.6400,68862180,452433033.0000
2019-02-27,sh.600879,6.5600,6.8600,6.5200,6.6200,6.5400,80267201,536568862.0000
2019-02-28,sh.600879,6.6900,6.7800,6.5400,6.6000,6.6200,43726863,289768801.0000
2019-03-01,sh.600879,6.6200,6.6500,6.4600,6.6300,6.6000,39612036,259467965.0000
2019-03-04,sh.600879,6.6800,6.8000,6.6200,6.7000,6.6300,68564276,460128279.0000
2019-03-05,sh.600879,6.7000,6.9200,6.6600,6.9200,6.7000,69812015,473452527.0000
2019-03-06,sh.600879,6.9200,6.9500,6.8000,6.9100,6.9200,60630146,416513481.0000
2019-03-07,sh.600879,6.8900,7.1600,6.8400,7.0000,6.9100,73126468,513630595.0000
2019-03-08,sh.600879,6.9000,7.1400,6.7900,6.8500,7.0000,82319557,572554764.0000
2019-03-11,sh.600879,6.9000,7.1000,6.8400,7.0800,6.8500,70693833,495366425.0000
2019-03-12,sh.600879,7.1100,7.4900,7.0300,7.3500,7.0800,117632577,849632385.0000
