date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600884,12.9400,13.0500,12.7100,12.7700,12.9200,9545593,122554815.0000
2019-01-03,sh.600884,12.7500,12.9500,12.6500,12.7800,12.7700,9096716,116430240.0000
2019-01-04,sh.600884,12.6600,13.2500,12.4600,13.2100,12.7800,13991342,181139163.0000
2019-01-07,sh.600884,13.3500,13.5200,13.1700,13.4900,13.2100,14379214,192189983.0000
2019-01-08,sh.600884,13.4900,13.8000,13.3700,13.5700,13.4900,15709029,214024821.0000
2019-01-09,sh.600884,13.4800,13.6500,13.1500,13.3900,13.5700,17715763,237735142.0000
2019-01-10,sh.600884,13.4000,13.4600,13.2100,13.2400,13.3900,8820190,117671196.0000
2019-01-11,sh.600884,13.2400,13.3800,13.1600,13.3800,13.2400,7785096,103629979.0000
2019-01-14,sh.600884,13.3500,13.4600,13.2600,13.2900,13.3800,6628435,88485213.0000
2019-01-15,sh.600884,13.3200,13.6000,13.2700,13.6000,13.2900,11787781,158154888.0000
2019-01-16,sh.600884,13.5800,13.6200,13.3900,13.4000,13.6000,8483718,114260722.0000
2019-01-17,sh.600884,13.4300,13.4500,13.1700,13.1800,13.4000,9062774,120168215.0000
2019-01-18,sh.600884,13.2100,13.3500,13.0600,13.3000,13.1800,9772594,129373603.0000
2019-01-21,sh.600884,13.3200,13.5800,13.3200,13.4700,13.3000,12408650,166946991.0000
2019-01-22,sh.600884,13.4700,13.7000,13.3400,13.3600,13.4700,14406903,194387861.0000
2019-01-23,sh.600884,13.3500,13.7000,13.2100,13.6800,13.3600,19536087,264695837.0000
2019-01-24,sh.600884,13.6700,13.8400,13.4800,13.5700,13.6800,20065849,273738164.0000
2019-01-25,sh.600884,13.5900,13.9000,13.3800,13.6400,13.5700,19960247,272551979.0000
2019-01-28,sh.600884,13.6800,13.8600,13.5200,13.5700,13.6400,12036982,164723908.0000
2019-01-29,sh.600884,13.5000,13.5000,12.8800,13.1400,13.5700,13789035,181728427.0000
2019-01-30,sh.600884,13.1400,13.3500,13.0600,13.1600,13.1400,7867185,104170758.0000
2019-01-31,sh.600884,13.2800,13.3000,12.9000,12.9100,13.1600,10546899,137984785.0000
2019-02-01,sh.600884,12.9800,13.4700,12.9800,13.4300,12.9100,12764602,169787598.0000
2019-02-11,sh.600884,13.5000,14.0100,13.5000,13.9900,13.4300,19172642,265019617.0000
2019-02-12,sh.600884,14.0000,14.0800,13.8500,13.9400,13.9900,17165354,239455964.0000
2019-02-13,sh.600884,14.0000,14.6700,13.9500,14.4700,13.9400,29380339,422103183.0000
2019-02-14,sh.600884,14.5000,14.9700,14.3300,14.6800,14.4700,26258683,386694072.0000
2019-02-15,sh.600884,14.6000,14.7900,14.4100,14.4200,14.6800,16254069,236974363.0000
2019-02-18,sh.600884,14.6000,15.0900,14.5000,15.0200,14.4200,22892205,340315736.0000
2019-02-19,sh.600884,15.0500,15.0900,14.6800,14.8700,15.0200,20905725,311077240.0000
2019-02-20,sh.600884,14.8600,15.3000,14.7200,14.9000,14.8700,21775237,327386700.0000
2019-02-21,sh.600884,14.9400,15.0900,14.6100,14.6600,14.9000,22531653,334255779.0000
2019-02-22,sh.600884,14.6300,14.9200,14.5600,14.8800,14.6600,17734603,261575426.0000
2019-02-25,sh.600884,15.0500,15.7800,15.0200,15.7200,14.8800,34784104,537670519.0000
2019-02-26,sh.600884,15.6000,16.3900,15.2900,15.6300,15.7200,46019621,722514237.0000
2019-02-27,sh.600884,15.6300,15.7500,15.1500,15.3200,15.6300,25430327,394009967.0000
2019-02-28,sh.600884,15.3300,15.4700,15.0700,15.1500,15.3200,17219975,262574723.0000
2019-03-01,sh.600884,15.2600,15.7200,15.1500,15.7000,15.1500,25401321,391908173.0000
2019-03-04,sh.600884,15.9500,16.1600,15.5900,15.7700,15.7000,36299140,576018405.0000
2019-03-05,sh.600884,15.6500,16.0500,15.5700,16.0400,15.7700,26111443,413209476.0000
2019-03-06,sh.600884,16.0400,17.0000,15.8200,16.5900,16.0400,46384541,758577922.0000
2019-03-07,sh.600884,16.5000,16.7500,16.2000,16.4000,16.5900,34110349,559374366.0000
2019-03-08,sh.600884,16.2500,16.2600,15.3900,15.4700,16.4000,34168178,543951105.0000
2019-03-11,sh.600884,15.3100,16.2300,15.3100,16.1900,15.4700,29888286,476775181.0000
2019-03-12,sh.600884,16.4500,16.7000,16.0900,16.3900,16.1900,32123805,527898940.0000
2019-03-13,sh.600884,16.4300,16.8600,16.1100,16.2500,16.3900,36876415,606836296.0000
2019-03-14,sh.600884,16.1000,16.6700,15.6800,15.9300,16.2500,30104224,486721642.0000
2019-03-15,sh.600884,15.5900,15.6500,15.1500,15.4500,15.9300,41527331,639499746.0000
2019-03-18,sh.600884,15.4500,15.6900,15.3300,15.6600,15.4500,26918546,417399902.0000
2019-03-19,sh.600884,15.7500,15.8500,15.5100,15.6000,15.6600,25642177,401352171.0000
2019-03-20,sh.600884,15.5300,15.5800,15.0600,15.3000,15.6000,28503322,435072354.0000
2019-03-21,sh.600884,15.3200,15.6800,15.3200,15.5300,15.3000,27119666,420828367.0000
2019-03-22,sh.600884,15.5400,15.7400,15.3500,15.7200,15.5300,28868926,450546857.0000
2019-03-25,sh.600884,15.4900,16.3200,15.4100,15.7600,15.7200,30519592,485786944.0000
2019-03-26,sh.600884,15.8200,15.9400,15.0200,15.1000,15.7600,30702559,470345169.0000
2019-03-27,sh.600884,15.1600,15.2800,14.5200,14.7000,15.1000,35018188,515977743.0000
2019-03-28,sh.600884,14.6100,14.7800,14.5200,14.5900,14.7000,14100994,206400085.0000
2019-03-29,sh.600884,14.6100,14.9300,14.5000,14.9200,14.5900,21253550,314014010.0000
2019-04-01,sh.600884,15.0000,15.4600,14.9600,15.3700,14.9200,26345523,401850387.0000
2019-04-02,sh.600884,15.3800,15.6300,15.1800,15.5900,15.3700,30511346,470623280.0000
2019-04-03,sh.600884,15.3500,15.5000,15.1700,15.4600,15.5900,24237415,371485956.0000
2019-04-04,sh.600884,15.4300,15.5400,15.3300,15.4600,15.4600,27498755,424252741.0000
2019-04-08,sh.600884,15.5700,15.9200,15.2600,15.4800,15.4600,37857954,591984558.0000
2019-04-09,sh.600884,15.4400,15.4400,15.2200,15.3200,15.4800,21323425,326473579.0000
2019-04-10,sh.600884,15.2600,15.5700,15.1100,15.5500,15.3200,23707973,364057105.0000
2019-04-11,sh.600884,15.5600,15.7400,15.3000,15.3100,15.5500,23494925,364703763.0000
