date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600900,15.7900,15.8000,15.1200,15.4200,15.8800,30533408,467205842.0000
2019-01-03,sh.600900,15.2900,15.5700,15.2700,15.5700,15.4200,15828971,244273877.0000
2019-01-04,sh.600900,15.5500,15.5500,15.1600,15.3200,15.5700,24112734,369454172.0000
2019-01-07,sh.600900,15.3900,15.4300,15.1600,15.2400,15.3200,19511427,297628905.0000
2019-01-08,sh.600900,15.2000,15.6100,15.2000,15.5600,15.2400,20029889,308659635.0000
2019-01-09,sh.600900,15.6500,15.7400,15.4700,15.4800,15.5600,12544216,195552061.0000
2019-01-10,sh.600900,15.4200,15.5400,15.2400,15.3300,15.4800,13879226,212924463.0000
2019-01-11,sh.600900,15.3300,15.4200,15.2200,15.3900,15.3300,9200273,140977726.0000
2019-01-14,sh.600900,15.3500,15.4200,15.1900,15.2700,15.3900,11661736,178286132.0000
2019-01-15,sh.600900,15.2800,15.4000,15.2200,15.4000,15.2700,6405914,98265575.0000
2019-01-16,sh.600900,15.4100,15.5700,15.3300,15.5200,15.4000,10255328,158459847.0000
2019-01-17,sh.600900,15.5600,15.5600,15.3900,15.4500,15.5200,8250736,127573975.0000
2019-01-18,sh.600900,15.5600,15.7900,15.5000,15.7500,15.4500,17360519,272067831.0000
2019-01-21,sh.600900,15.7000,15.8300,15.7000,15.8200,15.7500,8692363,137083604.0000
2019-01-22,sh.600900,15.8500,15.8900,15.7500,15.8100,15.8200,10203280,161487060.0000
2019-01-23,sh.600900,15.8000,15.9700,15.7800,15.9600,15.8100,9663368,153527848.0000
2019-01-24,sh.600900,15.9700,16.0300,15.8200,15.9500,15.9600,11391825,181776697.0000
2019-01-25,sh.600900,16.0000,16.0600,15.9000,15.9100,15.9500,8404866,134117614.0000
2019-01-28,sh.600900,15.9600,16.0700,15.7900,15.9100,15.9100,15770246,250587338.0000
2019-01-29,sh.600900,15.8700,16.2900,15.8400,16.2000,15.9100,16177610,260628835.0000
2019-01-30,sh.600900,16.2900,16.2900,16.0800,16.1900,16.2000,9277458,150189614.0000
2019-01-31,sh.600900,16.3200,16.4300,16.2200,16.4300,16.1900,15735763,257298355.0000
2019-02-01,sh.600900,16.4700,16.5000,16.3000,16.3500,16.4300,9404449,154028101.0000
2019-02-11,sh.600900,16.2100,16.4200,16.2100,16.3100,16.3500,13485206,220536175.0000
2019-02-12,sh.600900,16.3500,16.3900,16.1800,16.3400,16.3100,18864692,307305554.0000
2019-02-13,sh.600900,16.3600,16.4400,16.1600,16.3900,16.3400,24561986,399693159.0000
2019-02-14,sh.600900,16.3300,16.4200,16.2600,16.3200,16.3900,16330470,266766677.0000
2019-02-15,sh.600900,16.3100,16.3700,16.2300,16.3000,16.3200,12293507,200272303.0000
2019-02-18,sh.600900,16.3700,16.3800,16.1900,16.3400,16.3000,28236985,459580193.0000
2019-02-19,sh.600900,16.3000,16.3200,16.1600,16.2500,16.3400,26642173,432019302.0000
2019-02-20,sh.600900,16.2700,16.2700,16.1500,16.2400,16.2500,11226119,182015214.0000
2019-02-21,sh.600900,16.2300,16.3000,16.0700,16.1000,16.2400,17472576,283047934.0000
2019-02-22,sh.600900,16.1000,16.2000,15.9500,16.2000,16.1000,15926929,256473489.0000
2019-02-25,sh.600900,16.1900,16.3800,16.0600,16.3800,16.2000,48614667,787591824.0000
2019-02-26,sh.600900,16.3000,16.5000,16.2600,16.2800,16.3800,33460430,548282201.0000
2019-02-27,sh.600900,16.3100,16.3800,16.1800,16.2200,16.2800,26350880,428213047.0000
2019-02-28,sh.600900,16.2200,16.3000,16.1400,16.3000,16.2200,19789796,321039157.0000
2019-03-01,sh.600900,16.3000,16.3200,16.1100,16.2700,16.3000,20418173,331215875.0000
2019-03-04,sh.600900,16.2600,16.3800,16.1900,16.2600,16.2700,43383698,706018079.0000
2019-03-05,sh.600900,16.2700,16.3800,16.2400,16.3000,16.2600,30866581,503632487.0000
2019-03-06,sh.600900,16.3000,16.9800,16.2500,16.8600,16.3000,47203702,785521111.0000
2019-03-07,sh.600900,16.8800,16.9200,16.5200,16.6900,16.8600,31972476,533707647.0000
2019-03-08,sh.600900,16.6000,16.7400,16.4200,16.6600,16.6900,30344853,503176832.0000
2019-03-11,sh.600900,16.5700,16.6500,16.3600,16.4700,16.6600,27332997,450196184.0000
2019-03-12,sh.600900,16.4500,16.6300,16.2800,16.3500,16.4700,37772272,620838287.0000
2019-03-13,sh.600900,16.3100,16.3500,16.0000,16.0400,16.3500,39643313,640474482.0000
2019-03-14,sh.600900,16.0400,16.3300,15.9900,16.2900,16.0400,24527374,397118616.0000
2019-03-15,sh.600900,16.2200,16.4000,16.1700,16.2800,16.2900,17648323,287610172.0000
2019-03-18,sh.600900,16.2900,16.8400,16.2900,16.7500,16.2800,30143359,500900212.0000
2019-03-19,sh.600900,16.7300,17.1300,16.7000,16.9400,16.7500,22721190,383759973.0000
2019-03-20,sh.600900,16.8500,16.9400,16.7400,16.8400,16.9400,16861320,284153902.0000
2019-03-21,sh.600900,16.9000,17.0100,16.7800,16.8400,16.8400,19103811,322787957.0000
2019-03-22,sh.600900,16.8500,17.1200,16.8100,17.1200,16.8400,20561236,349953457.0000
2019-03-25,sh.600900,17.0200,17.2000,16.8200,16.9200,17.1200,21917057,372682902.0000
2019-03-26,sh.600900,17.0000,17.1000,16.9000,17.0500,16.9200,17911860,304696772.0000
2019-03-27,sh.600900,17.0300,17.0900,16.7200,16.7600,17.0500,15194420,256635455.0000
2019-03-28,sh.600900,16.7200,17.0800,16.5500,16.9400,16.7600,18805022,316265755.0000
2019-03-29,sh.600900,16.9100,16.9300,16.6800,16.8700,16.9400,31274495,526663210.0000
2019-04-01,sh.600900,16.9500,17.1400,16.8200,16.9000,16.8700,35969525,607940512.0000
2019-04-02,sh.600900,16.9200,16.9300,16.7800,16.9200,16.9000,22613440,381196528.0000
2019-04-03,sh.600900,16.8500,16.9300,16.7600,16.8900,16.9200,21899589,368722392.0000
2019-04-04,sh.600900,16.8600,16.8800,16.7400,16.8000,16.8900,22019954,370158927.0000
2019-04-08,sh.600900,16.8000,16.8500,16.5000,16.5500,16.8000,39491401,657521940.0000
2019-04-09,sh.600900,16.5500,16.6500,16.4300,16.5300,16.5500,28080537,465342971.0000
2019-04-10,sh.600900,16.5500,16.7000,16.4400,16.5800,16.5300,25684784,424588020.0000
2019-04-11,sh.600900,16.6000,16.7800,16.5900,16.7500,16.5800,25323329,423328968.0000
2019-04-12,sh.600900,16.7500,16.9200,16.7100,16.8800,16.7500,23002261,387662337.0000
2019-04-15,sh.600900,16.9800,16.9800,16.6000,16.6100,16.8800,30630056,513300979.0000
2019-04-16,sh.600900,16.6100,16.8000,16.5200,16.7800,16.6100,20805618,346970325.0000
2019-04-17,sh.600900,16.8000,16.8600,16.7400,16.7800,16.7800,16976458,285213592.0000
2019-04-18,sh.600900,16.7800,16.8300,16.6500,16.6800,16.7800,13141512,219550669.0000
2019-04-19,sh.600900,16.7200,16.7900,16.6400,16.7700,16.6800,10258860,171711992.0000
2019-04-22,sh.600900,16.7700,16.8400,16.6700,16.6800,16.7700,18093390,303382345.0000
2019-04-23,sh.600900,16.7700,16.8300,16.7000,16.7800,16.6800,15355483,257558390.0000
2019-04-24,sh.600900,16.8500,16.8800,16.7400,16.8400,16.7800,14257661,239570178.0000
2019-04-25,sh.600900,16.8400,16.8600,16.7100,16.7500,16.8400,16611969,278654945.0000
2019-04-26,sh.600900,16.7000,16.8300,16.5400,16.5600,16.7500,17896455,299265895.0000
2019-04-29,sh.600900,16.6300,16.8800,16.5700,16.7800,16.5600,16867787,283231777.0000
2019-04-30,sh.600900,16.6800,16.8800,16.6500,16.8700,16.7800,16592113,278886432.0000
2019-05-06,sh.600900,16.7000,16.9100,16.5800,16.9100,16.8700,32177273,537979166.0000
2019-05-07,sh.600900,16.8600,17.0200,16.7300,16.8400,16.9100,19077409,321784455.0000
2019-05-08,sh.600900,16.7900,16.8500,16.4800,16.5200,16.8400,25547131,423555746.0000
2019-05-09,sh.600900,16.4500,16.5700,16.3700,16.4000,16.5200,16056293,264161852.0000
2019-05-10,sh.600900,16.4000,16.5700,16.3700,16.5300,16.4000,14300192,235687849.0000
2019-05-13,sh.600900,16.4900,16.5800,16.4100,16.5000,16.5300,9005451,148523174.0000
2019-05-14,sh.600900,16.3800,16.5700,16.3100,16.4000,16.5000,30482706,500629790.0000
2019-05-15,sh.600900,16.3800,16.4400,16.3300,16.4100,16.4000,21012872,344292286.0000
2019-05-16,sh.600900,16.3800,16.6200,16.3400,16.6100,16.4100,20430370,336296008.0000
