date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601012,17.4400,17.9000,17.2600,17.3700,17.4400,15205943,266641563.0000
2019-01-03,sh.601012,17.4000,17.8500,17.0800,17.4800,17.3700,18064025,315433291.0000
2019-01-04,sh.601012,17.5000,18.0000,16.9100,17.9400,17.4800,25464938,449317487.0000
2019-01-07,sh.601012,18.0000,18.5400,17.9900,18.4300,17.9400,19979527,365479550.0000
2019-01-08,sh.601012,18.4900,18.5600,18.2300,18.5000,18.4300,19616215,361971211.0000
2019-01-09,sh.601012,18.5000,19.3500,18.2700,19.0300,18.5000,31765318,599946546.0000
2019-01-10,sh.601012,19.3500,20.9300,19.3500,20.9300,19.0300,55391253,1134086845.0000
2019-01-11,sh.601012,20.9000,20.9000,19.9900,20.0400,20.9300,35247430,714905741.0000
2019-01-14,sh.601012,20.0300,20.5800,19.8800,20.3400,20.0400,24299370,492428663.0000
2019-01-15,sh.601012,20.2500,21.7500,20.1500,21.5200,20.3400,40725344,861934633.0000
2019-01-16,sh.601012,21.5400,21.5400,21.0100,21.2600,21.5200,26325208,560660846.0000
2019-01-17,sh.601012,21.2100,21.9400,20.4100,20.8500,21.2600,46137121,972294467.0000
2019-01-18,sh.601012,21.3400,22.6000,20.6800,22.2700,20.8500,46188546,1000247643.0000
2019-01-21,sh.601012,22.3000,22.4600,21.7300,22.1200,22.2700,34509599,761783040.0000
2019-01-22,sh.601012,22.2000,22.2300,21.4500,21.9500,22.1200,20253975,441582061.0000
2019-01-23,sh.601012,21.9500,22.3200,21.4200,22.1000,21.9500,17388628,380269776.0000
2019-01-24,sh.601012,21.9900,23.5000,21.9300,22.2000,22.1000,43325097,982814059.0000
2019-01-25,sh.601012,22.2000,22.9700,21.9300,22.5300,22.2000,32215362,726309340.0000
2019-01-28,sh.601012,22.6500,23.1500,22.0400,22.1700,22.5300,26133770,586915420.0000
2019-01-29,sh.601012,22.0000,22.5700,21.4100,22.3000,22.1700,30592200,674579612.0000
2019-01-30,sh.601012,22.3800,23.1700,22.3800,22.5200,22.3000,26247639,598226506.0000
2019-01-31,sh.601012,22.8600,22.8600,21.9100,22.1800,22.5200,17999265,402878757.0000
2019-02-01,sh.601012,22.4900,23.3500,22.2200,22.8300,22.1800,26984813,619106029.0000
2019-02-11,sh.601012,22.8900,23.4200,22.4300,23.2600,22.8300,34172795,782306009.0000
2019-02-12,sh.601012,23.1800,23.1800,22.5800,22.9500,23.2600,23605043,539118349.0000
2019-02-13,sh.601012,22.8800,23.2400,22.6600,23.1400,22.9500,29742307,682470913.0000
2019-02-14,sh.601012,23.0100,24.1700,22.8500,23.9300,23.1400,46280782,1100132578.0000
2019-02-15,sh.601012,23.9000,24.3000,23.5000,23.6000,23.9300,30247947,720133307.0000
2019-02-18,sh.601012,23.3500,25.2600,23.3500,24.7000,23.6000,44681355,1096602321.0000
2019-02-19,sh.601012,25.8000,25.9300,24.4200,25.1200,24.7000,56761709,1429918266.0000
2019-02-20,sh.601012,25.5900,25.7800,24.8000,25.7100,25.1200,32823424,826461809.0000
2019-02-21,sh.601012,25.5600,27.4800,25.4200,26.9700,25.7100,55480488,1482839061.0000
2019-02-22,sh.601012,27.0600,29.3500,27.0000,29.0000,26.9700,55807935,1577294075.0000
2019-02-25,sh.601012,29.8600,29.8600,28.1700,28.9600,29.0000,74559511,2150105561.0000
2019-02-26,sh.601012,28.5100,30.2700,27.9100,28.6400,28.9600,68025689,1980270745.0000
2019-02-27,sh.601012,28.5400,28.6400,25.9000,26.7800,28.6400,78186575,2107872930.0000
2019-02-28,sh.601012,26.6000,27.8000,26.4800,27.1000,26.7800,44272635,1207445800.0000
2019-03-01,sh.601012,27.0900,28.2300,26.5000,27.6700,27.1000,42393698,1170115465.0000
2019-03-04,sh.601012,27.8000,28.1200,27.1100,27.4000,27.6700,57142509,1579487769.0000
2019-03-05,sh.601012,27.3800,28.0800,27.0000,27.5700,27.4000,40162659,1101328468.0000
2019-03-06,sh.601012,27.4100,27.5800,26.3000,26.7000,27.5700,69947202,1870505226.0000
2019-03-07,sh.601012,26.4000,26.8500,25.8000,26.0000,26.7000,65297253,1710507020.0000
2019-03-08,sh.601012,25.7000,26.6800,25.1600,25.3100,26.0000,60639756,1577437589.0000
2019-03-11,sh.601012,25.2500,27.8400,25.0200,27.8400,25.3100,94303580,2560516502.0000
2019-03-12,sh.601012,28.0000,28.6500,27.5500,27.8200,27.8400,78911418,2221707344.0000
2019-03-13,sh.601012,28.0000,28.2800,26.7100,27.6100,27.8200,50429984,1388176682.0000
2019-03-14,sh.601012,27.5000,28.5700,26.7200,27.1500,27.6100,51620680,1417381855.0000
2019-03-15,sh.601012,27.2800,28.3900,27.1800,27.5000,27.1500,37193588,1031042412.0000
