date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601088,17.9300,18.0600,17.6100,17.7700,17.9600,14300997,254165027.0000
2019-01-03,sh.601088,17.7700,17.9900,17.6200,17.6900,17.7700,9988861,176883359.0000
2019-01-04,sh.601088,17.6000,18.0900,17.3800,18.0700,17.6900,12400448,220718892.0000
2019-01-07,sh.601088,18.2000,18.2400,17.9000,18.0500,18.0700,14820714,267441804.0000
2019-01-08,sh.601088,18.1200,18.4600,18.0700,18.4200,18.0500,12558249,230024952.0000
2019-01-09,sh.601088,18.5500,18.7800,18.4200,18.4700,18.4200,10523021,196125902.0000
2019-01-10,sh.601088,18.3700,18.6600,18.3100,18.4600,18.4700,6284499,116346405.0000
2019-01-11,sh.601088,18.4800,18.7000,18.3700,18.5100,18.4600,9606383,177438760.0000
2019-01-14,sh.601088,18.5100,18.8300,18.5000,18.6200,18.5100,12281709,229706166.0000
2019-01-15,sh.601088,18.6500,18.7800,18.4500,18.6700,18.6200,15414996,286762595.0000
2019-01-16,sh.601088,18.6900,18.7500,18.5200,18.6000,18.6700,10916463,203478359.0000
2019-01-17,sh.601088,18.7600,18.7800,18.4200,18.4500,18.6000,13495538,251202951.0000
2019-01-18,sh.601088,18.6500,19.0500,18.6000,19.0100,18.4500,20933326,395940934.0000
2019-01-21,sh.601088,19.0000,19.6500,18.9300,19.5500,19.0100,19386130,376326818.0000
2019-01-22,sh.601088,19.5500,19.6000,19.1800,19.2600,19.5500,9608754,185524261.0000
2019-01-23,sh.601088,19.1800,19.5000,19.1800,19.4400,19.2600,8964299,173760017.0000
2019-01-24,sh.601088,19.5000,19.5300,19.1200,19.3900,19.4400,8058098,155568490.0000
2019-01-25,sh.601088,19.4000,19.5500,19.3300,19.4700,19.3900,7336833,142712298.0000
2019-01-28,sh.601088,19.5000,19.9800,19.5000,19.8200,19.4700,15715164,311767854.0000
2019-01-29,sh.601088,19.7200,20.0200,19.5800,19.9200,19.8200,11046678,219099817.0000
2019-01-30,sh.601088,19.8800,19.9100,19.6300,19.6300,19.9200,7106507,140287183.0000
2019-01-31,sh.601088,19.7900,19.9100,19.5100,19.8300,19.6300,13068242,257793933.0000
2019-02-01,sh.601088,19.9500,20.1100,19.8800,20.0100,19.8300,13694892,273797954.0000
2019-02-11,sh.601088,19.9400,20.0500,19.8100,19.9900,20.0100,11053550,220449555.0000
2019-02-12,sh.601088,19.9400,20.1800,19.8000,20.0900,19.9900,11914141,238208849.0000
2019-02-13,sh.601088,20.0500,20.2300,19.8400,20.1100,20.0900,15273412,305756195.0000
2019-02-14,sh.601088,20.0000,20.2100,19.9100,20.0200,20.1100,13384328,268321903.0000
2019-02-15,sh.601088,19.9500,20.0900,19.6500,19.6500,20.0200,11489776,227348122.0000
2019-02-18,sh.601088,19.8500,20.0300,19.7000,19.9900,19.6500,14215668,282920374.0000
2019-02-19,sh.601088,19.8800,20.0800,19.6500,19.7400,19.9900,17933011,355787198.0000
2019-02-20,sh.601088,19.8000,20.0400,19.7700,20.0200,19.7400,14776430,294632670.0000
2019-02-21,sh.601088,20.0500,20.2800,19.8000,19.8600,20.0200,17710084,355525851.0000
2019-02-22,sh.601088,19.8800,19.9000,19.2700,19.6100,19.8600,32614364,633647152.0000
2019-02-25,sh.601088,19.5400,20.6100,19.5200,20.6000,19.6100,49192402,985353672.0000
