date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601186,10.8900,10.9900,10.6000,10.7100,10.8700,59802405,641140646.0000
2019-01-03,sh.601186,10.7000,10.8800,10.6500,10.7600,10.7100,58026524,623466380.0000
2019-01-04,sh.601186,10.6500,11.1000,10.6300,11.0800,10.7600,87883283,961261779.0000
2019-01-07,sh.601186,11.1900,11.4400,11.0800,11.1700,11.0800,104022912,1168892499.0000
2019-01-08,sh.601186,11.1500,11.2800,11.0700,11.1700,11.1700,56667363,632684601.0000
2019-01-09,sh.601186,11.2300,11.3300,10.9100,10.9900,11.1700,100819962,1123795622.0000
2019-01-10,sh.601186,10.8800,10.9300,10.7200,10.7400,10.9900,74115548,800345947.0000
2019-01-11,sh.601186,10.7200,10.7900,10.6300,10.7800,10.7400,56313896,603043056.0000
2019-01-14,sh.601186,10.7300,10.8100,10.6200,10.6600,10.7800,45495727,486816137.0000
2019-01-15,sh.601186,10.6800,10.8800,10.6700,10.8600,10.6600,72956880,788622424.0000
2019-01-16,sh.601186,10.8600,10.8700,10.7200,10.7900,10.8600,50085431,540549903.0000
2019-01-17,sh.601186,10.8600,10.8900,10.7300,10.7600,10.7900,49140086,531747702.0000
2019-01-18,sh.601186,10.7600,10.9100,10.6600,10.8300,10.7600,69038504,744416532.0000
2019-01-21,sh.601186,10.8300,11.0300,10.8100,10.8900,10.8300,66632358,725990518.0000
2019-01-22,sh.601186,10.8500,10.8500,10.5800,10.6100,10.8900,77124774,823001184.0000
2019-01-23,sh.601186,10.6100,10.6700,10.2600,10.3400,10.6100,85001548,888527507.0000
2019-01-24,sh.601186,10.3500,10.3500,9.8400,10.0000,10.3400,146015572,1462051870.0000
2019-01-25,sh.601186,10.0100,10.1900,9.9900,10.1400,10.0000,71138034,718767772.0000
2019-01-28,sh.601186,10.2000,10.3400,10.1100,10.1600,10.1400,63463961,649849275.0000
2019-01-29,sh.601186,10.1400,10.2600,10.0400,10.2000,10.1600,46604307,472888517.0000
2019-01-30,sh.601186,10.1600,10.2000,10.0700,10.0700,10.2000,34498169,348945215.0000
2019-01-31,sh.601186,10.1300,10.1700,10.0500,10.0900,10.0700,48029070,485276267.0000
2019-02-01,sh.601186,10.1400,10.1500,9.9800,10.1400,10.0900,56953226,573993710.0000
2019-02-11,sh.601186,10.1100,10.3400,10.1100,10.3400,10.1400,75169295,767736989.0000
2019-02-12,sh.601186,10.3000,10.5300,10.2800,10.4900,10.3400,84657787,884890677.0000
2019-02-13,sh.601186,10.4500,10.6500,10.3700,10.5700,10.4900,110083957,1158039565.0000
2019-02-14,sh.601186,10.5400,10.6500,10.4700,10.5200,10.5700,65456147,689089803.0000
2019-02-15,sh.601186,10.5000,10.5800,10.3400,10.3700,10.5200,65578533,686465763.0000
2019-02-18,sh.601186,10.4800,10.7000,10.4700,10.7000,10.3700,100100309,1060237058.0000
2019-02-19,sh.601186,10.7400,10.8600,10.5700,10.6600,10.7000,92870071,995539079.0000
2019-02-20,sh.601186,10.7100,10.7500,10.6000,10.7400,10.6600,59324762,633347200.0000
2019-02-21,sh.601186,10.7200,10.8500,10.5400,10.5900,10.7400,98025952,1046515510.0000
2019-02-22,sh.601186,10.5400,10.6700,10.4200,10.6700,10.5900,100275776,1055611768.0000
2019-02-25,sh.601186,10.7300,11.3800,10.6300,11.3700,10.6700,226788867,2509168854.0000
2019-02-26,sh.601186,11.3700,12.2600,11.1100,11.5600,11.3700,263134165,3080948431.0000
2019-02-27,sh.601186,11.6500,11.9000,11.3300,11.5200,11.5600,158354500,1840637677.0000
2019-02-28,sh.601186,11.4500,11.6400,11.2900,11.4000,11.5200,87182387,997366142.0000
2019-03-01,sh.601186,11.5100,11.6100,11.3700,11.5500,11.4000,109812783,1262554663.0000
2019-03-04,sh.601186,11.8100,12.0800,11.6000,11.6600,11.5500,216630262,2562975936.0000
2019-03-05,sh.601186,11.6100,11.9300,11.4600,11.7900,11.6600,158515907,1852920602.0000
2019-03-06,sh.601186,11.8100,12.0500,11.6800,11.9200,11.7900,192287335,2277639826.0000
2019-03-07,sh.601186,11.8500,12.0600,11.6600,11.7600,11.9200,160860833,1903897738.0000
2019-03-08,sh.601186,11.5700,11.5700,11.0100,11.0600,11.7600,158278409,1788298087.0000
2019-03-11,sh.601186,11.1100,11.2600,11.0300,11.2100,11.0600,117996147,1315525811.0000
2019-03-12,sh.601186,11.2800,11.4000,11.1100,11.2300,11.2100,125213347,1410945939.0000
2019-03-13,sh.601186,11.1700,11.3000,10.9800,11.1400,11.2300,108942126,1212615476.0000
2019-03-14,sh.601186,11.0700,11.2200,10.9800,11.0600,11.1400,74737476,828889248.0000
2019-03-15,sh.601186,11.1400,11.2700,11.0400,11.2200,11.0600,100328867,1121312826.0000
2019-03-18,sh.601186,11.3000,11.9900,11.2600,11.9600,11.2200,270655776,3180532722.0000
2019-03-19,sh.601186,11.9800,12.0600,11.6700,11.8200,11.9600,167849202,1980217069.0000
2019-03-20,sh.601186,11.7100,11.9000,11.6100,11.8200,11.8200,115414456,1355508802.0000
2019-03-21,sh.601186,11.8200,11.8800,11.6600,11.7100,11.8200,108595334,1276202911.0000
2019-03-22,sh.601186,11.7500,11.7800,11.5200,11.7000,11.7100,86913388,1011690724.0000
2019-03-25,sh.601186,11.5500,11.6500,11.4400,11.4400,11.7000,112393767,1294720332.0000
2019-03-26,sh.601186,11.5100,11.5100,11.1300,11.1600,11.4400,82577241,934044706.0000
2019-03-27,sh.601186,11.2200,11.2600,11.0900,11.2100,11.1600,59476835,665393962.0000
2019-03-28,sh.601186,11.1900,11.3500,11.0800,11.1500,11.2100,55969759,626188901.0000
2019-03-29,sh.601186,11.1200,11.5400,11.1200,11.5100,11.1500,124545564,1415075807.0000
2019-04-01,sh.601186,11.5700,11.7400,11.4500,11.6600,11.5100,202353644,2350637225.0000
2019-04-02,sh.601186,11.6700,11.7100,11.5200,11.5400,11.6600,133244590,1543921376.0000
2019-04-03,sh.601186,11.5200,12.2000,11.4700,12.0000,11.5400,305779216,3641248804.0000
2019-04-04,sh.601186,12.0400,12.3000,11.8700,12.1800,12.0000,268664208,3246470336.0000
2019-04-08,sh.601186,12.2900,12.5200,11.9600,12.1000,12.1800,240337092,2935621143.0000
2019-04-09,sh.601186,12.0500,12.2800,11.8300,12.0400,12.1000,189638130,2289195813.0000
2019-04-10,sh.601186,11.9500,12.1200,11.8700,11.9700,12.0400,139158718,1667043143.0000
2019-04-11,sh.601186,12.0300,12.0600,11.6500,11.6600,11.9700,134131938,1584682533.0000
