date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601318,56.0400,56.1800,54.9400,55.1800,56.1000,82554243,4573024812.0000
2019-01-03,sh.601318,55.1500,56.3300,55.0600,55.6800,55.1800,69271124,3864646451.0000
2019-01-04,sh.601318,55.2800,57.0000,55.2300,56.5900,55.6800,112985585,6376773583.0000
2019-01-07,sh.601318,57.0900,57.1700,55.9000,56.3000,56.5900,76593007,4326151604.0000
2019-01-08,sh.601318,56.0500,56.0900,55.2000,55.8000,56.3000,55992092,3116381576.0000
2019-01-09,sh.601318,56.2000,57.6000,55.9600,56.9500,55.8000,81914613,4673997766.0000
2019-01-10,sh.601318,56.8700,57.8200,56.5500,57.5000,56.9500,67328223,3858446844.0000
2019-01-11,sh.601318,58.0000,58.2900,57.5000,58.0700,57.5000,45756973,2650921529.0000
2019-01-14,sh.601318,57.7400,57.9500,56.9000,57.1200,58.0700,47532651,2723611890.0000
2019-01-15,sh.601318,57.2600,58.6900,57.0600,58.5900,57.1200,58626487,3413728308.0000
2019-01-16,sh.601318,58.4200,58.9600,58.0100,58.7400,58.5900,40411183,2368178488.0000
2019-01-17,sh.601318,59.0500,59.8000,58.5600,58.7300,58.7400,53505039,3168128862.0000
2019-01-18,sh.601318,59.2300,60.0200,58.6900,59.9200,58.7300,56175665,3350801454.0000
2019-01-21,sh.601318,59.9300,61.1100,59.8500,60.7900,59.9200,55984277,3395168935.0000
2019-01-22,sh.601318,60.6000,60.6400,59.7400,60.0700,60.7900,41950761,2524729521.0000
2019-01-23,sh.601318,59.8200,60.4000,59.4500,59.4900,60.0700,37493263,2243882420.0000
2019-01-24,sh.601318,59.6100,60.5200,59.2200,60.4300,59.4900,44940618,2694967118.0000
2019-01-25,sh.601318,60.5000,61.7800,60.4300,61.2900,60.4300,67245911,4129885331.0000
2019-01-28,sh.601318,61.8000,62.4100,61.2000,61.5200,61.2900,58164884,3603129774.0000
2019-01-29,sh.601318,61.3800,61.9000,60.9800,61.6500,61.5200,39519294,2428493652.0000
2019-01-30,sh.601318,60.8800,61.8600,60.7800,61.2500,61.6500,31000323,1904411131.0000
2019-01-31,sh.601318,61.8000,63.1900,61.5500,62.9800,61.2500,69226532,4336690723.0000
2019-02-01,sh.601318,63.5000,63.7800,62.8500,63.2100,62.9800,43792470,2771783993.0000
2019-02-11,sh.601318,62.8800,64.5100,62.8800,64.3900,63.2100,54181551,3456061479.0000
2019-02-12,sh.601318,64.4000,64.4200,63.6900,64.2700,64.3900,38519306,2468628211.0000
