date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601398,5.3000,5.3100,5.1700,5.2000,5.2900,113184900,589032055.0000
2019-01-03,sh.601398,5.1800,5.2300,5.1700,5.2000,5.2000,94328427,489960755.0000
2019-01-04,sh.601398,5.1800,5.2800,5.1500,5.2700,5.2000,122442027,639955298.0000
2019-01-07,sh.601398,5.3000,5.3000,5.2300,5.2400,5.2700,99975787,525367219.0000
2019-01-08,sh.601398,5.2500,5.2500,5.1800,5.2000,5.2400,112918431,586983187.0000
2019-01-09,sh.601398,5.2100,5.2900,5.2000,5.2600,5.2000,176193793,927673984.0000
2019-01-10,sh.601398,5.2400,5.2600,5.2000,5.2200,5.2600,83922243,438941576.0000
2019-01-11,sh.601398,5.2300,5.2500,5.2100,5.2400,5.2200,83892180,438851591.0000
2019-01-14,sh.601398,5.2600,5.2600,5.1800,5.2000,5.2400,95145697,495446484.0000
2019-01-15,sh.601398,5.2100,5.2500,5.1900,5.2300,5.2000,118901204,620636208.0000
2019-01-16,sh.601398,5.2300,5.2400,5.2100,5.2400,5.2300,87363957,456703388.0000
2019-01-17,sh.601398,5.2500,5.3100,5.2200,5.2500,5.2400,167314524,880743740.0000
2019-01-18,sh.601398,5.2700,5.4000,5.2500,5.3900,5.2500,251775898,1347139882.0000
2019-01-21,sh.601398,5.4100,5.4800,5.4000,5.4500,5.3900,212618157,1155980186.0000
2019-01-22,sh.601398,5.4600,5.4600,5.3700,5.3900,5.4500,139548630,755135234.0000
2019-01-23,sh.601398,5.4000,5.4500,5.3900,5.4400,5.3900,125388481,680815339.0000
2019-01-24,sh.601398,5.4600,5.4700,5.4200,5.4600,5.4400,88821989,484066271.0000
2019-01-25,sh.601398,5.4800,5.5800,5.4800,5.5200,5.4600,166626976,922146109.0000
2019-01-28,sh.601398,5.6000,5.6400,5.4800,5.5000,5.5200,163948511,911337389.0000
2019-01-29,sh.601398,5.5100,5.5600,5.4800,5.5400,5.5000,130070555,717789267.0000
2019-01-30,sh.601398,5.5400,5.5700,5.5100,5.5500,5.5400,137369658,762016503.0000
2019-01-31,sh.601398,5.5700,5.7000,5.5500,5.6600,5.5500,225105048,1270118548.0000
2019-02-01,sh.601398,5.6800,5.7000,5.6100,5.6500,5.6600,143672442,811725290.0000
2019-02-11,sh.601398,5.6200,5.6500,5.5600,5.6400,5.6500,119563234,671400319.0000
2019-02-12,sh.601398,5.6400,5.6600,5.5900,5.6500,5.6400,84587200,476043887.0000
2019-02-13,sh.601398,5.6500,5.7400,5.6100,5.7100,5.6500,175753881,996024200.0000
2019-02-14,sh.601398,5.6900,5.7000,5.6300,5.6500,5.7100,155418476,878284583.0000
2019-02-15,sh.601398,5.6300,5.6300,5.4800,5.5100,5.6500,213058323,1182691504.0000
2019-02-18,sh.601398,5.5400,5.6000,5.5300,5.6000,5.5100,187401557,1043454663.0000
2019-02-19,sh.601398,5.5900,5.6400,5.5500,5.5700,5.6000,212673098,1186283471.0000
2019-02-20,sh.601398,5.5800,5.6000,5.5500,5.5700,5.5700,106861146,595932403.0000
2019-02-21,sh.601398,5.5700,5.6100,5.5400,5.5600,5.5700,158310223,881970594.0000
2019-02-22,sh.601398,5.5500,5.5500,5.4700,5.5500,5.5600,298324576,1643297727.0000
2019-02-25,sh.601398,5.5700,5.9000,5.5700,5.9000,5.5500,676922544,3865185131.0000
2019-02-26,sh.601398,5.8900,5.9000,5.7400,5.7700,5.9000,458521952,2666027060.0000
2019-02-27,sh.601398,5.7800,5.9300,5.7300,5.8100,5.7700,481514192,2799706270.0000
2019-02-28,sh.601398,5.7900,5.8300,5.7100,5.7500,5.8100,278721184,1607625827.0000
2019-03-01,sh.601398,5.7700,5.8600,5.7100,5.8500,5.7500,337200656,1946441855.0000
2019-03-04,sh.601398,5.9000,5.9900,5.8300,5.8600,5.8500,601826400,3548348327.0000
2019-03-05,sh.601398,5.8300,5.8400,5.7700,5.8200,5.8600,332788496,1930794205.0000
2019-03-06,sh.601398,5.8000,5.8500,5.7900,5.8500,5.8200,326156960,1897117848.0000
2019-03-07,sh.601398,5.8400,5.8400,5.7400,5.7600,5.8500,400488816,2314378722.0000
2019-03-08,sh.601398,5.7000,5.7000,5.5800,5.5900,5.7600,357824992,2021357634.0000
2019-03-11,sh.601398,5.5800,5.6300,5.5500,5.6100,5.5900,232063438,1296366800.0000
2019-03-12,sh.601398,5.6300,5.6800,5.6000,5.6200,5.6100,274303936,1547955028.0000
2019-03-13,sh.601398,5.6100,5.6100,5.5400,5.5800,5.6200,306509456,1706659371.0000
2019-03-14,sh.601398,5.5700,5.6100,5.5400,5.5700,5.5800,226395559,1262154847.0000
2019-03-15,sh.601398,5.5600,5.6200,5.5600,5.5800,5.5700,250067344,1396909155.0000
2019-03-18,sh.601398,5.5700,5.6500,5.5600,5.6500,5.5800,363399824,2037487807.0000
2019-03-19,sh.601398,5.6700,5.6700,5.6200,5.6500,5.6500,245747081,1387001937.0000
2019-03-20,sh.601398,5.6300,5.6500,5.5900,5.6100,5.6500,236245006,1327840234.0000
2019-03-21,sh.601398,5.6100,5.6200,5.5800,5.5900,5.6100,231573432,1296886937.0000
2019-03-22,sh.601398,5.5900,5.6000,5.5500,5.5800,5.5900,191240061,1065810875.0000
2019-03-25,sh.601398,5.5300,5.5500,5.4600,5.4700,5.5800,321876416,1773948858.0000
2019-03-26,sh.601398,5.4900,5.4900,5.4300,5.4500,5.4700,207940075,1134356207.0000
2019-03-27,sh.601398,5.4600,5.5400,5.4500,5.5100,5.4500,263386947,1448761846.0000
2019-03-28,sh.601398,5.4900,5.5000,5.4400,5.4500,5.5100,192243762,1048075591.0000
2019-03-29,sh.601398,5.4700,5.5800,5.4600,5.5700,5.4500,391603648,2167140511.0000
2019-04-01,sh.601398,5.5900,5.6600,5.5900,5.6400,5.5700,487928304,2746619007.0000
2019-04-02,sh.601398,5.6600,5.7000,5.6400,5.6600,5.6400,392476032,2224158960.0000
2019-04-03,sh.601398,5.6000,5.7100,5.6000,5.7000,5.6600,326286720,1849272726.0000
2019-04-04,sh.601398,5.7000,5.8300,5.6900,5.8100,5.7000,452453952,2613628429.0000
2019-04-08,sh.601398,5.8500,5.9800,5.7800,5.8200,5.8100,429367360,2520826723.0000
2019-04-09,sh.601398,5.8100,5.8200,5.7600,5.7800,5.8200,240801573,1393045154.0000
2019-04-10,sh.601398,5.7500,5.7900,5.7000,5.7500,5.7800,241236289,1382006765.0000
2019-04-11,sh.601398,5.7500,5.7900,5.7100,5.7300,5.7500,217126360,1248620756.0000
2019-04-12,sh.601398,5.7200,5.7400,5.7000,5.7300,5.7300,153613761,879599556.0000
2019-04-15,sh.601398,5.8100,5.9300,5.8000,5.8100,5.7300,473497472,2779941677.0000
2019-04-16,sh.601398,5.7800,6.0300,5.7500,6.0000,5.8100,551207248,3278481934.0000
2019-04-17,sh.601398,5.9900,6.0800,5.9600,6.0100,6.0000,364293888,2192184239.0000
2019-04-18,sh.601398,6.0100,6.0300,5.9300,5.9400,6.0100,216478399,1291541522.0000
2019-04-19,sh.601398,5.9400,6.0100,5.9400,5.9800,5.9400,184514226,1102589241.0000
2019-04-22,sh.601398,5.9900,6.0000,5.8100,5.8300,5.9800,273124256,1604367134.0000
2019-04-23,sh.601398,5.8400,5.8500,5.7900,5.8100,5.8300,183104112,1064237189.0000
2019-04-24,sh.601398,5.8200,5.8400,5.7400,5.8100,5.8100,209166808,1213023884.0000
2019-04-25,sh.601398,5.7900,5.8000,5.7100,5.7300,5.8100,225972035,1300357961.0000
2019-04-26,sh.601398,5.7100,5.7600,5.7000,5.7100,5.7300,184000608,1053851685.0000
2019-04-29,sh.601398,5.7300,5.8400,5.7100,5.8000,5.7100,211952969,1225789011.0000
2019-04-30,sh.601398,5.8000,5.8300,5.7400,5.8100,5.8000,185045685,1071096005.0000
2019-05-06,sh.601398,5.6900,5.8000,5.5600,5.7200,5.8100,394210912,2231092909.0000
2019-05-07,sh.601398,5.7000,5.7100,5.6300,5.6600,5.7200,168032614,952166816.0000
2019-05-08,sh.601398,5.6000,5.6400,5.5700,5.5900,5.6600,135587456,759565823.0000
2019-05-09,sh.601398,5.5700,5.5800,5.5000,5.5200,5.5900,167648952,927332814.0000
2019-05-10,sh.601398,5.5400,5.6600,5.5000,5.6100,5.5200,216535905,1208207525.0000
2019-05-13,sh.601398,5.5500,5.5700,5.5300,5.5400,5.6100,116430674,645989042.0000
2019-05-14,sh.601398,5.5100,5.5600,5.5000,5.5200,5.5400,124874548,689966955.0000
2019-05-15,sh.601398,5.5400,5.5900,5.5100,5.5700,5.5200,161565826,896828177.0000
2019-05-16,sh.601398,5.5400,5.6100,5.5300,5.5900,5.5700,154620832,861855987.0000
2019-05-17,sh.601398,5.6000,5.6100,5.5400,5.5700,5.5900,159408338,889465004.0000
2019-05-20,sh.601398,5.5600,5.6500,5.5500,5.6100,5.5700,241457552,1354096098.0000
2019-05-21,sh.601398,5.6100,5.6600,5.6000,5.6400,5.6100,155797678,878069666.0000
2019-05-22,sh.601398,5.6400,5.6600,5.5900,5.6500,5.6400,120887709,681037705.0000
2019-05-23,sh.601398,5.6500,5.6600,5.6200,5.6500,5.6500,186548600,1051733274.0000
2019-05-24,sh.601398,5.6500,5.7200,5.6400,5.7000,5.6500,140020056,796791416.0000
2019-05-27,sh.601398,5.6800,5.6900,5.6200,5.6500,5.7000,178105539,1006664975.0000
2019-05-28,sh.601398,5.6600,5.6800,5.6200,5.6700,5.6500,189308219,1070600877.0000
2019-05-29,sh.601398,5.6400,5.6700,5.6200,5.6500,5.6700,116548599,657781033.0000
2019-05-30,sh.601398,5.6500,5.6700,5.6200,5.6700,5.6500,120565281,680596423.0000
2019-05-31,sh.601398,5.6500,5.6600,5.6000,5.6100,5.6700,148823056,837910267.0000
2019-06-03,sh.601398,5.6200,5.7000,5.6200,5.7000,5.6100,186990203,1059369588.0000
2019-06-04,sh.601398,5.7000,5.7400,5.6800,5.7300,5.7000,164391569,939313934.0000
2019-06-05,sh.601398,5.7400,5.8200,5.7400,5.7600,5.7300,170752119,987984988.0000
