date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601600,3.5300,3.5300,3.4900,3.5000,3.5500,25246903,88589453.0000
2019-01-03,sh.601600,3.5100,3.5500,3.4800,3.5200,3.5000,26714991,93840739.0000
2019-01-04,sh.601600,3.4800,3.5900,3.4700,3.5700,3.5200,41628622,147540848.0000
2019-01-07,sh.601600,3.5900,3.6400,3.5800,3.6200,3.5700,49944608,180538787.0000
2019-01-08,sh.601600,3.6100,3.6400,3.5900,3.6100,3.6200,38167573,138047581.0000
2019-01-09,sh.601600,3.6100,3.6500,3.5900,3.5900,3.6100,36529269,132515744.0000
2019-01-10,sh.601600,3.5900,3.6000,3.5600,3.5600,3.5900,30785563,110104155.0000
2019-01-11,sh.601600,3.5600,3.6300,3.5600,3.6000,3.5600,34248200,123273555.0000
2019-01-14,sh.601600,3.6000,3.6300,3.5800,3.5900,3.6000,27062912,97621170.0000
2019-01-15,sh.601600,3.5900,3.6400,3.5700,3.6200,3.5900,28127124,101444532.0000
2019-01-16,sh.601600,3.6200,3.6300,3.5900,3.6000,3.6200,25550645,92115269.0000
2019-01-17,sh.601600,3.6000,3.6200,3.5500,3.5600,3.6000,40483563,144841213.0000
2019-01-18,sh.601600,3.5700,3.7100,3.5600,3.6800,3.5600,97138532,355460286.0000
2019-01-21,sh.601600,3.6900,3.7300,3.6700,3.7000,3.6800,65104022,240773516.0000
2019-01-22,sh.601600,3.7200,3.7200,3.6500,3.6700,3.7000,34459596,126843290.0000
2019-01-23,sh.601600,3.6700,3.7000,3.6400,3.6800,3.6700,25867882,94966992.0000
2019-01-24,sh.601600,3.6800,3.6900,3.6300,3.6600,3.6800,26116405,95657933.0000
2019-01-25,sh.601600,3.6700,3.6900,3.6600,3.6700,3.6600,21864863,80431413.0000
2019-01-28,sh.601600,3.7000,3.7100,3.6300,3.6300,3.6700,25861697,94859597.0000
2019-01-29,sh.601600,3.6100,3.6300,3.5300,3.5600,3.6300,33909985,120958496.0000
2019-01-30,sh.601600,3.5600,3.5900,3.5500,3.5600,3.5600,19757695,70576600.0000
2019-01-31,sh.601600,3.5700,3.6300,3.5100,3.5300,3.5600,44954879,160460513.0000
2019-02-01,sh.601600,3.5400,3.6200,3.5400,3.6200,3.5300,29532691,106069960.0000
2019-02-11,sh.601600,3.6200,3.6800,3.6200,3.6800,3.6200,31041098,113495325.0000
2019-02-12,sh.601600,3.7200,3.7200,3.6700,3.7000,3.6800,43519594,160864637.0000
2019-02-13,sh.601600,3.7100,3.8800,3.6900,3.8500,3.7000,134559834,512361874.0000
2019-02-14,sh.601600,3.8300,3.9100,3.8200,3.8500,3.8500,85523287,329681990.0000
2019-02-15,sh.601600,3.8500,3.8800,3.7800,3.7900,3.8500,53403961,204322166.0000
2019-02-18,sh.601600,3.8000,3.8800,3.8000,3.8700,3.7900,82111428,315647994.0000
2019-02-19,sh.601600,3.8600,3.9100,3.8100,3.8600,3.8700,85321743,329036204.0000
2019-02-20,sh.601600,3.8600,3.9400,3.8200,3.9400,3.8600,109491312,426707596.0000
2019-02-21,sh.601600,3.9300,3.9400,3.8500,3.8700,3.9400,99316555,387047397.0000
2019-02-22,sh.601600,3.8600,3.8900,3.8200,3.8900,3.8700,80770926,311409464.0000
2019-02-25,sh.601600,3.9100,4.1500,3.9100,4.1300,3.8900,252537144,1022398954.0000
2019-02-26,sh.601600,4.1400,4.4000,4.0700,4.2000,4.1300,286798896,1216020317.0000
2019-02-27,sh.601600,4.2300,4.3000,4.1400,4.2100,4.2000,195960158,829579696.0000
2019-02-28,sh.601600,4.2100,4.3500,4.2000,4.2600,4.2100,161314326,687813963.0000
2019-03-01,sh.601600,4.2800,4.2900,4.1800,4.2500,4.2600,106104920,447992278.0000
2019-03-04,sh.601600,4.2500,4.4000,4.2400,4.3000,4.2500,200958678,867119088.0000
2019-03-05,sh.601600,4.2600,4.4300,4.2100,4.3900,4.3000,194903652,846052015.0000
2019-03-06,sh.601600,4.4400,4.6100,4.3800,4.5800,4.3900,257585665,1159438148.0000
2019-03-07,sh.601600,4.5500,4.8900,4.4800,4.6900,4.5800,281891232,1318919538.0000
2019-03-08,sh.601600,4.5200,4.5800,4.2400,4.3200,4.6900,248618956,1104695738.0000
2019-03-11,sh.601600,4.2900,4.4200,4.2900,4.4100,4.3200,130943476,571406404.0000
2019-03-12,sh.601600,4.4200,4.4700,4.3200,4.3800,4.4100,165532518,729712320.0000
2019-03-13,sh.601600,4.3700,4.4000,4.3000,4.3000,4.3800,120128847,521401124.0000
2019-03-14,sh.601600,4.2800,4.3900,4.1900,4.2400,4.3000,115674098,493906822.0000
2019-03-15,sh.601600,4.2500,4.3200,4.2200,4.2900,4.2400,99099535,422996487.0000
2019-03-18,sh.601600,4.3100,4.4000,4.3000,4.4000,4.2900,116287004,506351676.0000
2019-03-19,sh.601600,4.4100,4.4300,4.3300,4.3700,4.4000,91124737,398061527.0000
2019-03-20,sh.601600,4.3400,4.3900,4.2600,4.3800,4.3700,116931033,505706361.0000
2019-03-21,sh.601600,4.3700,4.4100,4.3400,4.3600,4.3800,113081076,494715469.0000
2019-03-22,sh.601600,4.3600,4.3700,4.2700,4.3200,4.3600,92148438,396950754.0000
2019-03-25,sh.601600,4.2300,4.2800,4.2000,4.2000,4.3200,89085578,377444213.0000
2019-03-26,sh.601600,4.2200,4.2400,4.0700,4.0800,4.2000,88432865,367084549.0000
2019-03-27,sh.601600,4.1000,4.1200,4.0500,4.0900,4.0800,67134931,274704680.0000
2019-03-28,sh.601600,4.0800,4.1300,4.0400,4.0600,4.0900,57988759,236870426.0000
2019-03-29,sh.601600,4.0600,4.2000,4.0400,4.1900,4.0600,100936918,417327909.0000
2019-04-01,sh.601600,4.2200,4.4700,4.2200,4.4400,4.1900,210473010,922053018.0000
2019-04-02,sh.601600,4.4800,4.4900,4.3700,4.4600,4.4400,176524259,781944880.0000
2019-04-03,sh.601600,4.4400,4.4900,4.4000,4.4800,4.4600,129886997,577861220.0000
2019-04-04,sh.601600,4.6800,4.7900,4.5000,4.5500,4.4800,219960793,1016155707.0000
2019-04-08,sh.601600,4.5800,4.7900,4.5500,4.6400,4.5500,258055998,1205581422.0000
2019-04-09,sh.601600,4.6000,4.6100,4.4000,4.5000,4.6400,144269647,649148973.0000
2019-04-10,sh.601600,4.4800,4.5000,4.4200,4.4700,4.5000,104904499,466989825.0000
2019-04-11,sh.601600,4.4600,4.4700,4.3200,4.3400,4.4700,118305939,519159263.0000
