date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601633,5.6200,5.6300,5.5400,5.6100,5.6000,7983649,44674578.0000
2019-01-03,sh.601633,5.6100,5.6500,5.5300,5.5800,5.6100,10235998,57137006.0000
2019-01-04,sh.601633,5.5300,5.6600,5.5000,5.6500,5.5800,14667706,82126478.0000
2019-01-07,sh.601633,5.6800,5.7400,5.6400,5.7400,5.6500,14176603,80815077.0000
2019-01-08,sh.601633,5.7300,5.7400,5.6700,5.6800,5.7400,9664391,54915465.0000
2019-01-09,sh.601633,6.1100,6.2500,6.1100,6.2500,5.6800,57580227,359218646.0000
2019-01-10,sh.601633,6.2100,6.2600,6.0100,6.1000,6.2500,50386763,307705193.0000
2019-01-11,sh.601633,6.0400,6.2400,6.0200,6.1800,6.1000,33747095,206947242.0000
2019-01-14,sh.601633,6.1500,6.1700,6.0100,6.0200,6.1800,20283444,123073787.0000
2019-01-15,sh.601633,6.0800,6.0900,5.9800,6.0500,6.0200,21091860,127352565.0000
2019-01-16,sh.601633,6.0500,6.1900,6.0300,6.1200,6.0500,30412085,186177507.0000
2019-01-17,sh.601633,6.1000,6.1700,6.0700,6.0800,6.1200,20182417,123190459.0000
2019-01-18,sh.601633,6.0800,6.2400,6.0300,6.2000,6.0800,27157146,166885186.0000
2019-01-21,sh.601633,6.2100,6.4000,6.2100,6.3000,6.2000,29212693,184211825.0000
2019-01-22,sh.601633,6.3000,6.3000,6.1000,6.1500,6.3000,14904738,92156142.0000
2019-01-23,sh.601633,6.1100,6.5400,6.0800,6.4100,6.1500,33443568,212766520.0000
2019-01-24,sh.601633,6.4100,6.5400,6.3500,6.4300,6.4100,21052930,135767007.0000
2019-01-25,sh.601633,6.5000,6.6700,6.3900,6.6200,6.4300,26786206,175221935.0000
2019-01-28,sh.601633,6.6200,6.7400,6.4800,6.6300,6.6200,28987043,191747443.0000
2019-01-29,sh.601633,6.6600,6.6900,6.3300,6.4800,6.6300,29955106,194012015.0000
2019-01-30,sh.601633,6.5300,6.6200,6.4200,6.5500,6.4800,15908313,104444935.0000
2019-01-31,sh.601633,6.5600,6.8100,6.5300,6.6000,6.5500,23526498,157098643.0000
2019-02-01,sh.601633,6.6800,6.9200,6.5500,6.8900,6.6000,22365353,151694009.0000
2019-02-11,sh.601633,6.8900,7.0200,6.8100,6.9400,6.8900,15299172,106176080.0000
2019-02-12,sh.601633,6.9500,7.2900,6.9000,7.2900,6.9400,23990830,171782937.0000
2019-02-13,sh.601633,7.2500,7.7700,7.1400,7.4600,7.2900,31390799,230665355.0000
2019-02-14,sh.601633,7.3400,7.4200,7.2100,7.3000,7.4600,20388129,148847903.0000
