date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601668,5.6700,5.7300,5.5500,5.6000,5.7000,108199906,608367128.0000
2019-01-03,sh.601668,5.5700,5.6400,5.5200,5.6000,5.6000,60104715,335024111.0000
2019-01-04,sh.601668,5.5500,5.7400,5.5500,5.7300,5.6000,100220201,568816384.0000
2019-01-07,sh.601668,5.7900,5.8300,5.7200,5.7400,5.7300,99080254,570216638.0000
2019-01-08,sh.601668,5.7200,5.7700,5.6800,5.7200,5.7400,54946243,314107120.0000
2019-01-09,sh.601668,5.7500,5.8300,5.7100,5.7100,5.7200,91308445,527461977.0000
2019-01-10,sh.601668,5.7000,5.7500,5.6600,5.6800,5.7100,53662995,305571618.0000
2019-01-11,sh.601668,5.7200,5.7300,5.6400,5.6900,5.6800,44999793,255519532.0000
2019-01-14,sh.601668,5.6800,5.7000,5.6400,5.6500,5.6900,36351151,205762404.0000
2019-01-15,sh.601668,5.6700,5.7600,5.6400,5.7400,5.6500,80888903,462248105.0000
2019-01-16,sh.601668,5.7400,5.7600,5.7000,5.7500,5.7400,49182070,281971248.0000
2019-01-17,sh.601668,5.7900,5.7900,5.6900,5.7000,5.7500,56543036,324176752.0000
2019-01-18,sh.601668,5.8000,5.9800,5.7900,5.9800,5.7000,183100688,1081928067.0000
2019-01-21,sh.601668,5.9700,6.0100,5.9300,5.9700,5.9800,85308453,509077233.0000
2019-01-22,sh.601668,5.9700,5.9900,5.8700,5.9000,5.9700,62894691,372025197.0000
2019-01-23,sh.601668,5.9200,6.0000,5.9100,5.9300,5.9000,61993735,369005324.0000
2019-01-24,sh.601668,5.9800,5.9800,5.8200,5.8900,5.9300,71286179,418983925.0000
2019-01-25,sh.601668,5.9300,6.1000,5.9000,6.0500,5.8900,145691776,879074329.0000
2019-01-28,sh.601668,6.1100,6.1300,6.0200,6.0300,6.0500,82330167,500564502.0000
2019-01-29,sh.601668,6.0200,6.1500,6.0100,6.1400,6.0300,104328335,636037561.0000
2019-01-30,sh.601668,6.1100,6.1600,6.0600,6.0700,6.1400,80098127,489236630.0000
2019-01-31,sh.601668,6.1200,6.1600,6.0800,6.1200,6.0700,76924065,471084864.0000
2019-02-01,sh.601668,6.1800,6.1800,6.0400,6.1300,6.1200,83511891,509990296.0000
2019-02-11,sh.601668,6.1000,6.1200,6.0200,6.1100,6.1300,100573329,610687515.0000
2019-02-12,sh.601668,6.1200,6.1800,6.0800,6.1700,6.1100,92339625,566935710.0000
2019-02-13,sh.601668,6.2100,6.2300,6.1300,6.2000,6.1700,136932153,845441552.0000
2019-02-14,sh.601668,6.1600,6.2500,6.1600,6.1700,6.2000,103158755,638481446.0000
2019-02-15,sh.601668,6.1500,6.1600,6.0100,6.0300,6.1700,139061699,845021376.0000
2019-02-18,sh.601668,6.0700,6.1300,6.0600,6.1300,6.0300,170253838,1037591868.0000
2019-02-19,sh.601668,6.1300,6.1500,6.0300,6.0700,6.1300,191011957,1162108512.0000
2019-02-20,sh.601668,6.0700,6.1100,6.0500,6.0900,6.0700,125697206,763437164.0000
2019-02-21,sh.601668,6.0800,6.1000,5.9800,6.0000,6.0900,197115794,1190569671.0000
2019-02-22,sh.601668,6.0000,6.0300,5.9200,6.0300,6.0000,174222225,1039554843.0000
2019-02-25,sh.601668,6.0500,6.3200,6.0300,6.3200,6.0300,531155632,3280846898.0000
2019-02-26,sh.601668,6.3000,6.5700,6.2300,6.3000,6.3200,738186992,4727533601.0000
2019-02-27,sh.601668,6.2800,6.3900,6.2000,6.2500,6.3000,476955760,2993973601.0000
2019-02-28,sh.601668,6.2800,6.3000,6.1300,6.1500,6.2500,356075968,2208908156.0000
2019-03-01,sh.601668,6.1900,6.2400,6.1200,6.2300,6.1500,309015264,1908600746.0000
2019-03-04,sh.601668,6.2800,6.4700,6.2200,6.3100,6.2300,723369776,4577806737.0000
2019-03-05,sh.601668,6.3100,6.4400,6.2600,6.3600,6.3100,583371264,3697160661.0000
2019-03-06,sh.601668,6.3700,6.4300,6.3300,6.4100,6.3600,489493536,3119600276.0000
2019-03-07,sh.601668,6.3800,6.4400,6.2700,6.3200,6.4100,474349104,3011571639.0000
2019-03-08,sh.601668,6.2100,6.2200,6.0100,6.0300,6.3200,432124528,2647874937.0000
2019-03-11,sh.601668,6.0000,6.1100,5.9800,6.1000,6.0300,259373091,1570836178.0000
2019-03-12,sh.601668,6.1300,6.2400,6.0800,6.1300,6.1000,312428160,1926095130.0000
2019-03-13,sh.601668,6.1200,6.1600,6.0400,6.0800,6.1300,216495983,1318471390.0000
2019-03-14,sh.601668,6.0700,6.1400,6.0300,6.0700,6.0800,156952661,953710402.0000
2019-03-15,sh.601668,6.0800,6.1600,6.0700,6.1200,6.0700,194927148,1192346187.0000
2019-03-18,sh.601668,6.1400,6.3800,6.1300,6.3700,6.1200,489436992,3081355988.0000
2019-03-19,sh.601668,6.3800,6.4000,6.2400,6.2800,6.3700,254777179,1606166006.0000
2019-03-20,sh.601668,6.2800,6.3000,6.1600,6.2500,6.2800,206243272,1286287993.0000
2019-03-21,sh.601668,6.2500,6.2800,6.2100,6.2300,6.2500,191129530,1192763622.0000
2019-03-22,sh.601668,6.2200,6.3100,6.1900,6.2500,6.2300,184712253,1153666253.0000
2019-03-25,sh.601668,6.1300,6.1500,6.0400,6.0600,6.2500,279043824,1701534985.0000
2019-03-26,sh.601668,6.0900,6.1000,5.9700,5.9800,6.0600,183971096,1108098351.0000
2019-03-27,sh.601668,6.0100,6.0300,5.9800,6.0000,5.9800,109429828,657124188.0000
2019-03-28,sh.601668,5.9900,6.0400,5.9300,5.9600,6.0000,137239778,819132854.0000
2019-03-29,sh.601668,5.9600,6.1300,5.9300,6.1200,5.9600,233725976,1417706117.0000
2019-04-01,sh.601668,6.1400,6.2500,6.1300,6.2400,6.1200,287925648,1789249593.0000
2019-04-02,sh.601668,6.2800,6.2900,6.1500,6.1900,6.2400,245787572,1526093264.0000
2019-04-03,sh.601668,6.1800,6.3400,6.1400,6.3400,6.1900,511860688,3212835312.0000
2019-04-04,sh.601668,6.3500,6.4000,6.2400,6.3100,6.3400,423938176,2680542692.0000
2019-04-08,sh.601668,6.3700,6.4500,6.3000,6.3900,6.3100,420458688,2682200311.0000
2019-04-09,sh.601668,6.4000,6.5000,6.3500,6.4700,6.3900,373100144,2400021042.0000
2019-04-10,sh.601668,6.4300,6.5800,6.3900,6.5300,6.4700,398911664,2592960405.0000
2019-04-11,sh.601668,6.5600,6.5800,6.3200,6.3500,6.5300,277836224,1785834198.0000
2019-04-12,sh.601668,6.3700,6.4800,6.3300,6.4000,6.3500,241908118,1545893257.0000
2019-04-15,sh.601668,6.5000,6.6800,6.4600,6.5100,6.4000,527488128,3460837544.0000
2019-04-16,sh.601668,6.5100,6.6900,6.4800,6.6800,6.5100,404396944,2665977118.0000
2019-04-17,sh.601668,6.7100,6.7300,6.6000,6.6200,6.6800,243923022,1623514995.0000
2019-04-18,sh.601668,6.6100,6.6300,6.5300,6.5500,6.6200,182355220,1199472058.0000
2019-04-19,sh.601668,6.5600,6.6100,6.5100,6.6000,6.5500,161128979,1057873201.0000
2019-04-22,sh.601668,6.6300,6.6500,6.3700,6.4000,6.6000,295832240,1914820702.0000
2019-04-23,sh.601668,6.4000,6.4400,6.3600,6.3800,6.4000,174819279,1119826765.0000
2019-04-24,sh.601668,6.4000,6.4300,6.3200,6.4000,6.3800,142702898,910498827.0000
2019-04-25,sh.601668,6.3800,6.3900,6.2000,6.2200,6.4000,187872486,1182317736.0000
2019-04-26,sh.601668,6.2000,6.2400,6.0900,6.1000,6.2200,197521214,1214934528.0000
2019-04-29,sh.601668,6.1400,6.2200,6.0900,6.1400,6.1000,167657732,1031595907.0000
2019-04-30,sh.601668,6.1100,6.1600,6.0900,6.1300,6.1400,115295457,706190646.0000
2019-05-06,sh.601668,6.0000,6.0500,5.7600,5.7900,6.1300,292528368,1722306426.0000
2019-05-07,sh.601668,5.8600,5.9100,5.8000,5.8400,5.7900,138885032,813188531.0000
2019-05-08,sh.601668,5.7900,5.8600,5.7100,5.7600,5.8400,127284862,735217678.0000
2019-05-09,sh.601668,5.7300,5.8100,5.6400,5.6500,5.7600,134111943,763286494.0000
2019-05-10,sh.601668,5.7200,5.7600,5.5800,5.7300,5.6500,153025390,874252302.0000
2019-05-13,sh.601668,5.6800,5.7200,5.6500,5.6700,5.7300,93728421,533232549.0000
2019-05-14,sh.601668,5.6400,5.7400,5.6200,5.6300,5.6700,99198845,562494559.0000
2019-05-15,sh.601668,5.6700,5.7500,5.6500,5.7000,5.6300,117843877,671396288.0000
2019-05-16,sh.601668,5.7000,5.7500,5.6700,5.7300,5.7000,117330828,670303697.0000
2019-05-17,sh.601668,5.7300,5.7400,5.6100,5.6300,5.7300,118553006,671889136.0000
2019-05-20,sh.601668,5.6200,5.6700,5.5100,5.5400,5.6300,112577878,626518835.0000
2019-05-21,sh.601668,5.5500,5.6100,5.5300,5.5600,5.5400,99571041,554292694.0000
2019-05-22,sh.601668,5.5600,5.5700,5.4500,5.4800,5.5600,131091983,721478820.0000
2019-05-23,sh.601668,5.4700,5.5400,5.3900,5.4800,5.4800,134959703,737291335.0000
2019-05-24,sh.601668,5.4800,5.5500,5.4700,5.5100,5.4800,86428366,476586056.0000
2019-05-27,sh.601668,5.5100,5.5900,5.4800,5.5700,5.5100,86451808,479145913.0000
2019-05-28,sh.601668,5.5700,5.6300,5.5300,5.6000,5.5700,123649553,690647566.0000
2019-05-29,sh.601668,5.5600,5.6300,5.5500,5.5700,5.6000,81597808,455548500.0000
2019-05-30,sh.601668,5.5700,5.6100,5.5500,5.6000,5.5700,83220996,464408895.0000
2019-05-31,sh.601668,5.6000,5.6500,5.5800,5.6100,5.6000,79384015,446880511.0000
2019-06-03,sh.601668,5.6100,5.6900,5.5800,5.6300,5.6100,91836277,517841519.0000
2019-06-04,sh.601668,5.6500,5.6600,5.5600,5.5900,5.6300,62091718,347606313.0000
2019-06-05,sh.601668,5.6400,5.7000,5.6300,5.6600,5.5900,91148592,516563317.0000
2019-06-06,sh.601668,5.6800,5.7000,5.6400,5.6700,5.6600,65045356,369114727.0000
