date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601689,14.7800,14.9500,14.5100,14.5600,14.7800,916991,13392832.0000
2019-01-03,sh.601689,14.5700,14.7000,14.4300,14.4700,14.5600,1058000,15363567.0000
2019-01-04,sh.601689,14.4000,14.7200,14.0000,14.7200,14.4700,1365849,19939551.0000
2019-01-07,sh.601689,14.8500,15.1100,14.7300,15.0700,14.7200,2295545,34386409.0000
2019-01-08,sh.601689,15.0800,15.1500,14.8700,14.9500,15.0700,1615725,24158559.0000
2019-01-09,sh.601689,15.3900,15.6500,15.1500,15.3000,14.9500,5688951,87752206.0000
2019-01-10,sh.601689,15.3300,15.3300,15.0300,15.0800,15.3000,1605800,24363310.0000
2019-01-11,sh.601689,15.1000,15.3000,14.9600,15.1500,15.0800,1297300,19628745.0000
2019-01-14,sh.601689,15.1500,15.1500,14.9600,15.0000,15.1500,931025,13977415.0000
2019-01-15,sh.601689,15.0200,15.1800,14.9300,15.1000,15.0000,1736700,26136617.0000
2019-01-16,sh.601689,15.1000,15.3300,15.0100,15.2300,15.1000,2485843,37738050.0000
2019-01-17,sh.601689,15.2200,15.2400,14.8300,14.8400,15.2300,2713528,40521508.0000
2019-01-18,sh.601689,14.8200,14.9300,14.5600,14.8400,14.8400,2051674,30263621.0000
2019-01-21,sh.601689,14.8900,14.9300,14.8100,14.8700,14.8400,1099958,16357088.0000
2019-01-22,sh.601689,14.8700,14.8700,14.5200,14.6300,14.8700,1499700,22025169.0000
2019-01-23,sh.601689,14.5800,14.7600,14.5000,14.5500,14.6300,1552774,22707777.0000
2019-01-24,sh.601689,14.6700,14.7000,14.4300,14.6100,14.5500,1689802,24642297.0000
2019-01-25,sh.601689,14.6800,14.8200,14.5600,14.6000,14.6100,1171402,17201219.0000
2019-01-28,sh.601689,14.6600,14.8400,14.2700,14.4500,14.6000,1960729,28424871.0000
2019-01-29,sh.601689,14.4000,14.4100,14.0800,14.2600,14.4500,1736526,24673124.0000
2019-01-30,sh.601689,14.2000,14.3700,14.1200,14.1300,14.2600,921113,13081410.0000
2019-01-31,sh.601689,14.1900,14.3400,14.0900,14.1600,14.1300,1158398,16458760.0000
2019-02-01,sh.601689,14.1600,14.6500,14.1600,14.6200,14.1600,1851103,26866015.0000
2019-02-11,sh.601689,14.6100,14.7900,14.5700,14.7800,14.6200,1873800,27531937.0000
2019-02-12,sh.601689,14.7100,14.9800,14.6500,14.9500,14.7800,3541187,52707557.0000
2019-02-13,sh.601689,14.9700,15.3500,14.9500,15.2600,14.9500,4679870,70809010.0000
2019-02-14,sh.601689,15.2000,15.4100,15.1500,15.2500,15.2600,2879370,44024050.0000
2019-02-15,sh.601689,15.3000,15.4400,15.0800,15.1000,15.2500,2798741,42657982.0000
2019-02-18,sh.601689,15.0900,15.7800,15.0900,15.5900,15.1000,3646930,56441776.0000
2019-02-19,sh.601689,15.6000,15.7500,15.3500,15.4400,15.5900,3813267,59064223.0000
2019-02-20,sh.601689,15.4700,15.5600,15.0300,15.2000,15.4400,3697649,56188197.0000
