date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601766,8.9800,9.0400,8.7000,8.8400,9.0200,49188653,434483384.0000
2019-01-03,sh.601766,8.8400,9.0500,8.7600,9.0400,8.8400,52822840,472865415.0000
2019-01-04,sh.601766,8.9600,9.2000,8.8900,9.1900,9.0400,66147349,600451510.0000
2019-01-07,sh.601766,9.3100,9.4500,9.2200,9.2300,9.1900,69171342,644319544.0000
2019-01-08,sh.601766,9.1900,9.4300,9.1900,9.3000,9.2300,46528541,433666284.0000
2019-01-09,sh.601766,9.4100,9.4700,9.1600,9.1700,9.3000,56709983,528678922.0000
2019-01-10,sh.601766,9.1400,9.1500,9.0100,9.0400,9.1700,46424198,420898385.0000
2019-01-11,sh.601766,9.0700,9.0800,8.9500,9.0400,9.0400,34479666,311041189.0000
2019-01-14,sh.601766,9.0000,9.1000,8.9800,9.0300,9.0400,26649964,240628004.0000
2019-01-15,sh.601766,9.0600,9.0900,8.9800,9.0700,9.0300,39253332,354824862.0000
2019-01-16,sh.601766,9.0700,9.1000,8.9800,9.0100,9.0700,33580869,303232390.0000
2019-01-17,sh.601766,9.0500,9.0500,8.9100,8.9200,9.0100,28694752,257457779.0000
2019-01-18,sh.601766,8.9600,9.0000,8.9200,8.9700,8.9200,32912119,294816928.0000
2019-01-21,sh.601766,8.9300,9.0500,8.9300,8.9500,8.9700,33154331,297556119.0000
2019-01-22,sh.601766,8.9600,8.9700,8.8600,8.9100,8.9500,34695191,308934690.0000
2019-01-23,sh.601766,8.9100,8.9400,8.6900,8.6900,8.9100,70037983,613187816.0000
2019-01-24,sh.601766,8.6700,8.7100,8.3800,8.4600,8.6900,92366611,781829735.0000
2019-01-25,sh.601766,8.4900,8.6700,8.4300,8.6100,8.4600,70731448,606811923.0000
2019-01-28,sh.601766,8.6600,8.8000,8.6500,8.7300,8.6100,44250663,386627733.0000
2019-01-29,sh.601766,8.7300,8.7800,8.6100,8.7400,8.7300,36136324,314698998.0000
2019-01-30,sh.601766,8.7500,8.7500,8.6000,8.6100,8.7400,25550591,220620805.0000
2019-01-31,sh.601766,8.6700,8.6700,8.4800,8.5400,8.6100,34786780,297833432.0000
2019-02-01,sh.601766,8.6100,8.6400,8.5000,8.6300,8.5400,30201584,259088275.0000
