date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601899,3.2900,3.2900,3.0100,3.0100,3.3400,344893936,1053924528.0000
2019-01-03,sh.601899,2.9600,3.0600,2.9400,3.0500,3.0100,223657048,671474346.0000
2019-01-04,sh.601899,3.0400,3.0900,3.0200,3.0800,3.0500,136524076,418297509.0000
2019-01-07,sh.601899,3.0800,3.1000,3.0500,3.0800,3.0800,140964202,432767016.0000
2019-01-08,sh.601899,3.0800,3.0800,3.0300,3.0400,3.0800,111505464,340018009.0000
2019-01-09,sh.601899,3.0400,3.0900,3.0300,3.0600,3.0400,102030136,312767505.0000
2019-01-10,sh.601899,3.0700,3.0900,3.0500,3.0700,3.0600,82158912,252413214.0000
2019-01-11,sh.601899,3.0600,3.0700,3.0400,3.0500,3.0700,65781950,200926574.0000
2019-01-14,sh.601899,3.0600,3.0700,3.0300,3.0500,3.0500,76629224,233837403.0000
2019-01-15,sh.601899,3.0400,3.0500,3.0100,3.0500,3.0500,97828330,296207954.0000
2019-01-16,sh.601899,3.0400,3.0500,2.9700,2.9900,3.0500,140584685,421550055.0000
2019-01-17,sh.601899,3.0000,3.0200,2.9700,3.0000,2.9900,113644594,340311195.0000
2019-01-18,sh.601899,3.0000,3.0300,2.9800,3.0300,3.0000,127583959,384932071.0000
2019-01-21,sh.601899,3.0300,3.0300,3.0000,3.0100,3.0300,95026517,286619405.0000
2019-01-22,sh.601899,3.0100,3.0100,2.9700,2.9800,3.0100,75337852,224932194.0000
2019-01-23,sh.601899,2.9900,2.9900,2.9700,2.9800,2.9800,54932032,163490858.0000
2019-01-24,sh.601899,2.9700,2.9800,2.9600,2.9700,2.9800,56591581,168086165.0000
2019-01-25,sh.601899,2.9700,2.9800,2.9600,2.9800,2.9700,45509255,135332535.0000
2019-01-28,sh.601899,3.0100,3.0200,2.9900,2.9900,2.9800,93396791,280438867.0000
2019-01-29,sh.601899,2.9900,2.9900,2.9300,2.9500,2.9900,105175315,311184295.0000
2019-01-30,sh.601899,2.9600,2.9700,2.9500,2.9700,2.9500,49189999,145594596.0000
2019-01-31,sh.601899,2.9800,3.0200,2.9600,2.9800,2.9700,112379860,335933675.0000
2019-02-01,sh.601899,2.9900,3.0100,2.9700,3.0100,2.9800,86699838,259499586.0000
2019-02-11,sh.601899,3.0100,3.0600,3.0100,3.0500,3.0100,152350959,462853611.0000
2019-02-12,sh.601899,3.0400,3.0800,3.0300,3.0800,3.0500,150506609,460753002.0000
2019-02-13,sh.601899,3.0900,3.2200,3.0600,3.2000,3.0800,277932624,878670581.0000
2019-02-14,sh.601899,3.1900,3.1900,3.1400,3.1700,3.2000,132319449,418775529.0000
2019-02-15,sh.601899,3.1600,3.3000,3.1600,3.2500,3.1700,248612565,809923218.0000
2019-02-18,sh.601899,3.2700,3.4200,3.2700,3.4000,3.2500,267694257,898396864.0000
2019-02-19,sh.601899,3.4100,3.4700,3.3700,3.3900,3.4000,198043064,675266281.0000
2019-02-20,sh.601899,3.4800,3.5800,3.4400,3.5100,3.3900,304060192,1071154024.0000
2019-02-21,sh.601899,3.5300,3.5600,3.4500,3.4900,3.5100,227817222,798430780.0000
2019-02-22,sh.601899,3.4200,3.4800,3.4000,3.4800,3.4900,196605150,674102083.0000
2019-02-25,sh.601899,3.5100,3.7700,3.5000,3.7400,3.4800,421263088,1541419020.0000
2019-02-26,sh.601899,3.6800,3.7900,3.6600,3.6900,3.7400,338028800,1259418280.0000
2019-02-27,sh.601899,3.6600,3.7100,3.5900,3.6300,3.6900,274601696,1000401454.0000
2019-02-28,sh.601899,3.6200,3.6500,3.5600,3.5800,3.6300,139667105,501639130.0000
2019-03-01,sh.601899,3.5900,3.6300,3.5500,3.6300,3.5800,131776899,472651861.0000
2019-03-04,sh.601899,3.6200,3.7100,3.5800,3.6300,3.6300,297107376,1082746508.0000
2019-03-05,sh.601899,3.5800,3.6200,3.5600,3.6100,3.6300,212953785,763237487.0000
2019-03-06,sh.601899,3.6200,3.7300,3.6100,3.7000,3.6100,342072784,1256969888.0000
2019-03-07,sh.601899,3.6800,3.8600,3.6500,3.7700,3.7000,468007536,1764096440.0000
2019-03-08,sh.601899,3.6800,3.6900,3.5300,3.5500,3.7700,310032384,1120571834.0000
2019-03-11,sh.601899,3.5500,3.6100,3.5300,3.6100,3.5500,184553876,659811851.0000
2019-03-12,sh.601899,3.6300,3.6400,3.5700,3.6000,3.6100,221104114,797310719.0000
2019-03-13,sh.601899,3.6200,3.6300,3.5500,3.5600,3.6000,169520946,607876408.0000
2019-03-14,sh.601899,3.5600,3.6100,3.4300,3.4500,3.5600,182958636,642706827.0000
2019-03-15,sh.601899,3.4500,3.5100,3.4300,3.4800,3.4500,149209484,517591807.0000
2019-03-18,sh.601899,3.4800,3.5700,3.4800,3.5600,3.4800,157844342,555408698.0000
2019-03-19,sh.601899,3.5700,3.5800,3.5100,3.5500,3.5600,148766752,528713620.0000
2019-03-20,sh.601899,3.5400,3.5800,3.4900,3.5400,3.5500,147702573,522397780.0000
2019-03-21,sh.601899,3.5800,3.6700,3.5700,3.6400,3.5400,313392128,1138116588.0000
2019-03-22,sh.601899,3.6200,3.6300,3.5600,3.5900,3.6400,159107065,570971113.0000
2019-03-25,sh.601899,3.5700,3.5800,3.5100,3.5200,3.5900,185615645,657300552.0000
2019-03-26,sh.601899,3.5500,3.5900,3.4800,3.5000,3.5200,158470262,561080935.0000
2019-03-27,sh.601899,3.5000,3.5100,3.4100,3.4700,3.5000,151900538,523928947.0000
2019-03-28,sh.601899,3.4300,3.4700,3.4100,3.4500,3.4700,103903538,357584262.0000
2019-03-29,sh.601899,3.4300,3.5100,3.4100,3.5100,3.4500,167790834,581712051.0000
2019-04-01,sh.601899,3.5500,3.7200,3.5400,3.6500,3.5100,346648720,1259302128.0000
2019-04-02,sh.601899,3.6700,3.6900,3.6100,3.6600,3.6500,235620825,859311920.0000
2019-04-03,sh.601899,3.6300,3.7200,3.6100,3.7000,3.6600,230835767,848546417.0000
2019-04-04,sh.601899,3.7200,3.8400,3.7000,3.7300,3.7000,288487952,1085739335.0000
2019-04-08,sh.601899,3.7600,3.8100,3.6800,3.7500,3.7300,333352432,1246674096.0000
2019-04-09,sh.601899,3.7600,3.8000,3.6300,3.6900,3.7500,257117880,951603150.0000
2019-04-10,sh.601899,3.6800,3.7000,3.6300,3.6800,3.6900,197666788,723624001.0000
2019-04-11,sh.601899,3.6700,3.6900,3.6000,3.6100,3.6800,156941363,570926700.0000
2019-04-12,sh.601899,3.5700,3.5900,3.5100,3.5500,3.6100,170424612,604890841.0000
2019-04-15,sh.601899,3.5900,3.6300,3.4900,3.5200,3.5500,160273922,573876253.0000
2019-04-16,sh.601899,3.5000,3.6400,3.4800,3.6300,3.5200,263379873,948318251.0000
2019-04-17,sh.601899,3.6000,3.6200,3.5600,3.5900,3.6300,226071018,811982992.0000
2019-04-18,sh.601899,3.5800,3.6300,3.5400,3.5600,3.5900,175409777,629662487.0000
2019-04-19,sh.601899,3.5400,3.5700,3.5100,3.5700,3.5600,158245475,559821155.0000
2019-04-22,sh.601899,3.5800,3.5900,3.5100,3.5400,3.5700,148102227,524731660.0000
2019-04-23,sh.601899,3.5200,3.5300,3.4500,3.4700,3.5400,146636430,510690419.0000
2019-04-24,sh.601899,3.4600,3.4900,3.4300,3.4900,3.4700,109202266,376959548.0000
2019-04-25,sh.601899,3.4700,3.4700,3.3800,3.3900,3.4900,172772380,591371024.0000
2019-04-26,sh.601899,3.3700,3.4000,3.3300,3.3300,3.3900,123799987,415461141.0000
2019-04-29,sh.601899,3.3500,3.3600,3.3000,3.3100,3.3300,127627281,425138734.0000
2019-04-30,sh.601899,3.3000,3.3300,3.2800,3.3200,3.3100,117784272,388963818.0000
2019-05-06,sh.601899,3.2200,3.2800,3.1500,3.1800,3.3200,230442131,739351343.0000
2019-05-07,sh.601899,3.1800,3.2100,3.1500,3.2100,3.1800,146427468,465262257.0000
2019-05-08,sh.601899,3.1700,3.3000,3.1600,3.2800,3.2100,162070654,524053530.0000
2019-05-09,sh.601899,3.2300,3.2500,3.1900,3.2000,3.2800,103281446,332260356.0000
2019-05-10,sh.601899,3.2200,3.2500,3.2000,3.2500,3.2000,114172700,368469920.0000
2019-05-13,sh.601899,3.2200,3.2300,3.2000,3.2000,3.2500,61057401,196370624.0000
2019-05-14,sh.601899,3.2300,3.2900,3.2300,3.2500,3.2000,145078681,472593703.0000
2019-05-15,sh.601899,3.2300,3.2700,3.2200,3.2600,3.2500,99146627,321697731.0000
2019-05-16,sh.601899,3.2400,3.3500,3.2400,3.3100,3.2600,150643893,497132664.0000
2019-05-17,sh.601899,3.2800,3.2900,3.2000,3.2100,3.3100,120071846,389050310.0000
2019-05-20,sh.601899,3.1900,3.2000,3.1500,3.1900,3.2100,69048190,219325757.0000
2019-05-21,sh.601899,3.1800,3.2700,3.1700,3.2400,3.1900,87065610,281220484.0000
2019-05-22,sh.601899,3.2400,3.2600,3.2100,3.2300,3.2400,57109946,184427616.0000
2019-05-23,sh.601899,3.2200,3.2300,3.1800,3.1900,3.2300,48545816,155472684.0000
2019-05-24,sh.601899,3.2200,3.2300,3.1900,3.2000,3.1900,44999395,144322192.0000
2019-05-27,sh.601899,3.1900,3.2300,3.1800,3.2200,3.2000,76507453,245418875.0000
2019-05-28,sh.601899,3.2200,3.2400,3.1900,3.2300,3.2200,96931021,311977015.0000
2019-05-29,sh.601899,3.2000,3.2300,3.2000,3.2300,3.2300,63991993,205822189.0000
2019-05-30,sh.601899,3.2100,3.2200,3.1700,3.2100,3.2300,76343565,244296235.0000
2019-05-31,sh.601899,3.2300,3.2500,3.2200,3.2500,3.2100,113893012,368863749.0000
2019-06-03,sh.601899,3.3000,3.3600,3.2700,3.3400,3.2500,266795971,888632128.0000
2019-06-04,sh.601899,3.3900,3.4000,3.2900,3.3100,3.3400,171255469,571587163.0000
2019-06-05,sh.601899,3.3100,3.3700,3.2900,3.3600,3.3100,157710476,526815268.0000
2019-06-06,sh.601899,3.3300,3.3700,3.3000,3.3000,3.3600,121516118,405147975.0000
2019-06-10,sh.601899,3.3000,3.3000,3.2200,3.2500,3.3000,158761527,516379882.0000
2019-06-11,sh.601899,3.2400,3.3300,3.2200,3.3200,3.2500,154686714,507671330.0000
2019-06-12,sh.601899,3.3000,3.4800,3.2900,3.4200,3.3200,375130400,1271788146.0000
2019-06-13,sh.601899,3.3900,3.4300,3.3600,3.4000,3.4200,184375944,624813001.0000
