date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002012,3.9400,3.9700,3.8400,3.8500,3.9200,4683400,18218945.6900
2019-01-03,sz.002012,3.8900,3.8900,3.7900,3.8400,3.8500,6056627,23347134.4100
2019-01-04,sz.002012,3.8100,3.9600,3.7700,3.9300,3.8400,9266887,36080348.3500
2019-01-07,sz.002012,3.9600,4.1200,3.9200,4.0800,3.9300,9966776,40290780.2100
2019-01-08,sz.002012,4.0700,4.2000,4.0500,4.1400,4.0800,11085148,45856996.1500
2019-01-09,sz.002012,4.1600,4.3500,4.1100,4.1400,4.1400,11562595,48809955.3300
2019-01-10,sz.002012,4.1400,4.2600,4.1400,4.2000,4.1400,7977671,33559466.5700
2019-01-11,sz.002012,4.1800,4.3200,4.1500,4.2600,4.2000,27957594,118112783.7900
2019-01-14,sz.002012,4.2500,4.6900,4.1700,4.6900,4.2600,71777953,325546726.2900
2019-01-15,sz.002012,4.4600,5.1000,4.4600,4.8800,4.6900,80547950,379468806.7700
2019-01-16,sz.002012,4.7000,4.7800,4.5800,4.7500,4.8800,41104764,192258290.1700
2019-01-17,sz.002012,4.6800,4.7700,4.5000,4.5300,4.7500,30218360,139875085.3300
2019-01-18,sz.002012,4.5100,4.6100,4.3200,4.5000,4.5300,26891132,119727264.4100
2019-01-21,sz.002012,4.4500,4.5300,4.3000,4.3700,4.5000,24317147,107249531.4700
2019-01-22,sz.002012,4.3800,4.3800,4.2000,4.2700,4.3700,18365692,78634670.8400
2019-01-23,sz.002012,4.2200,4.6200,4.2200,4.4400,4.2700,38480478,170931937.9100
2019-01-24,sz.002012,4.4100,4.4400,4.2700,4.3100,4.4400,20124169,87120676.1100
2019-01-25,sz.002012,4.2600,4.7400,4.2500,4.7400,4.3100,78595124,362210167.4700
2019-01-28,sz.002012,4.7200,4.7300,4.3500,4.4400,4.7400,65607583,299327435.8400
2019-01-29,sz.002012,4.2500,4.2600,4.0000,4.0000,4.4400,10249800,41730337.0000
2019-01-30,sz.002012,3.6000,3.6000,3.6000,3.6000,4.0000,3717000,13381200.0000
2019-01-31,sz.002012,3.2400,3.5800,3.2400,3.5100,3.6000,52464916,176291424.5400
2019-02-01,sz.002012,3.4500,3.6000,3.4100,3.5200,3.5100,21738904,76908552.0100
2019-02-11,sz.002012,3.5300,3.6400,3.4800,3.6000,3.5200,20394507,72721694.9600
2019-02-12,sz.002012,3.6100,3.8400,3.5800,3.7600,3.6000,22260270,83498023.7700
