date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601919,4.0200,4.0900,4.0200,4.0800,4.0400,12475646,50640170.0000
2019-01-03,sh.601919,4.0800,4.2200,4.0600,4.2000,4.0800,22003741,91620017.0000
2019-01-04,sh.601919,4.1700,4.2900,4.1500,4.2900,4.2000,18426352,78278205.0000
2019-01-07,sh.601919,4.2900,4.3700,4.2700,4.3600,4.2900,22988845,99256869.0000
2019-01-08,sh.601919,4.3500,4.5800,4.3200,4.4700,4.3600,40567284,182584162.0000
2019-01-09,sh.601919,4.4500,4.6800,4.4500,4.5900,4.4700,31910257,146787264.0000
2019-01-10,sh.601919,4.5700,4.7000,4.5100,4.5600,4.5900,24019057,110445710.0000
2019-01-11,sh.601919,4.5400,4.6200,4.5100,4.5900,4.5600,13632115,62316848.0000
2019-01-14,sh.601919,4.6000,4.6100,4.4700,4.5500,4.5900,13711756,62342962.0000
2019-01-15,sh.601919,4.6100,4.6800,4.5400,4.5600,4.5500,15640754,71777462.0000
2019-01-16,sh.601919,4.5700,4.6000,4.5200,4.5600,4.5600,10590745,48366416.0000
2019-01-17,sh.601919,4.5600,4.5900,4.4500,4.4500,4.5600,20738401,93164019.0000
2019-01-18,sh.601919,4.5000,4.5800,4.4900,4.5300,4.4500,17061293,77377893.0000
2019-01-21,sh.601919,4.6600,4.6900,4.5400,4.5700,4.5300,18316510,84383310.0000
2019-01-22,sh.601919,4.5900,4.6200,4.4700,4.5000,4.5700,13911623,62839026.0000
2019-01-23,sh.601919,4.4900,4.5000,4.4200,4.4200,4.5000,11577455,51498715.0000
2019-01-24,sh.601919,4.4300,4.5000,4.4300,4.4800,4.4200,10869921,48595302.0000
2019-01-25,sh.601919,4.4500,4.4700,4.3800,4.4000,4.4800,12285106,54336573.0000
2019-01-28,sh.601919,4.4000,4.4400,4.3200,4.3400,4.4000,11845680,52015071.0000
2019-01-29,sh.601919,4.3500,4.3800,4.2300,4.3300,4.3400,11677502,50379221.0000
2019-01-30,sh.601919,4.3700,4.4000,4.2300,4.2500,4.3300,12146302,52434712.0000
2019-01-31,sh.601919,4.2700,4.3300,4.2000,4.2000,4.2500,13226161,56371688.0000
2019-02-01,sh.601919,4.2300,4.3100,4.2100,4.3000,4.2000,13470364,57530869.0000
2019-02-11,sh.601919,4.2800,4.3900,4.2600,4.3800,4.3000,12036599,52313776.0000
2019-02-12,sh.601919,4.3800,4.4400,4.3600,4.3800,4.3800,13421328,59034553.0000
