date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601985,5.2800,5.2900,5.2200,5.2700,5.2700,12296100,64629419.0000
2019-01-03,sh.601985,5.2800,5.3100,5.2500,5.2800,5.2700,10863706,57353217.0000
2019-01-04,sh.601985,5.2500,5.3500,5.2200,5.3300,5.2800,22144006,117728528.0000
2019-01-07,sh.601985,5.3400,5.4400,5.3200,5.4400,5.3300,34577277,186227660.0000
2019-01-08,sh.601985,5.4200,5.4600,5.3800,5.4200,5.4400,19447823,105210723.0000
2019-01-09,sh.601985,5.4200,5.4600,5.3900,5.3900,5.4200,21693375,117843379.0000
2019-01-10,sh.601985,5.3900,5.4200,5.3700,5.3800,5.3900,15515259,83661168.0000
2019-01-11,sh.601985,5.3800,5.4100,5.3600,5.3800,5.3800,13260757,71312716.0000
2019-01-14,sh.601985,5.3900,5.3900,5.3300,5.3500,5.3800,15388406,82402054.0000
2019-01-15,sh.601985,5.3500,5.3800,5.3400,5.3800,5.3500,13636900,73098189.0000
2019-01-16,sh.601985,5.3700,5.4000,5.3300,5.3600,5.3800,17710974,94778351.0000
2019-01-17,sh.601985,5.3600,5.3700,5.3100,5.3200,5.3600,15608595,83222156.0000
2019-01-18,sh.601985,5.3400,5.3600,5.3100,5.3600,5.3200,18487787,98754573.0000
2019-01-21,sh.601985,5.3600,5.3900,5.3400,5.3500,5.3600,25547307,137044008.0000
2019-01-22,sh.601985,5.3400,5.3500,5.3000,5.3200,5.3500,20966296,111525956.0000
2019-01-23,sh.601985,5.3000,5.3200,5.2800,5.2900,5.3200,12740125,67463040.0000
2019-01-24,sh.601985,5.2800,5.3200,5.2800,5.3100,5.2900,15359628,81416753.0000
2019-01-25,sh.601985,5.3000,5.3200,5.2900,5.3000,5.3100,13915467,73801963.0000
2019-01-28,sh.601985,5.3200,5.4200,5.3200,5.3800,5.3000,38902604,209421099.0000
2019-01-29,sh.601985,5.3700,5.4100,5.3000,5.3800,5.3800,25635017,137342530.0000
2019-01-30,sh.601985,5.3800,5.3800,5.3400,5.3800,5.3800,16147099,86586372.0000
2019-01-31,sh.601985,5.3900,5.4500,5.3600,5.3900,5.3800,36834690,199379795.0000
2019-02-01,sh.601985,5.3900,5.4300,5.3600,5.4300,5.3900,25562746,137858783.0000
2019-02-11,sh.601985,5.4300,5.5000,5.4100,5.4900,5.4300,32879709,179579465.0000
2019-02-12,sh.601985,5.4900,5.5100,5.4700,5.4900,5.4900,26459965,145195764.0000
2019-02-13,sh.601985,5.4900,5.6100,5.4800,5.5800,5.4900,47734686,264722122.0000
2019-02-14,sh.601985,5.5800,5.6200,5.5400,5.5900,5.5800,35833946,199887842.0000
2019-02-15,sh.601985,5.5800,5.5900,5.5300,5.5400,5.5900,32003873,177855341.0000
2019-02-18,sh.601985,5.5400,5.6600,5.5400,5.6400,5.5400,37968133,212893707.0000
2019-02-19,sh.601985,5.6400,5.6800,5.5400,5.5900,5.6400,42320418,237608135.0000
2019-02-20,sh.601985,5.5800,5.6100,5.5200,5.5700,5.5900,30310159,168356279.0000
2019-02-21,sh.601985,5.5700,5.5800,5.5000,5.5200,5.5700,44976531,249205479.0000
2019-02-22,sh.601985,5.5100,5.5700,5.4700,5.5700,5.5200,42824190,235956335.0000
2019-02-25,sh.601985,5.6000,6.1100,5.6000,6.0000,5.5700,145748150,848281010.0000
2019-02-26,sh.601985,6.0500,6.2500,5.9400,6.0800,6.0000,134018170,818662109.0000
2019-02-27,sh.601985,6.0800,6.1500,6.0100,6.0700,6.0800,59088995,358590526.0000
2019-02-28,sh.601985,6.0500,6.0900,5.9600,5.9900,6.0700,49197405,296454736.0000
2019-03-01,sh.601985,6.0200,6.0600,5.9700,6.0600,5.9900,53047189,318992137.0000
2019-03-04,sh.601985,6.1000,6.2000,6.0600,6.0900,6.0600,78058394,478799224.0000
2019-03-05,sh.601985,6.0600,6.1800,6.0400,6.1700,6.0900,55469831,338943805.0000
2019-03-06,sh.601985,6.1800,6.5700,6.1300,6.4700,6.1700,136284730,869385578.0000
2019-03-07,sh.601985,6.4300,6.4700,6.2800,6.3600,6.4700,84746346,540849317.0000
2019-03-08,sh.601985,6.2600,6.2700,6.0000,6.0300,6.3600,86118204,529158847.0000
2019-03-11,sh.601985,6.0400,6.1900,6.0400,6.1700,6.0300,52117785,318209630.0000
2019-03-12,sh.601985,6.1900,6.3200,6.1500,6.2000,6.1700,77134895,480159412.0000
2019-03-13,sh.601985,6.1900,6.1900,6.0300,6.0500,6.2000,58330963,355188815.0000
2019-03-14,sh.601985,6.0500,6.0900,5.9000,5.9400,6.0500,52935652,317122662.0000
2019-03-15,sh.601985,5.9600,6.0500,5.9600,6.0100,5.9400,38082991,228626051.0000
2019-03-18,sh.601985,6.0400,6.1300,5.9900,6.1200,6.0100,50556814,306917275.0000
2019-03-19,sh.601985,6.5000,6.7300,6.2300,6.3000,6.1200,232678988,1500559495.0000
2019-03-20,sh.601985,6.2300,6.2700,6.1500,6.2200,6.3000,88053172,546003115.0000
2019-03-21,sh.601985,6.2300,6.3000,6.1800,6.2500,6.2200,80682313,502985723.0000
2019-03-22,sh.601985,6.2500,6.2500,6.1600,6.2300,6.2500,46532490,288778641.0000
2019-03-25,sh.601985,6.1500,6.2700,6.1200,6.1700,6.2300,60083597,372896525.0000
2019-03-26,sh.601985,6.2000,6.2000,6.0200,6.0300,6.1700,54988179,335262771.0000
