date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601988,3.6200,3.6300,3.5300,3.5400,3.6100,122878994,437066741.0000
2019-01-03,sh.601988,3.5400,3.5700,3.5200,3.5500,3.5400,97030394,343657154.0000
2019-01-04,sh.601988,3.5300,3.5900,3.5200,3.5800,3.5500,123496514,439656467.0000
2019-01-07,sh.601988,3.5900,3.6000,3.5500,3.5700,3.5800,119228983,425674381.0000
2019-01-08,sh.601988,3.5700,3.5800,3.5200,3.5400,3.5700,116524413,412528722.0000
2019-01-09,sh.601988,3.5400,3.5800,3.5400,3.5500,3.5400,132123727,470856544.0000
2019-01-10,sh.601988,3.5400,3.5500,3.5100,3.5200,3.5500,117058162,413483611.0000
2019-01-11,sh.601988,3.5300,3.5400,3.5200,3.5300,3.5200,77248902,272580819.0000
2019-01-14,sh.601988,3.5300,3.5400,3.4900,3.5000,3.5300,110368569,387488479.0000
2019-01-15,sh.601988,3.5100,3.5300,3.5000,3.5200,3.5000,98282606,345672774.0000
2019-01-16,sh.601988,3.5200,3.5300,3.5000,3.5200,3.5200,86618476,304400644.0000
2019-01-17,sh.601988,3.5300,3.5500,3.5100,3.5300,3.5200,123676248,436851508.0000
2019-01-18,sh.601988,3.5400,3.5800,3.5300,3.5600,3.5300,168732641,600119211.0000
2019-01-21,sh.601988,3.5700,3.5900,3.5600,3.5700,3.5600,147846941,528482196.0000
2019-01-22,sh.601988,3.5700,3.5800,3.5500,3.5600,3.5700,105596634,376696803.0000
2019-01-23,sh.601988,3.5600,3.5800,3.5500,3.5700,3.5600,67818276,241944256.0000
2019-01-24,sh.601988,3.5700,3.5900,3.5600,3.5900,3.5700,98673994,353131929.0000
2019-01-25,sh.601988,3.6000,3.6300,3.5900,3.6200,3.5900,152447063,551671400.0000
2019-01-28,sh.601988,3.6300,3.6600,3.6100,3.6100,3.6200,124104874,451196060.0000
2019-01-29,sh.601988,3.6200,3.6500,3.6000,3.6400,3.6100,131001095,475376155.0000
2019-01-30,sh.601988,3.6400,3.6500,3.6200,3.6300,3.6400,90165061,328025959.0000
2019-01-31,sh.601988,3.6400,3.7000,3.6300,3.6800,3.6300,164124822,602245354.0000
2019-02-01,sh.601988,3.6900,3.6900,3.6500,3.6800,3.6800,126516336,464025474.0000
2019-02-11,sh.601988,3.6600,3.6700,3.6300,3.6700,3.6800,113443769,414749447.0000
2019-02-12,sh.601988,3.6700,3.7000,3.6600,3.6800,3.6700,127368146,468728683.0000
2019-02-13,sh.601988,3.6900,3.7200,3.6800,3.7200,3.6800,185743678,686751058.0000
2019-02-14,sh.601988,3.7200,3.7200,3.6900,3.7000,3.7200,122324084,452779400.0000
2019-02-15,sh.601988,3.6900,3.7000,3.6400,3.6500,3.7000,122834771,450353637.0000
2019-02-18,sh.601988,3.6700,3.7100,3.6500,3.7000,3.6500,153724349,566185338.0000
2019-02-19,sh.601988,3.6900,3.7200,3.6700,3.6800,3.7000,148027179,546496097.0000
2019-02-20,sh.601988,3.6900,3.7000,3.6600,3.6800,3.6800,101399406,373022665.0000
2019-02-21,sh.601988,3.6800,3.7000,3.6600,3.6700,3.6800,125340312,460267642.0000
2019-02-22,sh.601988,3.6600,3.7000,3.6400,3.6900,3.6700,144160667,527758263.0000
2019-02-25,sh.601988,3.7000,3.9000,3.7000,3.8800,3.6900,460836864,1743206000.0000
2019-02-26,sh.601988,3.8700,3.9000,3.8200,3.8400,3.8800,354221872,1369263016.0000
2019-02-27,sh.601988,3.8400,3.9400,3.8300,3.8800,3.8400,331536960,1284646675.0000
2019-02-28,sh.601988,3.8800,3.8800,3.8300,3.8400,3.8800,182378553,703371274.0000
2019-03-01,sh.601988,3.8500,3.9100,3.8200,3.9000,3.8400,215845872,832469889.0000
2019-03-04,sh.601988,3.9200,4.0000,3.9200,3.9200,3.9000,386545488,1525972760.0000
2019-03-05,sh.601988,3.9000,3.9200,3.8800,3.9000,3.9200,225733760,879676271.0000
2019-03-06,sh.601988,3.8900,3.9300,3.8800,3.9300,3.9000,219450431,857591071.0000
2019-03-07,sh.601988,3.9300,3.9300,3.8800,3.8900,3.9300,251371617,980174833.0000
