date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603005,16.3300,16.5800,16.1700,16.4200,16.4200,2158286,35309632.0000
2019-01-03,sh.603005,16.6500,17.2500,16.0900,16.0900,16.4200,4524373,75657196.0000
2019-01-04,sh.603005,15.6800,16.6200,15.3000,16.6000,16.0900,4184298,67179353.0000
2019-01-07,sh.603005,16.7800,17.7000,16.5000,17.3000,16.6000,6178915,105638076.0000
2019-01-08,sh.603005,17.1700,17.3800,16.9300,17.0900,17.3000,3401809,58178012.0000
2019-01-09,sh.603005,17.0200,17.5800,16.9600,17.1800,17.0900,5175058,89393353.0000
2019-01-10,sh.603005,16.4000,16.6000,16.2500,16.3200,17.1800,6252159,102838201.0000
2019-01-11,sh.603005,16.2500,16.4100,15.9800,16.3800,16.3200,3011619,48917527.0000
2019-01-14,sh.603005,16.2800,16.4900,16.2000,16.3700,16.3800,1887559,30843601.0000
2019-01-15,sh.603005,16.3500,16.4700,16.0200,16.3600,16.3700,2441346,39663726.0000
2019-01-16,sh.603005,16.3300,16.4900,16.1100,16.1800,16.3600,2200425,35877758.0000
2019-01-17,sh.603005,16.1700,16.1700,15.6500,15.7500,16.1800,2598400,41244552.0000
2019-01-18,sh.603005,15.7700,15.9800,15.6000,15.9400,15.7500,1821148,28810812.0000
2019-01-21,sh.603005,15.8700,16.2100,15.8700,16.0500,15.9400,1746477,28022448.0000
2019-01-22,sh.603005,15.9500,16.0300,15.7600,15.9000,16.0500,1256590,19968576.0000
2019-01-23,sh.603005,15.8500,15.8700,15.6900,15.8100,15.9000,969848,15286246.0000
2019-01-24,sh.603005,15.8100,16.5700,15.7500,16.2600,15.8100,3970526,64734205.0000
2019-01-25,sh.603005,16.3900,16.6400,16.1600,16.2500,16.2600,3650738,60022715.0000
2019-01-28,sh.603005,16.3800,16.4900,15.9000,15.9300,16.2500,2241948,36281110.0000
2019-01-29,sh.603005,15.6400,15.8200,14.9000,15.0400,15.9300,3100821,47055726.0000
2019-01-30,sh.603005,15.0000,15.1400,14.8300,14.9000,15.0400,1276639,19113714.0000
2019-01-31,sh.603005,14.9300,14.9900,14.3500,14.4100,14.9000,1742485,25632322.0000
2019-02-01,sh.603005,14.4000,14.9500,14.3500,14.9000,14.4100,1137400,16809802.0000
2019-02-11,sh.603005,14.9600,15.5000,14.9600,15.4400,14.9000,1643400,25181603.0000
2019-02-12,sh.603005,15.4000,15.7100,15.4000,15.6100,15.4400,1590700,24798901.0000
2019-02-13,sh.603005,15.6200,16.5200,15.6200,16.4300,15.6100,5395959,87791843.0000
2019-02-14,sh.603005,16.3900,16.4000,16.1800,16.2500,16.4300,3225015,52507248.0000
2019-02-15,sh.603005,16.2800,16.6800,16.2800,16.4700,16.2500,3921266,64601334.0000
2019-02-18,sh.603005,16.4000,18.1200,16.3500,18.1200,16.4700,5249617,91287811.0000
2019-02-19,sh.603005,19.7700,19.7700,18.6000,18.9100,18.1200,18237742,350345466.0000
2019-02-20,sh.603005,18.4900,18.7800,18.0800,18.2500,18.9100,8502607,156323874.0000
2019-02-21,sh.603005,18.2000,19.8000,18.2000,18.6800,18.2500,13848653,263796630.0000
2019-02-22,sh.603005,18.7300,19.4200,18.7200,19.1500,18.6800,9053264,172485602.0000
2019-02-25,sh.603005,19.2500,20.5300,19.2500,20.0000,19.1500,12830155,254930527.0000
2019-02-26,sh.603005,19.9200,19.9200,19.2100,19.3100,20.0000,9611812,187604395.0000
2019-02-27,sh.603005,19.3100,19.6000,18.7000,18.9800,19.3100,6447278,123370669.0000
2019-02-28,sh.603005,18.8000,19.3800,18.7500,19.2000,18.9800,4134723,78867356.0000
2019-03-01,sh.603005,19.2600,19.3000,18.7600,18.9700,19.2000,3830023,72441086.0000
2019-03-04,sh.603005,19.2200,19.5300,19.0000,19.1500,18.9700,8672603,167160130.0000
2019-03-05,sh.603005,19.0000,21.0600,18.8100,20.9400,19.1500,14483489,291292866.0000
2019-03-06,sh.603005,20.7400,20.8400,20.0900,20.6800,20.9400,11070876,226196181.0000
2019-03-07,sh.603005,20.6000,21.3000,20.2100,20.8600,20.6800,8944690,185134756.0000
2019-03-08,sh.603005,20.4700,22.8500,20.1600,21.1100,20.8600,14817701,324837678.0000
2019-03-11,sh.603005,22.1800,23.1100,21.6100,22.4300,21.1100,14473545,322961422.0000
2019-03-12,sh.603005,22.5500,24.1900,22.0100,24.0800,22.4300,15590129,355647005.0000
2019-03-13,sh.603005,23.6700,24.4500,22.3800,22.8800,24.0800,13177446,310077180.0000
2019-03-14,sh.603005,22.2600,22.6700,21.2600,21.5400,22.8800,8018202,174983344.0000
2019-03-15,sh.603005,21.7700,22.0000,21.0300,21.3700,21.5400,5886921,127052012.0000
2019-03-18,sh.603005,21.4400,21.6900,20.6000,21.6100,21.3700,5144229,109232191.0000
2019-03-19,sh.603005,21.5500,22.0000,21.2400,21.5400,21.6100,4990310,107823753.0000
2019-03-20,sh.603005,21.5100,21.9900,20.7600,21.9700,21.5400,6567462,140717565.0000
2019-03-21,sh.603005,21.7800,22.7000,21.6500,22.1600,21.9700,8331492,184584459.0000
2019-03-22,sh.603005,22.1900,22.7000,21.8900,22.5600,22.1600,7279748,162851598.0000
2019-03-25,sh.603005,21.9800,22.4600,21.5200,21.6800,22.5600,6522202,143849642.0000
2019-03-26,sh.603005,21.7300,21.9000,20.6300,20.6800,21.6800,5421089,115137569.0000
2019-03-27,sh.603005,20.8100,21.0000,19.7000,20.7100,20.6800,4452664,91423215.0000
2019-03-28,sh.603005,20.6800,21.5400,20.4300,20.6900,20.7100,4563973,96377492.0000
2019-03-29,sh.603005,20.3600,21.3900,20.3600,21.3100,20.6900,4464691,93790134.0000
2019-04-01,sh.603005,21.3400,22.1800,21.2700,21.9500,21.3100,5627183,122812256.0000
2019-04-02,sh.603005,22.2200,22.6600,21.9300,22.0700,21.9500,5803180,129038418.0000
2019-04-03,sh.603005,21.9700,22.2800,21.6900,22.1600,22.0700,3906467,85981875.0000
2019-04-04,sh.603005,22.1600,22.3800,21.8500,22.0000,22.1600,4210739,92894752.0000
2019-04-08,sh.603005,22.0600,22.0900,21.0900,21.2600,22.0000,5582786,119946851.0000
2019-04-09,sh.603005,21.2500,21.6600,20.9000,21.3400,21.2600,3339828,71269889.0000
2019-04-10,sh.603005,21.2900,21.3000,20.9000,20.9800,21.3400,3309726,69635958.0000
2019-04-11,sh.603005,21.2500,21.2700,20.7000,20.7900,20.9800,2737436,57385318.0000
2019-04-12,sh.603005,20.7000,20.8800,20.5000,20.7100,20.7900,2423045,50047663.0000
2019-04-15,sh.603005,21.1000,21.2800,20.3000,20.3000,20.6400,3056732,63497530.0000
2019-04-16,sh.603005,20.1100,20.8600,19.7900,20.8100,20.3000,3894000,78896738.0000
2019-04-17,sh.603005,20.8000,21.3400,20.7000,20.8700,20.8100,3675700,77351073.0000
2019-04-18,sh.603005,20.8700,20.8700,20.4100,20.5800,20.8700,2443800,50507674.0000
2019-04-19,sh.603005,20.5800,20.7600,20.4400,20.7300,20.5800,2284307,47107234.0000
2019-04-22,sh.603005,20.7000,21.1300,20.6000,20.8700,20.7300,3077100,64265816.0000
2019-04-23,sh.603005,20.7000,20.9400,20.0200,20.0800,20.8700,2326141,47253058.0000
2019-04-24,sh.603005,20.0200,20.7300,19.8800,20.7100,20.0800,2829738,57719133.0000
2019-04-25,sh.603005,20.6500,20.6700,19.7500,19.7500,20.7100,3586292,72178660.0000
2019-04-26,sh.603005,19.7800,20.1700,19.5800,19.7900,19.7500,2117999,42122924.0000
2019-04-29,sh.603005,19.9000,19.9600,18.7000,18.8000,19.7900,2942223,56060189.0000
2019-04-30,sh.603005,17.8800,18.2600,17.6600,17.9400,18.8000,3840213,69018103.0000
2019-05-06,sh.603005,17.2000,17.7000,16.1500,16.1700,17.9400,3922293,65605866.0000
2019-05-07,sh.603005,16.0800,16.4800,16.0000,16.3100,16.1700,2220001,36200300.0000
2019-05-08,sh.603005,16.0000,16.8700,15.8100,16.5100,16.3100,2760560,45512259.0000
2019-05-09,sh.603005,16.9900,18.1600,16.9900,18.1300,16.5100,8682659,155012056.0000
2019-05-10,sh.603005,17.5800,19.3600,17.3400,18.6000,18.1300,9370797,170900905.0000
2019-05-13,sh.603005,18.1600,18.5000,17.7800,17.8900,18.6000,4551747,82579668.0000
2019-05-14,sh.603005,17.6500,18.1700,17.4900,17.5400,17.8900,2818002,50037701.0000
2019-05-15,sh.603005,17.7400,18.0200,17.5700,17.7300,17.5400,2679642,47494984.0000
2019-05-16,sh.603005,17.8700,17.9300,17.5800,17.8200,17.7300,2716300,48144081.0000
2019-05-17,sh.603005,18.1000,18.4800,17.5800,17.6700,17.8200,4799831,86859320.0000
2019-05-20,sh.603005,18.0000,19.2700,17.7800,18.8400,17.6700,6356343,118466425.0000
2019-05-21,sh.603005,18.4600,18.4900,17.8600,18.3200,18.8400,6772525,123153168.0000
2019-05-22,sh.603005,18.2900,18.6000,18.1100,18.4900,18.3200,4184040,76895618.0000
2019-05-23,sh.603005,18.7100,19.5200,18.4500,19.1200,18.4900,9732517,184055872.0000
2019-05-24,sh.603005,18.6000,18.8300,17.6300,17.9000,19.1200,5618497,102384609.0000
2019-05-27,sh.603005,17.7900,19.1800,17.5200,18.9500,17.9000,6901932,128722599.0000
2019-05-28,sh.603005,18.8500,19.2600,18.6400,18.7300,18.9500,6320315,119477268.0000
2019-05-29,sh.603005,18.7000,19.7800,18.4500,19.2800,18.7300,7230842,138794261.0000
2019-05-30,sh.603005,19.0200,19.0900,18.4200,18.7800,19.2800,4563779,85161313.0000
2019-05-31,sh.603005,18.7000,19.2600,18.6300,18.8400,18.7800,4026701,76358574.0000
2019-06-03,sh.603005,18.9500,19.1000,18.2500,18.3800,18.8400,3270384,60546503.0000
2019-06-04,sh.603005,18.3800,18.6800,17.7000,17.9300,18.3800,3534420,64385199.0000
2019-06-05,sh.603005,18.1300,18.3900,17.8000,18.0000,17.9300,2593900,47008701.0000
2019-06-06,sh.603005,18.0100,18.0200,17.4200,17.4200,18.0000,2701075,47636657.0000
2019-06-10,sh.603005,17.5300,17.9400,17.1000,17.5700,17.4200,2113500,37275900.0000
2019-06-11,sh.603005,17.5500,18.2700,17.3100,18.2300,17.5700,3434501,61537926.0000
2019-06-12,sh.603005,18.1800,19.7800,18.1000,19.2400,18.2300,8415801,160276421.0000
2019-06-13,sh.603005,19.1700,19.3000,18.6600,18.9400,19.2400,5428447,102704636.0000
2019-06-14,sh.603005,18.9700,18.9800,18.1300,18.1700,18.9400,3545675,65747127.0000
2019-06-17,sh.603005,18.2000,18.4700,18.0400,18.2000,18.1700,1949000,35559020.0000
2019-06-18,sh.603005,18.3700,18.3700,18.0000,18.0600,18.2000,1833101,33240450.0000
2019-06-19,sh.603005,18.5000,18.9300,18.3800,18.6200,18.0600,4246075,79384353.0000
2019-06-20,sh.603005,18.5400,19.0000,18.5000,18.7500,18.6200,3825740,71780463.0000
2019-06-21,sh.603005,18.9000,19.2500,18.7800,18.9500,18.7500,4481300,85287165.0000
2019-06-24,sh.603005,18.9500,19.0500,18.6100,18.8800,18.9500,2503400,47036547.0000
2019-06-25,sh.603005,18.9000,18.9000,18.2900,18.4500,18.8800,2710521,50184106.0000
2019-06-26,sh.603005,18.3200,18.6300,18.2700,18.3300,18.4500,1739100,32080190.0000
2019-06-27,sh.603005,18.3300,18.9700,18.3300,18.9200,18.3300,3744447,70356759.0000
2019-06-28,sh.603005,18.9000,18.9800,18.3500,18.6800,18.9200,2977400,55350399.0000
2019-07-01,sh.603005,19.0000,19.5000,18.8800,19.3700,18.6800,5934204,114210053.0000
2019-07-02,sh.603005,19.5000,19.5000,19.0700,19.1800,19.3700,3427300,65860127.0000
2019-07-03,sh.603005,19.1500,19.1500,18.8500,18.8700,19.1800,2279500,43185078.0000
2019-07-04,sh.603005,18.8900,19.5900,18.7200,19.2400,18.8700,3569100,68200160.0000
2019-07-05,sh.603005,19.2000,20.5000,19.1000,19.8000,19.2400,9032645,179677694.0000
2019-07-08,sh.603005,19.6000,20.3300,19.4000,19.4000,19.8000,8578577,170020213.0000
2019-07-09,sh.603005,19.6400,20.4500,19.4600,20.3400,19.4000,9683683,194121903.0000
2019-07-10,sh.603005,20.0800,20.9100,19.9200,20.5000,20.3400,9357807,191267265.0000
2019-07-11,sh.603005,20.5900,20.5900,19.7200,19.9400,20.5000,6569831,132123000.0000
2019-07-12,sh.603005,19.8300,20.0900,19.6000,19.6100,19.9400,4755701,94140877.0000
2019-07-15,sh.603005,19.6000,19.6000,18.8000,19.3500,19.6100,5032430,96636003.0000
2019-07-16,sh.603005,19.3000,19.5700,19.1000,19.1700,19.3500,3790082,73233116.0000
2019-07-17,sh.603005,18.3000,18.5400,17.7600,18.2300,19.1700,8148466,148207758.0000
2019-07-18,sh.603005,18.0000,18.1400,17.3400,17.5000,18.2300,5881171,104150333.0000
2019-07-19,sh.603005,17.4900,17.7500,17.4900,17.5300,17.5000,2955400,52039186.0000
2019-07-22,sh.603005,17.6800,17.7900,16.9800,17.0200,17.5300,2752966,47385033.0000
2019-07-23,sh.603005,17.0500,17.4400,16.9500,17.3300,17.0200,2245915,38752860.0000
2019-07-24,sh.603005,17.4400,17.7400,17.3500,17.6900,17.3300,3188948,56225310.0000
2019-07-25,sh.603005,17.7800,17.9700,17.6100,17.7700,17.6900,2614900,46484582.0000
2019-07-26,sh.603005,17.8700,18.3100,17.7300,17.8500,17.7700,2783501,50124075.0000
2019-07-29,sh.603005,17.8500,18.3900,17.7500,18.2100,17.8500,3333800,60596797.0000
2019-07-30,sh.603005,18.1400,18.1400,17.9200,17.9600,18.2100,2464700,44395541.0000
2019-07-31,sh.603005,17.9700,18.1700,17.9200,17.9400,17.9600,2313813,41738568.0000
2019-08-01,sh.603005,17.8600,18.0100,17.6600,17.8900,17.9400,1881313,33504385.0000
