date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603063,6.3300,6.4200,6.2700,6.3200,6.3100,2075143,13113905.0000
2019-01-03,sh.603063,6.2800,6.3800,6.2300,6.2400,6.3200,2379600,15006955.0000
2019-01-04,sh.603063,6.2200,6.5200,6.1500,6.5100,6.2400,4667031,29882052.0000
2019-01-07,sh.603063,6.5000,6.8300,6.4800,6.7300,6.5100,6432778,43094736.0000
2019-01-08,sh.603063,6.7500,6.8700,6.6700,6.7500,6.7300,4897891,33169633.0000
2019-01-09,sh.603063,6.7500,7.4000,6.7500,6.9700,6.7500,12647135,89381172.0000
2019-01-10,sh.603063,7.0900,7.3800,7.0200,7.1600,6.9700,12868696,92520277.0000
2019-01-11,sh.603063,7.0100,7.1100,6.8900,6.9900,7.1600,9046401,63141743.0000
2019-01-14,sh.603063,7.0200,7.0500,6.8300,6.9100,6.9900,5651759,39076341.0000
2019-01-15,sh.603063,6.9200,7.0100,6.8300,6.9800,6.9100,5076998,35171255.0000
2019-01-16,sh.603063,6.9800,7.0200,6.8300,6.9000,6.9800,4649890,32218482.0000
2019-01-17,sh.603063,6.8600,6.9500,6.7600,6.8400,6.9000,3911288,26850102.0000
2019-01-18,sh.603063,6.8400,7.1300,6.8000,7.0000,6.8400,7074357,49171359.0000
2019-01-21,sh.603063,7.1100,7.1400,6.9300,7.0000,7.0000,5216512,36530199.0000
2019-01-22,sh.603063,7.0000,7.0000,6.7500,6.8000,7.0000,4692901,32020525.0000
2019-01-23,sh.603063,6.7400,6.8700,6.7400,6.8200,6.8000,2415671,16438257.0000
2019-01-24,sh.603063,6.8300,6.9200,6.7800,6.8600,6.8200,2766690,18992356.0000
2019-01-25,sh.603063,6.7000,6.8000,6.5700,6.5700,6.8600,5117700,34243163.0000
2019-01-28,sh.603063,6.6800,7.1200,6.5700,6.7800,6.5700,8264100,56810958.0000
2019-01-29,sh.603063,6.7300,6.7300,6.1000,6.3500,6.7800,7715098,48844298.0000
2019-01-30,sh.603063,6.3000,6.5800,6.2200,6.3200,6.3500,3872302,24913593.0000
2019-01-31,sh.603063,6.1500,6.4600,6.1500,6.2500,6.3200,3430700,21587936.0000
2019-02-01,sh.603063,6.3500,6.6300,6.2800,6.5700,6.2500,4535043,29445775.0000
2019-02-11,sh.603063,6.6900,7.2300,6.6700,7.2300,6.5700,9726333,68132704.0000
2019-02-12,sh.603063,7.9500,7.9500,7.9500,7.9500,7.2300,6202121,49306862.0000
2019-02-13,sh.603063,8.0000,8.6000,7.9000,8.0800,7.9500,38649118,315538137.0000
2019-02-14,sh.603063,7.8000,8.8900,7.8000,8.8900,8.0800,40312891,347431613.0000
2019-02-15,sh.603063,8.6500,8.8700,8.2100,8.5700,8.8900,38835322,331809112.0000
2019-02-18,sh.603063,8.4100,8.8500,8.3000,8.7700,8.5700,30329102,260860187.0000
2019-02-19,sh.603063,8.6300,9.5200,8.5800,8.9100,8.7700,28801557,257554852.0000
2019-02-20,sh.603063,8.8200,8.8500,8.4500,8.6300,8.9100,16540343,142502957.0000
2019-02-21,sh.603063,8.5700,8.7700,8.2900,8.3300,8.6300,16380264,139232071.0000
2019-02-22,sh.603063,8.2100,8.4400,8.1900,8.4200,8.3300,11028675,92044617.0000
2019-02-25,sh.603063,8.4400,9.2600,8.3100,9.2500,8.4200,24831459,216879788.0000
2019-02-26,sh.603063,9.0000,9.0800,8.6900,8.7600,9.2500,20567499,182556563.0000
2019-02-27,sh.603063,8.7800,8.8600,8.4100,8.5500,8.7600,13276137,114387827.0000
2019-02-28,sh.603063,8.5500,8.9600,8.4600,8.9600,8.5500,17525757,154261061.0000
2019-03-01,sh.603063,9.2500,9.8600,9.2500,9.8600,8.9600,36177669,349617605.0000
2019-03-04,sh.603063,10.3500,10.7800,9.9700,10.5600,9.8600,35969626,372865436.0000
2019-03-05,sh.603063,10.3200,11.0300,10.1000,10.8500,10.5600,23228706,246189946.0000
2019-03-06,sh.603063,10.6000,10.7600,10.3100,10.7200,10.8500,18733461,197346464.0000
2019-03-07,sh.603063,10.6000,11.3900,10.3500,10.8500,10.7200,19119000,205585167.0000
2019-03-08,sh.603063,10.1000,10.8000,10.1000,10.3600,10.8500,15522561,162634683.0000
2019-03-11,sh.603063,10.5800,11.4000,10.4200,11.4000,10.3600,22172741,245762549.0000
2019-03-12,sh.603063,12.4200,12.5400,11.4000,11.7900,11.4000,37085909,448419005.0000
2019-03-13,sh.603063,11.4200,11.7900,10.8100,11.1000,11.7900,19832389,224111826.0000
2019-03-14,sh.603063,10.6600,10.8800,9.9900,10.4700,11.1000,15051610,156718945.0000
2019-03-15,sh.603063,10.5500,10.8400,10.4000,10.4700,10.4700,9639385,102538172.0000
2019-03-18,sh.603063,10.4700,10.9500,10.1200,10.7100,10.4700,11742264,124689027.0000
2019-03-19,sh.603063,10.7000,10.8800,10.5300,10.8400,10.7100,7144543,76692577.0000
2019-03-20,sh.603063,10.8300,11.6400,10.8300,11.2900,10.8400,16896211,191617306.0000
2019-03-21,sh.603063,11.2900,11.5500,10.9300,11.2000,11.2900,10080999,113745861.0000
2019-03-22,sh.603063,11.0900,11.2300,10.7500,11.0300,11.2000,7838400,86115173.0000
2019-03-25,sh.603063,10.9400,11.2700,10.7100,11.0300,11.0300,7423199,82154927.0000
2019-03-26,sh.603063,11.2000,11.5500,10.8800,10.9300,11.0300,6647281,74379208.0000
2019-03-27,sh.603063,10.8100,11.0900,10.7000,10.9000,10.9300,4448600,48409076.0000
2019-03-28,sh.603063,11.0600,11.3100,10.9100,11.2500,10.9000,7719813,86234063.0000
2019-03-29,sh.603063,11.1300,11.5800,10.7900,11.4100,11.2500,9076115,101787931.0000
2019-04-01,sh.603063,11.0600,12.3000,11.0600,12.0000,11.4100,11461801,134098076.0000
2019-04-02,sh.603063,11.9800,12.0300,11.5600,11.7000,12.0000,9166667,108150728.0000
2019-04-03,sh.603063,11.5000,11.6200,11.1500,11.4800,11.7000,7970315,90878774.0000
2019-04-04,sh.603063,11.4400,11.6600,11.2200,11.4100,11.4800,6561820,74602969.0000
2019-04-08,sh.603063,11.4000,11.4800,10.8100,10.9000,11.4100,7390178,81834343.0000
2019-04-09,sh.603063,10.9000,11.3400,9.8100,11.2200,10.9000,9080068,99016980.0000
2019-04-10,sh.603063,11.0500,11.0500,10.8000,10.8300,11.2200,4711081,51299308.0000
2019-04-11,sh.603063,10.8500,10.9500,10.2900,10.3600,10.8300,5932410,62566096.0000
2019-04-12,sh.603063,10.4800,10.5300,9.5000,9.8800,10.3600,12528617,124334608.0000
2019-04-15,sh.603063,10.0200,10.2800,9.9400,9.9800,9.8800,10132853,102188086.0000
2019-04-16,sh.603063,10.0600,10.1000,9.7200,10.0600,9.9800,8225124,81576355.0000
2019-04-17,sh.603063,10.1400,10.1600,9.9600,10.0000,10.0600,7539936,75864781.0000
2019-04-18,sh.603063,10.0400,10.1500,9.9000,9.9200,10.0000,6555399,65622076.0000
2019-04-19,sh.603063,9.9900,10.1200,9.8300,10.1100,9.9200,5080070,50752510.0000
2019-04-22,sh.603063,10.1100,10.1900,9.8800,9.9100,10.1100,4719000,47245448.0000
2019-04-23,sh.603063,9.8700,10.0100,9.7600,9.7600,9.9100,3690523,36401433.0000
2019-04-24,sh.603063,9.7700,9.9800,9.6800,9.9800,9.7600,3794877,37346736.0000
2019-04-25,sh.603063,9.9800,9.9800,9.7300,9.8400,9.9800,3876349,38240208.0000
2019-04-26,sh.603063,9.8000,9.8400,9.6200,9.7000,9.8400,4179761,40658458.0000
2019-04-29,sh.603063,9.8300,9.8300,9.2100,9.4600,9.7000,3310500,31601452.0000
2019-04-30,sh.603063,9.4200,9.6400,9.2600,9.6200,9.4600,2339986,22433576.0000
2019-05-06,sh.603063,9.4600,9.8400,9.0500,9.2500,9.6200,6147800,58131106.0000
2019-05-07,sh.603063,9.3800,9.6300,9.2600,9.4000,9.2500,3604269,33935500.0000
2019-05-08,sh.603063,9.3500,9.6400,9.2000,9.4600,9.4000,4534137,43064027.0000
2019-05-09,sh.603063,9.4700,9.7400,9.4700,9.6000,9.4600,3967136,37994979.0000
2019-05-10,sh.603063,9.6800,9.9800,9.4000,9.9500,9.6000,6734531,65968616.0000
2019-05-13,sh.603063,9.9800,9.9800,9.7100,9.7800,9.9500,3130072,30592019.0000
2019-05-14,sh.603063,9.6000,9.8400,9.6000,9.7500,9.7800,2881286,28150996.0000
2019-05-15,sh.603063,9.8200,10.2400,9.8000,10.1400,9.7500,7577323,75933995.0000
2019-05-16,sh.603063,10.1800,10.5500,10.1700,10.2200,10.1400,5226394,53856404.0000
2019-05-17,sh.603063,10.3700,10.4200,9.7000,9.7300,10.2200,4208200,42003141.0000
2019-05-20,sh.603063,9.5300,9.9400,9.5300,9.9200,9.7300,3013722,29472688.0000
2019-05-21,sh.603063,9.8500,10.2000,9.8500,9.9000,9.9200,3900000,39212437.0000
2019-05-22,sh.603063,10.0500,10.0500,9.6900,9.8200,9.9000,2816345,27751465.0000
2019-05-23,sh.603063,9.9900,9.9900,9.4900,9.4900,9.8200,3400002,32966350.0000
2019-05-24,sh.603063,9.5700,9.6500,9.4300,9.5800,9.4900,2740575,26156386.0000
2019-05-27,sh.603063,9.5200,10.3300,9.5100,10.2000,9.5800,6147886,61809579.0000
2019-05-28,sh.603063,10.2200,10.2700,10.0500,10.0600,10.2000,4308300,43782112.0000
2019-05-29,sh.603063,10.1800,10.1800,10.0200,10.0600,10.0600,2607700,26314698.0000
2019-05-30,sh.603063,10.1000,10.1000,9.8900,10.0300,10.0600,2364400,23604569.0000
2019-05-31,sh.603063,10.1100,10.3700,10.0600,10.1000,10.0300,4875700,49782211.0000
2019-06-03,sh.603063,10.0600,10.2100,9.9400,10.2000,10.1000,3631002,36543462.0000
2019-06-04,sh.603063,10.1000,10.1700,9.9000,9.9000,10.2000,4003000,39914689.0000
2019-06-05,sh.603063,9.9600,10.2500,9.9500,10.2300,9.9000,4491372,45615940.0000
2019-06-06,sh.603063,10.1300,10.1800,9.5300,9.6300,10.2200,4747999,46667435.0000
2019-06-10,sh.603063,9.6300,9.7900,9.6200,9.6500,9.6300,2102102,20340934.0000
2019-06-11,sh.603063,9.6100,10.0000,9.6100,9.9800,9.6500,2967113,29260549.0000
2019-06-12,sh.603063,9.9600,10.1500,9.8900,10.0000,9.9800,2008800,20127364.0000
2019-06-13,sh.603063,10.0300,10.2000,10.0000,10.1700,10.0000,2714673,27521376.0000
2019-06-14,sh.603063,10.2000,10.2000,9.9100,9.9100,10.1700,1911158,19161917.0000
2019-06-17,sh.603063,10.0000,10.4000,9.9000,10.4000,9.9100,6843759,70305556.0000
2019-06-18,sh.603063,10.2900,10.9500,10.2900,10.6700,10.4000,10771380,115077728.0000
2019-06-19,sh.603063,10.8800,10.8800,10.5000,10.5200,10.6700,10512320,112238698.0000
2019-06-20,sh.603063,10.5600,10.6300,10.1700,10.6000,10.5200,5867731,61045935.0000
2019-06-21,sh.603063,10.5900,10.9400,10.4500,10.7200,10.6000,7866280,84164898.0000
2019-06-24,sh.603063,10.7200,10.8000,10.3800,10.4500,10.7200,3494781,36786831.0000
2019-06-25,sh.603063,10.5300,10.5300,10.2300,10.3400,10.4500,3060681,31749003.0000
2019-06-26,sh.603063,10.4000,10.6200,10.3400,10.4700,10.3400,5094623,53491001.0000
2019-06-27,sh.603063,10.5800,11.5200,10.5500,11.1800,10.4700,13209088,147701759.0000
2019-06-28,sh.603063,11.1600,11.3000,10.9500,11.0800,11.1800,7716073,85769947.0000
2019-07-01,sh.603063,11.1800,11.4800,11.1000,11.4700,11.0800,8415547,94804192.0000
2019-07-02,sh.603063,11.4000,11.4600,11.0800,11.1000,11.4700,6043097,67639211.0000
2019-07-03,sh.603063,11.0800,11.0800,10.8100,10.8700,11.1000,4027886,44001420.0000
2019-07-04,sh.603063,10.8800,11.0500,10.8000,11.0200,10.8700,2513835,27433730.0000
2019-07-05,sh.603063,11.0000,11.0000,10.7100,10.7800,11.0200,1831338,19792590.0000
2019-07-08,sh.603063,10.8200,10.9600,10.5200,10.9000,10.7800,3236100,34643536.0000
2019-07-09,sh.603063,10.8500,10.9500,10.5700,10.8600,10.9000,2495187,26859362.0000
2019-07-10,sh.603063,10.7500,11.1600,10.7500,10.9800,10.8600,3316375,36432613.0000
2019-07-11,sh.603063,10.9800,11.2300,10.5000,10.5200,10.9800,4688800,51402593.0000
2019-07-12,sh.603063,10.8100,11.0000,9.5000,9.8800,10.5200,10131761,101159231.0000
