date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603126,5.1600,5.2200,5.0400,5.0700,5.1500,2023569,10355971.0000
2019-01-03,sh.603126,5.1000,5.1500,5.0500,5.0700,5.0700,1355398,6901203.0000
2019-01-04,sh.603126,5.0600,5.1800,5.0100,5.1800,5.0700,1668600,8549405.0000
2019-01-07,sh.603126,5.2300,5.3500,5.2000,5.3500,5.1800,2934950,15524612.0000
2019-01-08,sh.603126,5.3200,5.4000,5.2900,5.3400,5.3500,1953532,10426063.0000
2019-01-09,sh.603126,5.3400,5.4200,5.2600,5.3200,5.3400,3361500,17978287.0000
2019-01-10,sh.603126,5.3300,5.4200,5.3100,5.3300,5.3200,4078600,21894856.0000
2019-01-11,sh.603126,5.3300,5.8600,5.2800,5.8600,5.3300,9921862,56159124.0000
2019-01-14,sh.603126,6.3400,6.4500,5.9000,5.9100,5.8600,27491186,170333865.0000
2019-01-15,sh.603126,5.7300,5.8200,5.5700,5.7900,5.9100,17829770,101496373.0000
2019-01-16,sh.603126,5.7000,6.1500,5.5400,5.9300,5.7900,18224653,105417988.0000
2019-01-17,sh.603126,5.8000,5.8400,5.6500,5.6800,5.9300,11089350,63638659.0000
2019-01-18,sh.603126,5.6600,5.7200,5.5900,5.7000,5.6800,6183350,34935057.0000
2019-01-21,sh.603126,5.7000,5.7500,5.5800,5.6200,5.7000,5922945,33528048.0000
2019-01-22,sh.603126,5.5800,5.6300,5.4300,5.4500,5.6200,6026245,33119837.0000
2019-01-23,sh.603126,5.4600,5.5300,5.4300,5.5200,5.4500,3322806,18229216.0000
2019-01-24,sh.603126,5.4800,5.5400,5.4400,5.5200,5.5200,3147906,17288760.0000
2019-01-25,sh.603126,5.5800,5.6200,5.4600,5.4600,5.5200,4551551,25221570.0000
2019-01-28,sh.603126,5.5000,5.5500,5.3500,5.3700,5.4600,3765800,20530088.0000
2019-01-29,sh.603126,5.3500,5.3600,5.0500,5.1700,5.3700,4205800,21788651.0000
2019-01-30,sh.603126,5.1400,5.2400,5.1200,5.1200,5.1700,1865221,9651703.0000
2019-01-31,sh.603126,5.1200,5.2000,5.0100,5.0400,5.1200,2750142,14051537.0000
2019-02-01,sh.603126,5.1300,5.2100,5.0500,5.2100,5.0400,1827800,9439448.0000
2019-02-11,sh.603126,5.2500,5.3500,5.2200,5.3100,5.2100,2827600,14983929.0000
2019-02-12,sh.603126,5.3100,5.4400,5.3000,5.3900,5.3100,3370142,18090932.0000
2019-02-13,sh.603126,5.3700,5.5100,5.3600,5.5000,5.3900,4619322,25127910.0000
2019-02-14,sh.603126,5.5000,5.5700,5.4700,5.5200,5.5000,4301745,23786600.0000
2019-02-15,sh.603126,5.5200,5.6400,5.5100,5.5400,5.5200,4704400,26220251.0000
2019-02-18,sh.603126,5.5900,5.7300,5.5500,5.7300,5.5400,6427188,36337232.0000
2019-02-19,sh.603126,5.7000,5.7700,5.6300,5.7100,5.7300,6582294,37484707.0000
2019-02-20,sh.603126,5.7000,5.7900,5.6500,5.7900,5.7100,5879333,33654250.0000
2019-02-21,sh.603126,5.7900,5.8300,5.6600,5.7200,5.7900,7157050,41128490.0000
2019-02-22,sh.603126,5.7100,5.7800,5.6500,5.7700,5.7200,7037079,40324565.0000
2019-02-25,sh.603126,5.8100,6.1000,5.7900,6.0400,5.7700,12483359,74461458.0000
2019-02-26,sh.603126,6.0400,6.2500,6.0000,6.0500,6.0400,13016878,79838216.0000
2019-02-27,sh.603126,6.0000,6.3000,6.0000,6.1300,6.0500,10971608,67602816.0000
2019-02-28,sh.603126,6.1800,6.3200,6.1300,6.1800,6.1300,7523312,46719096.0000
2019-03-01,sh.603126,6.1800,6.2100,6.1000,6.2000,6.1800,6347528,39125787.0000
2019-03-04,sh.603126,6.2300,6.4300,6.1900,6.2700,6.2000,11962102,75554579.0000
2019-03-05,sh.603126,6.2900,6.3900,6.2300,6.3900,6.2700,9768011,61485632.0000
2019-03-06,sh.603126,6.4800,6.6200,6.3500,6.6000,6.3900,14149202,91932591.0000
2019-03-07,sh.603126,6.6100,6.8900,6.5500,6.7900,6.6000,13553105,90880137.0000
2019-03-08,sh.603126,6.6300,6.9900,6.5000,6.5100,6.7900,17086194,115084839.0000
2019-03-11,sh.603126,6.5500,6.9600,6.5300,6.9200,6.5100,14118302,95041675.0000
2019-03-12,sh.603126,6.9800,6.9800,6.7400,6.8500,6.9200,17602056,120687424.0000
2019-03-13,sh.603126,6.8600,6.8800,6.5100,6.6200,6.8500,11847179,79065192.0000
2019-03-14,sh.603126,6.6000,6.6000,6.2200,6.3000,6.6200,8835845,56300133.0000
2019-03-15,sh.603126,6.3800,6.4800,6.3200,6.3900,6.3000,5961250,38174459.0000
2019-03-18,sh.603126,6.4200,6.7400,6.3300,6.7100,6.3900,9339526,61578935.0000
2019-03-19,sh.603126,6.7000,6.7900,6.6600,6.7000,6.7100,8008254,53865980.0000
2019-03-20,sh.603126,6.6800,6.8900,6.6200,6.8700,6.7000,11390550,77220731.0000
2019-03-21,sh.603126,6.9500,7.0500,6.8300,6.8800,6.8700,13400851,93080224.0000
2019-03-22,sh.603126,6.9900,7.5700,6.9700,7.5700,6.8800,23277899,173971242.0000
2019-03-25,sh.603126,7.6000,8.2000,7.3000,7.8500,7.5700,51039763,395162934.0000
2019-03-26,sh.603126,7.5200,7.7500,7.2000,7.2900,7.8500,28894052,215874258.0000
2019-03-27,sh.603126,7.3500,7.4200,7.1000,7.2400,7.2900,14852739,107861527.0000
2019-03-28,sh.603126,7.0300,7.3300,7.0300,7.0500,7.2400,11257000,80616714.0000
2019-03-29,sh.603126,7.1000,7.4200,6.8700,7.2600,7.0500,17341800,123622672.0000
2019-04-01,sh.603126,7.3200,7.7600,7.2200,7.7300,7.2600,26758769,200719179.0000
2019-04-02,sh.603126,7.7100,7.7100,7.5000,7.5200,7.7300,19665975,149358317.0000
2019-04-03,sh.603126,7.4000,7.6300,7.3800,7.5400,7.5200,11638695,87214087.0000
2019-04-04,sh.603126,7.5900,7.5900,7.3300,7.3900,7.5400,12649900,94134727.0000
2019-04-08,sh.603126,7.3900,7.4900,7.1600,7.2500,7.3900,11157784,81521791.0000
2019-04-09,sh.603126,7.2400,7.5400,7.1700,7.4900,7.2500,11424186,84619458.0000
2019-04-10,sh.603126,7.4200,7.6600,7.2700,7.6100,7.4900,15825350,118963700.0000
2019-04-11,sh.603126,7.4600,7.9900,7.4600,7.6300,7.6100,22581099,174052760.0000
2019-04-12,sh.603126,7.5800,8.0900,7.5000,8.0100,7.6300,33173552,261637920.0000
2019-04-15,sh.603126,8.0800,8.1500,7.7200,7.7600,8.0100,23532627,185862455.0000
2019-04-16,sh.603126,7.7400,7.7500,7.4500,7.7500,7.7600,15256148,116310240.0000
2019-04-17,sh.603126,7.7100,7.8300,7.6000,7.6700,7.7500,11631598,89408081.0000
2019-04-18,sh.603126,7.6200,7.7200,7.5200,7.5800,7.6700,8976200,68133737.0000
