date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603179,16.0900,16.3400,15.6600,16.1800,16.1300,1032271,16440467.0000
2019-01-03,sh.603179,16.0000,16.4800,15.7500,16.4500,16.1800,1651402,26691492.0000
2019-01-04,sh.603179,16.2000,17.3000,16.0300,17.1800,16.4500,3105309,52236126.0000
2019-01-07,sh.603179,17.0700,17.2000,16.7100,16.8300,17.1800,2342692,39443525.0000
2019-01-08,sh.603179,16.8100,16.8100,16.3800,16.7300,16.8300,1865117,30944756.0000
2019-01-09,sh.603179,17.4000,17.4900,16.7000,16.9000,16.7300,3616440,61302847.0000
2019-01-10,sh.603179,16.8100,16.8100,16.4600,16.5000,16.9000,917160,15203139.0000
2019-01-11,sh.603179,16.6300,16.8100,16.2400,16.8000,16.5000,1826900,30085786.0000
2019-01-14,sh.603179,16.7400,16.7700,16.3400,16.4000,16.8000,735823,12156970.0000
2019-01-15,sh.603179,16.3000,17.0900,16.2800,17.0300,16.4000,1814634,30286311.0000
2019-01-16,sh.603179,16.9500,17.1400,16.7700,17.0100,17.0300,1265640,21416068.0000
2019-01-17,sh.603179,16.9100,17.0300,16.7900,17.0000,17.0100,843820,14260314.0000
2019-01-18,sh.603179,16.9300,17.1800,16.8200,17.1800,17.0000,1694180,28856205.0000
2019-01-21,sh.603179,17.1900,17.2700,16.9100,16.9700,17.1800,1017291,17375588.0000
2019-01-22,sh.603179,16.9700,17.0500,16.8200,16.9000,16.9700,661240,11207460.0000
2019-01-23,sh.603179,16.8300,17.0000,16.5900,16.6600,16.9000,810180,13593946.0000
2019-01-24,sh.603179,16.7600,16.8300,16.6400,16.6700,16.6600,491740,8212061.0000
2019-01-25,sh.603179,16.5500,16.7800,16.5500,16.5500,16.6700,499600,8309672.0000
2019-01-28,sh.603179,16.5500,16.7100,16.2000,16.4000,16.5500,963633,15833772.0000
2019-01-29,sh.603179,16.2400,16.4000,15.7100,15.9100,16.4000,1042464,16608937.0000
2019-01-30,sh.603179,15.7500,15.9100,15.7400,15.9000,15.9100,630700,9967928.0000
2019-01-31,sh.603179,15.9300,16.0800,15.3100,15.7800,15.9000,1311940,20642805.0000
2019-02-01,sh.603179,15.7500,16.5700,15.5500,16.5700,15.7800,1795165,28831072.0000
2019-02-11,sh.603179,16.5000,16.6900,16.3300,16.6300,16.5700,2019777,33471962.0000
2019-02-12,sh.603179,16.6000,16.8800,16.5200,16.6600,16.6300,1836451,30703977.0000
2019-02-13,sh.603179,16.6600,17.1000,16.6600,16.9000,16.6600,3472052,58729796.0000
2019-02-14,sh.603179,16.8900,17.0600,16.8100,16.9100,16.9000,2329400,39516713.0000
2019-02-15,sh.603179,16.9500,17.0600,16.8300,16.9300,16.9100,1933333,32789885.0000
2019-02-18,sh.603179,16.9200,17.2700,16.9100,17.2000,16.9300,4145902,71043511.0000
2019-02-19,sh.603179,17.2000,17.3400,16.7800,17.1300,17.2000,4097138,69951863.0000
2019-02-20,sh.603179,17.0800,17.4900,16.9300,17.4500,17.1300,6812368,117755214.0000
2019-02-21,sh.603179,17.4300,17.9100,17.2000,17.7400,17.4500,5603009,98627728.0000
2019-02-22,sh.603179,17.4800,17.8000,17.4600,17.7300,17.7400,3135577,55405330.0000
2019-02-25,sh.603179,17.7400,18.8000,17.6200,18.6500,17.7300,5705925,103866217.0000
2019-02-26,sh.603179,18.0000,18.3000,17.5000,17.9200,18.6500,10010312,178508459.0000
2019-02-27,sh.603179,17.7000,17.8800,17.2100,17.3600,17.9200,5526780,97198365.0000
2019-02-28,sh.603179,17.3500,17.7000,17.2400,17.5000,17.3600,4257451,74173584.0000
2019-03-01,sh.603179,17.6600,17.6600,17.2300,17.4300,17.5000,2709103,47063998.0000
2019-03-04,sh.603179,17.5000,17.7400,17.4200,17.5500,17.4300,7112991,125092852.0000
2019-03-05,sh.603179,17.4800,17.7400,17.3300,17.7400,17.5500,5688094,100146929.0000
2019-03-06,sh.603179,17.9300,18.4800,17.8300,18.2300,17.7400,10023526,181231036.0000
2019-03-07,sh.603179,18.2500,19.1300,17.8800,18.7700,18.2300,9394957,172589129.0000
2019-03-08,sh.603179,18.4500,18.7000,17.8700,17.8900,18.7700,6109823,111866262.0000
2019-03-11,sh.603179,18.0000,18.4800,17.8600,18.4200,17.8900,4794839,87170381.0000
2019-03-12,sh.603179,18.6600,18.8000,18.0800,18.3300,18.4200,7001151,129044179.0000
2019-03-13,sh.603179,18.3800,18.4700,18.0300,18.1200,18.3300,4054302,73888127.0000
2019-03-14,sh.603179,18.1200,18.3500,17.2300,17.4500,18.1200,4711860,82970016.0000
2019-03-15,sh.603179,17.5000,17.7800,17.2800,17.5200,17.4500,3760828,65918057.0000
2019-03-18,sh.603179,17.5800,17.9700,17.5800,17.9600,17.5200,3352055,59642317.0000
2019-03-19,sh.603179,17.9800,18.4400,17.9800,18.2600,17.9600,5167750,94042812.0000
2019-03-20,sh.603179,18.2600,18.5000,18.1000,18.5000,18.2600,4922676,89998228.0000
2019-03-21,sh.603179,18.5500,18.6900,18.2200,18.3200,18.5000,3810580,70077638.0000
2019-03-22,sh.603179,18.2700,18.4300,18.0000,18.2600,18.3200,2970700,54042450.0000
2019-03-25,sh.603179,18.0500,18.1800,17.7000,17.7300,18.2600,3873118,69402504.0000
2019-03-26,sh.603179,17.7300,17.8800,17.3400,17.3900,17.7300,3455990,60660224.0000
2019-03-27,sh.603179,17.4000,17.5800,17.3100,17.5800,17.3900,2122533,37030955.0000
2019-03-28,sh.603179,17.4700,17.7100,17.3600,17.4300,17.5800,2360153,41449795.0000
