date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603259,75.2800,75.2800,71.5500,71.9400,74.8600,2995920,217641273.0000
2019-01-03,sh.603259,72.0000,72.5600,71.0600,71.6200,71.9400,1827752,131323627.0000
2019-01-04,sh.603259,70.8000,73.1500,70.4800,72.5900,71.6200,2789282,200818285.0000
2019-01-07,sh.603259,73.0000,73.0200,71.3800,72.2100,72.5900,2778517,200207241.0000
2019-01-08,sh.603259,72.2100,72.2100,71.0200,71.5400,72.2100,2172878,155134848.0000
2019-01-09,sh.603259,71.5300,73.3000,71.5300,72.1500,71.5400,2844373,206463856.0000
2019-01-10,sh.603259,72.1000,73.0000,71.8200,72.3400,72.1500,1829637,132361166.0000
2019-01-11,sh.603259,72.2000,72.4500,71.3000,72.3800,72.3400,1999017,143560530.0000
2019-01-14,sh.603259,72.5000,72.5000,71.5500,71.5500,72.3800,1413876,101654505.0000
2019-01-15,sh.603259,71.5500,72.6800,71.3000,72.3900,71.5500,2501612,179830356.0000
2019-01-16,sh.603259,72.3900,72.9700,71.8300,72.5400,72.3900,2249812,163169650.0000
2019-01-17,sh.603259,73.0000,74.5800,72.8000,73.3900,72.5400,3961920,292643464.0000
2019-01-18,sh.603259,73.4000,75.3000,73.4000,75.1000,73.3900,4191591,312219264.0000
2019-01-21,sh.603259,75.2100,78.0900,75.1500,77.8300,75.1000,5838148,451116611.0000
2019-01-22,sh.603259,77.9800,77.9800,75.5600,76.0900,77.8300,3876299,296861263.0000
2019-01-23,sh.603259,75.5800,76.3700,75.3000,75.6900,76.0900,1863501,141133207.0000
2019-01-24,sh.603259,75.7200,77.1700,75.3700,76.6600,75.6900,2704533,206330266.0000
2019-01-25,sh.603259,76.6600,77.6200,76.2100,76.3800,76.6600,2295206,176840230.0000
2019-01-28,sh.603259,76.3800,76.8800,73.7300,74.4700,76.3800,3128954,235371278.0000
2019-01-29,sh.603259,74.1700,74.9700,72.8800,74.5200,74.4700,2586828,191097918.0000
2019-01-30,sh.603259,74.5000,77.1000,74.4300,76.3600,74.5200,3980710,302745658.0000
2019-01-31,sh.603259,76.7000,76.8000,73.8600,75.5300,76.3600,3804091,286437942.0000
2019-02-01,sh.603259,76.5100,77.4900,76.0000,77.2000,75.5300,3541885,272747794.0000
2019-02-11,sh.603259,77.1000,79.7900,76.1000,79.0400,77.2000,3527201,277427569.0000
2019-02-12,sh.603259,79.1000,81.4100,79.0400,80.5100,79.0400,5110043,411589762.0000
2019-02-13,sh.603259,80.1700,81.3600,79.6100,80.9600,80.5100,4869291,392770324.0000
2019-02-14,sh.603259,80.9000,84.1000,80.0900,83.4100,80.9600,6370497,527497633.0000
2019-02-15,sh.603259,82.8800,83.3500,81.7600,81.9100,83.4100,3409279,280738081.0000
2019-02-18,sh.603259,82.3000,85.2500,82.3000,85.1800,81.9100,5505816,463635128.0000
2019-02-19,sh.603259,85.1900,87.8600,83.8200,84.7000,85.1800,6476832,556036430.0000
2019-02-20,sh.603259,84.7200,85.5000,83.3600,84.0000,84.7000,4367114,368166866.0000
2019-02-21,sh.603259,83.2600,84.5400,82.0100,82.3100,84.0000,4528409,377770393.0000
2019-02-22,sh.603259,82.0000,85.3400,81.9200,85.2800,82.3100,4602024,388161565.0000
2019-02-25,sh.603259,85.1100,88.8800,84.6000,88.7300,85.2800,7996177,695105623.0000
2019-02-26,sh.603259,88.7100,91.3000,87.0000,87.5800,88.7300,6521075,580207647.0000
2019-02-27,sh.603259,87.3800,88.4300,86.3100,86.7900,87.5800,3803762,332200371.0000
2019-02-28,sh.603259,87.7100,90.8000,87.7100,89.8800,86.7900,7297520,655263939.0000
2019-03-01,sh.603259,90.3000,91.0000,88.3200,89.8900,89.8800,3517226,314808600.0000
2019-03-04,sh.603259,89.9500,98.8800,89.9500,96.6600,89.8900,11354266,1084659164.0000
2019-03-05,sh.603259,94.9800,99.9800,94.6800,99.3400,96.6600,7585344,743738427.0000
2019-03-06,sh.603259,99.1900,101.6000,96.8800,98.2800,99.3400,5510301,542853450.0000
2019-03-07,sh.603259,98.0000,98.0000,93.4100,95.3800,98.2800,7174361,684293440.0000
2019-03-08,sh.603259,92.7000,96.5000,91.8800,93.5600,95.3800,5131226,481843039.0000
2019-03-11,sh.603259,97.5000,97.5500,94.5500,96.3500,93.5600,4249560,407451833.0000
2019-03-12,sh.603259,96.3400,97.6900,94.4600,95.7400,96.3500,5669217,544969811.0000
2019-03-13,sh.603259,95.9900,97.1000,93.7100,94.5000,95.7400,4028567,385374801.0000
2019-03-14,sh.603259,93.6000,94.0000,90.7000,92.3400,94.5000,4670839,429899372.0000
2019-03-15,sh.603259,92.3500,95.9900,92.2500,93.6500,92.3400,4402504,415803010.0000
2019-03-18,sh.603259,94.5500,97.1800,94.2300,96.9600,93.6500,4748584,457412518.0000
