date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603333,4.9700,5.0100,4.9000,4.9600,5.0100,963368,4764709.0000
2019-01-03,sh.603333,4.9200,4.9900,4.9100,4.9900,4.9600,876156,4342946.0000
2019-01-04,sh.603333,4.9500,5.1000,4.9100,5.0600,4.9900,1411752,7122694.0000
2019-01-07,sh.603333,5.2100,5.2800,5.0800,5.2000,5.0600,2903296,14996582.0000
2019-01-08,sh.603333,5.4900,5.4900,5.1800,5.2100,5.2000,2923600,15479342.0000
2019-01-09,sh.603333,5.3300,5.4300,5.2400,5.2700,5.2100,3835960,20348582.0000
2019-01-10,sh.603333,5.2500,5.3600,5.2100,5.3400,5.2700,2905838,15407293.0000
2019-01-11,sh.603333,5.3400,5.3500,5.2100,5.2800,5.3400,1959600,10319204.0000
2019-01-14,sh.603333,5.3000,5.3300,5.2600,5.2900,5.2800,1272000,6728618.0000
2019-01-15,sh.603333,5.2900,5.3300,5.2400,5.3200,5.2900,1509631,7984026.0000
2019-01-16,sh.603333,5.3000,5.3200,5.2300,5.2500,5.3200,1300410,6852732.0000
2019-01-17,sh.603333,5.2600,5.2600,5.1500,5.1700,5.2500,1197489,6233348.0000
2019-01-18,sh.603333,5.2000,5.2400,5.1600,5.2300,5.1700,827510,4306334.0000
2019-01-21,sh.603333,5.2500,5.4000,5.2400,5.3600,5.2300,2182542,11676978.0000
2019-01-22,sh.603333,5.3800,5.4100,5.2900,5.3800,5.3600,1694420,9065750.0000
2019-01-23,sh.603333,5.3400,5.4400,5.3300,5.4200,5.3800,1542501,8339340.0000
2019-01-24,sh.603333,5.4500,5.6800,5.3800,5.6000,5.4200,3842474,21244303.0000
2019-01-25,sh.603333,5.6600,5.7200,5.5300,5.6900,5.6000,3205416,18091546.0000
2019-01-28,sh.603333,5.7200,5.7700,5.6500,5.6700,5.6900,2811900,16007352.0000
2019-01-29,sh.603333,5.5800,5.6900,5.5800,5.6100,5.6700,2205801,12389442.0000
2019-01-30,sh.603333,5.6300,5.6700,5.5600,5.6100,5.6100,1453900,8146475.0000
2019-01-31,sh.603333,5.6200,5.6900,5.5600,5.5700,5.6100,2599196,14605298.0000
2019-02-01,sh.603333,5.6500,5.7400,5.5800,5.5800,5.5700,1334446,7511784.0000
2019-02-11,sh.603333,5.7600,5.9800,5.6700,5.6700,5.5800,3994051,23096053.0000
2019-02-12,sh.603333,5.7500,5.7800,5.5800,5.6800,5.6700,3572289,20216014.0000
2019-02-13,sh.603333,5.7000,5.7600,5.6400,5.7400,5.6800,2525038,14436393.0000
2019-02-14,sh.603333,5.7300,6.2300,5.7300,6.1600,5.7400,8130949,49122306.0000
2019-02-15,sh.603333,6.1800,6.1800,6.0100,6.0800,6.1600,4483799,27174374.0000
2019-02-18,sh.603333,6.1400,6.2600,6.0400,6.2600,6.0800,5987688,36857019.0000
2019-02-19,sh.603333,6.3000,6.4500,6.1000,6.4100,6.2600,5159690,32210252.0000
2019-02-20,sh.603333,6.4100,6.4100,6.2400,6.2600,6.4100,2956290,18592674.0000
