date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603507,21.6000,23.0000,21.5700,22.7200,21.9400,2435376,54085754.0000
2019-01-03,sh.603507,22.5900,23.2300,22.1000,22.5800,22.7200,2315814,52511290.0000
2019-01-04,sh.603507,22.0500,22.9700,21.5100,22.2600,22.5800,2439216,54406022.0000
2019-01-07,sh.603507,22.0900,22.5500,21.5200,22.1000,22.2600,2608997,57586518.0000
2019-01-08,sh.603507,22.0200,22.0800,21.0000,21.3400,22.1000,2579651,55275218.0000
2019-01-09,sh.603507,21.1100,21.8300,21.1000,21.3600,21.3400,1811788,38841055.0000
2019-01-10,sh.603507,21.5700,22.5900,21.0200,21.0300,21.3600,1912800,41345578.0000
2019-01-11,sh.603507,21.6100,22.9500,21.1200,22.7000,21.0300,3272749,72449785.0000
2019-01-14,sh.603507,22.4100,22.9400,21.7900,21.9500,22.7000,2547923,56946561.0000
2019-01-15,sh.603507,21.9400,22.6800,21.7600,22.2900,21.9500,1357317,30296108.0000
2019-01-16,sh.603507,22.2900,24.4000,22.1700,24.0000,22.2900,2046956,47179520.0000
2019-01-17,sh.603507,23.7800,26.1000,23.5800,24.0500,24.0000,3865310,95372919.0000
2019-01-18,sh.603507,24.2100,24.5000,23.2300,23.4400,24.0500,2058057,48561210.0000
2019-01-21,sh.603507,23.2400,23.3600,22.6000,22.8500,23.4400,2299631,52679862.0000
2019-01-22,sh.603507,22.9400,22.9400,22.4100,22.5200,22.8500,1782743,40346693.0000
2019-01-23,sh.603507,22.5300,22.9000,22.3000,22.8100,22.5200,803739,18252279.0000
2019-01-24,sh.603507,22.8100,22.8100,21.7100,22.2500,22.8100,1709475,37986192.0000
2019-01-25,sh.603507,22.2600,23.5500,22.2500,23.0100,22.2500,1859604,42743468.0000
2019-01-28,sh.603507,22.8000,25.3100,22.8000,24.4600,23.0100,2845530,68532001.0000
2019-01-29,sh.603507,24.4500,24.4500,22.6500,23.6600,24.4600,1701477,39889482.0000
2019-01-30,sh.603507,22.8800,23.9300,22.8200,23.0300,23.6600,1117749,26014932.0000
2019-01-31,sh.603507,23.0000,24.2000,23.0000,23.7900,23.0300,1431457,34153747.0000
2019-02-01,sh.603507,23.9900,24.6500,23.4000,24.2400,23.7900,1000509,24321451.0000
2019-02-11,sh.603507,24.6000,25.5800,23.0000,25.1200,24.2400,1482463,36688240.0000
2019-02-12,sh.603507,25.1000,26.6800,25.0000,26.3300,25.1200,2012717,52527988.0000
2019-02-13,sh.603507,26.4300,27.1900,25.5200,26.2500,26.3300,1937611,51407536.0000
2019-02-14,sh.603507,26.5300,26.5300,25.4400,25.7600,26.2500,1748928,45123812.0000
2019-02-15,sh.603507,25.4400,25.9000,25.2800,25.6000,25.7600,1387188,35390620.0000
2019-02-18,sh.603507,25.6800,26.6600,25.4100,26.3400,25.6000,1545742,40560469.0000
2019-02-19,sh.603507,26.3900,26.3900,25.6000,25.8800,26.3400,1413304,36752527.0000
2019-02-20,sh.603507,25.9000,26.2900,25.4100,25.8100,25.8800,731822,18793940.0000
2019-02-21,sh.603507,25.5100,27.0300,25.4100,26.1100,25.8100,1988926,52572754.0000
2019-02-22,sh.603507,26.0300,27.7700,26.0300,27.4500,26.1100,1749498,47686482.0000
2019-02-25,sh.603507,27.3000,28.8000,27.3000,27.8600,27.4500,2758155,76930484.0000
2019-02-26,sh.603507,28.0400,28.0800,26.8600,26.9900,27.8600,1670302,45667393.0000
2019-02-27,sh.603507,26.8800,27.1400,25.9600,26.2500,26.9900,1421127,37647699.0000
2019-02-28,sh.603507,26.1400,26.7800,26.0000,26.7000,26.2500,668000,17786085.0000
2019-03-01,sh.603507,26.6800,26.6800,25.7900,26.4100,26.7000,1111800,29138365.0000
2019-03-04,sh.603507,26.4300,27.6200,26.1600,27.6200,26.4100,2271427,61070427.0000
2019-03-05,sh.603507,27.4000,27.4000,26.7000,27.1500,27.6200,1905181,51283810.0000
2019-03-06,sh.603507,27.1800,27.5000,26.8500,27.2100,27.1500,1250899,33813901.0000
2019-03-07,sh.603507,27.0000,27.3600,26.5000,26.6000,27.2100,2587831,69647877.0000
2019-03-08,sh.603507,26.3700,26.3700,24.1200,24.1200,26.6000,3308098,82786620.0000
2019-03-11,sh.603507,23.8200,25.4600,23.8200,25.4000,24.1200,2093859,51679672.0000
2019-03-12,sh.603507,25.4200,26.3500,25.4100,26.2800,25.4000,2269639,59211997.0000
2019-03-13,sh.603507,26.6400,26.7700,25.6400,25.7100,26.2800,1552769,40479535.0000
2019-03-14,sh.603507,25.7100,26.3900,25.2300,25.6000,25.7100,1346967,34979620.0000
2019-03-15,sh.603507,25.6600,26.8500,25.6600,26.3900,25.6000,1788276,47346934.0000
2019-03-18,sh.603507,26.2000,26.6500,25.1100,26.3900,26.3900,2180774,56771478.0000
2019-03-19,sh.603507,26.5000,27.1200,26.2300,27.0400,26.3900,1816282,48676838.0000
2019-03-20,sh.603507,26.7800,29.4800,26.7800,28.2300,27.0400,2488658,70683872.0000
2019-03-21,sh.603507,27.7700,28.9400,27.6800,28.2600,28.2300,1735628,49244784.0000
2019-03-22,sh.603507,27.7700,28.6600,27.5300,27.7200,28.2600,1108746,30810836.0000
2019-03-25,sh.603507,27.7100,28.5000,27.2000,27.9100,27.7200,1351201,37925066.0000
2019-03-26,sh.603507,28.1000,28.3800,26.7800,26.8500,27.9100,1647264,45170708.0000
2019-03-27,sh.603507,27.5000,28.2500,27.1800,28.2200,26.8500,1906459,53520027.0000
2019-03-28,sh.603507,28.2000,28.4700,26.4000,26.6500,28.2200,1398991,38151603.0000
2019-03-29,sh.603507,26.6500,27.3800,26.3200,26.8600,26.6500,1115419,29885017.0000
2019-04-01,sh.603507,26.9000,28.0600,26.8600,27.7800,26.8600,1339000,36957609.0000
2019-04-02,sh.603507,27.5700,28.3000,27.0100,27.0500,27.7800,1215457,33535936.0000
2019-04-03,sh.603507,27.1400,27.6900,26.6000,26.9600,27.0500,1085712,29206811.0000
2019-04-04,sh.603507,27.2500,27.2500,25.6900,25.7900,26.9600,2258200,58878631.0000
2019-04-08,sh.603507,26.0800,26.2800,24.2000,25.0600,25.7900,2305447,58117987.0000
2019-04-09,sh.603507,25.0600,25.9700,24.9000,25.9500,25.0600,1390609,35484413.0000
2019-04-10,sh.603507,25.8300,25.9400,25.3000,25.4000,25.9500,1154057,29474055.0000
2019-04-11,sh.603507,25.4800,25.8100,25.2000,25.2100,25.4000,1119355,28541442.0000
2019-04-12,sh.603507,25.2800,25.2800,24.0700,24.3000,25.2100,1595490,38989547.0000
2019-04-15,sh.603507,24.8000,24.8600,23.6100,23.6700,24.3000,2011643,48475526.0000
2019-04-16,sh.603507,23.9800,23.9800,22.9300,23.6000,23.6700,1816635,42384531.0000
2019-04-17,sh.603507,23.8000,23.9800,23.3900,23.8400,23.6000,1675299,39658093.0000
2019-04-18,sh.603507,23.8400,23.8400,22.9400,23.0000,23.8400,2131658,49439906.0000
2019-04-19,sh.603507,23.1300,23.4200,22.3400,23.3000,23.0000,2210063,50572322.0000
2019-04-22,sh.603507,23.0800,23.3000,22.5000,22.6000,23.3000,1836183,42066574.0000
2019-04-23,sh.603507,22.8000,22.9000,21.8100,21.9000,22.6000,1961545,43427866.0000
2019-04-24,sh.603507,22.0000,22.3700,21.9300,22.3500,21.9000,1050506,23324051.0000
2019-04-25,sh.603507,22.5000,22.7600,21.8100,21.8100,22.3500,1487909,33217562.0000
2019-04-26,sh.603507,21.7500,21.8900,21.3100,21.4100,21.8100,1192727,25688648.0000
2019-04-29,sh.603507,21.3500,21.6100,20.3800,20.7800,21.4100,1205507,25658344.0000
2019-04-30,sh.603507,21.2500,21.4500,20.8500,21.4000,20.7800,827718,17604039.0000
2019-05-06,sh.603507,20.1200,21.3800,19.6100,19.8400,21.4000,1603905,32419062.0000
2019-05-07,sh.603507,20.3200,20.7000,19.9900,20.2600,19.8400,890249,18088403.0000
2019-05-08,sh.603507,20.2500,20.8300,20.1800,20.8000,20.2600,1008155,20815345.0000
2019-05-09,sh.603507,20.7600,21.1800,20.5100,20.5600,20.8000,738746,15331729.0000
2019-05-10,sh.603507,20.8900,21.2900,20.5900,21.2000,20.5600,906573,19081479.0000
2019-05-13,sh.603507,21.1800,21.2900,20.9000,20.9900,21.2000,489307,10315579.0000
2019-05-14,sh.603507,20.7000,21.2200,20.4700,20.6900,20.9900,555607,11572834.0000
2019-05-15,sh.603507,20.8300,21.1300,20.7000,20.9500,20.6900,644507,13447371.0000
2019-05-16,sh.603507,20.9500,21.2700,20.7800,21.0600,20.9500,741112,15609557.0000
2019-05-17,sh.603507,21.5000,21.5000,19.6600,19.9800,21.0600,843362,17124793.0000
2019-05-20,sh.603507,19.9100,20.1600,19.1900,19.5000,19.9800,601014,11781032.0000
2019-05-21,sh.603507,19.5600,19.8500,19.5600,19.6100,19.5000,772481,15209735.0000
2019-05-22,sh.603507,19.7900,19.9200,19.2000,19.5900,19.6100,473966,9319075.0000
2019-05-23,sh.603507,19.5900,19.7300,19.1000,19.1900,19.5900,505133,9778736.0000
2019-05-24,sh.603507,19.2500,19.2800,18.6000,18.9300,19.1900,495728,9368673.0000
2019-05-27,sh.603507,19.0000,19.9500,18.9800,19.9500,18.9300,897531,17583327.0000
2019-05-28,sh.603507,19.9500,20.4800,19.7300,20.1000,19.9500,575804,11616049.0000
2019-05-29,sh.603507,20.1100,21.2400,20.1000,20.8300,20.1000,1039893,21650512.0000
2019-05-30,sh.603507,20.8300,20.8800,20.3600,20.8600,20.8300,888796,18269509.0000
2019-05-31,sh.603507,20.8500,21.9400,20.6500,21.8200,20.8600,1473375,31788362.0000
2019-06-03,sh.603507,21.7500,21.7500,20.7100,20.9300,21.8200,1102285,23338695.0000
2019-06-04,sh.603507,20.8700,21.2100,20.3100,20.4400,20.9300,865160,17851878.0000
2019-06-05,sh.603507,20.8800,20.8800,20.4200,20.5100,20.4400,430365,8857147.0000
2019-06-06,sh.603507,20.6600,20.6600,19.8100,19.9600,20.5100,613364,12390221.0000
2019-06-10,sh.603507,20.1800,20.5000,19.8700,20.3900,19.9600,610820,12415592.0000
2019-06-11,sh.603507,20.8700,21.1500,20.4800,20.9200,20.3900,748610,15613098.0000
2019-06-12,sh.603507,20.9900,20.9900,20.4600,20.5800,20.9200,525700,10862153.0000
2019-06-13,sh.603507,20.6500,20.6900,20.2000,20.5400,20.5800,407141,8342244.0000
2019-06-14,sh.603507,20.6800,20.6800,19.6200,19.6800,20.5400,781987,15612901.0000
2019-06-17,sh.603507,19.7300,19.9900,19.1800,19.6100,19.6800,551772,10784163.0000
