date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002049,29.1100,29.2800,28.9400,29.0500,28.9000,4844844,141013569.5900
2019-01-03,sz.002049,29.0800,29.6000,28.8800,29.0800,29.0500,6019412,176475291.4400
2019-01-04,sz.002049,28.4300,29.8000,28.3000,29.6800,29.0800,9482721,277975382.1800
2019-01-07,sz.002049,29.8800,31.1400,29.8100,30.9000,29.6800,14622167,447961994.8000
2019-01-08,sz.002049,30.7800,30.8500,30.3100,30.4900,30.9000,8111710,247587189.7200
2019-01-09,sz.002049,30.5900,31.8800,30.2100,30.8300,30.4900,16562797,515186423.0100
2019-01-10,sz.002049,30.6200,31.2300,30.3400,30.4900,30.8300,9733718,300264848.4300
2019-01-11,sz.002049,30.5800,31.0800,30.5000,30.6300,30.4900,6687779,205450993.4300
2019-01-14,sz.002049,30.5100,30.7500,30.0300,30.0600,30.6300,6923471,209607415.6100
2019-01-15,sz.002049,30.0500,30.7300,29.9400,30.6500,30.0600,8358062,254514429.9300
2019-01-16,sz.002049,30.6400,31.4500,30.5300,30.7100,30.6500,9256557,286511617.3900
2019-01-17,sz.002049,30.8000,30.8000,29.9100,30.0800,30.7100,7758229,235043571.9900
2019-01-18,sz.002049,30.0900,30.6700,29.8700,30.4400,30.0800,8432864,255545790.7000
2019-01-21,sz.002049,30.4500,31.3000,30.3500,31.2700,30.4400,14047990,435274427.0600
2019-01-22,sz.002049,31.3000,31.4100,30.5200,30.6900,31.2700,10538238,325303957.9700
2019-01-23,sz.002049,30.5700,30.6900,30.2100,30.4600,30.6900,5431417,165114355.5400
2019-01-24,sz.002049,30.4600,33.2900,30.3800,32.1300,30.4600,29487157,941057115.6200
2019-01-25,sz.002049,32.1600,32.7800,31.5400,31.6600,32.1300,20409296,655147003.5300
2019-01-28,sz.002049,32.0000,32.3300,31.4700,31.5300,31.6600,12964418,413163981.5300
2019-01-29,sz.002049,31.4000,31.4000,30.0200,30.6500,31.5300,13329984,408118334.9000
2019-01-30,sz.002049,30.3500,30.7900,29.9000,29.9500,30.6500,8716683,264438920.0200
2019-01-31,sz.002049,30.0100,30.6300,29.6500,30.1300,29.9500,8699798,262717907.3500
2019-02-01,sz.002049,29.9900,31.2300,29.9900,30.9400,30.1300,12204744,375856721.8200
2019-02-11,sz.002049,31.0300,32.2000,30.9500,32.1300,30.9400,17377623,552386034.3800
2019-02-12,sz.002049,32.0000,32.3800,31.8800,32.2700,32.1300,16207598,520409746.7300
2019-02-13,sz.002049,32.2600,34.8000,32.2300,33.9900,32.2700,31874117,1076975898.2600
2019-02-14,sz.002049,33.8200,33.9400,33.3600,33.6400,33.9900,19682319,662276194.0900
2019-02-15,sz.002049,33.5900,34.5700,33.4700,33.6400,33.6400,19390116,658557776.2700
2019-02-18,sz.002049,33.9000,35.4000,33.6000,35.1200,33.6400,29233701,1014012375.2900
2019-02-19,sz.002049,35.1500,35.7700,34.5600,35.2500,35.1200,27585176,967358754.4700
2019-02-20,sz.002049,35.0500,35.0700,34.0900,34.7000,35.2500,19428074,671732009.0700
2019-02-21,sz.002049,34.5400,35.6000,34.0000,34.0500,34.7000,27942502,974109942.2000
2019-02-22,sz.002049,34.0500,35.2500,34.0200,35.2000,34.0500,23395976,811377314.4400
2019-02-25,sz.002049,36.0000,38.3600,35.5600,38.0000,35.2000,44152738,1630238004.3500
2019-02-26,sz.002049,37.9300,39.3700,36.7100,37.6800,38.0000,42080973,1590871802.3400
2019-02-27,sz.002049,37.3500,38.4100,36.7300,37.3300,37.6800,25832067,971308911.5800
2019-02-28,sz.002049,37.3400,38.1900,37.1000,37.8400,37.3300,18480660,695919860.4400
2019-03-01,sz.002049,37.9000,38.1500,37.0200,37.6000,37.8400,15429840,577370567.7600
2019-03-04,sz.002049,38.2900,39.4900,37.8300,38.2100,37.6000,35240329,1360887616.4500
2019-03-05,sz.002049,37.7000,41.7600,37.5000,41.3700,38.2100,48509031,1921429549.5900
2019-03-06,sz.002049,41.5000,41.9800,39.8900,40.6700,41.3700,42342751,1718285641.8100
2019-03-07,sz.002049,40.2200,41.7500,39.9600,40.6900,40.6700,33837722,1380291761.2300
2019-03-08,sz.002049,41.0000,44.7600,40.1800,42.8700,40.6900,73607944,3213426150.4400
2019-03-11,sz.002049,44.6500,44.9800,41.5500,43.4400,42.8700,55908913,2425983667.5300
2019-03-12,sz.002049,43.1500,44.7600,42.5700,44.5200,43.4400,56924367,2487453597.5600
2019-03-13,sz.002049,44.0000,44.0100,41.1000,41.4000,44.5200,42825329,1831590146.6200
2019-03-14,sz.002049,40.4300,41.1100,38.7100,39.4400,41.4000,30064049,1194456424.6800
2019-03-15,sz.002049,39.6000,40.1300,38.9000,39.2700,39.4400,20084903,794886090.5800
2019-03-18,sz.002049,39.3700,40.1500,38.6900,40.1500,39.2700,19923544,787892933.7500
2019-03-19,sz.002049,40.0200,41.6100,39.7000,40.8000,40.1500,22718139,926902173.2300
2019-03-20,sz.002049,40.7800,40.8000,39.2500,39.8900,40.8000,17545648,700713241.3800
2019-03-21,sz.002049,39.9800,41.6000,39.8900,40.8800,39.8900,30153085,1234783635.5500
2019-03-22,sz.002049,41.2100,42.1900,40.6200,41.3500,40.8800,22816414,943468426.1300
2019-03-25,sz.002049,40.5000,42.6800,40.2500,41.8700,41.3500,28721682,1194967730.6700
2019-03-26,sz.002049,41.6500,42.2000,39.1100,39.4000,41.8700,26379979,1077403184.7600
2019-03-27,sz.002049,39.5500,40.6600,38.2200,39.9500,39.4000,20391940,807410503.1900
2019-03-28,sz.002049,39.6600,43.8800,39.6600,40.9400,39.9500,41396684,1737693865.8100
2019-03-29,sz.002049,40.6000,45.0300,39.8800,45.0300,40.9400,78170690,3411440368.3700
2019-04-01,sz.002049,47.0500,47.4500,45.2500,46.4600,45.0300,65323528,3027084703.6100
2019-04-02,sz.002049,48.0100,51.1100,47.0100,50.2300,46.4600,79042250,3927146452.9500
2019-04-03,sz.002049,49.2100,49.7900,47.9100,49.1800,50.2300,43184787,2108654529.0000
