date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603659,48.0000,48.0000,45.4500,46.1700,47.4000,1231902,56511939.0000
2019-01-03,sh.603659,46.0000,46.3100,44.6000,45.0200,46.1700,831672,37715770.0000
2019-01-04,sh.603659,44.7300,46.3700,44.7300,45.7200,45.0200,635968,29112800.0000
2019-01-07,sh.603659,45.7100,46.7900,45.3900,46.4600,45.7200,734736,34045002.0000
2019-01-08,sh.603659,46.7500,48.8900,46.7500,48.8200,46.4600,1197081,57874661.0000
2019-01-09,sh.603659,48.7100,48.7100,46.2000,46.7200,48.8200,1998680,93775759.0000
2019-01-10,sh.603659,46.4500,47.2000,45.8200,46.1500,46.7200,888353,41232516.0000
2019-01-11,sh.603659,46.1500,46.5000,45.2200,45.8400,46.1500,980072,44746887.0000
2019-01-14,sh.603659,45.7000,45.7000,43.2300,44.0500,45.8400,1983828,87665580.0000
2019-01-15,sh.603659,44.1000,45.9800,43.8000,45.9000,44.0500,1272269,57467849.0000
2019-01-16,sh.603659,46.8000,47.5000,45.4600,46.9800,45.9000,1618978,75804863.0000
2019-01-17,sh.603659,47.0800,47.3700,45.1000,45.6600,46.9800,884188,40791049.0000
2019-01-18,sh.603659,45.9600,45.9600,44.3600,44.9100,45.6600,1274840,57087170.0000
2019-01-21,sh.603659,44.9100,45.9800,44.6300,45.9100,44.9100,996803,45412824.0000
2019-01-22,sh.603659,45.9000,46.8500,45.5700,46.4000,45.9100,876100,40597668.0000
2019-01-23,sh.603659,46.4000,47.5000,46.0500,46.9700,46.4000,1000961,47076472.0000
2019-01-24,sh.603659,47.1600,47.7000,46.9000,47.4900,46.9700,1398440,66305768.0000
2019-01-25,sh.603659,47.6400,49.2000,47.1400,48.0000,47.4900,1105800,53451227.0000
2019-01-28,sh.603659,48.0600,48.3700,46.3800,46.7800,48.0000,811356,38236188.0000
2019-01-29,sh.603659,46.8100,47.0400,45.5200,46.3500,46.7800,619208,28705237.0000
2019-01-30,sh.603659,46.3500,46.7700,45.5800,45.8200,46.3500,518146,23856615.0000
2019-01-31,sh.603659,45.6400,46.9700,45.5700,46.0900,45.8200,537364,24861196.0000
2019-02-01,sh.603659,46.3300,48.7000,45.7600,48.3800,46.0900,1121668,53634884.0000
2019-02-11,sh.603659,48.7000,48.9500,48.2000,48.7900,48.3800,1345748,65303314.0000
2019-02-12,sh.603659,48.7700,48.9900,48.2100,48.6000,48.7900,855857,41515156.0000
2019-02-13,sh.603659,48.5300,49.6000,48.0000,49.5200,48.6000,1348841,66095134.0000
2019-02-14,sh.603659,49.5900,51.1100,49.1200,50.6100,49.5200,1551212,78297588.0000
2019-02-15,sh.603659,50.0400,50.3100,48.2500,48.5400,50.6100,1384258,67879912.0000
2019-02-18,sh.603659,48.9800,49.8800,48.5800,49.6600,48.5400,1287911,63437359.0000
2019-02-19,sh.603659,49.6600,50.2300,47.8900,48.5600,49.6600,1140701,55576840.0000
2019-02-20,sh.603659,48.5500,49.2300,48.0000,48.2900,48.5600,723176,35106227.0000
2019-02-21,sh.603659,48.3000,49.3500,48.0500,48.7400,48.2900,992180,48380240.0000
2019-02-22,sh.603659,48.2500,50.0100,48.1800,49.9900,48.7400,2044291,100959179.0000
2019-02-25,sh.603659,50.4000,52.0000,50.1100,51.8000,49.9900,3434580,175881984.0000
2019-02-26,sh.603659,51.9000,52.4800,49.8900,52.4500,51.8000,3145400,161496899.0000
2019-02-27,sh.603659,52.0300,52.0300,50.3000,50.6000,52.4500,1860045,94939321.0000
2019-02-28,sh.603659,50.4800,50.8500,49.6800,49.9200,50.6000,1059173,53136041.0000
2019-03-01,sh.603659,50.1800,50.6000,49.1200,50.0300,49.9200,1339311,66509316.0000
2019-03-04,sh.603659,50.2500,51.3500,50.0500,50.7800,50.0300,1849179,93917189.0000
2019-03-05,sh.603659,50.0000,51.3900,49.9300,51.2000,50.7800,1399356,70506754.0000
2019-03-06,sh.603659,51.3700,51.9600,50.1800,50.9000,51.2000,2023557,102383275.0000
2019-03-07,sh.603659,50.6300,52.3700,49.8600,52.0100,50.9000,3279787,168106801.0000
2019-03-08,sh.603659,51.1000,51.1500,49.3000,49.3500,52.0100,2094784,105448987.0000
2019-03-11,sh.603659,49.3400,50.7900,49.3000,50.7400,49.3500,1883943,94617169.0000
2019-03-12,sh.603659,51.1600,55.2000,51.1600,54.1900,50.7400,6962256,374232766.0000
2019-03-13,sh.603659,54.1900,57.9900,53.5100,55.3000,54.1900,5045259,282720052.0000
2019-03-14,sh.603659,55.0000,57.9500,54.6600,56.1000,55.3000,3971984,224479900.0000
2019-03-15,sh.603659,56.5000,57.4500,55.6600,56.4900,56.1000,2311406,130896503.0000
2019-03-18,sh.603659,56.7100,57.7900,56.4000,56.9700,56.4900,1958882,111318758.0000
2019-03-19,sh.603659,57.0600,57.4500,55.9000,56.7900,56.9700,1415726,80335535.0000
2019-03-20,sh.603659,56.7800,57.2700,54.2600,55.2600,56.7900,2145256,118039648.0000
