date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603806,26.2600,27.1400,25.6100,27.0500,26.8000,1056996,28163485.0000
2019-01-03,sh.603806,27.0500,27.2000,26.1600,26.4100,27.0500,636575,16958975.0000
2019-01-04,sh.603806,26.0500,26.8200,26.0500,26.5000,26.4100,691529,18340628.0000
2019-01-07,sh.603806,26.5500,27.5800,26.5000,27.1700,26.5000,815183,22127786.0000
2019-01-08,sh.603806,27.1700,28.3300,26.9800,28.1300,27.1700,896727,24997779.0000
2019-01-09,sh.603806,28.1300,28.5000,27.7000,27.7000,28.1300,631470,17765804.0000
2019-01-10,sh.603806,27.6700,28.3800,27.6700,27.7700,27.7000,1017900,28522977.0000
2019-01-11,sh.603806,27.7200,28.4700,27.7200,28.1900,27.7700,922930,25993444.0000
2019-01-14,sh.603806,28.6400,28.6400,27.5000,27.7600,28.1900,699009,19477476.0000
2019-01-15,sh.603806,27.9000,28.4100,27.7600,28.3600,27.7600,871789,24627395.0000
2019-01-16,sh.603806,28.6400,28.6800,28.0100,28.0600,28.3600,602578,17006521.0000
2019-01-17,sh.603806,28.0600,28.2000,27.4600,27.5800,28.0600,676818,18778970.0000
2019-01-18,sh.603806,27.8900,27.9300,27.1200,27.5300,27.5800,911909,25043692.0000
2019-01-21,sh.603806,27.5300,28.9200,27.5300,28.9200,27.5300,1535381,43776241.0000
2019-01-22,sh.603806,28.8900,28.8900,27.2200,27.7000,28.9200,1747004,48435954.0000
2019-01-23,sh.603806,27.2600,27.5500,26.9100,27.2200,27.7000,1194310,32480318.0000
2019-01-24,sh.603806,27.0700,28.2900,27.0200,28.0300,27.2200,1611210,44290071.0000
2019-01-25,sh.603806,28.3900,28.4500,27.5800,28.0700,28.0300,1561138,43889939.0000
2019-01-28,sh.603806,28.4100,29.3000,28.2700,28.9700,28.0700,1479600,42858616.0000
2019-01-29,sh.603806,29.2600,29.3000,28.3800,29.1200,28.9700,1408750,40766357.0000
2019-01-30,sh.603806,29.1000,31.0000,28.7100,30.2400,29.1200,1623992,48922500.0000
2019-01-31,sh.603806,29.8300,30.4900,29.3900,29.8500,30.2400,1045474,31295552.0000
2019-02-01,sh.603806,29.9000,30.1500,29.4900,29.9800,29.8500,1509934,45073398.0000
2019-02-11,sh.603806,29.9400,31.0000,29.6200,30.6600,29.9800,1116742,33884137.0000
2019-02-12,sh.603806,30.7600,31.7500,30.7600,31.2000,30.6600,910338,28562603.0000
2019-02-13,sh.603806,30.2000,31.7700,30.2000,31.2700,31.2000,962683,30073000.0000
2019-02-14,sh.603806,31.2700,31.5900,30.7800,30.9000,31.2700,674559,20981604.0000
2019-02-15,sh.603806,30.9200,31.3400,30.7200,30.8300,30.9000,670013,20714128.0000
2019-02-18,sh.603806,30.6100,32.1500,30.4600,31.6300,30.8300,1311759,41328612.0000
2019-02-19,sh.603806,31.9400,32.0800,30.5000,30.8800,31.6300,1491987,46422402.0000
2019-02-20,sh.603806,30.8800,32.4900,30.8800,32.1800,30.8800,1762948,56580029.0000
2019-02-21,sh.603806,32.1000,33.3000,31.6800,32.6000,32.1800,1839612,59428676.0000
2019-02-22,sh.603806,32.2100,33.2500,31.9600,32.8600,32.6000,1253942,40837803.0000
2019-02-25,sh.603806,33.1400,33.4700,32.6000,33.2000,32.8600,1903838,62873178.0000
2019-02-26,sh.603806,33.0500,33.2000,32.2500,32.8800,33.2000,1602224,52389044.0000
2019-02-27,sh.603806,32.5300,33.4300,30.9500,31.1800,32.8800,3566591,115754291.0000
2019-02-28,sh.603806,31.3200,33.4800,31.3200,33.3200,31.1800,3110270,102869379.0000
2019-03-01,sh.603806,33.9800,35.6000,33.3700,34.9800,33.3200,3719680,128607660.0000
2019-03-04,sh.603806,35.5800,36.2900,34.3800,35.3500,34.9800,2617897,92001838.0000
2019-03-05,sh.603806,35.3500,35.3900,34.1800,34.9700,35.3500,2012048,69863102.0000
2019-03-06,sh.603806,35.1500,35.3100,34.0800,34.6800,34.9700,2516968,86696508.0000
2019-03-07,sh.603806,34.3000,34.7900,33.8800,34.2000,34.6800,1797918,61530911.0000
2019-03-08,sh.603806,34.1800,35.2500,33.6000,33.7400,34.2000,1819734,62461699.0000
2019-03-11,sh.603806,33.3800,34.8800,33.3800,34.7800,33.7400,2034265,69858583.0000
2019-03-12,sh.603806,34.8900,35.6100,34.2500,35.4800,34.7800,2359538,82882666.0000
2019-03-13,sh.603806,35.5500,35.5500,34.5800,34.8100,35.4800,1630651,57132099.0000
2019-03-14,sh.603806,34.0000,35.3000,33.9900,34.4300,34.8100,1625614,56559460.0000
2019-03-15,sh.603806,34.7000,35.3000,34.5000,34.9500,34.4300,1001526,35006580.0000
2019-03-18,sh.603806,34.5600,35.9900,34.5600,35.6800,34.9500,1951304,69444264.0000
2019-03-19,sh.603806,35.8400,35.9000,34.9600,35.0200,35.6800,1178481,41522729.0000
2019-03-20,sh.603806,35.3000,35.3000,33.7000,34.9400,35.0200,1753059,60480209.0000
2019-03-21,sh.603806,34.8000,35.8500,34.3000,35.4100,34.9400,1786088,63155737.0000
2019-03-22,sh.603806,35.5500,35.5500,34.5300,34.9000,35.4100,984405,34372211.0000
2019-03-25,sh.603806,34.5400,36.1500,34.5400,35.3800,34.9000,2148091,76686087.0000
2019-03-26,sh.603806,35.9800,35.9800,33.0200,33.9800,35.3800,2272816,77753032.0000
2019-03-27,sh.603806,33.9800,34.2800,33.0900,33.3100,33.9800,1405513,47104693.0000
2019-03-28,sh.603806,33.2300,34.7600,33.1600,33.9800,33.3100,1604768,54868861.0000
2019-03-29,sh.603806,33.3500,33.7000,32.8200,33.0000,33.9800,3142456,104106989.0000
2019-04-01,sh.603806,33.4500,36.1800,33.4500,35.9000,33.0000,4154851,146458631.0000
2019-04-02,sh.603806,36.0000,36.0000,33.8500,34.5000,35.9000,3712410,128460019.0000
2019-04-03,sh.603806,34.0000,34.4000,33.0800,34.1700,34.5000,2439555,82406263.0000
2019-04-04,sh.603806,34.2000,34.2500,33.3000,33.6900,34.1700,2013675,67583761.0000
2019-04-08,sh.603806,33.7400,34.1400,32.9000,33.2400,33.6900,1940356,64570300.0000
2019-04-09,sh.603806,33.2400,33.6700,32.9300,33.6000,33.2400,1511941,50267304.0000
2019-04-10,sh.603806,33.0100,33.6300,33.0100,33.3000,33.6000,1323564,44020878.0000
2019-04-11,sh.603806,33.3100,33.6000,32.6800,33.0500,33.3000,1066983,35234832.0000
2019-04-12,sh.603806,33.0500,33.8500,32.9300,33.5600,33.0500,1505420,50482904.0000
2019-04-15,sh.603806,33.5600,33.9900,33.1500,33.4000,33.5600,1397445,47168076.0000
2019-04-16,sh.603806,33.1600,33.9400,33.0400,33.8200,33.4000,1323885,44289932.0000
2019-04-17,sh.603806,33.8200,34.8800,33.8200,34.4500,33.8200,1961324,67567124.0000
2019-04-18,sh.603806,34.2400,36.6800,34.2400,36.1000,34.4500,2864986,102689269.0000
2019-04-19,sh.603806,36.2500,36.2500,34.6400,35.8000,36.1000,2208502,78292726.0000
2019-04-22,sh.603806,35.4000,36.9800,35.4000,36.4000,35.8000,1986274,72542380.0000
2019-04-23,sh.603806,36.4000,36.9200,35.5200,35.8500,36.4000,1283759,46319933.0000
2019-04-24,sh.603806,35.8900,36.9000,35.6100,36.6000,35.8500,1603518,58470091.0000
2019-04-25,sh.603806,36.5700,36.9000,35.8500,35.9000,36.6000,1598870,58127920.0000
2019-04-26,sh.603806,35.3900,37.2600,35.3900,36.4200,35.9000,1835300,67341974.0000
2019-04-29,sh.603806,36.6300,36.9000,35.5200,36.2000,36.4200,1561552,56401356.0000
2019-04-30,sh.603806,36.6000,37.8500,36.0000,36.6800,36.2000,2244260,82881906.0000
2019-05-06,sh.603806,35.7300,35.7300,33.5100,34.2000,36.6800,2692964,92916064.0000
2019-05-07,sh.603806,34.5000,37.2100,34.0000,37.0900,34.2000,3017673,109699216.0000
2019-05-08,sh.603806,36.8000,37.0900,36.1000,36.1100,37.0900,1579438,57724198.0000
2019-05-09,sh.603806,36.0400,36.9600,35.4000,36.5500,36.1100,1574215,56983818.0000
2019-05-10,sh.603806,36.7900,37.4200,35.8800,36.8600,36.5500,1357180,49879829.0000
2019-05-13,sh.603806,36.6600,36.9000,35.6800,36.1700,36.8600,1499972,54316498.0000
2019-05-14,sh.603806,35.6900,36.8600,35.4300,36.2000,36.1700,1170410,42325364.0000
2019-05-15,sh.603806,36.0600,38.7800,35.6600,37.8000,36.2000,2964546,111832796.0000
2019-05-16,sh.603806,38.3000,38.4900,37.0000,37.0500,37.8000,1811851,67867470.0000
2019-05-17,sh.603806,36.6100,36.7500,35.1000,35.1100,36.6000,1727111,61764916.0000
2019-05-20,sh.603806,34.3300,35.8500,32.8000,35.6800,35.1100,1358231,47107471.0000
2019-05-21,sh.603806,35.9000,36.5800,34.9200,36.2000,35.6800,1098968,39588323.0000
2019-05-22,sh.603806,36.4100,36.6900,35.7500,35.9000,36.2000,649028,23420543.0000
2019-05-23,sh.603806,36.0900,36.3000,34.8100,34.9400,35.9000,873681,30854260.0000
2019-05-24,sh.603806,35.1900,36.2500,33.9000,33.9800,34.9400,1076486,37044026.0000
2019-05-27,sh.603806,34.4800,35.4000,33.9000,35.0200,33.9800,926743,32214747.0000
2019-05-28,sh.603806,34.6600,35.2200,34.1800,34.4800,35.0200,831341,28838449.0000
2019-05-29,sh.603806,34.9900,35.0700,34.2000,34.6100,34.4800,600044,20868915.0000
2019-05-30,sh.603806,34.6100,34.9500,32.9000,34.2800,34.6100,1827194,61634788.0000
2019-05-31,sh.603806,34.3000,35.7500,34.3000,34.7800,34.2800,1310056,45949104.0000
2019-06-03,sh.603806,34.7800,35.3700,34.3200,34.3900,34.7800,1044065,36216859.0000
2019-06-04,sh.603806,34.1300,35.2000,34.0500,34.3100,34.3900,758991,26186144.0000
2019-06-05,sh.603806,34.8200,34.9900,33.0900,33.6800,34.3100,1128174,38080719.0000
2019-06-06,sh.603806,33.1100,33.7000,32.8500,33.0500,33.6800,958013,31828919.0000
2019-06-10,sh.603806,32.6900,34.4900,32.6800,33.9200,33.0500,1173286,39548906.0000
2019-06-11,sh.603806,34.5400,34.6800,33.6600,34.1900,33.9200,1649818,56332971.0000
2019-06-12,sh.603806,34.1700,34.2900,32.9800,33.0800,34.1900,1667416,55504046.0000
2019-06-13,sh.603806,33.3500,33.3600,32.1600,32.9400,33.0800,1322260,43258354.0000
2019-06-14,sh.603806,32.9400,33.4600,32.6000,32.8000,32.9400,1021661,33704652.0000
2019-06-17,sh.603806,32.8000,33.4000,32.3000,33.1000,32.8000,1401351,46272419.0000
2019-06-18,sh.603806,32.4000,34.4200,32.4000,34.0000,33.1000,1378519,46480208.0000
2019-06-19,sh.603806,34.9000,35.3300,34.6800,34.8200,34.0000,1600686,56044482.0000
2019-06-20,sh.603806,34.8200,36.7000,34.8200,35.8800,34.8200,1901312,68147917.0000
2019-06-21,sh.603806,36.3000,37.1000,35.5400,35.7000,35.8800,1743064,62987617.0000
2019-06-24,sh.603806,36.6900,36.6900,34.9200,35.6300,35.7000,1395630,49554140.0000
2019-06-25,sh.603806,35.2700,36.5000,35.0700,36.2200,35.6300,1349225,48307491.0000
2019-06-26,sh.603806,36.2400,36.4500,35.2000,36.3800,36.2200,820452,29375103.0000
2019-06-27,sh.603806,36.6900,36.9900,35.5000,36.7200,36.3800,1107276,40113212.0000
2019-06-28,sh.603806,36.2400,37.1000,36.0500,36.7300,36.7200,843219,30908492.0000
2019-07-01,sh.603806,37.1100,37.9100,36.8400,37.7300,36.7300,1152515,43110046.0000
2019-07-02,sh.603806,37.7800,37.7800,36.6000,37.0100,37.7300,975304,36047838.0000
2019-07-03,sh.603806,37.0400,37.4700,36.9500,37.0700,37.0100,561787,20830779.0000
2019-07-04,sh.603806,36.9300,37.5900,36.8500,37.2000,37.0700,605598,22482560.0000
2019-07-05,sh.603806,37.3600,37.5100,36.8500,37.0800,37.2000,733943,27230522.0000
2019-07-08,sh.603806,37.3500,37.5000,36.3000,36.7000,37.0800,1021531,37725610.0000
2019-07-09,sh.603806,36.7000,37.1900,36.0600,36.5700,36.7000,663513,24315047.0000
2019-07-10,sh.603806,36.9900,37.2800,36.2000,36.7000,36.5700,882479,32364915.0000
2019-07-11,sh.603806,36.7000,37.2900,36.0000,36.0000,36.7000,1015679,37093799.0000
2019-07-12,sh.603806,36.1400,38.3000,36.1400,38.1300,36.0000,2421603,91656961.0000
2019-07-15,sh.603806,37.5200,38.5700,37.3800,37.6300,38.1300,1590508,60033666.0000
2019-07-16,sh.603806,37.9400,38.2100,37.2000,37.3400,37.6300,656613,24648741.0000
2019-07-17,sh.603806,37.0000,37.7600,36.8000,37.5000,37.3400,777087,29070869.0000
2019-07-18,sh.603806,37.0300,37.3800,36.8200,37.0000,37.5000,833956,30874370.0000
2019-07-19,sh.603806,36.6600,37.9900,36.6000,37.2000,37.0000,848384,31739145.0000
