date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603868,38.5800,38.5800,36.6000,37.0400,38.1800,540081,20201734.0000
2019-01-03,sh.603868,37.0600,37.0600,35.6000,35.9600,37.0400,753058,27233408.0000
2019-01-04,sh.603868,35.6000,36.4300,35.3000,36.2400,35.9600,701480,25197882.0000
2019-01-07,sh.603868,36.5700,36.8500,36.0100,36.7600,36.2400,652832,23860617.0000
2019-01-08,sh.603868,36.7600,37.3500,36.4200,36.4600,36.7600,623074,22909667.0000
2019-01-09,sh.603868,37.0000,38.6800,37.0000,37.4500,36.4600,1784010,67609235.0000
2019-01-10,sh.603868,37.4000,37.9000,36.9300,37.4000,37.4500,726827,27209204.0000
2019-01-11,sh.603868,37.6000,37.9000,37.2000,37.5800,37.4000,426350,15992831.0000
2019-01-14,sh.603868,37.8800,38.1700,37.4100,37.6000,37.5800,441220,16667668.0000
2019-01-15,sh.603868,37.7700,38.0500,37.0200,37.9300,37.6000,711480,26717387.0000
2019-01-16,sh.603868,38.4000,38.4000,37.6700,37.6700,37.9300,549675,20807935.0000
2019-01-17,sh.603868,37.6700,37.9400,37.2500,37.8000,37.6700,454825,17121389.0000
2019-01-18,sh.603868,37.6400,38.1900,37.4400,38.1400,37.8000,702860,26591384.0000
2019-01-21,sh.603868,38.2000,38.4100,37.8000,38.0000,38.1400,763072,29066210.0000
2019-01-22,sh.603868,38.1100,38.1200,36.6000,36.7500,38.0000,1066740,39453380.0000
2019-01-23,sh.603868,36.5800,37.0700,36.4300,36.8800,36.7500,522237,19200815.0000
2019-01-24,sh.603868,36.9700,37.0700,36.4300,36.7800,36.8800,910662,33458202.0000
2019-01-25,sh.603868,36.9500,37.3600,36.7000,37.3000,36.7800,681539,25307863.0000
2019-01-28,sh.603868,37.6000,38.6600,37.3600,38.1100,37.3000,1458633,55737320.0000
2019-01-29,sh.603868,38.2200,38.2800,36.8100,37.4800,38.1100,1079777,40312171.0000
2019-01-30,sh.603868,37.4600,37.4600,36.7300,36.9300,37.4800,683100,25235390.0000
2019-01-31,sh.603868,36.6600,37.2200,36.6600,36.8400,36.9300,477451,17629137.0000
2019-02-01,sh.603868,36.9900,37.6000,36.8400,37.4800,36.8400,862687,32216956.0000
2019-02-11,sh.603868,37.6000,38.4600,37.6000,38.3400,37.4800,1026143,39116947.0000
2019-02-12,sh.603868,38.2400,41.3100,38.2400,40.7000,38.3400,2937862,117870537.0000
2019-02-13,sh.603868,40.9100,41.9000,40.5000,41.5600,40.7000,2287542,94311164.0000
2019-02-14,sh.603868,41.4000,42.5900,41.0200,42.4500,41.5600,1710618,72136165.0000
2019-02-15,sh.603868,42.8000,42.8000,41.3500,41.5300,42.4500,1401765,58660580.0000
2019-02-18,sh.603868,41.6400,42.5000,41.6400,42.2200,41.5300,1734849,73032302.0000
2019-02-19,sh.603868,42.2500,42.8700,41.8000,42.5100,42.2200,1490948,62890996.0000
2019-02-20,sh.603868,42.5300,42.6200,41.9800,42.3100,42.5100,837069,35419791.0000
