date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603903,20.8400,21.5000,20.1200,20.1500,20.0500,1865700,38567794.0000
2019-01-03,sh.603903,19.9300,20.1400,19.7100,19.8500,20.1500,1117300,22226164.0000
2019-01-04,sh.603903,19.5000,20.1900,19.1300,20.0900,19.8500,1313088,26038453.0000
2019-01-07,sh.603903,20.1200,20.4400,20.1000,20.3200,20.0900,1198488,24321263.0000
2019-01-08,sh.603903,20.2300,20.3600,19.9300,20.0800,20.3200,1023063,20587049.0000
2019-01-09,sh.603903,20.0800,20.3300,20.0200,20.1700,20.0800,1160100,23489551.0000
2019-01-10,sh.603903,20.1000,20.6800,19.8800,20.4800,20.1700,1739188,35468881.0000
2019-01-11,sh.603903,20.3100,20.4900,20.1000,20.4500,20.4800,1453488,29506421.0000
2019-01-14,sh.603903,20.4600,20.5300,20.0100,20.0900,20.4500,1010704,20428681.0000
2019-01-15,sh.603903,20.1000,20.5000,19.8100,20.4000,20.0900,1492000,30117943.0000
2019-01-16,sh.603903,20.3700,21.0500,20.0300,20.5000,20.4000,2244304,46051193.0000
2019-01-17,sh.603903,20.3100,20.3500,19.9200,19.9600,20.5000,1334904,26845068.0000
2019-01-18,sh.603903,19.9300,20.1900,19.9100,20.0900,19.9600,820700,16455493.0000
2019-01-21,sh.603903,20.1200,20.2900,20.1000,20.1700,20.0900,860737,17358579.0000
2019-01-22,sh.603903,20.1000,20.3400,19.9600,20.1300,20.1700,762000,15356406.0000
2019-01-23,sh.603903,20.1900,20.2200,20.0000,20.2100,20.1300,681137,13711895.0000
2019-01-24,sh.603903,20.2800,20.3600,20.0500,20.3000,20.2100,1025171,20764214.0000
2019-01-25,sh.603903,20.5100,22.2600,20.5000,21.2800,20.3000,4554904,97003446.0000
2019-01-28,sh.603903,21.5500,21.5500,20.5500,20.7500,21.2800,2115788,44237258.0000
2019-01-29,sh.603903,20.5000,20.9700,19.9100,20.4900,20.7500,1689000,34454514.0000
2019-01-30,sh.603903,20.3300,20.3800,19.5000,19.5200,20.4900,1644588,32751255.0000
2019-01-31,sh.603903,19.8000,20.1400,19.3000,19.5100,19.5200,1218700,24090838.0000
2019-02-01,sh.603903,19.6100,20.0400,19.6100,19.9100,19.5100,845888,16839951.0000
2019-02-11,sh.603903,19.9500,20.4700,19.9200,20.4400,19.9100,1158400,23527799.0000
2019-02-12,sh.603903,20.4400,20.7600,20.4000,20.6400,20.4400,1455600,29962086.0000
2019-02-13,sh.603903,20.5600,21.0700,20.4600,20.9400,20.6400,2069916,43067848.0000
2019-02-14,sh.603903,20.9300,21.2700,20.7900,20.9300,20.9400,1629527,34179369.0000
2019-02-15,sh.603903,20.9300,21.1400,20.8500,20.8900,20.9300,1444700,30303456.0000
2019-02-18,sh.603903,20.9900,21.5100,20.9100,21.4800,20.8900,2289249,48789411.0000
2019-02-19,sh.603903,21.5800,22.0900,21.3800,21.7700,21.4800,2655408,57606932.0000
2019-02-20,sh.603903,21.7100,21.7100,21.1100,21.4800,21.7700,1929257,41274135.0000
2019-02-21,sh.603903,21.4200,21.7400,21.2000,21.2400,21.4800,1886900,40580646.0000
2019-02-22,sh.603903,21.2400,21.6300,21.1700,21.6300,21.2400,1690557,36189362.0000
2019-02-25,sh.603903,21.7200,22.9600,21.7200,22.7500,21.6300,3613631,80795212.0000
2019-02-26,sh.603903,22.7900,23.4100,22.4300,22.8500,22.7500,3671125,84038846.0000
2019-02-27,sh.603903,22.9000,23.3600,22.6000,23.2900,22.8500,3185594,72990875.0000
2019-02-28,sh.603903,23.1500,23.4500,22.8100,22.9800,23.2900,2329612,53846393.0000
2019-03-01,sh.603903,23.0600,23.2800,22.6600,22.9700,22.9800,1739657,39894948.0000
2019-03-04,sh.603903,23.0200,23.8900,23.0200,23.2300,22.9700,3736965,87748961.0000
2019-03-05,sh.603903,23.2400,23.5700,23.1000,23.5300,23.2300,2584936,60318443.0000
2019-03-06,sh.603903,23.5500,23.8200,23.3000,23.8000,23.5300,3180536,75056812.0000
2019-03-07,sh.603903,23.7100,24.3100,23.3600,24.1600,23.8000,4357702,104154887.0000
2019-03-08,sh.603903,23.6800,23.7600,22.5000,22.5500,24.1600,3767588,87699715.0000
2019-03-11,sh.603903,22.5600,23.2800,22.5600,23.1900,22.5500,2629927,60505313.0000
2019-03-12,sh.603903,23.4000,23.8500,23.2000,23.6400,23.1900,3435210,81031522.0000
2019-03-13,sh.603903,23.8600,24.2700,23.1700,23.2000,23.6400,4003908,95263034.0000
2019-03-14,sh.603903,23.3300,23.5500,22.2800,22.4900,23.2000,3102184,70646587.0000
2019-03-15,sh.603903,22.5300,23.4800,22.5300,22.7900,22.4900,2188437,50076660.0000
2019-03-18,sh.603903,22.8200,23.2400,22.6500,23.2400,22.7900,2276404,52250770.0000
2019-03-19,sh.603903,23.2300,23.8500,23.2300,23.7200,23.2400,2964710,69798390.0000
2019-03-20,sh.603903,23.6100,23.8700,23.0800,23.8300,23.7200,2330768,54647795.0000
2019-03-21,sh.603903,24.2100,24.8800,23.8900,24.1400,23.8300,4791412,116773117.0000
2019-03-22,sh.603903,24.3000,25.9800,24.1600,25.4900,24.1400,6067384,152498738.0000
2019-03-25,sh.603903,24.8000,25.0600,24.5600,24.6400,25.4900,3870150,95955638.0000
2019-03-26,sh.603903,24.5200,24.8000,23.0000,24.0000,24.6400,2759557,66110675.0000
2019-03-27,sh.603903,24.0000,24.0400,23.5100,23.8000,24.0000,1537400,36512504.0000
2019-03-28,sh.603903,23.7000,24.1000,23.6000,23.7800,23.8000,1540900,36863287.0000
2019-03-29,sh.603903,23.8400,24.7800,23.2500,24.6900,23.7800,3170864,76595178.0000
2019-04-01,sh.603903,24.6500,25.4400,24.5500,25.2000,24.6900,3539577,88616063.0000
2019-04-02,sh.603903,25.2000,25.2300,24.6600,24.8300,25.2000,3396761,84530089.0000
2019-04-03,sh.603903,24.6400,25.3900,24.4600,25.3400,24.8300,2807604,70544692.0000
2019-04-04,sh.603903,25.6000,25.9800,25.2000,25.6900,25.3400,3759704,96095671.0000
2019-04-08,sh.603903,25.8600,25.8800,24.8100,25.1200,25.6900,2605304,65942765.0000
2019-04-09,sh.603903,25.1700,25.2900,24.8700,25.1200,25.1200,1715100,42955665.0000
2019-04-10,sh.603903,25.0400,25.1700,24.8000,24.8900,25.1200,1599854,39874966.0000
2019-04-11,sh.603903,24.9300,25.1600,24.2400,24.3100,24.8900,1731500,42630398.0000
2019-04-12,sh.603903,24.3500,24.7600,24.1400,24.6800,24.3100,1086100,26594499.0000
2019-04-15,sh.603903,25.0000,25.1000,24.4100,24.4100,24.6800,1323400,32846312.0000
2019-04-16,sh.603903,24.1900,24.8500,24.0400,24.8300,24.4100,1491861,36424392.0000
2019-04-17,sh.603903,24.7300,26.9000,24.6600,26.3500,24.8300,6418240,168167430.0000
2019-04-18,sh.603903,26.2800,26.2800,25.8100,26.0600,26.3500,3372010,87515922.0000
2019-04-19,sh.603903,26.0000,26.0300,24.9500,25.4000,26.0600,3459524,87722290.0000
2019-04-22,sh.603903,25.2900,25.3400,24.6000,24.6300,25.4000,2310535,57519696.0000
2019-04-23,sh.603903,24.6300,24.8400,24.1000,24.1600,24.6300,1630306,39922070.0000
2019-04-24,sh.603903,24.2000,26.5800,24.2000,25.3300,24.1600,3645302,91638657.0000
2019-04-25,sh.603903,25.1000,25.1600,23.5000,23.8600,25.3300,2540403,61961632.0000
2019-04-26,sh.603903,23.5500,24.1600,23.5500,23.8600,23.8600,1140968,27241850.0000
2019-04-29,sh.603903,23.8000,24.0400,22.2200,22.3100,23.8600,2523466,58075969.0000
2019-04-30,sh.603903,22.5000,22.7300,22.3100,22.5300,22.3100,703266,15844865.0000
2019-05-06,sh.603903,21.9000,21.9000,20.3200,20.5100,22.5300,1537250,32384036.0000
2019-05-07,sh.603903,20.6000,21.1300,20.4000,20.7900,20.5100,829282,17232307.0000
2019-05-08,sh.603903,20.5200,20.9400,20.0300,20.6700,20.7900,931794,19202317.0000
2019-05-09,sh.603903,20.6200,20.9700,20.3100,20.6200,20.6700,978500,20244223.0000
2019-05-10,sh.603903,20.8200,21.3100,20.3200,21.2300,20.6200,1347979,28270536.0000
2019-05-13,sh.603903,21.1800,21.8800,21.0000,21.2800,21.2300,1015813,21750963.0000
2019-05-14,sh.603903,21.0200,21.2800,20.8000,20.8400,21.2800,1132100,23731020.0000
2019-05-15,sh.603903,21.1400,21.2800,20.9000,21.1800,20.8400,1028913,21663089.0000
2019-05-16,sh.603903,21.1900,21.3000,21.0000,21.1900,21.1800,909019,19199549.0000
2019-05-17,sh.603903,21.1900,21.2000,20.1500,20.5000,21.1900,1460837,30125190.0000
2019-05-20,sh.603903,20.2300,20.5000,20.0000,20.4600,20.5000,671997,13618317.0000
2019-05-21,sh.603903,20.4900,20.7500,20.3000,20.6600,20.4600,697474,14379623.0000
2019-05-22,sh.603903,20.6600,20.8100,20.3600,20.4700,20.6600,694860,14284883.0000
2019-05-23,sh.603903,20.4100,20.4100,19.9700,20.0100,20.4700,796152,16024332.0000
2019-05-24,sh.603903,19.9900,20.1800,19.8000,19.8800,20.0100,471860,9404100.0000
2019-05-27,sh.603903,19.9000,20.3700,19.8000,20.3700,19.8800,620952,12521930.0000
2019-05-28,sh.603903,20.3600,20.6200,20.2800,20.3700,20.3700,689400,14113824.0000
2019-05-29,sh.603903,20.3700,20.7700,20.2700,20.4800,20.3700,776089,15942596.0000
2019-05-30,sh.603903,20.3300,20.4600,20.0500,20.1800,20.4800,942292,18984654.0000
2019-05-31,sh.603903,20.1200,20.4900,20.1200,20.2300,20.1800,986525,20017007.0000
2019-06-03,sh.603903,19.8800,19.9000,18.6100,18.9200,20.2300,2516325,48092668.0000
2019-06-04,sh.603903,18.9200,18.9800,18.4600,18.6000,18.9200,1113900,20854579.0000
2019-06-05,sh.603903,18.7500,19.0000,18.5900,18.6000,18.6000,1116200,20938292.0000
2019-06-06,sh.603903,18.7800,18.8500,18.2600,18.2900,18.6000,970765,17949166.0000
2019-06-10,sh.603903,18.7000,18.7000,18.2700,18.4000,18.2900,829500,15292058.0000
2019-06-11,sh.603903,18.4900,19.0500,18.4000,19.0400,18.4000,1439700,27012745.0000
2019-06-12,sh.603903,18.9800,19.2800,18.8000,18.9200,19.0400,1202088,22843297.0000
2019-06-13,sh.603903,18.8100,19.1600,18.7900,19.1200,18.9200,994700,18854449.0000
2019-06-14,sh.603903,19.1300,19.1900,18.5800,18.5900,19.1200,1192725,22418978.0000
