date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603986,62.4900,62.5800,59.6900,59.8000,62.3200,4241653,257682033.0000
2019-01-03,sh.603986,59.7900,60.9800,59.0200,59.2000,59.8000,3739603,224237190.0000
2019-01-04,sh.603986,58.1300,61.3500,57.5500,60.7300,59.2000,4828528,289201594.0000
2019-01-07,sh.603986,61.2000,63.8000,60.9000,62.9000,60.7300,5651963,354243514.0000
2019-01-08,sh.603986,62.5100,62.5200,60.9500,61.2000,62.9000,3707417,228363233.0000
2019-01-09,sh.603986,61.5000,63.9100,61.0100,62.1200,61.2000,5718728,357674559.0000
2019-01-10,sh.603986,62.1300,62.5000,61.0900,61.1200,62.1200,3207693,197833527.0000
2019-01-11,sh.603986,61.2000,61.7800,61.0000,61.2300,61.1200,2455050,150560747.0000
2019-01-14,sh.603986,61.2300,61.7500,58.2000,58.4800,61.2300,4811542,285681184.0000
2019-01-15,sh.603986,58.4700,60.1800,58.0500,60.1000,58.4800,4084553,243198797.0000
2019-01-16,sh.603986,60.2000,62.4900,60.2000,60.8000,60.1000,4900961,300271203.0000
2019-01-17,sh.603986,61.0400,61.6100,59.8800,60.2400,60.8000,3271208,198805817.0000
2019-01-18,sh.603986,60.6000,61.5600,59.8700,61.3200,60.2400,4140474,251952370.0000
2019-01-21,sh.603986,62.1000,67.4500,61.3200,67.4500,61.3200,13275615,860145637.0000
2019-01-22,sh.603986,67.4000,67.4000,65.1600,66.0000,67.4500,7456368,493331157.0000
2019-01-23,sh.603986,65.6500,65.7500,63.8400,65.0000,66.0000,5237659,338560465.0000
2019-01-24,sh.603986,64.4300,70.8700,64.4300,68.2000,65.0000,10789273,733455702.0000
2019-01-25,sh.603986,68.0600,71.4000,67.6400,69.7200,68.2000,9817784,689434894.0000
2019-01-28,sh.603986,71.0000,72.8800,69.5800,69.9000,69.7200,7887596,561194340.0000
2019-01-29,sh.603986,68.2700,70.0900,66.8800,69.2000,69.9000,6324181,431905630.0000
2019-01-30,sh.603986,68.9800,69.5800,66.8000,67.1200,69.2000,4279562,291088727.0000
2019-01-31,sh.603986,67.1800,69.9000,67.1800,67.6900,67.1200,4766575,326639093.0000
2019-02-01,sh.603986,68.4700,71.3000,68.1300,71.0600,67.6900,5173057,364134584.0000
2019-02-11,sh.603986,71.0400,75.6000,70.7500,75.2200,71.0600,6379066,473328270.0000
2019-02-12,sh.603986,74.9000,75.3000,73.5500,74.1400,75.2200,5543177,411684366.0000
2019-02-13,sh.603986,74.5300,78.6900,74.5300,75.3500,74.1400,8219939,630077860.0000
2019-02-14,sh.603986,75.2700,77.8800,73.8800,77.1000,75.3500,5792298,440984527.0000
2019-02-15,sh.603986,76.1600,77.5000,74.6600,74.7000,77.1000,5299719,401911578.0000
2019-02-18,sh.603986,76.1000,78.7000,74.4800,78.6000,74.7000,7922965,612292217.0000
2019-02-19,sh.603986,79.5000,80.7800,77.0300,78.3900,78.6000,7083040,559510149.0000
2019-02-20,sh.603986,78.0000,78.2900,75.1800,76.5000,78.3900,6026217,461551298.0000
2019-02-21,sh.603986,76.1500,79.8900,76.1500,77.1100,76.5000,7516728,589196585.0000
2019-02-22,sh.603986,76.4500,81.2200,75.1800,81.2100,77.1100,11321896,876794381.0000
2019-02-25,sh.603986,86.6600,89.3300,85.5000,89.3300,81.2100,11744919,1034045266.0000
2019-02-26,sh.603986,89.3600,98.2500,89.3600,93.1100,89.3300,12116248,1133896875.0000
2019-02-27,sh.603986,92.7000,95.5800,90.5000,92.6000,93.1100,7406703,685248918.0000
2019-02-28,sh.603986,91.2200,94.8800,91.1800,92.0000,92.6000,4961481,461513179.0000
2019-03-01,sh.603986,93.5000,94.2500,89.8600,92.2100,92.0000,5084884,465450429.0000
2019-03-04,sh.603986,96.2000,101.4000,95.6000,96.7100,92.2100,9673985,944626431.0000
2019-03-05,sh.603986,97.0000,106.3800,95.8000,106.3800,96.7100,9632659,993704962.0000
2019-03-06,sh.603986,110.0000,110.0000,103.5600,106.9500,106.3800,8711166,930198007.0000
2019-03-07,sh.603986,104.1000,105.5000,100.7000,104.5000,106.9500,10303536,1061284571.0000
2019-03-08,sh.603986,102.0000,114.9500,98.5000,105.9000,104.5000,13508143,1479760368.0000
2019-03-11,sh.603986,107.5300,113.8800,104.9800,108.1100,105.9000,10794561,1175591721.0000
2019-03-12,sh.603986,110.9900,117.5000,108.8800,114.0000,108.1100,9651985,1094139163.0000
2019-03-13,sh.603986,112.0800,114.9000,102.6000,104.5000,114.0000,10509157,1134554075.0000
2019-03-14,sh.603986,101.0000,102.5000,95.2100,100.5000,104.5000,9981227,988861728.0000
2019-03-15,sh.603986,100.7000,104.0000,97.3900,98.0000,100.5000,7006408,707621428.0000
2019-03-18,sh.603986,99.7500,101.9800,96.8300,101.7900,98.0000,5237047,522284869.0000
2019-03-19,sh.603986,101.7800,109.0000,100.7900,104.5900,101.7900,7308156,769628732.0000
2019-03-20,sh.603986,102.0300,105.6500,99.1000,101.3800,104.5900,5060986,513710321.0000
2019-03-21,sh.603986,101.3500,104.2000,100.1300,102.1900,101.3800,5547977,568568587.0000
2019-03-22,sh.603986,107.0000,107.0000,102.6000,104.0000,102.1900,6861001,718994315.0000
2019-03-25,sh.603986,100.2000,105.9600,99.0500,102.9000,104.0000,5560731,574789231.0000
2019-03-26,sh.603986,103.3000,105.5000,99.5100,100.0000,102.9000,5074289,519894757.0000
2019-03-27,sh.603986,101.6900,101.9500,95.3100,98.1000,100.0000,5652999,555820122.0000
2019-03-28,sh.603986,98.0500,102.7600,97.2300,98.3000,98.1000,5940457,593139053.0000
2019-03-29,sh.603986,98.5200,101.9900,94.8100,101.5900,98.3000,7802869,769930826.0000
2019-04-01,sh.603986,102.6000,106.3000,102.5300,104.2000,101.5900,7912582,826158872.0000
