date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603993,3.7800,3.7900,3.6500,3.7100,3.7600,54269661,201531123.0000
2019-01-03,sh.603993,3.7000,3.7600,3.6700,3.7400,3.7100,55198167,205053788.0000
2019-01-04,sh.603993,3.6800,3.8500,3.6700,3.8300,3.7400,86050938,325756878.0000
2019-01-07,sh.603993,3.8600,3.9100,3.8300,3.8900,3.8300,86104696,332815643.0000
2019-01-08,sh.603993,3.9000,3.9000,3.8500,3.8500,3.8900,48864480,189003642.0000
2019-01-09,sh.603993,3.8600,3.9300,3.8300,3.8600,3.8500,67706590,262594368.0000
2019-01-10,sh.603993,3.8400,3.8600,3.8000,3.8000,3.8600,56012412,214340747.0000
2019-01-11,sh.603993,3.8000,3.8500,3.8000,3.8300,3.8000,36886500,141108298.0000
2019-01-14,sh.603993,3.8400,3.8600,3.8000,3.8100,3.8300,46798443,179223864.0000
2019-01-15,sh.603993,3.8200,3.8800,3.8000,3.8600,3.8100,67637047,259995370.0000
2019-01-16,sh.603993,3.8500,3.8600,3.8100,3.8200,3.8600,44385822,170009246.0000
2019-01-17,sh.603993,3.8200,3.8700,3.7800,3.8200,3.8200,62554415,238961849.0000
2019-01-18,sh.603993,3.8100,3.9600,3.8100,3.9200,3.8200,146084443,570086290.0000
2019-01-21,sh.603993,3.9700,3.9700,3.9100,3.9200,3.9200,87226889,342906697.0000
2019-01-22,sh.603993,3.9100,3.9200,3.8500,3.8600,3.9200,64945633,251651428.0000
2019-01-23,sh.603993,3.8500,3.8900,3.8300,3.8900,3.8600,42093087,162988903.0000
2019-01-24,sh.603993,3.8800,3.8900,3.8300,3.8600,3.8900,44079573,169993267.0000
2019-01-25,sh.603993,3.8600,3.8900,3.8300,3.8500,3.8600,50361391,194128466.0000
2019-01-28,sh.603993,3.8700,3.8900,3.8300,3.8400,3.8500,50296321,194106089.0000
2019-01-29,sh.603993,3.8300,3.8300,3.6200,3.7900,3.8400,74141756,277878018.0000
2019-01-30,sh.603993,3.7600,3.8300,3.7300,3.7900,3.7900,39725948,150697339.0000
2019-01-31,sh.603993,3.8500,3.9000,3.7800,3.8400,3.7900,96143774,369817229.0000
2019-02-01,sh.603993,3.8600,3.9100,3.8300,3.9000,3.8400,74469736,288310841.0000
2019-02-11,sh.603993,3.9000,4.0800,3.8900,4.0600,3.9000,152936255,606223333.0000
2019-02-12,sh.603993,4.0200,4.0700,4.0000,4.0500,4.0600,121853517,491680177.0000
2019-02-13,sh.603993,4.0500,4.2700,4.0300,4.1900,4.0500,221959212,922635772.0000
2019-02-14,sh.603993,4.1700,4.1900,4.1100,4.1600,4.1900,123751693,513397196.0000
2019-02-15,sh.603993,4.1400,4.2600,4.1200,4.1600,4.1600,126120684,528038179.0000
2019-02-18,sh.603993,4.2200,4.3300,4.1800,4.3200,4.1600,199517409,847503810.0000
2019-02-19,sh.603993,4.3300,4.4400,4.2400,4.3100,4.3200,196200306,850073643.0000
2019-02-20,sh.603993,4.3300,4.4800,4.3100,4.4200,4.3100,252554271,1115529110.0000
2019-02-21,sh.603993,4.4200,4.4600,4.3200,4.3400,4.4200,196813050,865142441.0000
2019-02-22,sh.603993,4.3200,4.3900,4.2500,4.3900,4.3400,158784415,684268716.0000
2019-02-25,sh.603993,4.4600,4.7800,4.4600,4.7800,4.3900,354506048,1638603738.0000
