date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000762,6.7300,6.8000,6.5800,6.6500,6.7400,3479082,23260815.4300
2019-01-03,sz.000762,6.6300,6.7600,6.6300,6.6700,6.6500,2727750,18218846.5000
2019-01-04,sz.000762,6.6000,6.8600,6.5600,6.8500,6.6700,4589345,30955901.4000
2019-01-07,sz.000762,6.9000,7.1500,6.8700,7.0700,6.8500,6421171,45019176.1100
2019-01-08,sz.000762,7.0800,7.1300,7.0200,7.0500,7.0700,3865912,27325588.2400
2019-01-09,sz.000762,7.0400,7.1900,7.0100,7.0600,7.0500,4431422,31436866.3900
2019-01-10,sz.000762,7.0600,7.0800,6.9900,6.9900,7.0600,3706803,26054715.7200
2019-01-11,sz.000762,6.9700,7.1900,6.9400,7.1000,6.9900,4012185,28383309.7000
2019-01-14,sz.000762,7.1100,7.1700,7.0500,7.0900,7.1000,3431563,24406494.9000
2019-01-15,sz.000762,7.0900,7.1500,7.0600,7.1500,7.0900,3094570,22040534.1200
2019-01-16,sz.000762,7.1300,7.1700,7.0600,7.0800,7.1500,2950237,20960851.8300
2019-01-17,sz.000762,7.1100,7.1700,7.0300,7.0700,7.0800,3188826,22621332.7900
2019-01-18,sz.000762,7.0900,7.2700,7.0200,7.2500,7.0700,8041017,57995179.7700
2019-01-21,sz.000762,7.2500,7.3900,7.1700,7.3000,7.2500,6091360,44384019.6700
2019-01-22,sz.000762,7.2900,7.2900,7.1000,7.1200,7.3000,4489723,32212743.7800
2019-01-23,sz.000762,7.0500,7.2500,7.0500,7.1600,7.1200,3223993,23107373.7000
2019-01-24,sz.000762,7.1700,7.2200,7.0800,7.1300,7.1600,2945523,21024638.1700
2019-01-25,sz.000762,7.1300,7.2000,7.0400,7.0400,7.1300,3789950,26962131.5000
2019-01-28,sz.000762,7.1000,7.2000,6.9400,6.9600,7.0400,4296337,30290717.1200
2019-01-29,sz.000762,6.9700,6.9700,6.5900,6.7700,6.9600,5050009,33952143.7300
2019-01-30,sz.000762,6.8000,6.8900,6.6600,6.6900,6.7700,2472439,16674084.6500
2019-01-31,sz.000762,6.6900,6.6900,6.2900,6.3500,6.6900,5553656,36018656.0200
2019-02-01,sz.000762,6.4000,6.6000,6.4000,6.5800,6.3500,3608576,23569078.0400
