date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600773,6.0000,6.0800,5.9700,6.0300,6.0000,3137544,18908105.0000
2019-01-03,sh.600773,6.0300,6.1200,5.9800,6.0900,6.0300,3638914,22102153.0000
2019-01-04,sh.600773,6.0000,6.2200,5.9600,6.2200,6.0900,5945552,36453480.0000
2019-01-07,sh.600773,6.3000,6.4200,6.2500,6.3200,6.2200,5339238,33763177.0000
2019-01-08,sh.600773,6.3100,6.4800,6.2900,6.4000,6.3200,4773594,30461733.0000
2019-01-09,sh.600773,6.4100,6.5300,6.3300,6.3500,6.4000,7564355,48648976.0000
2019-01-10,sh.600773,6.3500,6.4600,6.3000,6.3400,6.3500,4665288,29752975.0000
2019-01-11,sh.600773,6.3200,6.4100,6.3000,6.3800,6.3400,3791287,24095600.0000
2019-01-14,sh.600773,6.3900,6.4500,6.3300,6.3700,6.3800,2770661,17713127.0000
2019-01-15,sh.600773,6.3500,6.4500,6.2800,6.4100,6.3700,4860346,30913341.0000
2019-01-16,sh.600773,6.3900,6.4500,6.3700,6.3700,6.4100,3678077,23536283.0000
2019-01-17,sh.600773,6.3900,6.4200,6.2900,6.3100,6.3700,3977984,25287796.0000
2019-01-18,sh.600773,6.3400,6.4800,6.3000,6.4300,6.3100,6417488,41191065.0000
2019-01-21,sh.600773,6.4200,6.5300,6.4000,6.5000,6.4300,5220479,33846932.0000
2019-01-22,sh.600773,6.4800,6.5400,6.3500,6.3700,6.5000,4865751,31256104.0000
2019-01-23,sh.600773,6.3500,6.4100,6.3000,6.4000,6.3700,3127801,19884131.0000
2019-01-24,sh.600773,6.3600,6.4500,6.3300,6.3800,6.4000,3697482,23643932.0000
2019-01-25,sh.600773,6.3900,6.4200,6.2900,6.3200,6.3800,3397959,21608479.0000
2019-01-28,sh.600773,6.3600,6.3800,6.2000,6.2400,6.3200,4167999,26300941.0000
2019-01-29,sh.600773,6.2000,6.2800,6.0200,6.0800,6.2400,4704545,28798118.0000
2019-01-30,sh.600773,6.1100,6.2200,6.0700,6.0800,6.0800,3599679,22089000.0000
2019-01-31,sh.600773,6.1300,6.1300,5.7600,5.7600,6.0800,6110100,36128885.0000
2019-02-01,sh.600773,5.7800,6.2700,5.7800,6.1400,5.7600,6373292,38462682.0000
2019-02-11,sh.600773,6.1500,6.2800,6.1400,6.2700,6.1400,4782382,29821332.0000
2019-02-12,sh.600773,6.2500,6.3700,6.2300,6.3400,6.2700,4660041,29452515.0000
2019-02-13,sh.600773,6.3300,6.4800,6.3100,6.4600,6.3400,7040275,45133427.0000
2019-02-14,sh.600773,6.4400,6.5100,6.4200,6.4600,6.4600,5494321,35514355.0000
2019-02-15,sh.600773,6.4800,6.6500,6.4300,6.4600,6.4600,9587086,62692824.0000
2019-02-18,sh.600773,6.4600,6.6900,6.4600,6.6700,6.4600,8839371,58389239.0000
2019-02-19,sh.600773,6.7000,6.9600,6.5800,6.8200,6.6700,14372663,97197670.0000
2019-02-20,sh.600773,6.7500,6.8500,6.6500,6.7100,6.8200,8626182,58279472.0000
2019-02-21,sh.600773,6.7100,7.1000,6.6500,6.7800,6.7100,15227866,104479362.0000
2019-02-22,sh.600773,6.7000,6.8700,6.6400,6.8500,6.7800,12086064,81465748.0000
2019-02-25,sh.600773,6.8500,7.2000,6.8200,7.1700,6.8500,22838919,160574822.0000
2019-02-26,sh.600773,7.1500,7.4200,7.0100,7.1300,7.1700,22033919,158808798.0000
2019-02-27,sh.600773,7.1000,7.2500,6.9800,7.0600,7.1300,14702694,104730764.0000
2019-02-28,sh.600773,7.0700,7.4000,7.0600,7.1700,7.0600,18391187,132530757.0000
2019-03-01,sh.600773,7.1500,7.3500,7.0600,7.2100,7.1700,16322877,117358737.0000
2019-03-04,sh.600773,7.2000,7.4300,7.1800,7.2700,7.2100,20779159,151863204.0000
2019-03-05,sh.600773,7.2000,7.4400,7.2000,7.4400,7.2700,17879145,131653642.0000
2019-03-06,sh.600773,7.4400,7.5800,7.3200,7.5500,7.4400,19953937,149231379.0000
2019-03-07,sh.600773,7.5100,7.6400,7.4300,7.6100,7.5500,22054873,166694645.0000
2019-03-08,sh.600773,7.5000,7.5500,7.0500,7.0900,7.6100,19575742,143729542.0000
2019-03-11,sh.600773,7.0900,7.4800,7.0900,7.4700,7.0900,16068740,117591498.0000
2019-03-12,sh.600773,7.5000,7.6700,7.3700,7.5000,7.4700,17578334,132476182.0000
2019-03-13,sh.600773,7.4900,7.9100,7.4300,7.7200,7.5000,33495742,256802454.0000
2019-03-14,sh.600773,7.9500,8.0700,7.1600,7.4500,7.7200,32668395,248317702.0000
2019-03-15,sh.600773,7.3600,7.7900,7.3100,7.7700,7.4500,32151140,244886036.0000
2019-03-18,sh.600773,7.7000,8.0800,7.6600,7.9700,7.7700,32743898,257461180.0000
2019-03-19,sh.600773,7.8700,8.2000,7.7000,8.1300,7.9700,36395466,288929328.0000
2019-03-20,sh.600773,8.0500,8.6400,7.9000,8.3100,8.1300,45280002,374637382.0000
2019-03-21,sh.600773,8.1600,8.4900,8.1100,8.1500,8.3100,33248707,273837535.0000
2019-03-22,sh.600773,8.1300,8.1700,7.9000,8.0500,8.1500,19173418,153787840.0000
2019-03-25,sh.600773,7.9000,8.1500,7.8900,7.9500,8.0500,13566743,108713502.0000
2019-03-26,sh.600773,7.9500,8.1300,7.7200,7.9300,7.9500,21537134,170026220.0000
2019-03-27,sh.600773,7.8800,7.9500,7.6300,7.7400,7.9300,15402936,119640284.0000
2019-03-28,sh.600773,7.6800,7.7100,7.4300,7.4300,7.7400,13153227,99254639.0000
2019-03-29,sh.600773,7.4100,7.6500,7.3100,7.6300,7.4300,12054066,90381379.0000
2019-04-01,sh.600773,7.6900,8.0500,7.6500,7.9700,7.6300,20678551,162846693.0000
2019-04-02,sh.600773,7.8700,8.3000,7.8700,8.2300,7.9700,29740548,240901042.0000
2019-04-03,sh.600773,8.1200,8.1800,8.0300,8.1400,8.2300,20135648,163231428.0000
2019-04-04,sh.600773,8.1700,8.2600,8.1000,8.1300,8.1400,17933945,146563088.0000
