date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002050,12.6800,12.9700,12.5700,12.6200,12.6900,6273328,79832531.9600
2019-01-03,sz.002050,12.5100,12.7700,12.2000,12.2600,12.6200,5741133,71389869.8000
2019-01-04,sz.002050,12.1000,12.7600,12.1000,12.6000,12.2600,6002471,75237576.0100
2019-01-07,sz.002050,12.6600,13.1300,12.6300,13.1000,12.6000,12454333,161129184.1200
2019-01-08,sz.002050,13.1600,13.2100,12.8800,13.1900,13.1000,8370688,109107559.5000
2019-01-09,sz.002050,13.2600,13.9500,13.2600,13.5600,13.1900,17574434,239301412.9200
2019-01-10,sz.002050,13.5100,13.7000,13.3900,13.4200,13.5600,7096889,96156354.6600
2019-01-11,sz.002050,13.5000,13.7600,13.4200,13.6300,13.4200,10125035,137766148.6800
2019-01-14,sz.002050,13.6000,13.7000,13.4500,13.7000,13.6300,5915465,80093467.5300
2019-01-15,sz.002050,13.7000,13.9300,13.5600,13.8500,13.7000,9399122,129939351.0600
2019-01-16,sz.002050,13.9900,14.0300,13.4300,13.7800,13.8500,5364787,73454744.6500
2019-01-17,sz.002050,13.7500,13.7500,13.3000,13.3600,13.7800,5305347,71416375.4900
2019-01-18,sz.002050,13.3900,13.6800,13.3700,13.5000,13.3600,7419435,100415633.3000
2019-01-21,sz.002050,13.4200,13.5600,13.2700,13.4000,13.5000,12798816,171935488.1400
2019-01-22,sz.002050,13.4400,13.5400,13.0800,13.1200,13.4000,8121093,107665385.5000
2019-01-23,sz.002050,13.3300,13.5500,13.1300,13.4100,13.1200,6369445,85016304.2400
2019-01-24,sz.002050,13.3800,13.4500,13.2000,13.3000,13.4100,4160477,55464832.9100
2019-01-25,sz.002050,13.4000,13.8500,13.2400,13.6100,13.3000,8299875,112769103.3500
2019-01-28,sz.002050,13.6100,13.7500,13.2800,13.4100,13.6100,8277065,111557403.1700
2019-01-29,sz.002050,13.2700,13.6100,12.6300,13.3600,13.4100,6374904,84640193.4600
2019-01-30,sz.002050,13.2500,13.3600,12.8900,13.0000,13.3600,5128786,67307869.0000
2019-01-31,sz.002050,13.1300,13.5700,13.0000,13.2800,13.0000,7604995,101468195.0500
2019-02-01,sz.002050,13.3400,13.6300,13.3400,13.5300,13.2800,8795554,118927848.6200
2019-02-11,sz.002050,13.5900,14.1600,13.5400,14.0300,13.5300,9676371,134135107.3800
2019-02-12,sz.002050,13.9900,14.2200,13.8800,14.1600,14.0300,12114269,169815561.1200
2019-02-13,sz.002050,14.1500,15.0800,14.0100,14.6800,14.1600,22507575,330168487.4600
2019-02-14,sz.002050,14.7500,14.7700,14.4500,14.5600,14.6800,9052280,131923076.2400
2019-02-15,sz.002050,14.5000,14.6500,14.2100,14.2600,14.5600,6760716,97400031.3800
2019-02-18,sz.002050,14.3000,14.9500,14.2700,14.8800,14.2600,15578808,227854212.2100
2019-02-19,sz.002050,14.8800,15.0800,14.4700,14.5600,14.8800,10263562,151162362.3900
2019-02-20,sz.002050,14.6600,14.8000,14.3900,14.6000,14.5600,7708400,112611630.8300
2019-02-21,sz.002050,14.6100,14.7000,14.2200,14.3000,14.6000,9959930,144526050.6000
2019-02-22,sz.002050,14.2200,14.6000,14.2000,14.5800,14.3000,8240547,118928240.7700
2019-02-25,sz.002050,14.6900,15.5400,14.6100,15.3200,14.5800,18264867,276280676.6700
2019-02-26,sz.002050,15.4700,15.8800,15.0100,15.0700,15.3200,21289191,326868214.2400
2019-02-27,sz.002050,15.0700,15.2300,14.5700,14.7600,15.0700,13023968,194202878.6700
2019-02-28,sz.002050,14.6100,14.9300,14.6100,14.7400,14.7600,12890785,190679700.8200
2019-03-01,sz.002050,14.8600,14.9800,14.4000,14.7100,14.7400,11733128,171617346.0800
2019-03-04,sz.002050,14.7700,16.1800,14.7700,15.8700,14.7100,53050625,840645259.8600
2019-03-05,sz.002050,15.8600,16.0500,15.6000,15.9200,15.8700,21813265,345603512.5000
2019-03-06,sz.002050,16.0500,16.0800,15.7200,15.9200,15.9200,22584696,358629605.7800
2019-03-07,sz.002050,15.9100,15.9700,15.5300,15.9200,15.9200,14548486,229449701.3700
2019-03-08,sz.002050,15.5000,15.9900,15.3700,15.7000,15.9200,17834945,280363810.6100
2019-03-11,sz.002050,15.7000,16.8000,15.7000,16.4200,15.7000,24367359,397012289.1200
2019-03-12,sz.002050,16.3500,17.2100,16.2400,17.0200,16.4200,24606570,415237426.0100
2019-03-13,sz.002050,17.0000,17.1500,16.3800,16.4800,17.0200,13706309,228999622.6800
2019-03-14,sz.002050,16.1500,16.6000,15.8000,16.1100,16.4800,14393776,231971424.3600
2019-03-15,sz.002050,16.1100,16.6500,16.0400,16.3500,16.1100,12474190,203699090.2800
2019-03-18,sz.002050,16.4400,16.6300,16.2000,16.5900,16.3500,12052577,198034991.0000
2019-03-19,sz.002050,16.5200,16.6300,16.1200,16.3000,16.5900,11594338,189630558.7500
2019-03-20,sz.002050,16.3000,16.5900,16.0500,16.1700,16.3000,9948438,162231009.6800
2019-03-21,sz.002050,16.3000,16.3700,16.0200,16.1500,16.1700,9747649,157565521.4000
