date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002192,18.3000,18.4000,17.7900,17.8300,18.2400,2362247,42738258.3400
2019-01-03,sz.002192,17.4800,18.1500,17.2300,17.2300,17.8300,3158995,56014466.1500
2019-01-04,sz.002192,17.3000,18.0000,16.9800,17.9900,17.2300,4129655,72560860.2400
2019-01-07,sz.002192,17.9400,18.3200,17.7900,18.0500,17.9900,3202933,57646449.5000
2019-01-08,sz.002192,18.0000,18.2900,17.6000,17.6200,18.0500,3133165,56111155.9800
2019-01-09,sz.002192,17.6100,17.9500,17.4800,17.6600,17.6200,3485789,61684437.0700
2019-01-10,sz.002192,17.6700,17.7800,17.0000,17.1800,17.6600,3303300,57193224.5300
2019-01-11,sz.002192,17.1200,18.9000,17.0900,18.9000,17.1800,6736543,122262523.5300
2019-01-14,sz.002192,19.4600,20.7800,19.0800,20.0500,18.9000,9161035,182762310.6100
2019-01-15,sz.002192,20.2200,20.2500,19.4000,19.6200,20.0500,5694131,112048106.3900
2019-01-16,sz.002192,19.5700,19.5700,18.9200,19.0500,19.6200,5308316,101612027.8000
2019-01-17,sz.002192,18.9500,19.4300,18.7500,19.0100,19.0500,3609471,69050048.5800
2019-01-18,sz.002192,18.9000,19.3200,18.6000,19.0200,19.0100,2687179,50987670.8900
2019-01-21,sz.002192,19.2900,20.9200,18.8000,20.9200,19.0200,5679673,116146403.7900
2019-01-22,sz.002192,21.5000,23.0000,21.3300,21.7000,20.9200,10668281,235079663.0600
2019-01-23,sz.002192,21.7700,22.4500,21.2300,21.5900,21.7000,5811829,126635296.4900
2019-01-24,sz.002192,21.8400,22.9800,21.8000,22.1000,21.5900,7163781,160431299.1200
2019-01-25,sz.002192,21.8100,23.5000,21.6800,22.4700,22.1000,5556551,124139092.3000
2019-01-28,sz.002192,22.9000,22.9000,21.3000,21.7400,22.4700,4458684,97091607.8500
2019-01-29,sz.002192,21.8000,21.8800,20.0000,20.7500,21.7400,4450235,92828434.2500
2019-01-30,sz.002192,20.6200,20.6400,19.6600,20.0200,20.7500,4375277,88409064.2500
2019-01-31,sz.002192,20.3000,20.7900,19.4000,19.4800,20.0200,4801392,96113480.1800
2019-02-01,sz.002192,19.9400,21.3500,19.7800,20.8500,19.4800,4252144,87804283.6700
2019-02-11,sz.002192,21.4000,22.1800,21.1300,21.4900,20.8500,5144092,110987387.5900
2019-02-12,sz.002192,21.5000,21.8900,21.1300,21.4100,21.4900,3617107,77598010.0500
2019-02-13,sz.002192,21.4500,22.1800,21.1300,21.8700,21.4100,4712829,102193732.6200
2019-02-14,sz.002192,21.7400,21.7500,21.2000,21.6200,21.8700,4227384,90948742.9400
2019-02-15,sz.002192,21.5900,21.8500,21.0100,21.3900,21.6200,3204614,68674242.1000
2019-02-18,sz.002192,21.3900,21.8800,21.0500,21.7900,21.3900,4575674,98939436.5400
2019-02-19,sz.002192,21.9500,23.9700,21.6200,23.9700,21.7900,10072528,231460787.6500
2019-02-20,sz.002192,23.9800,25.8800,23.5000,24.3700,23.9700,8945139,219530402.0600
2019-02-21,sz.002192,24.3400,24.4800,23.5100,23.7600,24.3700,6554352,157837615.5800
2019-02-22,sz.002192,23.5000,25.2000,23.3300,24.7700,23.7600,7669296,187045706.0600
2019-02-25,sz.002192,27.2500,27.2500,27.2500,27.2500,24.7700,671852,18307967.0000
2019-02-26,sz.002192,29.9800,29.9800,29.9800,29.9800,27.2500,416717,12493175.6600
2019-02-27,sz.002192,32.9800,32.9800,28.8800,29.6700,29.9800,20641921,641971425.3400
2019-02-28,sz.002192,29.1100,29.5600,28.2000,28.4100,29.6700,8713340,250150874.8700
2019-03-01,sz.002192,28.5000,30.1000,28.5000,29.4900,28.4100,7087875,208424401.5300
2019-03-04,sz.002192,29.6600,30.4900,29.0300,29.3500,29.4900,8698492,257926608.8800
2019-03-05,sz.002192,29.3000,29.3000,28.5000,29.0900,29.3500,6795464,196403245.1000
2019-03-06,sz.002192,29.1100,29.9800,28.8200,29.5200,29.0900,7467007,220211400.7600
2019-03-07,sz.002192,29.2500,32.4700,28.7800,31.5000,29.5200,11364497,351631622.8000
2019-03-08,sz.002192,30.1100,31.0000,28.9200,29.0000,31.5000,8932021,268555576.1300
2019-03-11,sz.002192,28.8200,29.7500,28.5200,29.5000,29.0000,5385681,157776648.1700
2019-03-12,sz.002192,29.7000,30.6800,29.2100,29.5400,29.5000,6532234,193735236.9000
2019-03-13,sz.002192,29.4400,31.4800,29.0000,30.1100,29.5400,8152057,244684849.7700
2019-03-14,sz.002192,29.6100,31.0700,28.5000,29.0200,30.1100,9328459,278915738.4600
2019-03-15,sz.002192,29.1800,30.1300,29.1800,29.6600,29.0200,4425134,130975703.5400
2019-03-18,sz.002192,30.0500,31.6000,30.0000,31.2900,29.6600,7662402,238036278.6800
2019-03-19,sz.002192,31.4000,31.9800,31.0000,31.6000,31.2900,6727148,211712198.2600
2019-03-20,sz.002192,31.1000,31.5300,30.0600,30.9000,31.6000,5582489,171900832.4800
2019-03-21,sz.002192,30.8700,31.1900,30.6400,30.8300,30.9000,4157356,128744508.7200
2019-03-22,sz.002192,30.8500,33.9100,30.8500,33.9100,30.8300,12678147,424258564.7800
