date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002176,5.9000,5.9600,5.8800,5.9000,5.8700,12095570,71531438.6000
2019-01-03,sz.002176,5.9100,6.0800,5.8900,5.9900,5.9000,22044625,132246975.0600
2019-01-04,sz.002176,5.9000,6.1800,5.8600,6.1200,5.9900,29655303,180013797.1700
2019-01-07,sz.002176,6.1600,6.2200,6.1000,6.1700,6.1200,32189889,198609223.3300
2019-01-08,sz.002176,6.1600,6.2600,6.1300,6.1600,6.1700,27648288,171082892.7000
2019-01-09,sz.002176,6.1400,6.4300,6.1400,6.2300,6.1600,58326985,366143714.5300
2019-01-10,sz.002176,6.1500,6.2100,6.0900,6.1100,6.2300,33036608,202997827.8900
2019-01-11,sz.002176,6.1100,6.1800,6.0200,6.1500,6.1100,29764400,181639099.5400
2019-01-14,sz.002176,6.1100,6.3300,6.1000,6.2000,6.1500,34461117,214250537.7000
2019-01-15,sz.002176,6.2100,6.3200,6.1700,6.3100,6.2000,36185602,226307794.8000
2019-01-16,sz.002176,6.3200,6.3600,6.1500,6.2100,6.3100,29275786,182516609.4200
2019-01-17,sz.002176,6.1700,6.2700,6.0600,6.1000,6.2100,33193068,203763262.9000
2019-01-18,sz.002176,6.0900,6.1700,6.0800,6.1500,6.1000,23150346,141706347.4800
2019-01-21,sz.002176,6.1600,6.2200,6.1000,6.1500,6.1500,20393111,125740432.8700
2019-01-22,sz.002176,6.1300,6.1400,6.0100,6.0400,6.1500,21838271,132572791.6300
2019-01-23,sz.002176,6.0300,6.1200,6.0100,6.0700,6.0400,18390700,111504080.9800
2019-01-24,sz.002176,6.0500,6.0700,5.9300,5.9900,6.0700,27069785,162364197.2700
2019-01-25,sz.002176,5.9700,6.0200,5.8700,5.9200,5.9900,27715214,164844293.8200
2019-01-28,sz.002176,5.9800,6.0000,5.8800,5.8800,5.9200,16816636,99722477.3000
2019-01-29,sz.002176,5.8600,5.8800,5.5500,5.6500,5.8800,28063016,159731073.7300
2019-01-30,sz.002176,5.6000,5.7000,5.5300,5.5500,5.6500,18142781,101900624.1700
2019-01-31,sz.002176,5.0000,5.0000,5.0000,5.0000,5.5500,11624500,58122500.0000
2019-02-01,sz.002176,4.5000,4.7600,4.5000,4.7000,5.0000,90119913,417122415.1900
2019-02-11,sz.002176,4.6000,4.8700,4.5700,4.8500,4.7000,43841676,207898160.6000
2019-02-12,sz.002176,4.8600,5.1100,4.8200,4.9900,4.8500,50373023,250146856.1100
2019-02-13,sz.002176,4.9800,5.0900,4.9300,5.0400,4.9900,39770680,199725027.6000
2019-02-14,sz.002176,5.0200,5.1100,5.0100,5.0500,5.0400,31610933,159712913.4900
2019-02-15,sz.002176,5.0400,5.2100,5.0000,5.0700,5.0500,38084079,194817209.4400
2019-02-18,sz.002176,5.1000,5.3500,5.1000,5.3500,5.0700,45496286,238707681.7100
2019-02-19,sz.002176,5.4000,5.4800,5.2400,5.3800,5.3500,46985788,252345676.1200
2019-02-20,sz.002176,5.3900,5.6300,5.2900,5.5000,5.3800,47273361,259699729.3300
2019-02-21,sz.002176,5.4600,5.5300,5.3600,5.4000,5.5000,42666750,231815021.1400
2019-02-22,sz.002176,5.3800,5.4500,5.3100,5.4400,5.4000,34747280,187363857.3700
2019-02-25,sz.002176,5.4800,5.7400,5.4700,5.7300,5.4400,66589274,374152376.6900
2019-02-26,sz.002176,5.7100,5.9400,5.6300,5.7500,5.7300,77941848,451143082.8700
2019-02-27,sz.002176,5.7300,5.9000,5.7000,5.8400,5.7500,56596040,328646350.9400
2019-02-28,sz.002176,5.7800,5.8500,5.7100,5.7600,5.8400,37606250,216985545.2200
2019-03-01,sz.002176,5.7700,5.7900,5.5200,5.6500,5.7600,51439697,290085661.6600
2019-03-04,sz.002176,5.6800,5.8800,5.6500,5.7500,5.6500,64304818,371816841.2200
2019-03-05,sz.002176,5.7500,6.0000,5.7200,6.0000,5.7500,64511531,379352780.4600
2019-03-06,sz.002176,6.0100,6.1900,5.9500,6.1400,6.0000,75671514,459742489.0700
2019-03-07,sz.002176,6.1100,6.4400,6.0700,6.3600,6.1400,85339079,536116259.6900
2019-03-08,sz.002176,6.2000,6.3000,5.8300,5.8800,6.3600,78800835,479356941.9200
2019-03-11,sz.002176,5.8500,6.4700,5.8300,6.4100,5.8800,90626876,563972398.0400
