date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000155,3.6000,3.6400,3.5300,3.5700,3.6000,3260501,11670765.5800
2019-01-03,sz.000155,3.5800,3.6200,3.5600,3.5800,3.5700,3461100,12427914.0000
2019-01-04,sz.000155,3.5700,3.7000,3.5500,3.6800,3.5800,4840600,17654910.0000
2019-01-07,sz.000155,3.7200,3.7900,3.7000,3.7600,3.6800,5138302,19276201.5100
2019-01-08,sz.000155,3.7900,3.7900,3.6600,3.6800,3.7600,4985525,18426966.7500
2019-01-09,sz.000155,3.6700,3.7500,3.6500,3.6600,3.6800,3854702,14272583.4400
2019-01-10,sz.000155,3.6500,3.7500,3.6500,3.6800,3.6600,3567000,13167401.9900
2019-01-11,sz.000155,3.6800,3.7400,3.6500,3.7100,3.6800,3398900,12582977.0000
2019-01-14,sz.000155,3.7000,3.7300,3.6400,3.6600,3.7100,3451600,12730272.4900
2019-01-15,sz.000155,3.6700,3.7200,3.6500,3.7000,3.6600,4672322,17218865.9600
2019-01-16,sz.000155,3.7100,3.7400,3.6600,3.6800,3.7000,3681500,13600580.9900
2019-01-17,sz.000155,3.6600,3.6900,3.6200,3.6300,3.6800,2655100,9694138.9800
2019-01-18,sz.000155,3.6100,3.7600,3.6100,3.6800,3.6300,4929758,18093267.9600
2019-01-21,sz.000155,3.6500,3.7200,3.6500,3.7000,3.6800,3823060,14069512.2000
2019-01-22,sz.000155,3.7000,3.7700,3.6600,3.6600,3.7000,5436793,20154511.1700
2019-01-23,sz.000155,3.6500,3.6800,3.6200,3.6700,3.6600,4215493,15427060.6600
2019-01-24,sz.000155,3.7200,3.8200,3.6800,3.6900,3.6700,5482706,20391022.3000
2019-01-25,sz.000155,3.7100,3.7400,3.6400,3.6600,3.6900,3892259,14323792.5300
2019-01-28,sz.000155,3.6600,3.6900,3.5500,3.5500,3.6600,3887725,14138489.5000
2019-01-29,sz.000155,3.5600,3.5900,3.4500,3.4900,3.5500,5822569,20387910.0500
2019-01-30,sz.000155,3.4900,3.6000,3.4800,3.5000,3.4900,5143700,18194700.0000
2019-01-31,sz.000155,3.5000,3.5600,3.3800,3.4200,3.5000,4530353,15658406.8000
2019-02-01,sz.000155,3.4400,3.5100,3.4300,3.4900,3.4200,3950910,13761237.9000
2019-02-11,sz.000155,3.5000,3.5900,3.5000,3.5800,3.4900,4186400,14884262.0000
2019-02-12,sz.000155,3.5900,3.6800,3.5600,3.6400,3.5800,4344993,15728754.4500
2019-02-13,sz.000155,3.6400,3.7600,3.6100,3.7100,3.6400,7663536,28289730.5500
2019-02-14,sz.000155,3.7000,3.7800,3.6900,3.7400,3.7100,5550101,20744059.7100
2019-02-15,sz.000155,3.7300,3.8300,3.7000,3.7400,3.7400,7177537,26992962.1000
2019-02-18,sz.000155,3.7400,3.9300,3.7400,3.9000,3.7400,11774766,45251933.4800
2019-02-19,sz.000155,3.8700,4.0000,3.8400,3.8700,3.9000,12123322,47363494.9200
2019-02-20,sz.000155,3.8700,4.0500,3.8700,3.9600,3.8700,11833043,46920323.5100
2019-02-21,sz.000155,3.9300,3.9800,3.8800,3.8900,3.9600,9343100,36653162.0000
2019-02-22,sz.000155,3.9000,3.9500,3.8100,3.9300,3.8900,9325857,36276460.9900
