date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300618,74.1500,74.7800,72.1800,72.8600,74.0800,1995120,146118925.3000
2019-01-03,sz.300618,72.5000,74.2000,72.3200,73.0900,72.8600,1864565,136752821.2300
2019-01-04,sz.300618,72.0900,75.5000,71.7000,75.2600,73.0900,3181407,236771209.3100
2019-01-07,sz.300618,75.1900,76.9900,74.9400,76.1600,75.2600,3842974,290977315.9800
2019-01-08,sz.300618,75.8100,76.2100,74.4800,74.5000,76.1600,2655741,199561085.3500
2019-01-09,sz.300618,73.5000,73.5000,70.5000,71.3600,74.5000,5961221,427427047.6200
2019-01-10,sz.300618,70.6000,72.3100,70.5800,70.9500,71.3600,2804996,199624983.8700
2019-01-11,sz.300618,70.7000,71.3800,70.7000,71.0200,70.9500,2043853,145159660.5900
2019-01-14,sz.300618,70.7000,72.3000,70.7000,71.0700,71.0200,2323161,166120347.6800
2019-01-15,sz.300618,71.8200,71.8800,70.7000,71.6900,71.0700,2337194,166703133.9600
2019-01-16,sz.300618,71.6600,71.6600,70.7000,70.8100,71.6900,2214329,157242887.6400
2019-01-17,sz.300618,70.7000,70.9600,68.0100,68.0200,70.8100,4215533,289806535.4800
2019-01-18,sz.300618,68.1200,69.7800,67.2800,69.5300,68.0200,3548233,245009205.2500
2019-01-21,sz.300618,69.9000,70.5000,68.7600,70.0300,69.5300,2793711,194710239.2800
2019-01-22,sz.300618,69.8500,69.8500,68.1200,68.1200,70.0300,2497501,171962041.8400
2019-01-23,sz.300618,67.8500,69.4900,67.6000,68.9000,68.1200,1957983,134760187.2600
2019-01-24,sz.300618,68.8800,68.8800,67.8100,68.4200,68.9000,1712281,117024470.0900
2019-01-25,sz.300618,68.2900,69.6300,67.0000,68.4200,68.4200,3838989,261869830.8900
2019-01-28,sz.300618,68.4200,68.8900,67.1200,67.2600,68.4200,2167030,147012226.5300
2019-01-29,sz.300618,67.0100,67.0100,60.5800,62.9100,67.2600,3226508,205110118.8900
2019-01-30,sz.300618,62.3800,63.8000,61.8400,61.9000,62.9100,1821181,114617932.8500
2019-01-31,sz.300618,62.0700,62.9900,59.9000,60.6900,61.9000,2699693,166456190.3900
2019-02-01,sz.300618,59.5100,61.8600,59.5100,61.6000,60.6900,3515319,213502125.2300
2019-02-11,sz.300618,61.6300,67.7600,61.6300,67.7600,61.6000,5566271,361487783.9200
2019-02-12,sz.300618,67.7600,68.3400,66.6200,67.5000,67.7600,5627928,380263915.9500
2019-02-13,sz.300618,67.3800,72.4800,66.8400,70.4000,67.5000,7507016,523913284.9400
2019-02-14,sz.300618,70.4800,70.5000,68.7100,70.1000,70.4000,4058029,282687331.2800
2019-02-15,sz.300618,70.0200,72.2500,69.3800,69.7000,70.1000,4655679,329057314.1300
2019-02-18,sz.300618,69.7600,72.2100,69.7600,71.9900,69.7000,6089114,432977404.6400
2019-02-19,sz.300618,72.1100,72.1500,69.4500,70.1100,71.9900,6165151,436089839.4300
2019-02-20,sz.300618,69.9500,75.8800,69.9500,73.0000,70.1100,8573585,629006086.8600
2019-02-21,sz.300618,73.5000,73.7900,71.1100,71.9500,73.0000,6365297,459527199.6100
2019-02-22,sz.300618,71.3500,72.4400,70.3200,72.2500,71.9500,4900630,349298237.2600
2019-02-25,sz.300618,72.8800,77.8000,72.8600,77.8000,72.2500,10076014,761456757.0800
2019-02-26,sz.300618,77.8100,85.5800,75.7300,82.2300,77.8000,14230724,1149190802.0600
2019-02-27,sz.300618,81.0200,84.4800,78.5100,79.1800,82.2300,8877438,720674669.3500
2019-02-28,sz.300618,79.9000,80.6900,78.3000,79.8500,79.1800,4595905,364512336.3500
2019-03-01,sz.300618,80.2200,80.9900,78.7500,80.3300,79.8500,4400746,351140473.4200
2019-03-04,sz.300618,80.3400,82.8200,79.6900,80.3500,80.3300,8471992,685610969.4000
2019-03-05,sz.300618,79.0100,79.9000,78.4000,79.8800,80.3500,6761317,534022526.8900
2019-03-06,sz.300618,80.1300,82.2900,80.1300,81.4900,79.8800,9522236,774209386.1200
2019-03-07,sz.300618,81.3100,84.6100,79.4800,82.4800,81.4900,10061053,827150101.1200
2019-03-08,sz.300618,80.9000,80.9000,76.1700,76.1700,82.4800,8743246,688516974.7400
2019-03-11,sz.300618,74.2500,78.2300,74.2500,78.2100,76.1700,5179070,399524906.7600
2019-03-12,sz.300618,78.4100,80.0000,77.3700,78.2600,78.2100,5814331,457692139.8600
2019-03-13,sz.300618,79.0000,81.8600,78.2700,80.2000,78.2600,8758828,703373574.6700
2019-03-14,sz.300618,79.9500,84.2300,79.3700,81.5000,80.2000,9934814,815970853.6500
2019-03-15,sz.300618,82.6000,82.7500,80.0000,80.9700,81.5000,5615237,453871868.4300
2019-03-18,sz.300618,81.5000,85.1000,81.5000,84.8700,80.9700,10270882,857190501.5300
2019-03-19,sz.300618,85.0000,85.0100,82.4500,83.0700,84.8700,6658583,553974961.4000
2019-03-20,sz.300618,82.7100,82.7600,79.5700,80.6000,83.0700,6021675,486652422.3500
2019-03-21,sz.300618,80.5300,81.5300,79.5300,80.1800,80.6000,4583680,368694678.1700
2019-03-22,sz.300618,80.6000,80.6000,78.0000,79.0900,80.1800,4037255,319252239.9000
2019-03-25,sz.300618,78.0000,78.8500,77.0000,77.0200,79.0900,3809543,296436334.9300
2019-03-26,sz.300618,77.2700,79.8400,77.2700,77.9600,77.0200,4681542,367975063.0000
2019-03-27,sz.300618,78.3000,79.5500,76.0000,77.5200,77.9600,4411592,342056896.6700
