date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600711,4.6000,4.6000,4.5000,4.5200,4.5700,22411894,101896101.0000
2019-01-03,sh.600711,4.5200,4.7500,4.5100,4.7500,4.5200,57905117,269287804.0000
2019-01-04,sh.600711,4.7100,4.9300,4.6800,4.9000,4.7500,62986449,302743254.0000
2019-01-07,sh.600711,4.9000,5.0200,4.8300,4.9600,4.9000,57939974,284921601.0000
2019-01-08,sh.600711,4.9700,5.0100,4.8700,4.8700,4.9600,35883736,176763113.0000
2019-01-09,sh.600711,4.8600,4.9500,4.8200,4.8300,4.8700,41131113,200937560.0000
2019-01-10,sh.600711,4.8200,4.9900,4.8000,4.9100,4.8300,43097080,212178885.0000
2019-01-11,sh.600711,4.8900,5.0900,4.8800,5.0500,4.9100,53682534,268578299.0000
2019-01-14,sh.600711,5.0400,5.0500,4.9700,5.0000,5.0500,37020512,185439808.0000
2019-01-15,sh.600711,4.9500,5.0400,4.9000,5.0400,5.0000,33712690,168103480.0000
2019-01-16,sh.600711,5.0400,5.0400,5.0400,5.0400,5.0400,0,0.0000
2019-01-17,sh.600711,5.0500,5.0500,4.8200,4.8800,5.0400,41491791,204061663.0000
2019-01-18,sh.600711,4.8600,5.3700,4.8600,5.2000,4.8800,97333035,503259569.0000
2019-01-21,sh.600711,5.2000,5.2900,5.1400,5.1900,5.2000,63938624,332607982.0000
2019-01-22,sh.600711,5.1700,5.3000,5.1200,5.2200,5.1900,65875447,343810770.0000
2019-01-23,sh.600711,5.1900,5.2300,5.0900,5.1500,5.2200,40212580,207240171.0000
2019-01-24,sh.600711,5.1300,5.1400,5.0000,5.0300,5.1500,46183921,233717699.0000
2019-01-25,sh.600711,5.0300,5.0900,4.9900,4.9900,5.0300,33598176,169352809.0000
2019-01-28,sh.600711,5.1000,5.1200,5.0000,5.0200,4.9900,28106795,142019948.0000
2019-01-29,sh.600711,5.0000,5.0000,4.6000,4.8200,5.0200,44137413,212388248.0000
2019-01-30,sh.600711,4.7600,4.8600,4.7200,4.7300,4.8200,22054118,105667909.0000
2019-01-31,sh.600711,4.7500,4.8200,4.6500,4.6900,4.7300,27421751,129872765.0000
2019-02-01,sh.600711,4.7300,4.9000,4.7000,4.8900,4.6900,24594519,118356650.0000
2019-02-11,sh.600711,4.9200,5.1500,4.8800,5.1200,4.8900,44912474,226522430.0000
2019-02-12,sh.600711,5.1000,5.1500,5.0400,5.1300,5.1200,42284853,215680741.0000
2019-02-13,sh.600711,5.1300,5.3200,5.0900,5.2400,5.1300,76281721,398255578.0000
2019-02-14,sh.600711,5.2100,5.2400,5.1600,5.1900,5.2400,45464478,236264698.0000
2019-02-15,sh.600711,5.1700,5.4000,5.1600,5.3300,5.1900,86162910,456320129.0000
