date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300409,13.1800,13.2800,12.7800,12.9100,13.1100,4892765,63612698.5400
2019-01-03,sz.300409,12.9900,13.1700,12.6300,12.7100,12.9100,4607144,59516531.4400
2019-01-04,sz.300409,12.5000,13.5400,12.5000,13.4800,12.7100,7070704,92567222.3000
2019-01-07,sz.300409,13.5900,13.6700,13.3300,13.6400,13.4800,7807190,105331166.9100
2019-01-08,sz.300409,13.5000,13.7800,13.3800,13.5800,13.6400,5681827,77193845.7300
2019-01-09,sz.300409,13.6000,13.7600,13.3400,13.4500,13.5800,6416420,87079764.8600
2019-01-10,sz.300409,13.4000,13.5400,13.2200,13.2400,13.4500,4300462,57618544.0700
2019-01-11,sz.300409,13.3000,13.4300,13.1500,13.2700,13.2400,4985160,66124343.2000
2019-01-14,sz.300409,13.2900,13.4400,13.1400,13.2000,13.2700,4193600,55829674.7500
2019-01-15,sz.300409,13.2000,13.5500,13.1200,13.5500,13.2000,5316535,71079575.3500
2019-01-16,sz.300409,13.5100,13.6000,13.1300,13.2100,13.5500,6143468,81528234.7900
2019-01-17,sz.300409,13.2400,13.2600,12.6200,12.6800,13.2100,6364906,81896056.2600
2019-01-18,sz.300409,12.7000,13.1000,12.6300,13.1000,12.6800,7439700,95974113.8000
2019-01-21,sz.300409,13.2000,13.2600,12.9900,13.1400,13.1000,5573983,73181503.4300
2019-01-22,sz.300409,13.0500,13.2200,12.6300,12.7700,13.1400,6919830,88681773.9400
2019-01-23,sz.300409,12.7500,13.3200,12.6500,13.0700,12.7700,8493080,111190097.6000
2019-01-24,sz.300409,13.0000,13.1400,12.9100,12.9400,13.0700,5233500,68204962.0000
2019-01-25,sz.300409,12.9300,13.1600,12.7000,12.8100,12.9400,6589560,84870861.6000
2019-01-28,sz.300409,12.9400,13.0300,12.6100,12.6500,12.8100,5989283,76540954.4700
2019-01-29,sz.300409,12.5800,12.6600,11.8000,12.2700,12.6500,7337499,89354558.2200
2019-01-30,sz.300409,12.1000,12.3700,12.0000,12.0000,12.2700,4006644,48765943.6100
2019-01-31,sz.300409,12.0500,12.2100,11.6800,11.8000,12.0000,4740203,56716051.6300
2019-02-01,sz.300409,11.9400,12.3600,11.8300,12.3300,11.8000,4768380,57897053.0000
2019-02-11,sz.300409,12.3700,13.0200,12.3700,12.9800,12.3300,7694660,97740021.2000
2019-02-12,sz.300409,13.0000,13.0500,12.8400,13.0000,12.9800,6429171,83210432.2200
2019-02-13,sz.300409,12.9200,13.9200,12.9100,13.5900,13.0000,13358312,179896902.1800
2019-02-14,sz.300409,13.5000,13.8500,13.4200,13.5700,13.5900,8221100,111926212.5500
2019-02-15,sz.300409,13.5700,13.9600,13.4500,13.5000,13.5700,7955650,108706163.8700
2019-02-18,sz.300409,13.4800,13.9000,13.2800,13.8500,13.5000,12852192,175275625.4200
2019-02-19,sz.300409,14.0000,14.1000,13.5500,13.7600,13.8500,10409698,143585387.6800
2019-02-20,sz.300409,14.0000,14.6000,13.7900,14.3300,13.7600,16324793,232812651.7900
