date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300035,4.5800,4.5800,4.4600,4.5000,4.5000,1959123,8820359.4900
2019-01-03,sz.300035,4.5500,4.9100,4.5200,4.7800,4.5000,11203610,52858465.2000
2019-01-04,sz.300035,4.7200,4.8800,4.6500,4.8600,4.7800,12800700,61270555.0000
2019-01-07,sz.300035,4.8600,5.3500,4.8000,5.3500,4.8600,40089951,211052471.5500
2019-01-08,sz.300035,5.3500,5.3500,5.0800,5.0800,5.3500,33087261,171165504.0300
2019-01-09,sz.300035,5.1300,5.2300,5.0500,5.1400,5.0800,21092837,108381309.5300
2019-01-10,sz.300035,5.1100,5.2400,5.0700,5.1100,5.1400,14059806,72321552.2600
2019-01-11,sz.300035,5.0700,5.1100,5.0000,5.0700,5.1100,11729306,59277949.3000
2019-01-14,sz.300035,5.1000,5.1300,4.9900,5.0600,5.0700,7731741,39106885.0000
2019-01-15,sz.300035,5.0300,5.1000,4.9800,5.1000,5.0600,7014322,35498087.1000
2019-01-16,sz.300035,5.0600,5.1200,4.9700,4.9700,5.1000,6796400,34167741.0000
2019-01-17,sz.300035,4.9500,5.0100,4.8900,4.9100,4.9700,5376449,26552250.5000
2019-01-18,sz.300035,4.9100,4.9700,4.8800,4.9600,4.9100,4453200,21995939.4300
2019-01-21,sz.300035,4.9700,5.0200,4.9500,5.0000,4.9600,4346200,21707380.7800
2019-01-22,sz.300035,4.9700,5.0100,4.8900,4.9200,5.0000,3935500,19448787.0000
2019-01-23,sz.300035,4.9300,5.0700,4.9200,5.0000,4.9200,6584830,32868511.3400
2019-01-24,sz.300035,4.9900,5.0000,4.9000,4.9700,5.0000,6048900,29941561.5600
2019-01-25,sz.300035,4.9600,4.9700,4.9000,4.9000,4.9700,3827800,18890915.0000
2019-01-28,sz.300035,4.9400,4.9600,4.7100,4.7300,4.9000,6917268,33424212.0000
2019-01-29,sz.300035,4.7800,4.7800,4.5300,4.6400,4.7300,5108188,23634611.6800
2019-01-30,sz.300035,4.6300,4.6800,4.6000,4.6100,4.6400,2760628,12796487.0800
