date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002108,4.2500,4.3200,4.2400,4.2600,4.2100,10175930,43560395.5700
2019-01-03,sz.002108,4.3000,4.3200,4.2300,4.2500,4.2600,9149943,39129998.0700
2019-01-04,sz.002108,4.1500,4.4200,4.1000,4.3700,4.2500,15457994,66496951.9200
2019-01-07,sz.002108,4.4400,4.4700,4.3600,4.4700,4.3700,13773256,61002732.9700
2019-01-08,sz.002108,4.4700,4.5200,4.4100,4.4400,4.4700,11674538,52019722.7100
2019-01-09,sz.002108,4.4300,4.5100,4.4100,4.4100,4.4400,16477256,73522064.9800
2019-01-10,sz.002108,4.4300,4.4600,4.3800,4.4000,4.4100,11583396,51200714.7000
2019-01-11,sz.002108,4.4200,4.4300,4.3600,4.4200,4.4000,12181335,53587049.6800
2019-01-14,sz.002108,4.4400,4.4900,4.4100,4.4100,4.4200,10664958,47358112.3200
2019-01-15,sz.002108,4.4500,4.5600,4.4200,4.5000,4.4100,15896049,71366410.8800
2019-01-16,sz.002108,4.4500,4.5800,4.4300,4.5000,4.5000,18961764,85331733.0400
2019-01-17,sz.002108,4.4800,4.4800,4.3900,4.4000,4.5000,12481842,55223888.2200
2019-01-18,sz.002108,4.3900,4.4500,4.3900,4.4100,4.4000,8986314,39728192.9500
2019-01-21,sz.002108,4.4300,4.4600,4.3900,4.4000,4.4100,8933655,39519832.4500
2019-01-22,sz.002108,4.4100,4.4100,4.2700,4.3000,4.4000,11101779,48085278.6500
2019-01-23,sz.002108,4.2800,4.4000,4.2700,4.3800,4.3000,11165722,48645618.8400
2019-01-24,sz.002108,4.3700,4.3800,4.3100,4.3300,4.3800,9241188,40166097.2100
2019-01-25,sz.002108,4.3800,4.4200,4.3300,4.3300,4.3300,11122843,48663836.9700
2019-01-28,sz.002108,4.3500,4.3800,4.2100,4.2100,4.3300,12627742,53948876.1900
2019-01-29,sz.002108,4.1900,4.2300,4.1200,4.1800,4.2100,7638066,31847453.6300
2019-01-30,sz.002108,4.1800,4.1800,4.0800,4.1000,4.1800,8120054,33569668.1600
2019-01-31,sz.002108,4.0700,4.1100,3.9900,4.0100,4.1000,9071673,36794637.3400
2019-02-01,sz.002108,4.0400,4.1400,4.0400,4.1300,4.0100,7226712,29642159.2500
2019-02-11,sz.002108,4.1500,4.2300,4.1100,4.2300,4.1300,8609502,36042249.1000
2019-02-12,sz.002108,4.2200,4.3000,4.2000,4.2600,4.2300,9831576,41896218.5900
2019-02-13,sz.002108,4.2600,4.4000,4.2400,4.3700,4.2600,17641289,76540861.5600
2019-02-14,sz.002108,4.3900,4.4400,4.3500,4.4400,4.3700,17326902,76166617.0800
2019-02-15,sz.002108,4.4100,4.4800,4.3700,4.4100,4.4400,19175552,84999861.5400
2019-02-18,sz.002108,4.6000,4.8500,4.5100,4.8500,4.4100,33915379,160144257.0800
2019-02-19,sz.002108,4.9500,5.0500,4.7500,4.8600,4.8500,75507158,371013552.3600
2019-02-20,sz.002108,4.8000,4.9300,4.7200,4.8200,4.8600,36252632,174612680.8400
2019-02-21,sz.002108,4.7900,4.8200,4.6800,4.6900,4.8200,38484932,182510552.8200
2019-02-22,sz.002108,4.6500,4.7200,4.6300,4.6900,4.6900,31933191,149467108.7700
2019-02-25,sz.002108,4.7500,4.9500,4.7300,4.9300,4.6900,59918369,290747874.7200
2019-02-26,sz.002108,4.9700,5.2000,4.8700,4.9800,4.9300,70162362,353808374.6300
