date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300586,10.3700,10.5500,10.3500,10.4100,10.3500,1570121,16355628.4800
2019-01-03,sz.300586,10.3800,10.5000,10.0800,10.2100,10.4100,2080921,21498596.7700
2019-01-04,sz.300586,10.2100,10.5400,10.0000,10.5000,10.2100,2581450,26794566.5000
2019-01-07,sz.300586,10.5200,10.7000,10.5200,10.6300,10.5000,2633250,27978265.5000
2019-01-08,sz.300586,10.6700,10.7600,10.5200,10.6800,10.6300,2276882,24189158.6200
2019-01-09,sz.300586,10.7100,10.8600,10.6300,10.6500,10.6800,3137150,33699902.0000
2019-01-10,sz.300586,10.6000,10.7600,10.5200,10.5300,10.6500,2248050,23874864.5000
2019-01-11,sz.300586,10.5100,11.5800,10.5100,11.0900,10.5300,6745898,74308190.1500
2019-01-14,sz.300586,11.0100,11.1800,10.8100,10.8600,11.0900,3734508,41009491.6900
2019-01-15,sz.300586,11.4100,11.9500,11.4100,11.9500,10.8600,3634140,43271770.7700
2019-01-16,sz.300586,12.0000,12.8000,11.9800,12.0200,11.9500,17486951,215758634.0800
2019-01-17,sz.300586,11.9100,12.0300,11.4800,11.8900,12.0200,10087211,118685245.5400
2019-01-18,sz.300586,11.6300,12.0200,11.4000,11.4000,11.8900,7500251,87217381.5900
2019-01-21,sz.300586,11.2100,11.6400,11.2100,11.5200,11.4000,4370701,50029288.1100
2019-01-22,sz.300586,11.3900,11.4600,11.2200,11.3000,11.5200,3791040,42842731.2000
2019-01-23,sz.300586,11.2500,12.4300,11.1800,12.0700,11.3000,17142461,209125700.2300
2019-01-24,sz.300586,11.7900,12.3000,11.6100,12.1500,12.0700,13571961,161212470.3100
2019-01-25,sz.300586,11.9800,12.1600,11.8200,11.8600,12.1500,7566361,90352481.1700
2019-01-28,sz.300586,11.9000,12.3300,11.8000,11.8300,11.8600,5522300,66430922.2800
2019-01-29,sz.300586,11.8400,11.8400,10.7000,11.3700,11.8300,5342750,60390594.4500
2019-01-30,sz.300586,11.1600,11.5500,10.9100,11.0000,11.3700,3206450,36237249.0000
2019-01-31,sz.300586,11.1200,11.4000,10.9800,11.1600,11.0000,3786851,42277924.0500
2019-02-01,sz.300586,11.2200,11.5300,11.2200,11.4800,11.1600,3766012,42829551.7900
2019-02-11,sz.300586,11.5700,11.9200,11.5000,11.8600,11.4800,4680173,55188652.8000
2019-02-12,sz.300586,11.8600,12.1000,11.7500,11.9600,11.8600,7102023,84947605.8400
2019-02-13,sz.300586,11.9000,12.1400,11.7100,12.0500,11.9600,6942477,83123008.8900
2019-02-14,sz.300586,11.9600,12.3800,11.9200,12.3100,12.0500,6983027,84943207.3200
2019-02-15,sz.300586,12.1900,12.7500,12.1300,12.4800,12.3100,7886566,97627904.3800
2019-02-18,sz.300586,12.6900,13.2000,12.5300,12.9800,12.4800,9232661,119153137.3500
2019-02-19,sz.300586,13.1100,13.1700,12.7400,12.9200,12.9800,7374300,95257904.0000
2019-02-20,sz.300586,12.9300,13.1800,12.7700,13.1400,12.9200,5042650,65301088.5000
2019-02-21,sz.300586,13.1000,13.8500,13.0100,13.4700,13.1400,9526344,128941957.0300
2019-02-22,sz.300586,13.4700,13.6400,13.3000,13.5200,13.4700,5249522,70758885.8600
2019-02-25,sz.300586,13.5300,14.8200,13.5300,14.7600,13.5200,9397544,133355908.1700
2019-02-26,sz.300586,14.6000,15.1800,14.5100,14.9200,14.7600,7449971,110471399.5900
2019-02-27,sz.300586,14.9200,16.4100,14.9200,16.4100,14.9200,9682777,155211694.3000
2019-02-28,sz.300586,17.0400,17.3600,14.7700,14.7700,16.4100,16907780,260684655.1300
2019-03-01,sz.300586,14.6900,14.6900,13.4000,14.3000,14.7700,11016383,155015504.6700
2019-03-04,sz.300586,14.3000,14.9400,14.2600,14.7800,14.3000,9086703,132833985.1300
2019-03-05,sz.300586,14.8800,14.9000,14.4000,14.8500,14.7800,6718495,98851771.7300
2019-03-06,sz.300586,14.9200,15.8800,14.9200,15.7300,14.8500,11074683,171363203.2800
2019-03-07,sz.300586,15.7600,15.8000,15.1800,15.4300,15.7300,7978500,123193593.3900
2019-03-08,sz.300586,15.1000,15.1000,14.0200,14.2800,15.4300,7386316,108589715.2200
2019-03-11,sz.300586,14.1700,14.9600,14.1000,14.8700,14.2800,4562380,67040941.9000
2019-03-12,sz.300586,14.8300,15.3000,14.5200,14.8100,14.8700,6828130,101963777.3000
2019-03-13,sz.300586,14.8700,15.3800,14.8700,15.1200,14.8100,7100270,107248028.3000
2019-03-14,sz.300586,15.0600,15.0600,14.1500,14.4300,15.1200,4469450,64977423.4000
2019-03-15,sz.300586,14.9500,14.9500,14.2000,14.8600,14.4300,4103950,60739688.0000
2019-03-18,sz.300586,15.4500,16.0700,15.2200,15.9400,14.8600,10463394,163945632.9200
2019-03-19,sz.300586,15.8000,16.7900,15.7600,16.1800,15.9400,10087132,164658925.2900
2019-03-20,sz.300586,16.1800,16.5000,15.6200,15.9500,16.1800,4954306,79138139.3500
2019-03-21,sz.300586,15.8900,16.1400,15.6100,15.8300,15.9500,4607050,73091833.5000
2019-03-22,sz.300586,15.9000,15.9000,15.4000,15.5300,15.8300,3371800,52356899.0100
2019-03-25,sz.300586,15.3300,15.7800,15.1700,15.4600,15.5300,2779550,43220531.0100
2019-03-26,sz.300586,15.6000,15.6000,14.6500,14.9600,15.4600,2815933,42657771.6800
2019-03-27,sz.300586,15.1600,15.9700,15.1600,15.3900,14.9600,3824299,59380737.5900
2019-03-28,sz.300586,15.4000,15.8500,15.1800,15.3200,15.3900,3155782,49052452.7300
2019-03-29,sz.300586,15.1000,15.4500,14.6500,15.4200,15.3200,5031538,76352015.7500
2019-04-01,sz.300586,15.6800,16.2400,15.3800,16.1100,15.4200,8404484,133856895.6400
2019-04-02,sz.300586,16.1500,16.1900,15.7900,15.9600,16.1100,5341506,85034385.6000
2019-04-03,sz.300586,16.1500,16.1700,15.9100,15.9600,15.9600,4797514,76932727.3300
2019-04-04,sz.300586,15.8800,16.1700,15.8600,15.9300,15.9600,5480720,87827340.4000
2019-04-08,sz.300586,16.4000,16.9600,16.1100,16.5900,15.9300,10697192,177649447.1800
2019-04-09,sz.300586,16.9500,18.2000,16.8000,16.9100,16.5900,10211835,176887860.1200
2019-04-10,sz.300586,17.0400,18.6000,16.8500,18.6000,16.9100,12375048,224215800.3100
2019-04-11,sz.300586,18.9900,19.3600,17.4500,17.5000,18.6000,14231891,256895169.0600
2019-04-12,sz.300586,16.9600,17.2000,16.7200,17.0100,17.5000,6557139,111001168.4000
2019-04-15,sz.300586,16.9600,17.2700,16.7300,16.7500,17.0100,4838000,82450138.5000
2019-04-16,sz.300586,16.6000,16.7000,15.9600,16.6300,16.7500,5492658,89726929.6400
2019-04-17,sz.300586,16.6500,18.2900,16.5000,17.9300,16.6300,9647913,167805926.2900
2019-04-18,sz.300586,17.9300,18.6500,17.4000,17.7400,17.9300,8735231,156274147.7300
2019-04-19,sz.300586,17.2900,17.6900,15.9700,17.3600,17.7400,6471407,110693494.6000
2019-04-22,sz.300586,17.8700,17.9100,17.0100,17.6000,17.3600,5734824,100307387.4100
2019-04-23,sz.300586,17.2200,17.6100,16.8000,16.8300,17.6000,5445640,93426474.4700
2019-04-24,sz.300586,17.3600,17.3800,16.8300,17.3600,16.8300,4939073,84869544.3100
2019-04-25,sz.300586,17.0700,17.3500,16.3700,16.3700,17.3600,5271733,88702657.4900
2019-04-26,sz.300586,16.0300,16.2600,15.3200,15.5100,16.3700,4452044,69933365.7500
2019-04-29,sz.300586,15.5200,16.1900,15.4800,15.5600,15.5100,4540237,71634910.4200
2019-04-30,sz.300586,15.5900,16.1200,15.5900,15.9200,15.5600,3061408,48642002.7300
2019-05-06,sz.300586,15.4000,15.4200,14.3300,14.3300,15.9200,5562566,81236365.5400
2019-05-07,sz.300586,14.3300,14.6900,14.0600,14.4600,14.3300,3235200,46485156.5000
2019-05-08,sz.300586,14.1100,14.5000,13.9100,14.1000,14.4600,2929837,41793946.9700
2019-05-09,sz.300586,13.9600,14.2400,13.6000,13.7000,14.1000,2659650,37093529.5000
2019-05-10,sz.300586,13.9400,14.3900,13.6000,14.2800,13.7000,4676999,66082557.9600
2019-05-13,sz.300586,14.0000,14.7000,13.9500,14.5700,14.2800,3628607,52555986.6900
2019-05-14,sz.300586,14.3600,14.6500,14.3000,14.4000,14.5700,2644600,38308149.3900
2019-05-15,sz.300586,14.5000,14.7900,14.4100,14.7000,14.4000,2925716,42710868.9400
2019-05-16,sz.300586,14.7100,14.7700,14.4100,14.5300,14.7000,2356782,34248461.1400
2019-05-17,sz.300586,14.5700,14.6500,13.7500,13.8900,14.5300,2703138,38520649.4900
2019-05-20,sz.300586,13.9200,14.2000,13.3300,14.2000,13.8900,3049288,41905941.9500
2019-05-21,sz.300586,14.2000,14.4500,13.9300,14.3200,14.2000,2441030,34832471.0000
2019-05-22,sz.300586,14.2800,14.4100,14.0100,14.0500,14.3200,2034780,28813621.1000
2019-05-23,sz.300586,14.0400,14.1400,13.7500,13.8800,14.0500,1989150,27715500.5000
2019-05-24,sz.300586,13.8600,13.9900,13.5200,13.7300,13.8800,2089600,28659263.0000
2019-05-27,sz.300586,13.8000,14.0900,13.6200,14.0600,13.7300,2721670,37923185.9100
2019-05-28,sz.300586,13.9100,14.3000,13.9100,14.0500,14.0600,2606141,36943039.6300
2019-05-29,sz.300586,14.1800,14.1800,13.8200,13.9300,14.0500,2010950,28073433.5000
2019-05-30,sz.300586,13.8300,13.8300,13.3500,13.5500,13.9300,2531135,34199758.1000
2019-05-31,sz.300586,13.5600,14.0600,13.5600,13.9000,13.5500,2653650,36760238.0000
2019-06-03,sz.300586,13.9000,14.0400,13.5000,13.5500,13.9000,2169450,29574493.9200
2019-06-04,sz.300586,13.4200,13.5300,12.7500,12.9000,13.5500,2910126,37943667.6400
2019-06-05,sz.300586,13.0800,13.3500,13.0000,13.2000,12.9000,2605272,34383540.8400
2019-06-06,sz.300586,13.2900,13.2900,12.5600,12.6100,13.2000,2507674,32113662.0900
2019-06-10,sz.300586,12.5700,13.2600,12.5700,13.0900,12.6100,2384596,31096084.3300
2019-06-11,sz.300586,13.1900,13.5400,12.9500,13.4800,13.0900,2357200,31399964.0000
2019-06-12,sz.300586,13.5500,13.7400,13.3200,13.4100,13.4800,2173055,29392604.1800
2019-06-13,sz.300586,13.3600,14.6600,13.3400,14.0600,13.4100,4501374,63134692.3900
2019-06-14,sz.300586,13.9300,14.0100,13.1200,13.2900,14.0600,4446922,60256144.8500
2019-06-17,sz.300586,13.0600,13.4700,12.9200,13.0200,13.2900,2031645,26624783.2200
2019-06-18,sz.300586,13.0300,13.1700,12.6600,12.8000,13.0200,1561480,20176754.4000
2019-06-19,sz.300586,13.0700,13.2900,13.0700,13.1000,12.8000,2578309,33992218.6800
2019-06-20,sz.300586,13.0600,13.4500,12.9900,13.3900,13.1000,2178568,28932864.1400
2019-06-21,sz.300586,13.7700,13.9000,13.5400,13.7400,13.3900,2938361,40363614.0700
2019-06-24,sz.300586,13.9000,14.2200,13.6300,13.9200,13.7400,4257683,59302773.3400
2019-06-25,sz.300586,13.9200,13.9500,13.5000,13.9100,13.9200,3274552,44969418.4600
2019-06-26,sz.300586,13.7100,13.8200,13.6300,13.6800,13.9100,2186752,30011859.5400
2019-06-27,sz.300586,13.6800,13.9800,13.6700,13.8100,13.6800,2617061,36210691.6400
2019-06-28,sz.300586,13.8500,13.9300,13.5300,13.6200,13.8100,2033650,27789787.0000
2019-07-01,sz.300586,13.8600,14.2600,13.8600,14.1600,13.6200,3752933,52838626.8600
2019-07-02,sz.300586,14.3300,14.4500,14.0900,14.3000,14.1600,2915403,41529381.2600
2019-07-03,sz.300586,14.2400,14.3400,14.0200,14.2300,14.3000,2575915,36560494.2000
2019-07-04,sz.300586,14.3300,14.3300,13.8600,14.1900,14.2300,2002700,28164767.0000
2019-07-05,sz.300586,14.2500,14.5700,14.1100,14.4700,14.1900,3943310,56944352.9800
2019-07-08,sz.300586,14.4700,14.4700,13.7400,13.9300,14.4700,2913483,40812415.8300
2019-07-09,sz.300586,13.8700,14.9000,13.8700,14.5000,13.9300,4131900,59162407.5000
2019-07-10,sz.300586,14.5500,14.8500,14.1500,14.8500,14.5000,6340763,92050452.6000
2019-07-11,sz.300586,14.6900,15.5700,14.6000,15.2000,14.8500,8544835,129544311.5000
2019-07-12,sz.300586,15.0200,15.2400,14.6900,14.8400,15.2000,6489749,96842781.0800
