date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002074,11.5900,11.6000,11.3000,11.4000,11.5600,6826093,78045209.1700
2019-01-03,sz.002074,11.3800,11.5200,11.3000,11.3700,11.4000,7283639,83088008.2900
2019-01-04,sz.002074,11.3300,11.6800,11.2400,11.6800,11.3700,8230036,94598420.9000
2019-01-07,sz.002074,11.7800,12.0500,11.6800,11.9700,11.6800,8543455,101380210.0100
2019-01-08,sz.002074,11.9700,12.2300,11.9500,12.2100,11.9700,9927088,120346844.8000
2019-01-09,sz.002074,12.1700,12.3000,12.0300,12.1500,12.2100,15224432,185356746.1000
2019-01-10,sz.002074,12.1500,12.2200,12.0600,12.1400,12.1500,5796963,70422808.2200
2019-01-11,sz.002074,12.1400,12.4200,12.1100,12.3300,12.1400,10619476,130504968.6100
2019-01-14,sz.002074,12.3700,12.5300,12.2500,12.3000,12.3300,5975265,73914464.8100
2019-01-15,sz.002074,12.3000,12.4200,12.1700,12.3600,12.3000,5254305,64633724.6900
2019-01-16,sz.002074,12.3000,12.7300,12.3000,12.6000,12.3600,12627950,158927000.9000
2019-01-17,sz.002074,12.5700,12.5700,12.2900,12.3000,12.6000,6770435,84083082.8400
2019-01-18,sz.002074,12.3400,12.5000,12.2100,12.3500,12.3000,5991723,73915233.5600
2019-01-21,sz.002074,12.3600,12.4300,12.2200,12.2700,12.3500,5489944,67518415.3400
2019-01-22,sz.002074,12.2600,12.3100,12.1200,12.1400,12.2700,6515950,79438897.6000
2019-01-23,sz.002074,12.1700,12.3900,12.1600,12.2800,12.1400,5630174,69126128.4200
2019-01-24,sz.002074,12.3000,12.4200,12.1800,12.3600,12.2800,7128201,87918539.3300
2019-01-25,sz.002074,12.3300,12.8600,12.2600,12.4900,12.3600,13721397,173153473.4600
2019-01-28,sz.002074,12.5600,12.7900,12.3300,12.3700,12.4900,9449451,118456659.0700
2019-01-29,sz.002074,12.2300,12.3500,12.0800,12.3200,12.3700,7911747,96703782.4200
2019-01-30,sz.002074,12.3100,12.5200,12.1800,12.2900,12.3200,8385842,103986797.6600
2019-01-31,sz.002074,12.3000,12.5200,12.1800,12.1800,12.2900,6900200,84882193.2300
2019-02-01,sz.002074,12.2400,12.4700,12.2200,12.4200,12.1800,8509436,105425941.3700
2019-02-11,sz.002074,12.4300,12.8800,12.4300,12.8600,12.4200,12296114,156785049.6400
2019-02-12,sz.002074,12.8000,13.2200,12.7600,13.1200,12.8600,17875986,232630384.7600
2019-02-13,sz.002074,13.0800,13.5200,13.0200,13.3600,13.1200,23006359,307002726.4000
2019-02-14,sz.002074,13.7700,14.7000,13.7700,14.7000,13.3600,45064272,651458122.3200
2019-02-15,sz.002074,14.9100,15.8400,14.4900,15.3000,14.7000,71856180,1085426398.1100
2019-02-18,sz.002074,15.0300,15.6500,14.9000,15.5500,15.3000,46803651,717642014.3300
2019-02-19,sz.002074,15.5000,15.6100,15.0500,15.3300,15.5500,32771031,501901572.7300
2019-02-20,sz.002074,15.3300,15.8700,15.1800,15.4900,15.3300,34734487,538868259.5500
2019-02-21,sz.002074,15.3200,15.7600,15.2100,15.3500,15.4900,28537279,443885771.9400
2019-02-22,sz.002074,15.3400,16.4000,15.3000,16.3400,15.3500,41934292,670664255.6500
2019-02-25,sz.002074,16.3800,17.6500,16.1000,17.2900,16.3400,39994247,680613972.0400
2019-02-26,sz.002074,17.2200,18.0000,16.8000,16.9300,17.2900,37910885,661082669.3300
2019-02-27,sz.002074,17.0000,17.3500,16.4400,16.5400,16.9300,20762406,350393685.4900
2019-02-28,sz.002074,16.7600,17.1900,16.6000,16.8500,16.5400,24370693,411980706.9400
2019-03-01,sz.002074,16.9000,17.1500,16.6100,17.0900,16.8500,16941584,286640699.8700
2019-03-04,sz.002074,17.1600,18.1500,17.1000,17.5300,17.0900,40996257,726047041.1300
2019-03-05,sz.002074,17.3500,17.7500,17.2000,17.5500,17.5300,21341987,372305932.4400
2019-03-06,sz.002074,17.5100,17.5800,17.0500,17.5000,17.5500,21709990,376791450.9700
2019-03-07,sz.002074,17.5900,18.3800,17.5700,17.7600,17.5000,29608201,533300732.4000
2019-03-08,sz.002074,17.3000,18.3500,17.0100,17.5600,17.7600,28875453,515119409.2700
2019-03-11,sz.002074,17.5600,18.7300,17.5600,18.6800,17.5600,30246031,555269672.9100
2019-03-12,sz.002074,18.8000,19.2700,18.4800,18.9400,18.6800,27767758,523037314.8300
2019-03-13,sz.002074,18.7700,19.0600,18.5500,18.7300,18.9400,18985127,357224005.8600
2019-03-14,sz.002074,18.6500,19.2600,18.1400,18.4100,18.7300,19584316,366215883.1000
2019-03-15,sz.002074,18.4500,19.0500,18.4500,19.0000,18.4100,19880772,374915377.5100
2019-03-18,sz.002074,19.0000,19.0700,18.3700,18.7400,19.0000,16095227,299391380.9800
2019-03-19,sz.002074,18.7500,18.7500,18.3500,18.3700,18.7400,12901917,238452886.3300
2019-03-20,sz.002074,18.3700,18.5700,17.7300,18.1200,18.3700,17352504,313895969.0600
2019-03-21,sz.002074,18.2800,18.8400,18.2100,18.3800,18.1200,18398962,340322436.9500
2019-03-22,sz.002074,18.3800,18.4900,17.8200,18.0400,18.3800,16991744,307391273.1500
2019-03-25,sz.002074,17.7400,18.3400,17.7400,17.7800,18.0400,17459437,314955157.6900
2019-03-26,sz.002074,17.5500,17.8500,17.2200,17.2400,17.7800,19469286,340684985.2100
2019-03-27,sz.002074,18.0100,18.1900,16.7300,16.9600,17.2400,32221172,560382076.2500
2019-03-28,sz.002074,16.8700,17.7100,16.6000,17.3300,16.9600,24461553,420861067.4100
2019-03-29,sz.002074,17.5400,17.5900,17.1200,17.5900,17.3300,12545798,218607195.1700
2019-04-01,sz.002074,17.8100,18.0800,17.5200,17.9300,17.5900,21464700,383068277.0100
2019-04-02,sz.002074,17.9800,18.0500,17.1500,17.2400,17.9300,30318666,530295421.0000
2019-04-03,sz.002074,17.0100,17.3400,16.9200,17.1700,17.2400,16906033,288901203.9200
2019-04-04,sz.002074,16.9800,17.2400,16.6800,16.9200,17.1700,23037232,390117114.9500
2019-04-08,sz.002074,17.0900,17.2700,16.0000,16.2200,16.9200,40193977,660204768.3400
2019-04-09,sz.002074,16.2900,16.4900,16.1500,16.4600,16.2200,22958904,375698231.9000
2019-04-10,sz.002074,16.3500,16.4200,15.9300,16.3300,16.4600,25763564,417665933.2300
2019-04-11,sz.002074,16.4200,16.6100,15.9000,16.0100,16.3300,25406512,411136394.4400
2019-04-12,sz.002074,16.0000,16.2000,15.7500,16.0000,16.0100,22561801,359632347.0700
2019-04-15,sz.002074,16.2400,16.4600,15.7600,15.8600,16.0000,26664309,429883119.6800
2019-04-16,sz.002074,15.7200,16.4400,15.6000,16.3900,15.8600,25369969,408649261.9200
2019-04-17,sz.002074,16.8000,17.2700,16.7300,17.1500,16.3900,46810994,797597284.0800
2019-04-18,sz.002074,17.1600,17.1900,16.6000,16.6300,17.1500,18678908,314300612.6700
2019-04-19,sz.002074,16.5500,16.9400,16.4400,16.8200,16.6300,14894494,248760934.0400
2019-04-22,sz.002074,16.8600,16.8800,16.1400,16.1600,16.8200,21030332,343744969.9100
2019-04-23,sz.002074,16.1400,16.2200,15.2600,15.4500,16.1600,25801643,402686247.6300
2019-04-24,sz.002074,15.5500,15.5900,15.1200,15.4100,15.4500,17656679,270680784.9300
2019-04-25,sz.002074,15.1600,15.1800,14.8100,14.9000,15.4100,26760376,400483076.4800
2019-04-26,sz.002074,14.8700,15.0600,14.7400,14.9000,14.9000,13414335,200033485.5000
2019-04-29,sz.002074,14.9000,14.9500,13.6800,14.3000,14.9000,26909056,382649235.8800
2019-04-30,sz.002074,14.3000,14.8800,14.2000,14.7200,14.3000,17241129,252932741.3200
