date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603026,19.2500,19.3700,18.7100,18.8300,19.3000,2806800,52817387.0000
2019-01-03,sh.603026,18.8400,19.1900,18.7200,19.1900,18.8300,1382824,26217190.0000
2019-01-04,sh.603026,18.9000,19.6800,18.7600,19.6200,19.1900,1964993,38175341.0000
2019-01-07,sh.603026,19.6300,19.8500,19.5300,19.7000,19.6200,1703585,33493472.0000
2019-01-08,sh.603026,19.7100,20.0300,19.5500,19.9200,19.7000,1625526,32327926.0000
2019-01-09,sh.603026,19.8000,20.1600,19.5900,19.7500,19.9200,2737557,54409534.0000
2019-01-10,sh.603026,19.6900,19.7400,19.3700,19.7200,19.7500,2176434,42520523.0000
2019-01-11,sh.603026,19.7300,20.1500,19.5100,19.8900,19.7200,2563134,50902385.0000
2019-01-14,sh.603026,19.8800,20.1100,19.5700,19.7200,19.8900,1740429,34402250.0000
2019-01-15,sh.603026,19.7500,19.8500,19.5000,19.8200,19.7200,1767723,34792487.0000
2019-01-16,sh.603026,19.6900,19.9400,19.6700,19.7200,19.8200,1225378,24231323.0000
2019-01-17,sh.603026,19.7000,19.7000,19.3200,19.3900,19.7200,1454951,28330657.0000
2019-01-18,sh.603026,19.3900,19.5900,19.1800,19.4300,19.3900,961021,18645266.0000
2019-01-21,sh.603026,19.4900,19.9000,19.3500,19.7900,19.4300,1487174,29220662.0000
2019-01-22,sh.603026,19.8300,19.9300,19.6300,19.8200,19.7900,1309635,25932275.0000
2019-01-23,sh.603026,19.7000,20.5800,19.5300,20.4100,19.8200,3854042,78475858.0000
2019-01-24,sh.603026,20.2600,20.3300,19.8800,19.8800,20.4100,2540200,51008343.0000
2019-01-25,sh.603026,19.9000,20.5800,19.5500,20.2900,19.8800,4146838,83808096.0000
2019-01-28,sh.603026,20.2900,20.3500,19.8000,19.8600,20.2900,2026825,40571755.0000
2019-01-29,sh.603026,19.6800,19.8900,19.2900,19.7000,19.8600,1051800,20604772.0000
2019-01-30,sh.603026,19.4500,19.7800,19.3000,19.4500,19.7000,1162100,22647977.0000
2019-01-31,sh.603026,19.5000,19.6600,19.3500,19.5500,19.4500,1084800,21171137.0000
2019-02-01,sh.603026,19.5900,20.2200,19.5000,20.1300,19.5500,1797713,35917182.0000
2019-02-11,sh.603026,20.1500,20.5800,20.0000,20.4700,20.1300,2358606,48032675.0000
2019-02-12,sh.603026,20.3600,20.5600,20.3000,20.4800,20.4700,2010188,41088477.0000
2019-02-13,sh.603026,20.5000,21.2500,20.3600,20.9400,20.4800,3271542,68537386.0000
2019-02-14,sh.603026,20.8300,21.7500,20.7700,21.6900,20.9400,4883633,104215515.0000
2019-02-15,sh.603026,21.6000,22.1800,21.5200,21.5600,21.6900,4763761,104157695.0000
2019-02-18,sh.603026,21.6500,22.3000,21.6500,21.9100,21.5600,3318963,73059903.0000
2019-02-19,sh.603026,22.1500,23.1400,22.0000,22.4800,21.9100,5613728,126888402.0000
2019-02-20,sh.603026,22.5200,23.3600,22.5000,23.0000,22.4800,4455562,102564606.0000
