date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300082,5.9900,6.1300,5.9700,6.0100,6.0000,4394173,26545786.0800
2019-01-03,sz.300082,6.0300,6.1100,5.9600,6.0100,6.0100,3481446,20983964.9200
2019-01-04,sz.300082,5.9500,6.2000,5.9500,6.1900,6.0100,8433405,51632014.7700
2019-01-07,sz.300082,6.2400,6.2400,6.1300,6.1900,6.1900,5683213,35129475.0400
2019-01-08,sz.300082,6.1600,6.1800,6.0800,6.1400,6.1900,3981407,24400056.8800
2019-01-09,sz.300082,6.1400,6.2200,6.0700,6.0900,6.1400,4722159,29069508.5400
2019-01-10,sz.300082,6.0900,6.1600,6.0600,6.0600,6.0900,2986020,18200451.2000
2019-01-11,sz.300082,6.0600,6.2200,6.0400,6.2100,6.0600,4318476,26556508.0000
2019-01-14,sz.300082,6.2200,6.2700,6.1700,6.2600,6.2100,3056820,19004461.2000
2019-01-15,sz.300082,6.2700,6.3200,6.1700,6.2900,6.2600,4026980,25152131.5400
2019-01-16,sz.300082,6.2900,6.3500,6.2200,6.2300,6.2900,2720740,17045340.6000
2019-01-17,sz.300082,6.2000,6.2400,6.0700,6.1000,6.2300,4703188,28784135.7500
2019-01-18,sz.300082,6.1300,6.1500,6.0600,6.1400,6.1000,2631455,16064481.0000
2019-01-21,sz.300082,6.1400,6.2100,6.1100,6.1700,6.1400,2370100,14619590.0000
2019-01-22,sz.300082,6.1800,6.3100,6.1500,6.2800,6.1700,3704703,23202398.9000
2019-01-23,sz.300082,6.2800,6.3000,6.1800,6.2900,6.2800,2358700,14730310.0000
2019-01-24,sz.300082,6.2800,6.3400,6.2200,6.2900,6.2900,1884420,11825519.4000
2019-01-25,sz.300082,6.2900,6.3200,6.1300,6.2000,6.2900,2915020,18162236.4000
2019-01-28,sz.300082,6.2000,6.2400,6.0800,6.1200,6.2000,2554680,15747735.8000
2019-01-29,sz.300082,6.1000,6.1700,5.9400,5.9800,6.1200,2645335,15953110.9000
2019-01-30,sz.300082,5.9900,6.1100,5.9600,5.9600,5.9800,2099178,12648828.4600
2019-01-31,sz.300082,5.9500,6.0400,5.9500,6.0200,5.9600,2870565,17167280.4000
2019-02-01,sz.300082,6.0200,6.1600,6.0000,6.1300,6.0200,2161162,13204346.8600
2019-02-11,sz.300082,6.1500,6.2700,6.1000,6.2500,6.1300,2989290,18514949.6200
2019-02-12,sz.300082,6.2400,6.3000,6.2000,6.2500,6.2500,2599422,16258433.2800
2019-02-13,sz.300082,6.2600,6.4700,6.2500,6.4500,6.2500,6254744,39958990.2700
2019-02-14,sz.300082,6.4500,6.5200,6.3300,6.5000,6.4500,7499627,48141590.5900
2019-02-15,sz.300082,6.4900,6.4900,6.3300,6.3500,6.5000,6117257,39045787.1100
2019-02-18,sz.300082,6.4000,6.6700,6.3500,6.6500,6.3500,9931484,64702541.6400
2019-02-19,sz.300082,6.6500,6.6600,6.4900,6.5500,6.6500,6034382,39598967.4600
2019-02-20,sz.300082,6.5400,6.5600,6.4200,6.4800,6.5500,3300440,21396334.6000
2019-02-21,sz.300082,6.5000,6.5800,6.4200,6.4400,6.4800,5290622,34363027.7400
2019-02-22,sz.300082,6.3900,6.5200,6.3900,6.5100,6.4400,3898135,25180576.9700
2019-02-25,sz.300082,6.5200,6.7900,6.5000,6.7700,6.5100,9621135,64042784.4000
2019-02-26,sz.300082,6.7300,6.7600,6.6100,6.6500,6.7700,6948793,46539106.2400
2019-02-27,sz.300082,6.6100,6.7100,6.5200,6.5600,6.6500,5247213,34795414.0900
2019-02-28,sz.300082,6.5800,6.7500,6.5800,6.6600,6.5600,4591051,30590526.9200
2019-03-01,sz.300082,6.6600,6.7200,6.6200,6.7100,6.6600,3575398,23875521.4600
2019-03-04,sz.300082,6.7200,6.8600,6.7100,6.7500,6.7100,7283308,49428538.7100
2019-03-05,sz.300082,6.7800,6.9600,6.7300,6.9400,6.7500,7169229,49159686.8300
2019-03-06,sz.300082,6.9900,6.9900,6.8100,6.9800,6.9400,8071731,55883485.5300
2019-03-07,sz.300082,6.9600,7.2400,6.9100,7.1900,6.9800,8778197,62156556.1800
