date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600210,3.6800,3.7400,3.6200,3.6800,3.6400,23798751,87794755.0000
2019-01-03,sh.600210,3.6600,3.7000,3.4200,3.4600,3.6800,43600706,154478862.0000
2019-01-04,sh.600210,3.4000,3.5800,3.3800,3.5500,3.4600,27626147,96861180.0000
2019-01-07,sh.600210,3.5800,3.6600,3.5700,3.6200,3.5500,30681608,111097981.0000
2019-01-08,sh.600210,3.6600,3.7200,3.6200,3.6300,3.6200,25401813,93199974.0000
2019-01-09,sh.600210,3.6600,3.7800,3.6100,3.6800,3.6300,37695640,139653806.0000
2019-01-10,sh.600210,3.6700,3.7200,3.6100,3.6300,3.6800,24443840,89502435.0000
2019-01-11,sh.600210,3.6400,3.6900,3.5900,3.6400,3.6300,24709908,89876311.0000
2019-01-14,sh.600210,3.6300,3.7100,3.6200,3.6500,3.6400,20117367,73733092.0000
2019-01-15,sh.600210,3.6300,3.6400,3.5300,3.6200,3.6500,23523209,84426407.0000
2019-01-16,sh.600210,3.6300,3.7300,3.6100,3.6400,3.6200,29499248,108109514.0000
2019-01-17,sh.600210,3.6100,3.7800,3.6100,3.7500,3.6400,57265645,212117964.0000
2019-01-18,sh.600210,3.7100,3.7200,3.6000,3.6500,3.7500,40621742,148215686.0000
2019-01-21,sh.600210,3.6400,3.6600,3.6200,3.6300,3.6500,17963408,65236880.0000
2019-01-22,sh.600210,3.6200,3.7400,3.6100,3.6500,3.6300,31622475,116018795.0000
2019-01-23,sh.600210,3.6300,3.7200,3.6000,3.7100,3.6500,33053666,120973233.0000
2019-01-24,sh.600210,3.7200,3.7200,3.6300,3.6600,3.7100,29385764,108031189.0000
2019-01-25,sh.600210,3.6300,3.6600,3.5800,3.5800,3.6600,21394734,77458139.0000
2019-01-28,sh.600210,3.6000,3.6300,3.5600,3.5700,3.5800,13056299,46926650.0000
2019-01-29,sh.600210,3.5500,3.5700,3.3600,3.4300,3.5700,17443711,60267516.0000
2019-01-30,sh.600210,3.4000,3.4400,3.3400,3.3400,3.4300,10820700,36725213.0000
2019-01-31,sh.600210,3.3700,3.3800,3.1900,3.2500,3.3400,17479103,57700373.0000
2019-02-01,sh.600210,3.2700,3.3500,3.2400,3.3300,3.2500,10174101,33676361.0000
2019-02-11,sh.600210,3.3600,3.4400,3.3500,3.4400,3.3300,13875821,47352347.0000
2019-02-12,sh.600210,3.4500,3.5000,3.4300,3.4800,3.4400,14029096,48620595.0000
2019-02-13,sh.600210,3.5000,3.6200,3.4900,3.5900,3.4800,25553865,91123273.0000
2019-02-14,sh.600210,3.6000,3.7500,3.5800,3.6600,3.5900,35512280,130906814.0000
2019-02-15,sh.600210,3.6400,3.6800,3.6000,3.6600,3.6600,24602808,89782116.0000
2019-02-18,sh.600210,3.6800,3.7500,3.6600,3.7400,3.6600,31191907,116035808.0000
2019-02-19,sh.600210,3.7600,3.8500,3.7200,3.7900,3.7400,42729738,161685192.0000
2019-02-20,sh.600210,3.7700,3.8000,3.7200,3.7600,3.7900,22417310,84145287.0000
2019-02-21,sh.600210,3.7600,3.9200,3.7500,3.7800,3.7600,45922997,175702591.0000
2019-02-22,sh.600210,3.7600,4.0500,3.7500,4.0100,3.7800,69631822,273562381.0000
2019-02-25,sh.600210,4.2700,4.4100,4.1000,4.4000,4.0100,107259705,461445440.0000
2019-02-26,sh.600210,4.3600,4.4600,4.1700,4.1800,4.4000,102072689,439873051.0000
2019-02-27,sh.600210,4.2500,4.3600,4.1700,4.3300,4.1800,73558717,314599855.0000
2019-02-28,sh.600210,4.2500,4.2500,4.0700,4.0900,4.3300,66382081,275674633.0000
2019-03-01,sh.600210,4.0700,4.1500,4.0500,4.1000,4.0900,33128673,135749682.0000
2019-03-04,sh.600210,4.2400,4.2800,4.1700,4.2000,4.1000,66424221,281140609.0000
2019-03-05,sh.600210,4.1800,4.6200,4.1300,4.6000,4.2000,119980551,535156989.0000
2019-03-06,sh.600210,4.5600,4.6500,4.4100,4.5300,4.6000,96708666,436188446.0000
2019-03-07,sh.600210,4.4500,4.6300,4.4100,4.5600,4.5300,80830248,368701004.0000
2019-03-08,sh.600210,4.4200,4.5200,4.2000,4.2000,4.5600,68993148,301712319.0000
2019-03-11,sh.600210,4.2300,4.5900,4.2300,4.5400,4.2000,67835080,301587535.0000
2019-03-12,sh.600210,4.5400,4.9900,4.5200,4.9900,4.5400,174441546,847742666.0000
2019-03-13,sh.600210,5.1000,5.3500,4.8700,4.8900,4.9900,179881327,914232804.0000
2019-03-14,sh.600210,4.8000,4.9700,4.4900,4.6000,4.8900,109377941,512958691.0000
2019-03-15,sh.600210,4.7200,5.0600,4.6300,4.9600,4.6000,154896202,765810563.0000
2019-03-18,sh.600210,4.9000,4.9000,4.4600,4.7600,4.9600,122498051,571732915.0000
2019-03-19,sh.600210,4.7100,4.9000,4.6300,4.7800,4.7600,74276724,354136627.0000
2019-03-20,sh.600210,4.7300,4.9000,4.7000,4.8100,4.7800,59784485,287031746.0000
2019-03-21,sh.600210,4.8300,5.1000,4.7600,4.9200,4.8100,96250493,475955602.0000
2019-03-22,sh.600210,4.9400,5.2500,4.8500,5.1600,4.9200,112040379,564796733.0000
2019-03-25,sh.600210,4.9700,5.1700,4.9100,4.9300,5.1600,83584456,419893766.0000
2019-03-26,sh.600210,4.9500,5.0000,4.6700,4.7100,4.9300,63109545,302531427.0000
2019-03-27,sh.600210,4.7600,4.7800,4.5700,4.6900,4.7100,33981179,158653543.0000
2019-03-28,sh.600210,4.6500,4.7400,4.5100,4.5200,4.6900,39423597,181964193.0000
2019-03-29,sh.600210,4.5200,4.6400,4.4000,4.6200,4.5200,40078300,182145129.0000
2019-04-01,sh.600210,4.6500,4.9100,4.6500,4.8400,4.6200,49512677,236933124.0000
2019-04-02,sh.600210,4.8600,4.9600,4.7600,4.7900,4.8400,54403632,264495582.0000
2019-04-03,sh.600210,4.7600,4.8400,4.7200,4.8300,4.7900,39063019,187151467.0000
2019-04-04,sh.600210,4.8500,4.9400,4.8000,4.8500,4.8300,41549462,201496708.0000
2019-04-08,sh.600210,4.9000,4.9400,4.6700,4.7800,4.8500,47452230,227812101.0000
2019-04-09,sh.600210,4.7500,4.8100,4.6800,4.7800,4.7800,25391960,121005769.0000
2019-04-10,sh.600210,4.6900,4.8000,4.6700,4.7400,4.7800,28250980,133617645.0000
2019-04-11,sh.600210,4.7300,4.7500,4.5900,4.5900,4.7400,32679113,152415594.0000
